amazonclean.csv,gpclean.csv
1329,0
1304,0
1203,0
1193,0
1111,0
1046,0
1043,0
1007,0
989,0
853,0
813,0
671,0
602,0
580,0
555,0
534,0
528,0
507,0
497,0
466,0
418,0
413,0
404,0
394,0
392,0
365,0
342,0
340,0
324,0
282,0
273,0
186,0
55,0
9,0
4,0
1317,1
1250,1
1214,1
1203,1
1136,1
1130,1
1043,1
1026,1
1012,1
900,1
824,1
814,1
794,1
766,1
728,1
688,1
665,1
595,1
593,1
570,1
550,1
512,1
451,1
390,1
367,1
365,1
342,1
317,1
297,1
295,1
293,1
183,1
124,1
80,1
43,1
1333,2
1321,2
1284,2
1267,2
1265,2
1239,2
1189,2
1077,2
1069,2
1067,2
1024,2
992,2
963,2
938,2
909,2
867,2
865,2
846,2
838,2
824,2
788,2
721,2
717,2
688,2
675,2
658,2
644,2
604,2
555,2
476,2
446,2
301,2
202,2
114,2
13,2
1317,3
1268,3
1111,3
1108,3
1050,3
1042,3
1007,3
929,3
879,3
807,3
803,3
775,3
746,3
724,3
679,3
674,3
616,3
606,3
590,3
477,3
442,3
383,3
382,3
365,3
337,3
326,3
315,3
303,3
299,3
297,3
195,3
66,3
58,3
47,3
18,3
1267,4
1223,4
1153,4
1124,4
1121,4
1116,4
1047,4
1033,4
1002,4
977,4
963,4
918,4
909,4
894,4
871,4
867,4
866,4
855,4
839,4
832,4
826,4
812,4
800,4
715,4
663,4
654,4
513,4
510,4
333,4
250,4
219,4
157,4
140,4
76,4
6,4
1326,5
1257,5
1252,5
1212,5
1124,5
965,5
963,5
952,5
926,5
880,5
868,5
848,5
833,5
826,5
800,5
794,5
789,5
776,5
762,5
715,5
690,5
675,5
546,5
535,5
476,5
456,5
445,5
417,5
391,5
267,5
266,5
227,5
222,5
123,5
107,5
1295,6
1286,6
1269,6
1212,6
1181,6
1167,6
1139,6
1132,6
1057,6
1033,6
979,6
977,6
963,6
952,6
918,6
910,6
867,6
839,6
812,6
789,6
775,6
769,6
715,6
687,6
681,6
666,6
663,6
638,6
535,6
529,6
380,6
324,6
287,6
284,6
149,6
1334,7
1260,7
1246,7
1239,7
1156,7
1101,7
1098,7
1094,7
1087,7
1022,7
927,7
900,7
887,7
873,7
859,7
781,7
687,7
675,7
663,7
588,7
583,7
580,7
447,7
446,7
423,7
331,7
237,7
227,7
215,7
198,7
173,7
114,7
93,7
74,7
53,7
1339,8
1334,8
1267,8
1247,8
1235,8
1189,8
1114,8
1111,8
1074,8
984,8
948,8
915,8
887,8
865,8
752,8
739,8
602,8
583,8
580,8
571,8
555,8
542,8
534,8
528,8
524,8
500,8
497,8
481,8
394,8
320,8
273,8
177,8
119,8
114,8
81,8
1315,9
1291,9
1263,9
1259,9
1246,9
1239,9
1229,9
1173,9
1128,9
1077,9
992,9
965,9
952,9
918,9
