imdb.csv,tvdb.csv
1177,0
1977,1
4322,2
1616,3
2660,4
4966,5
882,6
1409,7
1618,8
1287,9
1346,10
677,11
1467,12
3767,13
4094,13
1040,14
4798,15
4993,16
3591,17
201,18
3255,19
1572,20
3142,21
82,22
4372,23
127,24
3763,25
1708,26
1241,27
2808,28
1177,29
4163,30
2333,31
4427,32
1731,33
1040,34
3954,35
201,35
2459,36
271,37
373,38
1929,39
4797,40
4094,41
1489,42
3989,43
1746,44
1040,45
1040,46
1287,30
3882,48
4094,49
1334,50
639,51
1740,52
1028,53
180,54
3225,55
4251,56
3608,57
4797,58
1040,59
1114,60
4687,61
3450,62
1916,63
3731,64
4394,65
4867,66
898,67
1877,68
4839,69
2338,70
2549,71
2259,72
3448,73
3448,74
4758,75
2486,64
109,64
3411,77
3071,78
4770,19
3255,80
3954,81
1616,82
1040,83
2605,84
3729,85
596,86
779,87
2214,88
3380,89
2272,90
4771,91
3225,92
3733,93
898,94
846,95
2319,96
4839,30
2464,98
2472,99
4919,100
1404,101
179,102
854,103
4076,104
3204,41
2534,106
2203,107
3056,108
2263,109
896,110
4070,111
3005,112
2340,113
31,114
3674,115
1899,116
3058,117
3043,118
1040,118
3763,119
2397,120
1478,121
3193,122
1507,123
4008,124
1864,125
910,126
2608,127
2885,128
4799,129
3351,130
1845,131
1040,132
4682,133
3075,134
1821,135
2860,136
2427,137
69,138
4016,139
4250,140
3379,141
1521,83
4094,143
201,144
4094,145
1756,146
1478,147
2913,148
1040,149
66,150
1115,151
3225,152
3271,153
2927,154
676,155
3398,156
520,157
918,158
4906,159
2353,160
2650,111
4236,162
2249,164
4094,165
1657,166
4340,167
13,168
4372,169
2609,170
2896,171
3476,172
2866,173
2632,174
1715,175
2549,176
3101,177
614,178
1320,18
4689,180
3756,181
2237,182
161,183
3450,184
1570,185
3204,18
559,187
3066,188
1895,189
2845,190
845,191
4607,192
313,193
318,194
5012,195
854,196
1799,137
1705,198
1124,199
779,200
3523,201
4358,121
693,203
4142,204
4881,205
4546,206
2999,74
4401,208
4094,209
4094,210
4595,74
1040,212
4094,213
2287,214
3621,215
4958,216
1891,22
437,218
676,219
271,220
2967,46
192,222
2969,223
1797,224
432,225
1022,226
339,227
2305,228
959,229
4839,230
3566,231
2984,232
1357,233
3944,234
751,235
2549,236
1110,237
4518,238
3707,239
4562,240
4200,241
2363,242
3255,243
1294,244
1962,245
2340,246
759,247
4601,248
4372,249
881,250
3923,251
4094,252
3227,253
1040,254
276,255
5000,256
3524,257
3731,258
5053,259
931,260
1884,261
4094,262
2022,263
3314,264
1571,265
3545,192
3984,267
4546,268
2969,269
1040,270
1626,271
1091,272
1168,171
4094,274
3008,252
182,276
705,277
4094,278
4850,279
3314,280
2467,281
3742,282
4921,283
3387,284
4097,285
1640,286
2770,287
3849,288
5089,289
1421,290
3261,230
2003,292
5038,293
2296,294
3621,64
4094,296
3229,297
2079,298
2373,30
4519,300
345,301
1186,302
69,303
274,304
2984,305
2809,306
115,307
1161,308
1040,87
2927,310
706,311
789,312
3957,85
1735,314
4807,315
1040,316
3989,317
461,318
1019,319
4863,319
4882,320
3178,321
3225,322
405,144
4775,324
3190,325
1973,325
2549,318
2305,327
619,328
4310,329
4810,330
2826,331
823,332
3156,333
985,334
247,335
2163,336
2479,337
1932,338
4706,339
1086,340
1040,143
2744,342
2147,343
4094,344
5106,345
2422,346
4236,347
2498,348
4839,349
3225,350
305,351
2132,352
4094,353
1501,354
3440,355
106,356
4094,357
2585,358
4597,19
3994,30
1572,361
4559,230
2720,363
1664,364
1626,365
2759,366
4094,367
201,368
854,369
1416,370
2165,370
1040,371
4659,372
1759,258
562,374
2244,375
1592,376
4094,377
3255,378
3201,30
4810,380
1464,381
1177,382
1986,383
3937,384
4401,385
2124,386
4612,387
3217,388
96,53
439,390
686,182
608,166
1705,393
4094,394
4657,395
615,396
1548,397
1458,398
2487,399
705,241
2001,401
345,402
3994,403
1151,404
3545,405
123,272
1916,407
2199,407
1955,408
4767,164
4366,410
3697,411
1868,404
4964,413
1040,414
2124,415
3843,416
4291,417
180,418
747,283
1251,25
405,421
4687,422
432,423
1277,424
4659,258
1349,83
4124,427
4094,428
2426,429
1064,430
1797,395
1040,57
3453,433
4164,434
1059,252
1457,252
4094,436
3252,334
4367,438
2744,439
2373,440
1040,230
3437,442
2630,442
2227,442
2549,443
298,444
3101,445
1756,446
4094,87
1551,448
1186,449
2742,449
5100,449
1694,449
4201,450
2477,451
1040,452
4094,453
3836,337
1694,455
1868,53
4599,457
1501,458
2352,459
3414,460
1616,461
2031,462
4164,463
522,464
4990,365
1601,466
1821,467
676,468
4372,469
3443,470
1336,471
4440,328
2979,473
4841,30
66,475
2079,144
1089,477
481,139
614,479
392,480
3545,481
1509,482
3225,483
676,484
1583,485
3075,486
4837,487
3597,488
1223,489
4094,30
4310,491
4035,492
968,493
1404,494
1420,495
4094,496
1750,497
3120,60
4597,499
1040,86
2125,501
4394,502
2202,64
4094,504
5055,505
13,69
3043,507
1040,507
1006,87
4094,509
1986,510
1634,511
1694,64
1571,513
3747,514
1019,515
4863,515
4937,516
1139,517
737,518
4848,519
3196,520
3225,521
3040,394
3524,523
4001,524
2772,525
4582,526
4256,527
4164,528
4094,529
3141,530
2244,427
2079,532
734,533
3092,534
3559,535
3608,536
481,537
494,538
3642,539
4787,540
278,541
3528,542
2036,543
1955,544
4259,545
4094,546
2836,547
2751,548
2009,549
2504,550
4238,551
562,223
345,553
1121,554
2270,555
4394,556
3192,557
3008,558
3098,559
4145,560
4134,560
5053,560
4183,258
4863,562
1019,562
570,563
3216,564
1459,312
3872,566
4724,14
788,413
4094,569
437,570
2083,571
1626,572
3596,573
1460,574
4545,575
2865,576
4094,577
1685,578
4094,579
4094,580
1493,581
3022,582
1228,583
3957,584
2606,585
4448,586
1022,586
4142,587
1501,588
212,589
3729,590
1869,591
3938,592
2765,593
683,144
1357,595
1040,596
3892,597
4372,30
505,599
3081,600
1305,601
4094,602
3900,603
4094,604
4094,338
4094,606
1040,607
4756,608
4094,228
3225,553
1657,83
4385,612
2892,613
590,614
4142,615
1730,616
345,30
4370,30
1040,619
4435,620
1177,621
298,622
3682,365
160,624
157,625
4177,626
1228,627
2923,628
1186,629
2742,629
5100,629
1694,629
83,629
3912,630
4300,631
2953,632
960,633
2398,634
1758,635
1177,636
4839,285
2249,638
3922,639
3211,640
4399,641
1418,642
4971,643
824,111
2202,514
910,429
3002,647
2769,648
1040,272
471,171
1605,651
1137,652
1889,60
1766,654
2990,655
1844,655
2162,656
2408,657
2472,658
4798,659
1977,660
2249,661
4123,662
3171,663
3225,204
1428,507
3564,666
3259,667
4094,83
4606,669
1868,670
1892,671
4094,529
1524,673
786,371
388,675
4094,676
1597,677
2864,678
2742,679
4921,680
2424,681
3833,206
271,20
1250,667
2087,685
1186,52
2742,52
5100,52
1694,52
22,687
4438,688
2549,53
2922,690
260,158
116,692
276,693
3225,272
2467,695
1835,696
1997,697
4515,698
1853,699
663,700
3464,701
3748,702
4094,703
4149,704
33,705
4564,706
2477,707
3130,708
2446,245
4273,245
2751,710
2620,711
4511,30
4372,713
4251,714
1694,715
1186,715
3700,716
1955,717
2632,75
1657,719
4094,720
955,721
1186,722
2742,722
5100,722
1694,722
4278,723
3304,724
5082,725
4164,726
1357,727
3221,728
3776,729
2302,730
3564,731
2543,732
1431,733
1486,734
3572,83
4706,736
3344,737
2376,404
3478,739
4269,3
2809,741
4252,742
4766,743
4094,744
1040,745
4115,746
1040,747
4478,748
2305,749
722,749
352,750
4986,258
1955,752
1040,753
5056,754
3214,144
189,756
4671,757
4706,758
1650,759
963,760
1177,761
2486,762
818,763
1186,764
1694,764
536,765
82,766
4546,767
2079,768
4562,769
1891,182
3058,771
1445,534
118,773
2220,774
1868,338
3098,776
432,777
4606,778
5107,779
910,780
1960,781
3180,782
1378,783
1556,784
290,785
798,446
3031,787
1524,787
2079,788
4970,30
4094,790
5112,791
1785,792
2095,793
1310,795
5028,796
3380,797
5050,798
1040,70
1530,800
1721,801
3688,213
3512,803
4797,804
672,805
4948,256
481,807
4724,41
4935,809
2287,810
4094,625
4884,812
5095,813
5045,814
4818,252
1996,816
2038,817
2651,818
638,819
2772,820
2589,821
948,822
2494,83
4392,824
4931,825
13,826
1794,827
161,86
3147,829
2745,830
2221,831
201,832
855,833
4331,834
3001,836
3556,75
3225,838
3336,497
4286,840
4094,841
3922,842
3761,70
2079,844
1972,845
907,397
3063,847
1630,18
201,849
3225,850
3465,102
4372,852
246,258
629,854
4867,395
2541,856
3225,230
4120,318
2016,859
2428,860
4094,861
1412,862
255,863
3458,864
3199,865
3324,866
4094,867
1664,868
1921,464
1850,870
2146,871
1177,872
2888,873
2110,464
25,875
2510,22
1828,877
4094,878
4323,879
3870,880
1759,192
2327,768
3608,883
2982,884
2669,885
3783,886
175,887
4094,888
1140,889
193,890
3855,891
4129,892
424,87
3856,894
1257,895
4094,896
3801,897
5096,898
1818,899
4636,900
2751,901
3036,892
1357,903
1463,904
1619,905
3907,906
4792,907
3228,908
505,909
3172,910
2632,258
2631,912
4108,913
42,464
3225,256
4094,916
4094,917
1986,103
276,919
1204,920
3095,921
3491,53
4355,923
3992,924
1968,925
544,192
1373,182
3102,928
1022,929
127,930
1705,3
4149,932
2486,933
109,933
1040,934
3437,935
2630,935
2227,935
4228,936
1353,937
676,938
2891,939
2772,940
4094,941
4546,942
2333,74
3285,550
1759,734
2385,766
1040,947
4694,30
1694,949
2201,349
4766,951
2985,952
4519,953
1907,954
201,955
8,956
1375,227
2505,958
481,959
2030,960
4650,961
253,961
1177,962
2263,963
4392,964
2108,965
5058,966
2832,83
1563,968
907,969
1040,397
3976,971
3089,972
4620,973
2969,974
1705,975
4492,976
4964,977
4164,978
1151,979
4094,980
438,981
3311,982
2826,983
910,984
1051,985
4124,986
3431,987
4516,416
2905,989
4244,990
4498,991
1583,25
1592,993
2486,994
109,994
1614,995
1320,996
3479,916
77,998
2799,999
292,1000
1783,1001
3943,1002
3608,1003
505,198
263,198
1746,1005
4094,1006
4392,524
1357,1008
4712,1009
2851,1010
618,1011
2468,1012
4094,1013
2019,1014
3909,1015
74,692
2380,80
4645,1018
4559,1019
3165,1020
4094,1021
1471,1022
1626,1023
4094,1024
3199,1025
4094,1026
5106,1027
2652,1028
3994,1029
3670,1030
1224,287
1916,57
4370,1033
3582,887
4251,1035
1643,1036
1384,1037
4269,1038
481,1039
4457,1040
1040,1041
1177,1042
701,1043
3201,1044
2162,1045
733,1046
2745,553
