walmartclean.csv,amazonclean.csv
0,4407
0,8364
0,15110
1,16717
1,16444
1,7146
2,18946
2,18025
2,16492
3,21419
3,4378
3,4377
4,14169
4,14045
4,1470
5,20927
5,10423
5,10421
6,13021
6,9014
6,3047
7,19189
7,17992
7,1303
8,19465
8,10247
8,349
9,10845
9,10051
9,2456
10,21360
10,20203
10,3494
11,12795
11,2830
11,2816
12,7685
12,5666
12,3691
13,12080
13,7531
13,1627
14,13613
14,1699
14,1698
15,17807
15,17361
15,4282
16,15180
16,15179
16,13227
17,21283
17,18813
17,18011
18,17420
18,10878
18,4881
19,17426
19,11238
19,6596
20,16834
20,2791
20,14077
21,12923
21,8914
21,7852
22,20956
22,17879
22,17388
23,19212
23,14259
23,11990
24,12802
24,10756
24,10383
25,13010
25,1035
25,1033
26,14403
26,4406
26,537
27,10472
27,9436
27,3982
28,19484
28,14109
28,13916
29,8070
29,8069
29,6031
30,15043
30,13116
30,11087
31,18617
31,16170
31,6573
32,21562
32,20119
32,17833
33,11682
33,5233
33,1117
34,6765
34,5118
34,3067
35,8091
35,7915
35,604
36,21326
36,8948
36,2991
37,14086
37,5601
37,5600
38,21623
38,19126
38,15680
39,10871
39,6881
39,955
40,20118
40,12793
40,2828
41,10813
41,10801
41,6815
42,11477
42,7476
42,172
43,20224
43,10343
43,45
44,8724
44,6690
44,6689
45,16160
45,11420
45,768
46,19332
46,18031
46,16497
47,18034
47,17553
47,9386
48,20268
48,10253
48,5920
49,10110
49,8095
49,6064
50,16933
50,16662
50,2013
51,5210
51,16396
51,16355
52,20993
52,8238
52,2257
53,17889
53,16595
53,9733
54,6572
54,2612
54,649
55,13862
55,12911
55,9190
56,21958
56,21631
56,9163
57,13299
57,12463
57,12059
58,21401
58,9327
58,5531
59,19653
59,7603
59,5585
60,18195
60,17377
60,606
61,11090
61,6043
61,907
62,19387
62,9667
62,3955
63,19622
63,12673
63,10910
64,18369
64,15311
64,8390
65,15084
65,11128
65,3882
66,9689
66,3670
66,3668
67,20412
67,14614
67,12694
67,10668
68,20441
68,12401
68,12206
69,21804
69,20422
69,14638
70,7757
70,13712
70,13711
71,14518
71,2619
71,643
72,11090
72,6845
72,6043
73,19777
73,6996
73,6528
74,12630
74,2656
74,2652
75,15129
75,12500
75,5909
76,21927
76,18634
76,14946
77,14632
77,6690
77,6689
78,12598
78,12346
78,3931
79,18492
79,18184
79,17235
80,17572
80,17372
80,6526
81,17191
81,16841
81,10883
82,20998
82,19402
82,7742
83,21615
83,15525
83,10150
83,2144
84,19372
84,9495
84,9261
85,9495
85,9488
85,9261
86,18819
86,11616
86,7609
87,15982
87,8060
87,2063
88,18977
88,7859
88,3269
89,14039
89,10104
89,2097
90,20641
90,10462
90,10461
91,17684
91,13409
91,6750
92,11013
92,4739
92,2689
93,8349
93,8347
93,2362
94,15990
94,13272
94,9050
95,20443
95,14917
95,1033
96,16089
96,15759
96,4755
97,21934
97,19570
97,15901
98,19323
98,13168
98,2775
99,6551
99,4520
99,635
100,17356
100,15192
100,15191
101,10614
101,6538
101,2593
102,21104
102,15060
102,11758
103,15982
103,8060
103,2063
104,20801
104,11790
104,5756
105,9876
105,1873
105,0
106,16123
106,9974
106,1499
107,12089
107,4082
107,2096
108,21704
108,14848
108,1311
109,20999
109,14740
109,124
110,17875
110,15565
110,9643
111,21784
111,19225
111,17366
112,13370
112,6690
112,6689
113,7685
113,5666
113,3691
114,19063
114,13236
114,9222
115,9746
115,9744
115,7025
116,19425
116,13964
116,9509
117,15289
117,7322
117,1338
118,18154
118,17038
118,16539
119,21970
119,20767
119,3290
120,14792
120,2907
120,923
121,20279
121,10285
121,2001
122,15658
122,3710
122,1749
123,14764
123,13866
123,818
124,10930
124,10928
124,8973
125,5419
125,5418
125,1477
126,21658
126,19803
126,1555
127,9707
127,6916
127,1760
128,20981
128,10639
128,2701
129,18646
129,10653
129,10594
129,8120
130,14780
130,9889
130,6835
131,5595
131,1642
131,1641
132,12837
132,12353
132,9648
133,18922
133,18755
133,4231
134,15705
134,3740
134,188
135,19353
135,7322
135,27
136,2577
136,2576
136,613
137,21115
137,19723
137,9865
138,19927
138,11467
138,9527
139,22030
139,21682
139,14158
140,13712
140,11756
140,11755
141,14542
141,4552
141,2644
142,15662
142,13682
142,5955
143,17822
143,17065
143,15421
144,12591
144,12587
144,7969
145,15888
145,4498
145,2593
146,20786
146,13420
146,12096
147,21187
147,10216
147,2244
148,18933
148,16395
148,16347
149,14849
149,14848
149,8938
150,19223
150,15125
150,4349
151,14574
151,6619
151,691
152,12795
152,6690
152,6689
153,11013
153,4739
153,2689
154,16439
154,14663
154,5824
155,9454
155,6536
155,3446
156,18878
156,11953
156,8213
157,17310
157,16498
157,16202
158,13087
158,13080
158,1087
159,20816
159,9708
159,5664
160,15417
160,14852
160,985
161,18245
