tmdbclean.csv,tvdbclean.csv
181,0
181,1120
181,1262
181,1969
181,4607
181,4664
181,4694
827,0
1738,0
4463,0
4787,0
827,29
827,91
827,2753
827,4214
827,6049
1738,482
1738,737
1738,1262
1738,4052
1738,4242
1738,4576
1738,4664
1738,5919
1738,6233
1738,7773
4463,29
4463,91
4463,2753
4463,4694
4463,6210
4463,7443
4787,29
4787,1190
4787,1195
4787,2715
4787,2787
4787,4607
4787,5440
4787,5850
4787,6664
4787,6836
4787,7443
223,1
223,1476
223,2991
223,3394
223,4509
223,4929
223,5232
223,5618
223,6063
740,1
3255,1
3607,1
4165,1
740,176
740,196
740,978
740,1890
740,2607
740,3473
740,3705
740,4104
740,4111
740,4974
740,5232
740,7297
3255,1476
3255,1578
3255,2208
3255,3014
3255,3574
3255,3681
3255,4111
3255,4796
3255,5000
3255,6339
3255,7228
3255,7670
3607,3649
3607,3681
3607,3705
3607,6518
4165,978
4165,1050
4165,1411
4165,1688
4165,1968
4165,2566
4165,3687
4165,4111
4165,5072
4165,7228
4165,7297
1977,2
1977,88
1977,90
1977,213
1977,224
1977,588
1977,680
1977,896
1977,901
1977,1294
1977,1595
1977,1811
1977,1822
1977,1884
1977,2287
1977,2671
1977,2698
1977,2733
1977,2816
1977,3223
1977,3360
1977,3811
1977,4154
1977,4369
1977,4458
1977,4601
1977,4876
1977,5051
1977,5509
1977,6090
1977,6356
1977,6530
1977,6574
1977,6640
1977,7115
1977,7187
1977,7591
1977,7738
3456,2
4596,2
5785,2
5932,2
3456,5067
4596,30
4596,86
4596,227
4596,519
4596,875
4596,1135
4596,2003
4596,2609
4596,2743
4596,2757
4596,2872
4596,3328
4596,3414
4596,3927
4596,4375
4596,5245
4596,5636
4596,5819
4596,6531
4596,7542
5785,1019
5785,1126
5785,3986
5932,86
5932,227
5932,2757
5932,3414
5932,3927
5932,4375
5932,5153
5932,5245
5932,5705
5932,6178
267,3
267,85
267,263
267,524
267,1106
267,5706
574,3
1768,3
2629,3
3157,3
4163,3
4885,3
5075,3
5368,3
5636,3
5882,3
574,8
574,14
574,59
574,85
574,241
574,285
574,342
574,440
574,524
574,560
574,692
574,883
574,1562
574,1668
574,2143
574,2730
574,3205
574,3286
574,3710
574,3740
574,3814
574,4247
574,4389
574,5709
574,6480
1768,85
1768,263
1768,524
1768,1058
1768,1106
1768,1124
1768,5068
1768,5706
1768,6787
1768,7291
2629,85
2629,262
2629,263
2629,524
2629,1106
2629,3007
2629,5068
2629,5706
2629,6787
2629,7291
3157,8
3157,14
3157,59
3157,85
3157,241
3157,342
3157,440
3157,524
3157,560
3157,692
3157,883
3157,1562
3157,1668
3157,2143
3157,2730
3157,3205
3157,3286
3157,3710
3157,3740
3157,3814
3157,4389
3157,5709
3157,6480
4163,8
4163,85
4163,241
4163,257
4163,342
4163,440
4163,524
4163,883
4163,1668
4163,1848
4163,1852
4163,2730
4163,3205
4163,4187
4163,4389
4163,4910
4163,5296
4163,5361
4163,5709
4163,5712
4163,6675
4885,8
4885,14
4885,59
4885,85
4885,241
4885,342
4885,440
4885,524
4885,560
4885,692
4885,883
4885,1562
4885,1668
4885,2143
4885,2730
4885,3195
4885,3205
4885,3286
4885,3710
4885,3740
4885,3814
4885,4389
4885,5709
4885,6480
4885,7302
5075,85
5075,262
5075,263
5075,524
5075,546
5075,1106
5075,1136
5075,2775
5075,3007
5075,4534
5075,5068
5075,5706
5075,5893
5075,6787
5075,7291
5368,8
5368,85
5368,241
5368,342
5368,440
5368,524
5368,883
5368,1668
5368,2730
5368,3205
5368,4389
5368,5709
5368,7775
5636,8
5636,84
5636,85
5636,241
5636,257
5636,342
5636,440
5636,448
5636,524
5636,883
5636,1010
5636,1668
5636,1827
5636,1848
5636,1852
5636,2339
5636,2462
5636,2730
5636,2975
5636,3205
5636,4187
5636,4389
5636,4910
5636,5296
5636,5361
5636,5709
5636,5712
5636,5953
5636,6675
5636,6772
5882,8
5882,85
5882,241
5882,342
5882,440
5882,448
5882,524
5882,883
5882,1668
5882,2730
5882,3205
5882,4389
5882,5709
791,4
791,187
791,496
791,572
791,613
791,761
791,762
791,1018
791,1202
791,1427
791,1728
791,2387
791,2388
791,2441
791,2924
791,3544
791,3743
791,3766
791,4058
791,4443
791,4452
791,4492
791,5077
791,5226
791,6174
791,6203
791,7569
791,7807
2240,4
2694,4
3053,4
5435,4
5643,4
5841,4
2240,572
2240,761
2240,762
2240,1202
2240,1590
2240,1728
2240,2388
2240,2441
2240,2924
2240,3320
2240,3544
2240,3743
2240,4443
2240,5226
2240,5772
2694,187
2694,613
2694,762
2694,1018
2694,1671
2694,2387
2694,2441
2694,2690
2694,2924
2694,3050
2694,4058
2694,4492
2694,5077
2694,5079
2694,6174
2694,7569
3053,3544
3053,4047
3053,4203
3053,4492
5435,187
5435,613
5435,762
5435,964
5435,1018
5435,1373
5435,1874
5435,2387
5435,2441
5435,2772
5435,2924
5435,3423
5435,3544
5435,4058
5435,4492
5435,5077
5435,6174
5435,6715
5435,6748
5435,7569
5435,7602
5643,496
5643,572
5643,613
5643,761
5643,762
5643,1018
5643,1202
5643,1427
5643,1728
5643,2387
5643,2388
5643,2441
5643,2924
5643,3544
5643,3743
5643,3766
5643,3785
5643,4058
5643,4443
5643,4452
5643,5077
5643,5226
5643,6203
5643,7569
5841,762
5841,1078
5841,1090
5841,1958
5841,2441
5841,2924
5841,4518
5841,5772
5841,7597
1073,5
1073,89
1073,103
1073,374
1073,384
1073,595
1073,763
1073,982
1073,1028
1073,1244
1073,1267
1073,1618
1073,2399
1073,2522
1073,2773
1073,3028
1073,3039
1073,3157
1073,3280
1073,3352
1073,3629
1073,4059
1073,4723
1073,5319
1073,5728
1073,6912
1073,7329
1115,5
1356,5
2160,5
2872,5
3060,5
3612,5
3799,5
4014,5
1115,89
1115,103
1115,192
1115,374
1115,384
1115,421
1115,763
1115,887
1115,982
1115,1028
1115,1041
1115,1217
1115,1244
1115,1267
1115,1343
1115,1618
1115,1827
1115,2399
1115,2474
1115,2522
1115,2695
1115,2773
1115,3028
1115,3039
1115,3157
1115,3269
1115,3280
1115,3332
1115,3352
1115,3629
1115,4035
1115,4059
1115,4723
1115,4913
1115,4953
1115,5319
1115,5472
1115,5728
1115,6226
1115,6332
1115,6912
1115,7329
1115,7767
1356,89
1356,103
1356,147
1356,192
1356,368
1356,374
1356,384
1356,763
1356,866
1356,887
1356,894
1356,982
1356,1028
1356,1244
1356,1530
1356,1618
1356,1901
1356,2399
1356,2522
1356,2773
1356,3028
1356,3157
1356,3280
1356,3305
1356,3352
1356,3551
1356,3629
1356,4059
1356,4723
1356,5317
1356,5319
1356,5498
1356,5728
1356,6528
1356,6912
1356,7329
1356,7458
2160,89
2160,103
2160,374
2160,384
2160,763
2160,870
2160,982
2160,1028
2160,1039
2160,1244
2160,1383
2160,1530
2160,1618
2160,2399
2160,2522
2160,2773
2160,3028
2160,3157
2160,3280
2160,3352
2160,3563
2160,3629
2160,4059
2160,4723
2160,5319
2160,5728
2160,6912
2160,7049
2160,7329
2872,64
2872,166
2872,1105
2872,1198
2872,1295
2872,2314
2872,2693
2872,3307
2872,3482
2872,3542
2872,4059
2872,4230
2872,5102
2872,5970
2872,6143
2872,7529
3060,3332
3060,3629
3060,4035
3612,89
3612,103
3612,374
3612,384
3612,763
3612,982
3612,1028
3612,1244
3612,1618
3612,2399
3612,2522
3612,2773
3612,3028
3612,3157
3612,3280
3612,3352
3612,3629
3612,4059
3612,4723
3612,5319
3612,5728
3612,6912
3612,7329
3799,72
3799,131
3799,796
3799,1303
3799,1653
3799,2082
3799,2851
3799,2884
3799,3242
3799,3332
3799,3445
3799,3629
3799,3696
3799,3851
3799,4267
3799,4708
3799,5703
3799,6076
3799,6150
3799,6310
3799,6400
3799,6690
3799,7172
4014,89
4014,103
4014,363
4014,374
4014,384
4014,421
4014,763
4014,982
4014,1028
4014,1056
4014,1244
4014,1618
4014,2399
4014,2522
4014,2773
4014,3028
4014,3157
4014,3280
4014,3352
4014,3629
4014,4035
4014,4059
4014,4723
4014,5319
4014,5728
4014,6516
4014,6912
4014,7329
1658,6
1658,121
1658,141
1658,226
1658,830
1658,1939
1658,1974
1658,2231
1658,2648
1658,3017
1658,3030
1658,4357
1658,5309
1658,5312
1658,5650
1658,5682
1658,5683
1658,6818
1658,6858
1658,7333
2154,6
2960,6
4750,6
5585,6
2154,284
2154,453
2154,545
2154,818
2154,1759
2154,2029
2154,2231
2154,2740
2154,3029
2154,3033
2154,3041
2154,3614
2154,3860
2154,3999
2154,4234
2154,4357
2154,4627
2154,5691
2154,5911
2154,6147
2154,6509
2154,6858
2154,7055
2154,7565
2960,284
