walmartclean.csv,amazonclean.csv
105,0
105,1873
105,4772
105,4773
105,4774
105,6680
105,7539
105,7836
105,9877
105,11727
105,12107
881,0
1313,0
1662,0
2252,0
881,619
881,1198
881,1424
881,1555
881,1695
881,1868
881,2129
881,2363
881,2365
881,2892
881,2931
881,3404
881,3416
881,3526
881,3658
881,4207
881,4870
881,4910
881,5529
881,5829
881,5983
881,6327
881,6696
881,6863
881,6888
881,6948
881,6999
881,7067
881,7954
881,8351
881,8571
881,8872
881,8976
881,9250
881,9872
881,10044
881,10364
881,10505
881,10686
881,10698
881,10701
881,10928
881,10977
881,11025
881,11103
881,11262
881,11365
881,11798
881,11849
881,11852
881,12135
881,12322
881,12592
881,13135
881,13221
881,13430
881,13444
881,13449
881,13472
881,13826
881,14071
881,14097
881,14271
881,14371
881,14837
881,15474
881,15915
881,17183
881,17776
881,18628
881,18811
881,18836
881,19003
881,19417
881,19596
881,20049
881,20535
881,21944
881,22006
1313,3026
1313,3255
1313,4511
1313,4773
1313,4774
1313,5200
1313,5829
1313,6514
1313,6693
1313,6791
1313,7836
1313,8571
1313,9229
1313,9877
1313,11025
1313,11360
1313,11813
1313,11852
1313,12717
1313,12855
1313,14460
1313,14837
1313,19406
1313,20765
1313,21727
1662,17
1662,386
1662,511
1662,1122
1662,1123
1662,1202
1662,1278
1662,1650
1662,3142
1662,5170
1662,5318
1662,6895
1662,7090
1662,7111
1662,7172
1662,8131
1662,8881
1662,9108
1662,9232
1662,9374
1662,9584
1662,10146
1662,10380
1662,11467
1662,13218
1662,14072
1662,15038
1662,15312
1662,16158
1662,16477
1662,17072
1662,17740
1662,20370
1662,21170
2252,477
2252,1400
2252,2175
2252,2513
2252,4982
2252,5579
2252,6789
2252,6895
2252,7465
2252,7516
2252,8830
2252,9108
2252,9549
2252,11529
2252,15169
2252,15948
2252,16136
2252,16783
2252,19688
34,1
34,127
34,388
34,492
34,504
34,657
34,829
34,848
34,895
34,917
34,1077
34,1103
34,1121
34,1168
34,1171
34,1643
34,1682
34,1959
34,2542
34,2866
34,3013
34,3052
34,3053
34,3067
34,3540
34,3640
34,3723
34,3729
34,3750
34,3782
34,3840
34,3961
34,4214
34,4264
34,4531
34,4604
34,4974
34,4976
34,4983
34,5021
34,5118
34,5321
34,5398
34,5621
34,5646
34,5924
34,6006
34,6008
34,6147
34,6291
34,6564
34,6568
34,6766
34,6987
34,7044
34,7141
34,7199
34,7532
34,7995
34,8059
34,8077
34,8166
34,8252
34,8475
34,8551
34,8613
34,8680
34,9017
34,9104
34,9147
34,9532
34,9567
34,9763
34,10059
34,10142
34,10157
34,10550
34,10559
34,10588
34,10589
34,10794
34,10979
34,10980
34,10982
34,10985
34,10999
34,11006
34,11091
34,11174
34,11855
34,12055
34,12274
34,12321
34,12574
34,12615
34,12636
34,12753
34,13025
34,13026
34,13047
34,13062
34,13233
34,13633
34,13855
34,14006
34,14078
34,14269
34,14500
34,14530
34,14843
34,14916
34,14939
34,14970
34,14971
34,15255
34,15537
34,15584
34,15658
34,16812
34,17322
34,18734
34,18800
34,18841
34,18864
34,19118
34,19127
34,19135
34,19179
34,19519
34,20148
34,20152
34,20184
34,20282
34,20450
34,20480
34,20553
34,20753
34,20822
34,20959
34,21044
34,21074
34,21137
34,21181
34,21446
34,21448
34,21456
34,21457
34,21677
34,21709
34,21928
34,21951
512,1
1631,1
2056,1
2069,1
512,388
512,396
512,974
512,1064
512,1077
512,1103
512,1264
512,1959
512,2186
512,2377
512,2542
512,2734
512,3011
512,3042
512,3053
512,3078
512,3083
512,3086
512,3104
512,3151
512,3412
512,3721
512,3723
512,3729
512,3782
512,3840
512,3882
512,3978
512,4085
512,4110
512,4264
512,4394
512,4531
512,4536
512,4886
512,4931
512,4963
512,4974
512,4976
512,4980
512,4997
512,5118
512,5226
512,5398
512,5458
512,5646
512,5796
512,5935
512,6006
512,6071
512,6291
512,6564
512,6568
512,6766
512,6846
512,7025
512,7044
512,7405
512,7418
512,7806
512,7859
512,7995
512,8059
512,8077
512,8166
512,8182
512,8252
512,8284
512,8444
512,8551
512,8609
512,8613
512,8616
512,8621
512,8680
512,9005
512,9007
512,9022
512,9024
512,9060
512,10588
512,10624
512,10794
512,10968
512,11002
512,11006
512,12055
512,12274
512,12321
512,12541
512,12574
512,12615
512,12753
512,13015
512,13017
512,13030
512,13044
512,13047
512,13062
512,13063
512,13079
512,13381
512,14006
512,14066
512,14500
512,14530
512,14717
512,14843
512,14926
512,14936
512,14939
512,14964
512,14966
512,14970
512,14971
512,15021
512,15231
512,15584
512,16812
512,17322
512,18745
512,18841
512,18864
512,19118
512,19127
512,19179
512,19519
512,20065
512,20148
512,20282
512,20375
512,20449
512,20480
512,20553
512,20822
512,20946
512,21446
512,21448
512,21493
512,21591
512,21677
512,21951
1631,127
1631,208
1631,572
1631,826
1631,827
1631,836
1631,1044
1631,1045
1631,1046
1631,1050
1631,1077
1631,1170
1631,1172
1631,1174
1631,1180
1631,1183
1631,1329
1631,1435
1631,1487
1631,1804
1631,2874
1631,3042
1631,3051
1631,3052
1631,3053
1631,3055
1631,3063
1631,3101
1631,3102
1631,3104
1631,3174
1631,3176
1631,3177
1631,3561
1631,3637
1631,3690
1631,3721
1631,3840
1631,4119
1631,4394
1631,4397
1631,4531
1631,4952
1631,4974
1631,4979
1631,4983
1631,5016
1631,5079
1631,5115
1631,5117
1631,5119
1631,5122
1631,5123
1631,5226
1631,5376
1631,5613
1631,5819
1631,5935
1631,6006
1631,6099
1631,6190
1631,6200
1631,6291
1631,6531
1631,6556
1631,6560
1631,6766
1631,6863
1631,6989
1631,6990
1631,7025
1631,7136
1631,7137
1631,7138
