abtclean.csv,buyclean.csv
0,886
1,151
2,33
2,426
3,192
4,150
5,188
6,210
7,158
8,37
9,174
9,144
9,176
9,742
9,57
9,138
10,174
10,144
10,176
11,174
11,144
11,176
11,743
11,57
12,58
13,194
13,58
14,333
15,333
16,832
16,482
17,830
17,564
18,208
19,39
19,40
20,40
21,193
22,62
22,737
23,969
23,479
23,1029
24,42
25,21
26,198
27,47
28,48
29,41
29,43
30,41
30,43
31,631
32,174
32,50
32,1060
32,57
32,34
32,35
32,742
32,234
33,195
35,196
36,225
37,167
37,385
38,189
39,969
40,54
40,33
41,796
41,797
42,796
42,385
42,797
43,220
43,342
43,175
43,820
44,191
45,762
45,219
46,214
46,1058
46,209
47,79
47,521
48,63
49,101
50,55
51,350
52,61
53,116
53,124
54,64
55,101
56,106
57,105
57,539
58,20
59,165
59,166
59,16
60,157
60,676
61,77
62,59
63,1024
63,344
64,72
65,74
66,312
66,724
67,221
68,1058
69,571
70,937
71,342
71,175
71,1058
72,76
72,77
73,682
73,219
74,781
74,219
75,224
76,286
76,111
77,342
77,175
77,1058
78,80
79,146
80,75
81,647
81,254
82,68
83,197
84,145
84,146
85,152
85,555
86,207
87,71
87,272
87,676
88,49
89,20
90,84
91,85
92,85
93,86
93,924
93,96
94,924
94,97
94,83
95,85
96,84
97,38
98,190
99,18
100,26
101,133
102,206
102,320
102,386
103,165
103,166
104,112
105,465
105,466
106,91
107,313
108,121
109,84
109,100
109,98
109,83
110,84
110,100
110,98
111,351
111,354
111,243
112,51
113,222
113,476
114,122
116,25
117,509
117,142
118,129
119,119
120,173
120,265
121,126
122,135
122,331
123,78
124,82
125,127
126,29
127,27
128,27
129,856
129,349
129,904
130,200
131,172
132,148
133,199
133,273
134,9
135,143
136,356
137,401
137,235
138,28
139,904
140,856
140,349
141,933
141,170
142,933
142,170
143,463
143,242
144,1030
144,275
146,173
146,138
147,331
148,351
148,354
148,243
149,221
149,267
150,205
151,186
152,173
152,265
153,244
154,237
155,134
156,187
157,560
157,501
157,897
157,700
157,62
157,739
157,710
157,1042
158,204
158,236
159,236
159,408
160,4
161,234
162,110
163,232
164,73
165,32
166,814
168,938
168,255
169,245
169,932
170,156
170,155
171,45
172,257
172,354
174,276
174,179
175,180
175,277
175,276
175,611
176,156
176,157
176,631
176,155
177,445
178,165
179,166
179,291
180,130
181,132
181,130
181,131
182,160
183,278
184,206
184,527
184,272
184,291
184,299
185,314
186,424
186,352
187,311
187,274
188,854
189,557
189,264
190,137
191,136
192,261
192,439
193,260
194,81
195,279
196,116
197,240
198,89
199,61
199,31
199,233
200,131
201,276
202,253
203,164
203,527
204,271
205,263
205,432
206,487
206,216
207,182
207,216
208,290
208,353
208,242
209,469
209,240
209,121
210,318
211,316
211,317
212,321
213,323
214,14
214,3
215,197
215,608
215,365
216,197
216,366
217,282
218,12
219,281
220,310
221,249
222,251
223,357
224,140
224,259
225,433
226,434
227,123
228,317
228,512
228,322
228,315
229,317
229,322
229,323
230,347
231,182
231,250
232,181
233,287
234,483
235,215
236,760
236,367
236,758
236,759
237,14
237,3
238,530
238,363
239,399
239,361
240,333
240,690
241,404
241,405
242,280
243,308
244,324
244,308
245,248
246,413
246,248
246,211
247,317
247,322
248,440
248,177
248,178
249,862
250,173
250,616
250,138
250,331
251,404
251,405
252,228
252,689
252,346
253,447
254,258
255,856
255,416
255,737
255,853
256,296
257,309
258,203
259,217
260,262
261,332
261,932
262,213
263,480
263,1029
264,115
265,360
265,17
265,1038
266,340
266,344
266,336
266,345
267,175
268,108
268,175
268,343
269,175
270,108
270,175
270,107
271,413
271,369
272,370
273,359
274,390
275,852
275,740
276,68
277,55
277,681
277,790
279,623
279,297
279,626
280,626
280,298
281,277
282,113
283,520
283,243
284,120
285,274
286,319
287,372
288,337
289,341
289,107
290,167
290,385
291,379
293,174
293,144
293,176
293,505
293,57
294,737
294,146
295,168
296,368
297,413
297,414
298,412
298,413
298,414
298,505
299,413
299,414
300,367
301,416
301,385
301,370
301,251
302,412
302,416
302,370
302,505
302,251
303,486
304,903
304,1068
304,902
304,855
305,389
306,117
306,377
306,378
307,118
307,377
307,378
308,342
308,107
309,941
310,392
310,218
311,462
311,1051
312,380
313,725
314,68
314,407
315,406
315,732
316,1016
316,1049
317,302
318,699
319,672
319,848
319,1010
319,661
319,406
319,407
320,387
321,464
321,467
321,839
322,153
322,515
324,555
325,552
325,704
326,980
326,419
327,970
328,623
328,297
328,626
329,174
329,50
329,1060
329,57
329,667
329,807
329,34
329,35
329,386
329,742
329,743
330,377
331,378
332,677
332,381
335,558
335,595
336,383
336,138
337,179
338,325
339,397
340,398
341,401
342,408
343,436
344,109
345,409
347,429
348,399
349,1031
350,432
351,202
352,289
353,421
354,273
355,845
355,846
355,762
355,278
355,310
356,846
357,420
357,971
357,838
359,157
359,676
360,351
360,354
360,243
361,465
361,466
362,608
363,399
363,400
364,431
365,270
366,225
366,476
367,840
367,454
368,455
368,1020
369,452
370,463
371,285
371,329
372,693
372,171
373,177
373,178
374,327
375,412
375,175
376,334
377,7
378,521
379,1027
379,1023
380,388
381,453
382,559
383,1012
384,426
385,442
385,443
386,216
386,442
386,443
387,442
387,443
388,442
388,443
389,61
389,601
390,384
391,140
391,259
392,300
393,422
394,833
394,1051
394,379
395,185
396,216
397,284
398,410
399,154
400,623
400,151
401,239
402,670
402,391
403,103
404,616
404,540
405,616
405,540
406,475
407,24
408,450
409,95
410,270
410,633
411,440
412,936
414,376
415,161
416,912
416,164
416,299
416,163
417,527
417,272
417,291
418,320
419,206
419,201
420,386
421,348
422,750
422,850
423,727
423,736
424,238
425,283
426,448
427,653
427,501
427,897
427,967
427,703
427,640
427,909
427,739
427,910
427,710
427,584
427,585
427,712
428,357
428,223
428,941
429,31
430,156
430,676
430,155
431,268
432,268
433,948
433,88
434,2
435,726
436,727
436,736
437,741
438,662
438,567
439,542
440,481
441,568
442,569
443,561
443,618
444,562
445,301
445,892
446,602
446,154
446,403
447,893
448,173
448,740
449,494
450,965
451,495
452,493
452,560
453,437
455,498
456,497
457,496
458,470
460,861
460,323
461,17
461,11
462,661
462,672
462,698
463,564
464,590
465,565
466,591
467,592
468,566
469,662
470,686
471,685
471,952
472,728
473,1051
474,184
474,1030
475,831
476,865
476,829
477,425
478,865
478,829
479,865
479,777
479,829
480,865
480,776
480,829
481,911
482,778
482,911
483,597
483,951
483,243
484,399
484,539
485,530
486,532
487,482
488,977
488,529
489,394
490,649
490,650
491,292
491,673
491,339
492,517
493,517
493,518
494,374
494,617
494,812
495,551
496,857
496,866
497,544
497,546
497,863
497,549
497,598
498,545
498,546
498,547
498,863
498,549
498,550
498,599
499,545
499,546
499,547
499,863
499,549
499,550
499,599
500,863
500,599
500,671
500,544
500,545
500,546
500,547
500,549
500,550
501,541
501,577
501,563
501,1024
501,1025
501,1026
501,1028
502,545
502,546
502,547
502,863
502,549
502,550
502,599
503,545
503,546
503,547
503,863
503,549
503,550
503,599
504,863
504,599
504,671
504,544
504,545
504,546
504,547
504,549
504,550
505,292
505,505
505,339
506,996
507,996
508,653
508,582
508,583
509,580
510,653
510,582
510,583
511,653
511,534
511,538
511,909
512,534
512,536
512,538
512,909
513,909
513,817
513,534
513,535
513,537
513,538
514,909
514,817
514,534
514,535
514,536
514,537
514,538
515,579
516,396
516,813
517,395
518,526
518,898
518,523
518,922
519,922
519,898
519,524
520,525
520,922
520,898
520,523
521,525
522,588
523,500
524,534
524,538
524,909
525,456
526,724
527,749
527,851
527,864
527,696
527,344
527,748
528,749
528,851
528,696
528,344
528,748
529,749
529,851
529,696
529,344
529,748
530,749
530,851
530,696
530,344
530,748
531,749
531,851
531,696
531,344
531,748
532,614
532,503
532,138
533,623
533,614
533,503
533,138
534,623
534,297
534,626
535,1033
535,335
536,630
537,471
538,632
539,578
540,909
541,791
541,724
542,704
542,745
543,704
543,745
543,831
544,704
544,745
545,704
545,745
546,581
547,582
547,583
548,318
548,860
548,323
549,582
549,583
550,857
551,640
551,910
551,817
551,584
551,585
551,586
551,587
552,640
552,910
552,817
552,584
552,585
552,586
552,587
553,469
553,490
554,402
555,737
555,584
555,536
555,585
555,586
555,587
556,584
556,585
557,270
557,338
558,863
558,599
558,671
558,544
558,545
558,546
558,547
558,548
558,549
558,550
559,541
559,577
559,563
559,1024
559,1025
559,1026
559,1028
560,703
560,934
560,747
561,750
563,62
563,700
563,739
563,710
563,967
564,710
564,62
564,739
564,700
565,635
566,645
567,654
568,634
569,637
570,729
571,646
572,697
573,408
573,570
574,573
575,977
575,641
576,977
576,979
576,642
577,717
577,840
578,680
579,668
580,663
581,656
582,648
583,639
584,261
584,439
585,605
586,226
588,227
589,1049
589,751
589,752
589,534
589,538
589,934
589,638
589,703
589,848
589,746
589,747
590,678
591,679
592,603
593,623
593,614
593,503
593,138
594,997
594,594
594,572
595,997
595,594
595,572
596,818
597,516
598,533
599,428
600,821
601,685
601,1005
602,1069
602,855
603,510
603,513
604,511
604,512
604,513
605,511
605,512
606,1016
606,851
606,561
607,908
607,674
608,685
608,551
609,708
610,908
610,682
611,604
612,237
612,716
613,623
613,624
613,625
613,626
613,628
613,629
613,297
614,623
614,624
614,625
614,626
614,628
614,629
614,297
615,474
616,684
617,706
618,934
619,655
620,640
620,910
620,817
620,586
620,587
621,515
622,574
623,1054
624,703
624,934
624,747
625,459
625,460
626,459
626,460
627,461
628,858
630,1024
630,1025
630,560
631,553
632,1009
633,513
634,651
635,721
636,689
636,690
636,691
636,692
636,693
636,694
636,695
637,867
638,373
639,689
639,690
639,691
639,692
639,693
639,694
639,695
640,689
640,690
640,691
640,692
640,693
640,694
640,695
641,231
642,623
642,624
642,625
642,626
642,628
642,629
642,841
642,297
643,623
643,624
643,625
643,626
643,628
643,629
643,297
644,717
644,709
644,672
644,661
644,520
645,1018
646,1019
647,446
648,701
649,715
650,869
650,886
651,886
651,823
652,827
653,671
654,492
655,54
655,794
655,822
656,623
656,297
656,626
657,658
658,660
659,659
660,657
661,609
662,252
662,924
663,623
663,297
663,626
663,138
664,623
664,624
664,625
664,626
664,628
664,629
664,297
664,138
665,718
666,229
666,361
666,99
667,575
667,576
668,799
668,800
668,801
668,802
668,664
668,665
668,803
668,804
668,805
668,807
668,781
669,781
669,799
669,801
669,664
669,665
669,805
670,894
671,768
671,773
672,968
673,819
674,760
674,758
674,759
675,824
676,977
676,915
676,673
676,339
677,915
677,707
678,825
679,915
679,673
679,707
679,339
680,877
681,878
682,885
683,719
684,724
685,831
686,606
687,768
687,773
688,768
688,773
689,768
689,773
689,753
690,768
690,773
690,753
691,760
691,758
692,661
692,873
692,672
693,730
694,760
694,758
694,759
695,760
695,758
695,759
696,760
696,758
696,759
697,760
697,759
697,758
697,211
698,382
698,543
699,850
699,966
700,760
700,758
700,759
701,760
701,758
701,759
702,760
702,758
703,693
704,966
705,826
706,871
707,876
708,732
709,768
709,773
709,781
710,768
710,773
710,781
711,686
711,22
712,773
712,781
713,1049
713,834
713,934
713,638
713,703
713,848
713,782
713,746
713,747
713,556
714,167
714,713
715,167
715,713
716,167
716,713
717,783
717,784
717,167
717,766
717,767
718,742
718,783
718,784
718,167
718,766
718,767
719,879
720,783
720,784
720,766
721,880
722,640
722,910
722,817
722,535
722,586
722,587
723,675
724,124
724,147
725,647
725,254
726,92
727,509
727,1064
727,142
727,318
727,968
727,36
728,762
729,762
729,765
730,762
731,872
732,762
733,761
733,762
734,870
735,22
735,875
735,874
736,820
737,612
738,22
738,875
738,874
739,1006
740,757
741,36
741,667
742,884
743,733
743,738
744,733
744,738
745,922
745,714
746,636
747,623
747,297
747,626
748,292
748,813
749,881
750,886
751,883
752,817
752,994
752,988
753,828
754,502
755,996
756,90
757,1051
758,457
759,519
760,69
761,815
762,383
762,627
763,1032
763,1029
764,206
764,527
764,164
764,201
764,299
765,790
766,602
767,673
