amazonclean.csv,gpclean.csv
0,1899
0,2436
0,1778
0,2439
0,1789
0,1235
0,973
0,722
0,2873
0,2467
0,347
0,2764
0,1564
0,489
0,1833
0,1973
0,270
0,276
0,2004
0,2953
0,2420
0,561
1,579
1,1914
1,1917
1,73
1,1665
1,723
1,92
1,2339
1,1437
1,1700
1,1831
1,374
1,1451
1,1893
1,129
1,1724
1,267
1,1602
1,1478
1,2128
1,1490
1,2141
1,2963
1,1505
1,1764
1,2554
1,2555
2,2700
2,1383
2,1399
2,200
2,205
2,2871
2,2334
2,1269
2,2082
2,1826
2,1702
2,116
2,1836
2,2922
2,2923
2,2925
2,2800
2,2516
2,2248
2,2933
2,2521
2,1058
2,1192
2,38
2,1629
3,2296
3,1778
3,1914
3,1230
3,975
3,723
3,1110
3,2196
3,1115
3,1421
3,2887
3,2765
3,1276
3,1280
3,1834
3,1016
3,2368
3,2505
3,1724
3,779
3,780
3,1041
3,1045
3,1047
3,1738
3,1626
3,2424
4,856
4,541
4,768
4,1770
4,321
4,67
4,196
4,487
4,1369
4,1640
4,2800
4,1568
4,2654
4,1860
4,2058
4,821
4,2394
5,1647
5,578
5,1653
5,201
5,1542
5,343
5,344
5,2199
5,1556
5,1433
5,363
5,1446
5,1580
5,1844
5,1463
5,1599
5,1170
5,1608
5,1738
5,2129
5,1486
5,925
5,1489
5,1617
5,1759
5,2421
5,2428
6,440
6,1213
6,450
6,2044
6,2050
6,3021
6,1010
6,2912
6,2098
6,382
6,1156
6,898
6,902
6,2649
6,2118
6,912
6,537
6,2949
6,1625
6,2024
7,953
7,569
7,63
7,2173
7,2179
7,2873
7,602
7,732
7,606
7,1943
7,103
7,1694
7,367
7,1704
7,1576
7,1019
7,2367
7,1460
7,1850
7,1599
7,1858
7,1863
7,148
7,2269
7,2832
7,1765
7,437
8,1217
8,833
8,2859
8,2465
8,1258
8,2885
8,2200
8,103
8,750
8,1286
8,125
8,1029
8,522
8,2655
8,1040
8,16
8,2937
8,671
8,2686
8,1890
8,565
8,2973
9,568
9,2700
9,2569
9,2705
9,2038
9,579
9,324
9,1402
9,1100
9,850
9,2068
9,2746
9,868
9,1436
9,2630
9,1581
9,2102
9,649
9,2930
9,531
9,403
9,665
9,673
9,1882
9,2022
9,176
9,818
10,1518
10,1906
10,2440
10,966
10,1787
10,590
10,1239
10,592
10,1681
10,1264
10,486
10,1958
10,2360
10,1575
10,2362
10,121
10,2514
10,665
10,2266
10,2820
10,2410
10,675
10,1200
10,688
10,950
11,55
11,1901
11,570
11,328
11,1920
11,1672
11,87
11,860
11,1939
11,1691
11,115
11,2362
11,887
11,1838
11,131
11,1857
11,910
11,2521
11,1867
11,2531
11,1487
11,1749
11,937
11,426
11,1762
11,1895
11,1376
12,1835
12,22
12,46
12,2599
12,63
12,2604
12,2108
12,1592
12,1529
12,2275
12,103
12,40
12,2832
12,1920
12,2184
12,1763
12,2695
13,1391
13,2855
13,2046
13,1918
13,2190
13,2192
13,2193
13,2334
13,2336
13,2338
13,2900
13,1825
13,116
13,761
13,379
13,1020
13,527
13,659
13,1335
13,2943
13,2667
13,1614
13,1058
13,813
13,2972
14,838
14,841
14,1926
14,81
14,2189
14,724
14,2591
14,2472
14,104
14,114
14,628
14,1579
14,1712
14,1021
14,1583
14,129
14,774
14,2512
14,525
14,2520
14,1740
14,2139
14,2676
14,1498
14,2155
14,2840
15,182
15,1084
15,444
15,2297
15,1922
15,1414
15,600
15,2338
15,237
15,494
15,240
15,243
15,2098
15,1584
15,640
15,641
15,1589
15,2107
15,2118
15,2934
15,2135
15,417
15,2271
15,290
16,1772
16,57
16,1913
16,1099
16,2452
16,1793
16,1928
16,2730
16,1934
16,1935
16,92
16,2201
16,1683
16,1943
16,1574
16,2097
16,1893
16,1717
16,8
16,1468
16,1471
16,19
16,1333
16,2668
16,155
16,1764
16,1508
17,2855
17,1533
17,2322
17,83
17,51
17,1936
17,93
17,1942
17,1949
17,2351
17,1825
17,1826
17,1707
17,120
17,1847
17,1731
17,2521
17,2523
17,2157
17,24
17,2531
17,2275
17,2544
17,1885
17,2545
17,1896
17,52
18,1517
18,705
18,193
18,2986
18,2577
18,2578
18,2046
18,2714
18,2581
18,2582
18,1102
18,2723
18,2597
18,3016
18,2615
18,235
18,1956
18,3030
18,2780
18,2099
18,2508
18,2645
18,2122
18,1176
18,2531
18,1192
18,555
19,1213
19,826
19,2716
19,2053
19,206
19,594
19,1680
19,605
19,862
19,2080
19,1436
19,2772
19,2356
19,756
19,631
19,2788
19,255
19,2805
19,1180
19,1614
19,539
19,545
19,2833
20,823
20,952
20,1217
20,2299
20,1651
20,833
20,581
20,2583
20,983
20,2464
20,605
20,2890
20,501
20,632
20,255
20,1980
20,2127
20,2005
20,2553
20,689
20,2025
20,2556
21,2431
21,56
21,570
21,2993
21,2313
21,2720
21,2585
21,1923
21,50
21,84
21,85
21,2893
21,1273
21,1284
21,112
21,2491
21,1288
21,2781
21,1850
21,1857
21,1473
21,1749
21,674
21,168
21,1072
21,1764
21,434
22,1523
22,710
22,1404
22,1534
22,1105
22,598
22,858
22,1550
22,1561
22,232
22,233
22,623
22,499
22,2095
22,1975
22,525
22,1871
22,1054
22,287
22,2824
22,809
22,1500
22,2022
22,560
22,565
23,2436
23,2718
23,1406
23,973
23,2056
23,1545
23,224
23,2764
23,1440
23,622
23,2366
23,1973
23,511
23,1462
23,1988
23,276
23,1999
23,2004
23,803
23,2148
23,299
23,1760
24,1610
24,2967
24,1714
24,2073
24,97
24,1657
24,2346
24,422
24,2481
24,1034
24,2656
24,2682
24,2900
24,109
24,1408
24,1758
24,755
24,1896
25,2700
25,346
25,379
25,1258
25,1648
25,412
25,223
25,926
25,164
25,524
25,820
25,303
25,1413
26,2562
26,569
26,189
26,62
26,2447
26,2053
26,215
26,1807
26,1811
26,1948
26,371
26,2373
26,6
26,135
26,2649
26,1034
26,2383
26,1727
26,1865
26,791
26,2261
26,288
26,2677
26,297
26,2550
26,941
26,2842
27,1149
27,1519
27,2070
27,447
27,609
27,1459
27,1589
27,2713
27,1951
27,2145
27,2115
27,395
27,2361
27,1415
28,569
28,2293
28,2701
28,455
28,2067
28,2342
28,2075
28,1951
28,1001
28,1954
28,2484
28,1136
28,2087
28,117
28,2636
28,1025
28,2109
28,2799
28,2800
28,2245
28,273
28,1181
28,799
28,2142
28,2274
28,2153
28,2692
29,2163
29,955
29,2572
29,2044
29,2049
29,1103
29,2318
29,2869
29,1681
29,3017
29,3020
29,2762
29,1953
29,1968
29,250
29,2101
29,2918
29,1594
29,2799
29,1992
29,402
29,924
29,1054
29,2674
29,2952
29,2424
29,180
30,310
30,1901
30,59
30,1393
30,718
30,730
30,1679
30,2067
30,1555
30,2604
30,2075
30,1687
30,1000
30,1134
30,1823
30,2086
30,2087
30,2220
30,765
30,1156
30,657
30,2001
30,2950
30,2142
30,1073
31,439
31,828
31,1648
31,195
31,836
31,2867
31,178
31,2468
31,616
31,1956
31,622
31,379
31,511
31,642
31,772
31,259
31,2809
31,412
31,29
31,544
31,2822
31,306
31,2841
32,2034
32,2176
32,1530
32,203
32,716
32,1104
32,595
32,2328
32,1367
32,1264
32,2491
32,2648
32,1991
32,1993
32,2529
32,1338
32,794
32,792
32,796
32,793
32,1612
32,2010
32,2014
32,1197
32,1366
32,1201
32,2691
33,1806
33,2001
33,2232
33,1906
33,671
33,1263
33,1978
33,2076
33,615
33,2083
33,2971
33,1136
33,590
33,2997
33,2360
33,2876
34,2022
34,2666
34,889
34,3009
34,537
34,2003
34,2690
34,1975
34,1222
34,1228
34,518
34,299
34,1990
34,2723
34,2904
34,2058
34,2125
35,1523
35,1914
35,2718
35,1406
35,2585
35,1924
35,466
35,2331
35,1548
35,2467
35,1680
35,218
35,2081
