imdbclean.csv,tmdbclean.csv
3,436
4,2284
4,4742
4,4783
4,2922
5,709
6,3203
6,4223
7,701
7,4865
7,3167
8,1378
8,2518
8,4165
8,5484
8,3335
9,890
10,5104
11,73
16,3376
17,150
17,5020
18,4144
19,1263
21,4889
22,4222
22,2797
23,3875
23,5026
24,2200
25,5682
26,5190
27,5834
30,1117
30,759
31,3869
33,2688
33,1494
33,4089
34,2363
34,2605
35,2885
37,1450
40,2930
41,5977
41,1694
42,5841
42,734
44,2757
45,3384
45,2168
48,5396
49,5456
49,1447
49,4413
50,4517
50,3695
54,1516
54,3708
54,46
54,4402
55,5866
58,1668
59,6037
59,1387
59,374
59,5832
59,1243
64,2415
64,1432
66,4373
67,1211
68,4927
69,738
69,1642
72,1627
72,1926
73,5312
74,2150
75,1437
75,4206
77,5547
78,4861
78,3067
79,3271
80,5848
81,5921
81,5171
81,4892
82,1005
82,5050
82,4279
83,76
84,1211
84,3999
86,2708
87,4253
89,3288
90,5260
91,4934
91,5251
91,2756
91,2658
92,2507
92,1696
92,554
92,4231
92,1760
93,2444
94,5390
95,3087
95,813
95,3319
96,4245
99,3085
100,2766
100,1320
101,2105
102,2294
103,5512
103,840
103,3713
106,4031
108,5701
108,3906
110,3604
111,5801
111,3685
111,2113
112,1475
112,2376
114,5191
115,3616
116,1005
118,4812
118,805
119,1251
119,5315
120,3948
122,674
123,2311
126,2765
127,3872
127,1000
129,1443
129,5255
131,4824
131,1617
132,5946
132,1689
132,2491
132,1930
136,1461
138,902
138,1175
138,41
139,5613
139,4734
139,248
139,1810
140,803
140,1159
140,88
141,4549
141,5524
141,3326
142,1422
143,676
143,829
143,3880
143,3237
145,5423
147,1924
148,5541
151,4481
151,5124
156,5156
156,1049
158,4906
159,5522
160,3999
161,1356
162,2848
162,4278
162,4297
163,5138
165,2440
166,3115
168,5320
168,3887
168,4930
169,1764
169,4574
169,2899
169,3047
170,2285
170,5834
170,1000
171,4750
173,3564
173,4707
174,5741
174,3488
175,1571
175,4589
177,256
179,5138
180,1330
183,3170
184,1470
186,1803
186,4503
186,4560
186,5419
187,5337
188,4610
189,5664
189,4557
191,3586
192,3081
193,4188
194,3714
194,670
196,2742
196,4295
196,5363
196,2945
200,1233
201,168
203,3859
204,2767
204,3306
204,4046
204,4858
206,1893
206,1336
206,2393
206,1790
207,68
207,4285
207,2505
207,4104
208,1991
208,3342
208,1931
209,2334
213,4230
214,4084
214,4613
216,2503
216,2037
