tmdbclean.csv,tvdbclean.csv
0,2287
2,4592
4,2465
8,5581
8,5547
9,3942
9,5484
11,1730
11,127
14,1341
14,2407
14,3733
14,4965
16,5113
17,7721
17,4632
17,3113
17,5796
17,7777
19,5483
19,1910
19,4001
20,7386
20,6186
21,1076
22,733
28,7780
28,1696
28,502
29,1328
29,6236
31,3168
31,4316
31,6586
35,7111
35,5096
35,5396
35,6570
35,2014
36,7736
40,7801
41,6067
42,340
45,4182
45,1835
50,1481
50,2577
52,696
56,2407
56,4965
56,3914
56,7497
57,3003
57,7615
57,6401
58,5543
58,1012
61,4589
64,958
64,1037
67,6589
67,5785
67,2306
68,787
68,3399
68,3357
68,7457
69,2651
69,5175
69,6470
71,4713
71,3552
71,5827
72,4254
75,1833
76,5044
76,3638
78,6029
78,4494
78,1104
79,3583
79,4028
80,1102
80,1721
80,7785
80,302
83,232
83,907
83,1929
87,3519
89,7772
89,3912
91,7213
93,5723
93,5922
93,6893
93,5097
94,7020
94,777
96,6555
97,976
97,5652
98,7364
98,6358
105,1208
109,1125
111,5167
114,183
115,5954
117,6739
118,244
122,449
122,1390
125,2776
125,1712
125,1523
125,2005
128,3285
132,5607
137,7487
140,1811
141,1976
141,2231
141,421
148,1246
148,128
150,6506
150,4967
152,5107
153,6701
153,1285
154,2903
157,5736
157,569
160,3668
160,6317
160,3736
161,7602
162,5550
162,7223
164,165
164,2017
166,5561
166,7131
167,2911
167,4495
168,5779
168,5013
168,5839
169,2788
169,4597
169,2270
169,7414
169,6130
170,123
170,576
176,7297
176,978
176,1968
176,7070
176,1411
181,1985
181,0
181,5542
181,4694
182,1100
182,5571
182,807
183,7415
184,1798
186,5365
186,6753
188,4892
191,5115
192,4807
193,2658
198,3896
198,5963
202,3942
204,4105
208,603
214,2585
214,768
214,3483
215,5775
218,1100
218,5571
218,807
219,6607
219,1271
219,898
221,3285
223,4929
223,1476
223,5618
224,2002
228,4242
228,66
228,1647
231,7185
231,832
231,5237
232,7580
232,314
234,376
236,3699
240,720
241,713
242,4794
245,22
245,1243
246,7471
246,6335
248,1905
248,3407
252,4542
252,2963
253,3582
253,3590
255,5422
255,7564
258,3304
261,2741
262,3896
262,5963
264,7491
264,3384
267,85
267,3
267,524
271,5517
274,3709
274,6515
279,134
279,3890
279,427
279,5445
281,1424
285,1386
285,3104
285,7469
285,6291
286,999
286,5261
286,6401
287,619
287,2650
291,2651
