walmartclean.csv,amazonclean.csv
0,19009
0,21897
0,9462
1,17828
1,1643
1,16447
2,11472
2,3384
2,18028
3,10299
3,4378
3,21424
4,11725
5,6047
5,20932
5,10422
6,9015
7,1303
7,7226
7,21840
8,2263
8,18908
8,10780
9,2456
9,476
10,15905
10,12841
10,14740
11,7783
11,7666
11,3541
12,6062
12,401
13,9360
13,12285
14,1699
15,17810
15,17364
15,4282
16,7991
16,3241
17,11721
17,1761
18,2734
18,11026
19,19596
19,17429
19,13057
20,16161
20,11936
20,16837
21,14835
21,7853
22,21284
22,17882
22,17391
23,20955
23,643
23,8253
24,13450
24,12804
24,10757
25,6984
25,2544
25,21826
26,15322
26,18788
26,537
27,18635
27,9821
27,10473
28,1894
28,17011
28,14112
29,6031
29,22010
29,8070
30,11088
30,15046
30,13118
31,18643
31,18620
31,16173
32,11384
32,13381
32,21567
33,12551
33,6432
33,10517
34,5118
34,21044
34,13062
35,16020
35,8092
35,7381
36,21331
36,599
36,2136
37,15178
37,2440
37,6357
38,19129
38,21628
39,1494
39,10872
39,21079
41,21700
41,6816
41,10802
42,13828
42,18839
42,172
43,902
43,130
43,45
44,6041
44,13045
45,21787
46,7695
46,15637
46,19698
47,15950
47,14934
47,1149
48,5920
49,8095
49,8096
49,6064
50,16665
50,16936
50,2013
51,11090
51,20622
51,9388
53,17892
54,19790
54,649
54,6572
55,1559
55,12913
55,8902
56,11153
56,209
56,16349
57,12060
57,19357
57,13302
58,9328
58,20807
58,21239
59,2162
61,433
61,2378
61,20722
62,17073
62,1671
62,13600
63,16321
63,12675
63,17509
64,8391
64,18372
65,12292
65,11129
65,8836
66,7661
66,13626
66,3668
67,14617
67,4646
67,14615
68,1303
68,15251
69,20427
69,14641
69,21809
70,16952
70,3747
70,20306
71,19038
71,21679
71,5915
72,1711
72,6043
72,1989
73,21547
73,19782
73,7202
74,12054
74,14623
74,10382
75,21613
75,13886
75,15871
76,19387
76,20515
76,14467
77,9009
77,13395
77,2516
78,8603
78,15544
79,18187
79,17238
79,18495
80,6751
80,6526
80,17375
81,17194
82,21003
82,19292
82,7743
83,7220
83,21078
83,20992
84,14769
84,9262
84,19088
85,9496
85,9262
85,19088
86,11617
86,7610
86,9636
88,19477
88,18980
88,3269
89,14042
89,10105
89,2097
90,21309
90,4403
90,20354
91,20811
91,13412
91,17687
92,8088
92,10206
93,3294
93,8348
93,8350
94,21060
94,6087
94,19078
95,14940
95,9682
95,10966
97,12286
97,15904
98,751
98,2775
99,6551
99,4520
99,10545
100,15194
100,15195
100,17359
101,10615
101,13100
101,21551
102,11759
102,15715
102,5737
104,11791
104,3768
104,5756
105,7836
105,13687
105,4773
106,9223
106,17912
107,12090
107,4082
107,13383
108,19395
108,21709
108,21711
109,4670
109,20132
109,5970
110,20707
110,18068
110,20857
111,879
111,8850
111,11163
112,5761
112,4233
112,9830
114,9223
114,19066
114,3497
115,4230
115,3866
115,4229
116,10192
116,6122
116,15862
117,15292
117,7323
117,15295
118,17041
118,16887
118,17815
119,20772
119,21976
119,3290
120,14795
120,5332
120,2669
121,13730
121,21110
121,1501
122,14490
122,15661
122,8859
123,20131
123,12868
123,4194
124,10929
124,10931
124,8974
125,9215
125,6164
125,12735
126,21436
126,2803
126,1555
127,17577
127,7904
127,8483
128,10640
128,5324
128,2701
129,10654
129,8121
129,8638
130,9890
130,6836
130,14783
131,15334
131,3370
131,5595
132,21615
133,18758
134,9520
134,15451
134,3740
135,15301
136,2576
136,12581
136,613
137,12747
137,19728
137,20841
138,11468
139,14020
139,21687
139,2069
140,13715
140,11756
140,11757
141,7856
141,8172
141,2644
143,15610
143,18949
143,16495
145,4537
145,8602
145,10613
146,12097
146,20544
146,20185
147,2234
147,14094
147,21192
148,16398
148,16350
148,18936
149,21823
149,19030
149,21714
150,21709
150,1288
150,5836
151,14577
151,6619
151,691
152,13126
153,3766
153,17500
154,14666
154,16767
154,16442
155,3446
155,14647
157,18569
157,16205
157,17960
158,20459
158,12675
158,12342
159,20821
159,18358
159,9709
160,985
160,17734
160,8085
162,18348
162,18406
162,9494
163,9824
163,123
163,12528
164,18937
164,15897
164,15832
165,16852
165,5411
165,16256
166,12781
166,14680
167,8976
167,10939
167,4930
168,12248
168,20286
168,18983
169,20035
170,4112
170,8074
170,8126
171,12028
172,1152
172,9213
173,16412
173,1249
173,20474
174,12978
174,12474
174,10138
175,20939
175,5431
175,6876
176,4854
176,20341
176,475
177,13618
177,6961
177,10949
178,16537
178,19149
178,16536
179,8545
179,6482
179,12525
180,4670
180,20132
180,5970
181,12012
181,8829
181,3981
182,7399
182,7401
182,11385
183,2534
183,1402
184,2959
184,18874
184,17736
185,19387
185,20515
185,14467
186,1928
186,9898
186,10172
187,14759
188,2592
188,17020
188,9978
189,148
189,3337
189,17487
190,7523
190,19649
191,5169
191,1243
191,11197
192,20900
192,11131
193,20900
193,19880
194,20939
194,5431
194,6876
195,1647
195,13143
195,11254
196,13208
196,21969
196,19594
197,19804
197,19053
197,12956
201,20923
201,1232
201,21085
202,2447
202,7497
202,11491
203,3336
203,18053
203,9398
204,2306
204,285
205,10648
205,714
205,10517
206,10680
206,15467
208,6711
208,12738
208,6710
209,18713
209,2398
209,20929
210,21483
210,11658
210,19634
211,16586
211,16307
211,400
213,7531
214,14298
214,6315
