tmdbclean.csv,tvdbclean.csv
0,2287
2,1074
2,4592
7,3796
8,7185
8,2197
8,2518
8,5547
9,3942
9,1642
9,5484
11,1332
11,5344
11,1730
11,4548
11,7467
11,2956
11,127
11,2918
11,4871
12,2550
12,5101
12,2480
12,3162
12,3696
13,7273
13,6471
13,4601
13,3025
14,2407
14,3914
14,4965
14,3733
14,6214
14,2631
14,5339
14,6291
16,7610
16,2994
16,3092
16,5113
16,942
16,2125
16,3232
16,2129
17,7721
17,1516
17,4252
17,2763
17,4579
17,6111
17,7777
19,5301
19,2615
19,1910
19,2332
19,2064
19,1060
19,4584
20,4266
20,7386
20,4196
21,1076
22,733
22,244
23,1973
23,7479
23,5088
25,4804
26,2219
26,4505
26,1448
26,6103
26,7711
27,3223
27,249
27,4938
27,4720
27,7123
27,5772
27,5947
27,5241
28,7780
28,4660
28,1696
28,5514
28,4513
28,2155
28,502
28,5747
29,2329
29,977
29,7581
29,1328
29,6236
31,3520
31,4316
31,3174
31,4321
31,7798
31,6586
31,5325
31,3168
31,3409
31,2300
32,4504
32,6415
32,7378
33,3917
35,2014
35,7456
35,3272
36,7736
41,6067
41,7673
41,5625
41,2946
41,1407
41,1024
41,7268
41,4536
42,1246
42,6998
42,1829
42,340
42,4028
45,3999
45,4467
45,4182
45,2683
45,1835
45,7262
45,36
46,1407
46,3922
49,2946
50,1481
50,2577
52,696
52,3689
53,302
53,5827
55,3064
56,2407
56,1569
56,3914
56,3104
56,4965
56,2631
57,5249
57,7615
57,3003
57,942
57,6401
58,5543
58,1012
59,90
59,213
59,6811
60,3073
60,1259
60,7258
61,3063
61,1471
61,6122
61,4589
62,2321
62,2850
62,6330
62,6162
62,3553
62,4303
64,958
65,3810
67,6465
67,4321
67,3409
67,6589
67,3174
67,1153
67,2306
68,787
68,3357
68,7457
69,2651
69,6470
69,3577
69,5175
69,987
69,4648
70,5784
70,5169
71,3753
71,4713
71,723
71,2615
71,5990
71,5710
71,3552
71,2694
71,669
75,1833
75,932
76,3186
76,5044
76,3525
76,4320
76,383
76,5852
78,5446
78,4494
78,2327
78,5374
78,1104
79,5560
79,6998
79,3583
79,340
79,5231
79,4028
79,5428
80,3466
80,7785
80,4840
80,302
80,1102
80,5440
80,1505
83,232
83,907
83,1929
85,7342
86,5625
86,3810
86,1751
86,7203
86,2295
86,3020
87,4406
87,3519
89,1692
89,4392
89,6764
89,3912
91,7213
91,4076
93,6383
93,6893
93,5097
94,2408
94,3759
94,6918
94,5464
94,2338
94,777
94,7020
96,4200
96,7082
96,5539
96,6555
97,976
97,5652
100,7791
100,5407
100,1012
100,7484
100,1671
100,2209
102,5495
102,181
102,4552
102,2051
102,4264
105,1208
106,2465
106,2162
106,4782
107,3647
109,1125
110,2770
111,4603
111,5671
111,5167
111,5835
111,6656
114,183
115,6186
115,6944
115,1139
115,905
115,7223
116,5478
116,4792
116,145
117,6693
117,4072
117,6739
118,5081
118,5292
118,1665
118,244
119,2928
120,1510
122,4495
122,4004
122,3299
122,1390
122,3531
122,5224
122,63
122,7658
122,2930
123,1840
123,7628
125,1523
125,1778
125,2005
125,1440
125,1712
125,2776
128,6347
128,3285
128,1775
128,4500
128,220
128,222
128,4944
128,152
128,1705
128,4804
130,5578
130,5529
130,6815
132,2230
132,1046
132,4472
132,7717
132,3322
132,5607
133,284
133,6561
133,838
133,453
133,1318
133,3879
133,545
133,1723
136,480
137,7487
140,5098
140,6191
140,6086
140,6203
140,6101
140,5435
140,5707
140,1811
141,1904
141,3665
141,2231
141,983
141,5082
141,1976
141,421
141,1639
144,6931
146,7788
148,3895
148,1556
148,5203
148,1246
148,12
148,532
148,6153
148,1829
148,3583
148,128
150,6506
150,4967
150,2266
152,6984
152,5107
153,4660
153,6701
153,5514
153,4513
153,2155
153,654
153,1285
154,2903
157,238
157,569
157,3642
157,1097
158,3969
158,7151
159,826
160,2260
160,6912
160,4455
160,1940
160,3811
160,929
160,3668
160,6317
160,2006
160,5230
160,3736
160,3458
160,1286
161,7602
161,3423
161,4371
161,7344
161,2772
161,6715
161,2641
161,1373
162,2190
162,905
162,7223
164,977
164,2017
164,165
164,3321
164,7658
165,6053
166,5561
166,879
166,7131
167,2031
167,2911
167,5794
167,449
168,485
168,6932
168,5013
168,1657
168,5779
168,1833
168,5839
169,2788
170,123
170,576
172,513
172,7281
174,4881
175,30
175,1135
175,2743
175,2003
176,7228
176,1476
176,2566
176,4509
176,1050
176,261
176,23
176,5072
176,2159
176,3687
176,4974
176,2074
176,1411
178,5961
179,1829
179,5231
181,1262
181,29
181,91
181,1969
181,4694
181,0
181,6227
181,1195
181,1985
182,1100
182,271
182,5571
182,807
183,321
183,4006
183,7415
183,2064
183,1060
184,1798
186,2822
186,932
186,5365
186,6753
188,4892
188,2423
188,5987
188,4441
188,6784
189,2289
189,1654
190,7673
190,4536
191,2881
191,5115
192,3921
192,4605
193,2658
194,4243
195,5355
198,5963
198,3896
198,822
198,169
201,1778
201,2005
201,5837
201,1712
201,2776
201,3465
202,5687
202,5281
202,2581
202,29
202,4087
202,7270
203,1150
204,455
204,4105
204,219
205,6545
205,2698
205,6559
207,6442
207,443
208,5643
208,603
210,6787
210,3136
210,524
210,85
210,7291
210,5068
210,262
210,263
210,1106
210,5706
213,5283
214,2585
214,768
214,2089
214,3483
215,4113
215,5775
217,5270
217,1267
217,2106
217,4183
217,5474
217,2167
218,1100
218,271
218,5571
218,807
219,1736
219,6470
219,2320
219,1271
219,898
219,416
219,377
219,6607
220,22
220,1243
221,222
221,3285
221,1775
222,6042
223,7228
223,1
223,1476
223,2566
223,4509
223,7297
223,261
223,5072
223,5232
223,4974
223,1411
223,6063
224,2002
228,4242
228,1647
228,3083
228,1262
228,1572
228,7410
228,4069
228,23
228,2811
228,29
228,2074
228,66
228,1195
230,2813
231,7185
231,5237
232,314
234,7560
236,3699
236,7064
236,6447
236,2601
240,210
240,4454
240,720
240,3629
240,370
240,3490
241,713
242,6030
242,1992
242,593
243,2046
243,7135
243,1276
245,22
245,1243
246,2137
246,253
246,7471
246,124
246,1534
246,25
246,6335
247,2264
247,3345
248,4872
248,1839
248,1905
248,3341
248,489
248,6484
248,7700
248,3407
248,661
248,3744
250,2457
252,4542
252,2963
252,7507
252,6006
253,3582
255,4206
255,7564
255,5422
255,3319
255,1154
256,256
256,2304
258,1359
258,2692
258,3304
258,532
261,3799
261,2741
261,2922
261,2946
262,5963
262,3896
262,2796
262,1019
262,3986
263,312
263,5905
264,3384
264,3567
264,6574
264,7491
264,4594
267,6787
267,3136
267,524
267,85
267,7291
267,5068
267,263
267,1106
267,5706
267,3
271,2614
271,4666
271,6036
271,5517
271,1497
271,6167
271,4531
271,3017
274,6188
274,6515
274,3865
274,6946
274,3449
274,4975
274,5844
275,3798
279,223
279,427
281,4791
281,6089
281,1424
281,6333
284,3855
284,399
284,289
284,2898
284,5512
284,6517
284,5015
284,657
284,3978
284,1235
284,7540
285,1386
285,7469
285,3914
285,3104
285,6214
285,6716
285,6291
286,6398
286,5261
286,6401
287,619
287,1429
287,3479
287,6703
287,2913
287,4480
287,7014
287,2650
291,2651
291,6470
291,2614
291,6036
291,5517
291,5175
291,1497
291,6167
291,4531
291,3017
291,4648
292,4773
292,5812
292,7558
292,1129
292,1045
292,6826
292,5080
293,1037
293,5206
293,3202
293,2336
293,7642
293,267
293,2926
293,5148
297,5899
300,1905
300,5236
300,2247
301,7680
301,117
301,7798
301,4560
303,6632
305,2060
305,6957
305,6831
307,436
307,1815
307,5422
307,3319
307,1935
308,999
308,6401
309,859
310,4603
310,5671
310,5167
310,5835
310,6656
311,1551
311,7
311,327
311,4610
311,3087
311,6148
311,4672
311,3154
311,1490
311,7755
311,6219
311,3980
311,1547
313,1508
316,6093
316,4376
319,40
319,3907
319,6865
319,5881
319,4422
319,7068
319,59
319,7308
319,3877
319,3982
321,932
322,3647
324,3631
328,5036
328,6188
328,1949
328,3905
328,6581
328,7356
328,375
328,5376
329,1812
330,2019
330,6223
