walmartclean.csv,amazonclean.csv
0,8777
0,15121
0,975
0,18712
0,5397
0,4407
0,19009
0,15304
1,7147
1,16720
1,21492
1,15220
1,5114
1,16447
1,7071
1,17828
2,18315
2,18028
2,16495
2,16496
2,18321
2,18322
2,17377
2,18949
3,14381
3,21424
3,21721
3,21753
3,15161
3,4377
3,4378
3,13214
4,15881
4,18313
4,11725
4,718
4,9809
4,21110
4,1362
4,13730
5,1704
5,6047
5,17878
5,8884
5,10422
5,1144
5,20228
5,20932
6,3047
6,592
6,1043
6,9015
6,13023
6,21029
6,1025
6,12999
7,21840
7,15251
7,13268
7,5236
7,5237
7,1236
7,1303
7,9284
8,10248
8,19470
8,12716
8,16570
8,18908
8,349
8,5218
8,21256
9,486
9,10793
9,5812
9,2456
9,16260
9,18436
9,12931
9,10052
10,15905
10,7875
11,10591
11,14688
13,13228
13,14534
13,12081
13,15668
13,14773
13,15867
13,15044
13,9508
14,13616
14,18324
14,13109
14,15032
14,15034
14,1698
14,1699
14,20233
15,8008
15,17810
15,17364
15,17050
15,4282
15,6272
15,17667
15,18438
16,5191
16,15180
16,13229
16,13230
16,15181
16,21841
16,15182
16,9213
17,15238
17,7529
17,18612
17,12669
18,15787
18,17422
18,17423
18,8722
18,6196
18,18361
18,19584
18,10879
19,11239
19,6992
19,6993
19,17429
19,3060
19,17752
19,13057
19,6596
20,2791
20,15023
20,16593
20,16534
20,16161
20,16837
20,16838
21,966
21,7853
21,14835
21,8915
21,10873
21,12925
21,17510
21,964
22,232
22,17391
22,16209
22,17882
22,20961
22,12640
22,15108
22,16646
23,17163
23,2345
23,19216
23,11991
23,8215
23,2009
23,6273
23,9893
24,7340
24,15571
24,16088
24,15577
24,13880
24,14909
24,12804
24,10757
25,6984
25,18732
25,14930
25,14931
25,14932
25,2544
25,20448
25,19591
26,2502
26,8041
26,4406
26,15322
26,537
26,5918
26,18788
26,14406
27,14043
27,18635
27,11954
27,9821
28,18921
28,7112
28,6481
28,10066
28,3859
28,5428
28,14112
29,8071
29,12464
29,6031
29,15994
29,15291
29,12059
29,14015
29,8070
30,5091
30,11088
30,11888
30,13843
30,5875
30,5084
30,13118
30,15046
31,18643
31,15508
31,18620
32,17836
32,14702
32,8236
32,20124
32,12794
32,21567
32,21313
32,6751
33,9167
33,13585
33,15572
33,5233
33,8629
33,20027
33,14842
33,11683
34,6991
34,4978
34,3058
34,14937
34,3105
34,13062
35,15341
35,10093
35,16018
35,16020
35,7381
35,8090
35,8092
36,19852
36,3950
36,12977
36,2991
36,21331
36,8949
36,2136
36,14877
37,15787
37,2440
37,15573
37,2099
37,1659
37,5601
37,5603
37,5605
38,13700
38,19085
38,21511
38,9998
38,6037
38,7744
38,15684
38,17829
39,2950
39,12917
39,10870
39,10872
39,955
39,4862
39,959
39,6884
40,2828
40,6742
40,20123
40,12795
40,21694
40,14686
40,15969
40,14404
41,2888
41,11052
41,10802
41,20135
41,6815
41,6816
41,10819
41,10820
42,21739
42,172
42,10131
42,1528
42,929
42,13446
42,21129
43,902
43,10344
43,45
43,3731
43,3612
43,20229
45,12160
45,16163
45,971
45,804
46,11687
46,18034
46,16500
46,19698
47,9387
47,20079
47,17326
47,18035
47,17556
47,18037
47,19461
47,3269
48,16108
48,5937
48,19704
48,2485
48,5654
48,5920
48,7716
48,17895
49,6064
49,13377
49,11383
49,11387
49,9437
49,8095
49,8096
49,20010
50,18248
50,16464
50,16665
50,20192
50,2013
50,17570
50,18215
50,16936
51,16399
51,17906
51,16665
51,19902
51,18173
51,17570
51,16358
51,16936
52,8239
52,6505
52,10294
53,17203
53,16598
53,18200
53,14680
53,21566
53,17892
53,9734
54,6566
54,19790
54,649
54,21552
54,6572
54,2612
54,2623
54,10562
55,8904
55,12913
55,4849
55,4850
55,6869
55,4852
55,2934
55,8902
56,21964
56,21965
56,18761
56,9164
56,20182
56,16349
56,6396
56,21636
57,16941
57,5261
57,13302
57,17019
57,15996
57,19357
57,12060
57,14016
58,1574
58,9328
58,7538
58,21406
58,7546
58,3547
58,5531
58,10144
59,873
59,15757
59,3790
59,15543
59,6102
59,2872
59,13761
59,9858
60,606
60,16963
60,17383
61,20702
61,11091
