imdbclean.csv,tmdbclean.csv
215,0
215,6
215,10
215,87
215,104
215,121
215,135
215,138
215,155
215,182
215,210
215,270
215,312
215,361
215,369
215,379
215,381
215,383
215,394
215,427
215,430
215,432
215,459
215,466
215,479
215,488
215,504
215,505
215,537
215,539
215,570
215,573
215,602
215,606
215,607
215,613
215,615
215,616
215,629
215,635
215,662
215,672
215,687
215,688
215,711
215,722
215,747
215,750
215,778
215,782
215,867
215,868
215,876
215,882
215,904
215,947
215,959
215,974
215,988
215,990
215,992
215,1015
215,1023
215,1032
215,1043
215,1052
215,1061
215,1087
215,1111
215,1115
215,1145
215,1147
215,1161
215,1174
215,1177
215,1201
215,1228
215,1273
215,1303
215,1311
215,1335
215,1336
215,1342
215,1350
215,1351
215,1385
215,1386
215,1388
215,1413
215,1423
215,1427
215,1428
215,1433
215,1437
215,1451
215,1455
215,1463
215,1471
215,1476
215,1486
215,1499
215,1513
215,1533
215,1539
215,1546
215,1555
215,1560
215,1565
215,1574
215,1613
215,1637
215,1646
215,1676
215,1682
215,1686
215,1744
215,1749
215,1758
215,1759
215,1764
215,1770
215,1781
215,1783
215,1802
215,1804
215,1823
215,1835
215,1858
215,1861
215,1862
215,1879
215,1925
215,1958
215,1967
215,2032
215,2038
215,2064
215,2079
215,2095
215,2111
215,2117
215,2123
215,2131
215,2140
215,2143
215,2156
215,2160
215,2170
215,2172
215,2177
215,2179
215,2190
215,2191
215,2196
215,2228
215,2230
215,2244
215,2259
215,2264
215,2265
215,2272
215,2276
215,2286
215,2302
215,2344
215,2348
215,2355
215,2367
215,2392
215,2393
215,2410
215,2412
215,2413
215,2427
215,2432
215,2442
215,2453
215,2459
215,2468
215,2477
215,2497
215,2512
215,2531
215,2538
215,2545
215,2574
215,2625
215,2629
215,2636
215,2642
215,2664
215,2692
215,2693
215,2721
215,2736
215,2758
215,2769
215,2776
215,2779
215,2816
215,2817
215,2835
215,2864
215,2906
215,2908
215,2919
215,2920
215,2951
215,2976
215,3022
215,3026
215,3029
215,3030
215,3045
215,3049
215,3057
215,3058
215,3060
215,3079
215,3080
215,3085
215,3086
215,3089
215,3096
215,3111
215,3113
215,3120
215,3131
215,3147
215,3175
215,3198
215,3218
215,3219
215,3244
215,3262
215,3273
215,3275
215,3303
215,3344
215,3349
215,3354
215,3368
215,3375
215,3377
215,3380
215,3395
215,3401
215,3443
215,3462
215,3485
215,3506
215,3538
215,3558
215,3562
215,3570
215,3591
215,3606
215,3612
215,3620
215,3629
215,3641
215,3684
215,3705
215,3710
215,3714
215,3719
215,3726
215,3742
215,3744
215,3778
215,3786
215,3797
215,3815
215,3867
215,3884
215,3920
215,3924
215,3925
215,3935
215,3938
215,3948
215,3950
215,3977
215,3999
215,4011
215,4014
215,4057
215,4084
215,4099
215,4105
215,4120
215,4135
215,4144
215,4147
215,4151
215,4161
215,4167
215,4201
215,4214
215,4215
215,4224
215,4243
215,4244
215,4250
215,4251
215,4286
215,4306
215,4311
215,4316
215,4340
215,4388
215,4389
215,4393
215,4423
215,4465
215,4476
215,4478
215,4490
215,4491
215,4522
215,4530
215,4534
215,4541
215,4547
215,4575
215,4588
215,4608
215,4641
215,4653
215,4695
215,4705
215,4717
215,4758
215,4761
215,4780
215,4786
215,4799
215,4816
215,4817
215,4819
215,4834
215,4837
215,4855
215,4909
215,4912
215,4929
215,4931
215,4932
215,4953
215,4958
215,4963
215,4965
215,5011
215,5027
215,5029
215,5030
215,5034
215,5049
215,5075
215,5080
215,5092
215,5094
215,5122
215,5152
215,5164
215,5169
215,5182
215,5183
215,5192
215,5211
215,5223
215,5231
215,5241
215,5269
215,5294
215,5295
215,5304
215,5315
215,5317
215,5323
215,5353
215,5361
215,5414
215,5424
215,5440
215,5455
215,5457
215,5472
215,5483
215,5505
215,5512
215,5522
215,5566
215,5577
215,5587
215,5598
215,5630
215,5641
215,5644
215,5661
215,5672
215,5691
215,5699
215,5701
215,5712
215,5726
215,5739
215,5771
215,5781
215,5808
215,5813
215,5817
215,5829
215,5835
215,5899
215,5901
215,5904
215,5918
215,5927
215,5975
215,5988
215,6000
215,6006
215,6029
3101,0
3333,0
3478,0
3626,0
4511,0
3101,73
3101,147
3101,396
3101,448
3101,529
3101,769
3101,904
3101,949
3101,1181
3101,1340
3101,1467
3101,1521
3101,1745
3101,1874
3101,2049
3101,2308
3101,2315
3101,2616
3101,2710
3101,2749
3101,2821
3101,3323
3101,3357
3101,3451
3101,3631
3101,3756
3101,3794
3101,4341
3101,4373
3101,4583
3101,4659
3101,4706
3101,4802
3101,4863
3101,5051
3101,5269
3101,5305
3101,5507
3101,5839
3333,2049
3478,904
3478,4706
3478,5269
3478,5560
3626,73
3626,207
3626,477
3626,517
3626,549
3626,904
3626,1578
3626,2049
3626,3756
3626,3967
3626,4256
3626,4596
3626,4680
3626,4706
3626,5269
3626,5360
3626,5932
4511,73
4511,147
4511,396
4511,529
4511,549
4511,769
4511,814
4511,904
4511,992
4511,1249
4511,1304
4511,1312
4511,1370
4511,1509
4511,2049
