tmdbclean.csv,tvdbclean.csv
181,0
181,1120
181,1262
181,1969
181,4607
181,4664
181,4694
827,0
1738,0
4463,0
4787,0
827,29
827,91
827,2753
827,4214
827,6049
1738,482
1738,737
1738,1262
1738,4052
1738,4242
1738,4576
1738,4664
1738,5919
1738,6233
1738,7773
4463,29
4463,91
4463,2753
4463,4694
4463,6210
4463,7443
4787,29
4787,1190
4787,1195
4787,2715
4787,2787
4787,4607
4787,5440
4787,5850
4787,6664
4787,6836
4787,7443
223,1
223,1476
223,2991
223,3394
223,4509
223,4929
223,5232
223,5618
223,6063
740,1
3255,1
3607,1
4165,1
740,176
740,196
740,978
740,1890
740,2607
740,3473
740,3705
740,4104
740,4111
740,4974
740,5232
740,7297
3255,1476
3255,1578
3255,2208
3255,3014
3255,3574
3255,3681
3255,4111
3255,4796
3255,5000
3255,6339
3255,7228
3255,7670
3607,3649
3607,3681
3607,3705
3607,6518
4165,978
4165,1050
4165,1411
4165,1688
4165,1968
4165,2566
4165,3687
4165,4111
4165,5072
4165,7228
4165,7297
1977,2
1977,88
1977,90
1977,213
1977,224
1977,588
1977,680
1977,802
1977,896
1977,901
1977,1152
1977,1193
1977,1294
1977,1417
1977,1453
1977,1595
1977,1811
1977,1822
1977,1865
1977,1884
1977,2113
1977,2236
1977,2287
1977,2654
1977,2671
1977,2698
1977,2733
1977,2749
1977,2816
1977,2853
1977,2899
1977,3000
1977,3109
1977,3223
1977,3360
1977,3367
1977,3376
1977,3386
1977,3811
1977,3849
1977,3975
1977,4154
1977,4369
1977,4458
1977,4601
1977,4709
1977,4867
1977,4876
1977,4947
1977,5051
1977,5094
1977,5190
1977,5427
1977,5509
1977,5617
1977,5865
1977,6038
1977,6090
1977,6356
1977,6530
1977,6534
1977,6574
1977,6640
1977,6892
1977,7115
1977,7117
1977,7187
1977,7234
1977,7242
1977,7495
1977,7591
1977,7738
1977,7761
3456,2
4596,2
5785,2
5932,2
3456,5067
4596,30
4596,47
4596,86
4596,97
4596,227
4596,299
4596,360
4596,379
4596,474
4596,490
4596,500
4596,519
4596,598
4596,617
4596,618
4596,712
4596,789
4596,828
4596,835
4596,875
4596,948
4596,957
4596,1066
4596,1080
4596,1096
4596,1135
4596,1205
4596,1395
4596,1430
4596,1504
4596,1539
4596,1627
4596,1635
4596,1667
4596,1682
4596,1740
4596,1773
4596,1891
4596,2003
4596,2086
4596,2112
4596,2263
4596,2308
4596,2325
4596,2414
4596,2472
4596,2492
4596,2552
4596,2582
4596,2609
4596,2644
4596,2743
4596,2757
4596,2767
4596,2825
4596,2872
4596,2894
4596,2998
4596,3105
4596,3156
4596,3267
4596,3328
4596,3412
4596,3414
4596,3435
4596,3457
4596,3538
4596,3547
4596,3591
4596,3640
4596,3720
4596,3839
4596,3883
4596,3927
4596,3958
4596,3961
4596,4048
4596,4147
4596,4246
4596,4289
4596,4301
4596,4375
4596,4639
4596,4787
4596,4943
4596,5038
4596,5227
4596,5245
4596,5479
4596,5565
4596,5614
4596,5619
4596,5623
4596,5636
4596,5678
4596,5814
4596,5819
4596,5866
4596,5933
4596,5949
4596,5951
4596,5967
4596,5984
4596,6139
4596,6161
4596,6184
4596,6254
4596,6256
4596,6263
4596,6328
4596,6368
4596,6460
4596,6497
4596,6511
4596,6531
4596,6602
4596,6683
4596,6743
4596,6747
4596,6755
4596,6942
4596,6952
4596,7060
4596,7093
4596,7212
4596,7267
4596,7438
4596,7542
4596,7549
4596,7641
4596,7771
5785,1019
5785,1126
5785,3986
5932,86
5932,227
5932,500
5932,828
5932,957
5932,1080
5932,1096
5932,1682
5932,2112
5932,2263
5932,2325
5932,2757
5932,2998
5932,3412
5932,3414
5932,3457
5932,3640
5932,3927
5932,4246
5932,4289
5932,4375
5932,5153
5932,5245
5932,5479
5932,5619
5932,5705
5932,5866
5932,6178
5932,6256
5932,6602
5932,6747
5932,6952
5932,7549
5932,7641
267,3
267,85
267,263
267,313
267,524
267,740
267,931
267,1007
267,1067
267,1106
267,1428
267,1543
267,2473
267,2649
267,2672
267,2892
267,2919
267,3209
267,3422
267,3503
267,3771
267,3837
267,4198
267,4651
267,4757
267,5247
267,5401
267,5448
267,5706
267,5811
267,5864
267,6137
267,6275
267,6595
267,6665
267,6684
267,7118
267,7595
574,3
1768,3
2629,3
3157,3
4163,3
4885,3
5075,3
5368,3
5636,3
5882,3
574,8
574,59
574,85
574,241
574,285
574,313
574,342
574,400
574,440
574,524
574,560
574,637
574,740
574,883
574,931
574,1007
574,1067
574,1175
574,1428
574,1543
574,1668
574,2143
574,2473
574,2649
574,2672
574,2730
574,2892
574,2919
574,3205
574,3209
574,3286
574,3292
574,3422
574,3503
574,3740
574,3771
574,3814
574,3837
574,4198
574,4247
574,4293
574,4389
574,4651
574,4757
574,5073
574,5122
574,5247
574,5401
574,5448
574,5709
574,5811
574,5864
574,6137
574,6275
574,6595
574,6665
574,6684
574,7019
574,7118
574,7380
574,7595
1768,85
1768,263
1768,313
1768,524
1768,740
1768,931
1768,1007
1768,1058
1768,1067
1768,1106
1768,1124
1768,1428
1768,1543
1768,2473
1768,2649
1768,2672
1768,2892
1768,2919
1768,3209
1768,3422
1768,3503
1768,3771
1768,3837
1768,4198
1768,4651
1768,4757
1768,5068
1768,5247
1768,5401
1768,5448
1768,5706
1768,5811
1768,5864
1768,6137
1768,6275
1768,6595
1768,6665
1768,6684
1768,6787
1768,7118
1768,7291
1768,7595
2629,85
2629,262
2629,263
2629,313
2629,524
2629,740
2629,931
2629,1007
2629,1067
2629,1106
2629,1428
2629,1543
2629,2473
2629,2649
2629,2672
2629,2892
2629,2919
2629,3007
2629,3209
2629,3422
2629,3503
2629,3734
2629,3771
2629,3837
2629,4198
2629,4651
2629,4757
2629,4819
2629,5068
2629,5247
2629,5401
2629,5448
2629,5706
2629,5811
2629,5864
2629,6137
2629,6275
2629,6595
2629,6665
2629,6684
2629,6787
2629,7118
2629,7291
2629,7595
3157,8
3157,59
3157,85
3157,241
3157,313
3157,342
3157,400
3157,440
3157,524
3157,560
3157,740
3157,883
3157,931
3157,1007
3157,1067
3157,1175
3157,1428
3157,1543
3157,1668
3157,2143
3157,2473
3157,2649
3157,2672
3157,2730
3157,2892
3157,2919
3157,3205
3157,3209
3157,3286
3157,3422
3157,3503
3157,3740
3157,3771
3157,3814
3157,3837
3157,4198
3157,4293
3157,4389
3157,4651
3157,4757
3157,5073
3157,5247
3157,5401
3157,5448
3157,5709
3157,5811
3157,5864
3157,6137
3157,6275
3157,6595
3157,6665
3157,6684
3157,7118
3157,7595
4163,8
4163,85
4163,241
4163,257
4163,313
4163,342
4163,400
4163,440
4163,524
4163,740
4163,883
4163,931
4163,1007
4163,1067
4163,1175
4163,1428
4163,1543
4163,1668
4163,1848
4163,1852
4163,2473
4163,2649
4163,2672
4163,2730
4163,2892
4163,2919
4163,3205
4163,3209
4163,3422
4163,3503
4163,3771
4163,3837
4163,4187
4163,4198
4163,4293
4163,4389
4163,4651
4163,4757
4163,4910
4163,5073
4163,5247
4163,5296
4163,5361
4163,5401
4163,5448
4163,5709
4163,5712
4163,5811
4163,5864
4163,6137
4163,6275
4163,6595
4163,6665
4163,6675
4163,6684
4163,7118
4163,7595
4885,8
4885,59
4885,85
4885,241
4885,313
4885,342
4885,400
4885,440
4885,524
4885,560
4885,740
4885,883
4885,931
4885,1007
4885,1067
4885,1175
4885,1428
4885,1543
4885,1668
4885,2143
4885,2473
4885,2649
4885,2672
4885,2730
4885,2892
4885,2919
4885,3195
4885,3205
4885,3209
4885,3286
4885,3422
4885,3503
4885,3740
4885,3771
4885,3814
4885,3837
4885,4198
4885,4293
4885,4389
4885,4651
4885,4757
4885,5073
4885,5247
4885,5401
4885,5448
4885,5709
4885,5811
4885,5864
4885,6137
4885,6275
4885,6595
4885,6665
4885,6684
4885,7118
4885,7302
4885,7595
5075,85
5075,262
5075,263
5075,313
5075,524
5075,546
5075,740
5075,931
5075,1007
5075,1067
5075,1106
5075,1136
5075,1428
5075,1543
5075,2473
5075,2649
5075,2672
5075,2775
5075,2892
5075,2919
5075,3007
5075,3209
5075,3422
5075,3503
5075,3734
5075,3771
5075,3837
5075,4198
5075,4534
5075,4651
5075,4757
5075,4819
5075,5068
5075,5247
5075,5401
5075,5448
5075,5706
5075,5811
5075,5864
5075,5893
5075,6137
5075,6275
5075,6595
5075,6665
5075,6684
5075,6787
5075,7118
5075,7119
5075,7291
5075,7595
5368,8
5368,85
5368,241
5368,313
5368,342
5368,400
5368,440
5368,524
5368,740
5368,883
5368,931
5368,1007
5368,1067
5368,1175
5368,1428
5368,1543
5368,1668
5368,2473
5368,2649
5368,2672
5368,2730
5368,2892
