D1,D2,responses
41,66,False
36,136,False
96,215,False
200,238,True
42,246,True
158,309,True
279,321,False
139,327,True
108,335,True
90,346,True
33,363,True
136,383,False
36,383,False
95,421,False
117,427,True
82,430,True
234,444,True
355,446,False
241,469,False
474,494,False
371,506,True
75,509,False
190,526,False
216,532,False
23,533,True
135,534,True
68,541,True
327,544,True
139,544,True
244,551,True
407,562,True
111,576,False
321,629,True
279,629,True
621,630,True
495,640,False
137,646,True
197,658,False
298,663,False
363,675,True
33,675,True
480,681,False
58,683,False
311,684,True
280,700,False
404,703,True
651,705,False
333,747,True
4,748,True
28,769,True
579,777,True
450,787,False
580,794,True
313,797,False
493,808,False
348,811,False
532,818,True
216,818,False
24,819,False
378,827,True
666,832,True
164,838,True
93,848,True
564,850,True
236,854,False
394,874,True
830,875,True
364,878,False
565,879,False
818,882,True
532,882,True
216,882,False
676,887,True
174,889,False
471,910,True
80,914,True
793,920,False
688,933,True
169,942,True
920,945,True
793,945,False
813,946,False
357,950,False
936,952,False
264,955,False
437,972,False
748,973,True
4,973,True
640,986,False
495,986,False
401,990,False
269,991,True
362,992,True
917,997,True
526,1000,True
190,1000,True
339,1027,True
794,1032,True
580,1032,False
12,1036,False
855,1044,True
1039,1045,True
162,1047,False
238,1058,False
200,1058,True
624,1060,True
962,1069,False
412,1070,True
1055,1074,True
452,1083,True
796,1090,True
521,1099,True
1014,1101,True
184,1103,True
576,1104,False
111,1104,True
1067,1107,False
1092,1109,False
974,1112,False
443,1114,True
850,1123,True
564,1123,True
67,1135,True
176,1144,True
145,1145,False
1125,1160,True
1152,1166,True
361,1168,False
1071,1169,False
795,1170,False
116,1172,False
291,1175,False
204,1176,True
1028,1177,True
643,1180,False
608,1186,True
1030,1195,True
328,1199,False
778,1204,True
896,1206,True
716,1208,True
737,1216,True
466,1220,False
112,1221,False
626,1223,False
453,1224,False
865,1225,True
1199,1253,False
328,1253,True
832,1257,True
666,1257,True
1176,1258,True
204,1258,True
163,1265,True
1088,1282,True
358,1283,False
760,1289,False
1094,1295,True
982,1301,False
456,1302,True
104,1307,False
604,1323,True
1144,1325,True
176,1325,False
599,1331,False
761,1342,False
379,1343,True
196,1352,True
777,1357,False
579,1357,False
232,1365,True
597,1388,False
814,1390,True
813,1398,True
1159,1404,False
787,1408,True
450,1408,True
546,1410,True
441,1420,False
1027,1430,True
339,1430,True
1227,1431,True
1169,1437,False
1071,1437,False
780,1438,True
389,1449,True
9,1452,True
1205,1454,True
877,1456,False
1,1467,True
1263,1469,False
14,1491,True
767,1494,False
868,1497,True
1209,1502,True
1095,1503,True
570,1509,True
1104,1512,False
576,1512,True
111,1512,True
103,1514,True
170,1521,True
