D1,D2,responses
1,5,False
5,6,False
8,10,False
54,139,True
183,201,True
59,274,True
2,344,True
493,498,True
4,503,True
72,595,True
274,634,True
59,634,True
283,654,True
365,737,False
636,837,False
839,908,True
100,920,True
737,980,False
365,980,False
362,1021,True
719,1028,True
447,1041,False
551,1053,True
234,1076,True
695,1079,False
355,1108,True
892,1113,True
592,1164,True
334,1169,True
604,1245,True
1053,1310,False
551,1310,True
711,1354,True
311,1396,True
506,1405,True
1083,1432,True
618,1489,False
343,1490,True
574,1513,True
960,1515,True
741,1544,True
783,1574,True
1076,1598,True
234,1598,True
1504,1604,False
1121,1643,False
315,1679,True
617,1692,True
594,1725,False
270,1737,True
458,1738,True
1046,1744,True
257,1749,True
764,1756,True
182,1778,True
1492,1817,True
1616,1822,True
272,1832,True
808,1842,True
1422,1845,True
79,1865,True
1507,1883,True
985,1895,False
1824,1902,True
1396,1930,True
311,1930,True
1286,1931,True
1468,1936,False
510,1948,True
256,1949,True
1858,1964,True
1692,1981,False
617,1981,True
605,1982,True
301,2007,True
1550,2034,True
400,2043,True
1647,2046,True
482,2054,True
930,2064,False
979,2092,True
1562,2107,True
544,2109,True
1455,2137,True
1629,2139,True
1803,2147,True
1214,2149,True
105,2164,False
1489,2183,True
618,2183,True
1553,2192,True
2191,2196,True
1852,2207,True
941,2216,True
685,2244,True
2230,2282,True
2163,2285,True
1409,2303,True
1650,2325,True
1912,2340,True
928,2344,True
684,2350,True
755,2352,True
1129,2415,True
1978,2424,True
934,2452,False
1718,2471,True
1022,2482,False
1800,2493,True
1949,2496,False
256,2496,True
2024,2502,True
1508,2504,True
1732,2508,True
1693,2510,True
1199,2526,True
555,2542,True
715,2553,True
2282,2554,False
2230,2554,True
2021,2561,True
1528,2564,False
2244,2581,True
685,2581,True
2233,2599,True
2062,2617,True
1709,2622,True
2030,2629,True
522,2637,True
2257,2644,True
1907,2658,True
2540,2669,True
1895,2697,True
985,2697,True
219,2714,False
1370,2719,True
114,2730,True
1964,2744,True
1858,2744,True
2643,2747,True
231,2759,True
1057,2770,True
1511,2777,True
2740,2780,True
1612,2782,False
2341,2792,True
134,2826,True
882,2833,True
1359,2852,True
2232,2857,False
867,2858,True
2440,2863,True
2394,2876,True
1734,2886,True
733,2893,True
876,2930,True
203,2956,True
2855,2963,True
284,2967,False
2613,2969,True
2323,2970,True
1597,2973,True
110,2985,True
1522,2988,True
2458,2994,False
2047,3004,False
1937,3011,True
2014,3013,False
2984,3038,True
428,3070,True
1112,3087,True
2152,3089,True
1222,3090,False
870,3091,True
2251,3099,True
89,3102,True
1778,3109,True
182,3109,True
1868,3112,False
2918,3116,True
1601,3124,True
1257,3145,True
1082,3155,True
410,3157,True
1028,3159,True
2917,3167,True
3174,3188,False
2569,3194,True
463,3222,True
2243,3234,True
1299,3240,True
649,3252,False
727,3259,True
1594,3266,True
2463,3275,True
3045,3285,False
1549,3288,True
3000,3289,False
718,3304,True
1919,3308,False
3257,3380,True
2952,3392,True
888,3394,False
285,3397,False
2263,3404,True
866,3424,False
56,3434,True
757,3446,True
3347,3459,True
564,3464,False
3048,3471,False
1004,3482,True
3431,3486,True
2620,3496,False
3476,3508,True
1832,3510,True
272,3510,True
3373,3515,True
1675,3540,True
3156,3542,True
3065,3544,True
190,3554,True
2189,3569,True
1538,3595,True
2600,3603,True
151,3614,True
330,3616,True
2529,3628,True
2054,3630,True
482,3630,True
84,3633,False
308,3647,False
999,3665,True
1296,3675,True
1298,3679,True
3137,3680,True
124,3692,False
1256,3697,True
1916,3705,True
7,3720,True
1823,3724,True
207,3736,True
1110,3751,True
3229,3763,True
22,3780,True
3109,3781,True
1778,3781,True
182,3781,True
1117,3786,False
3556,3789,True
60,3790,False
1588,3793,True
2459,3802,True
830,3817,False
3774,3840,True
1125,3841,True
295,3860,False
1554,3863,False
1535,3868,False
342,3878,True
654,3880,True
283,3880,True
3362,3884,True
3021,3894,True
436,3899,True
3371,3902,False
2526,3903,True
1199,3903,True
3299,3918,True
3245,3921,False
2767,3922,True
721,3926,True
3266,3936,True
1594,3936,True
1386,3948,True
65,3949,True
3259,3960,True
727,3960,False
276,3963,True
389,3968,True
3056,3988,True
3561,3992,True
2813,3993,True
1287,4004,False
2411,4015,True
11,4021,True
3130,4026,True
1407,4042,True
1029,4054,True
804,4057,True
3723,4061,False
3931,4064,True
3243,4071,True
416,4085,True
591,4089,True
282,4095,True
371,4100,True
3677,4102,True
1664,4114,False
