D1,D2,responses,s-weight,weight
3333,0,True,0.5516318678855896,0.6048147367590061
977,2,True,0.6431147456169128,0.189206465951856
591,3,False,0.0,0.0
2260,4,False,0.7267661690711975,0.675
1607,5,True,0.6926918029785156,0.363696483726654
74,6,False,0.6365444660186768,0.2760262237369417
1739,7,True,0.8130283951759338,0.7547169811320755
690,8,True,0.4873189628124237,0.2613641051214193
4612,9,False,0.5355453491210938,0.0
3609,9,False,0.5615027546882629,0.0
2881,10,False,0.5088469982147217,0.0
2508,11,False,0.512009859085083,0.0
4725,11,False,0.4402156770229339,0.4403855060505443
3135,12,True,0.7080894112586975,0.511207720338155
3400,13,False,0.0,0.0
4920,14,False,0.0,0.1426608309104371
1448,15,False,0.0,0.0
3711,16,False,0.4624575972557068,0.0
3153,17,False,0.5337831377983093,0.0
1174,17,False,0.0,0.0
895,17,False,0.5226066708564758,0.0
1214,18,False,0.5492278337478638,0.0
4393,19,False,0.0,0.0
4420,20,True,0.8268542289733887,0.6871842709362768
3549,21,False,0.4714507460594177,0.3441236008058426
1123,22,False,0.0,0.0
1360,23,False,0.5440758466720581,0.0
2971,24,True,0.7427478432655334,0.5180191265905408
4547,25,False,0.8250794410705566,0.0
3939,26,False,0.0,0.0
1714,27,True,0.7102834582328796,0.4447495899966607
968,28,True,0.7136503458023071,0.5237849266164972
481,29,False,0.5902588367462158,0.4119207628409106
2887,30,False,0.5567136406898499,0.0
2016,31,False,0.0,0.0
1492,32,True,0.6906804442405701,0.6014167670256413
1056,33,False,0.0,0.0
2652,34,False,0.5954566597938538,0.0
959,35,False,0.0,0.0
294,36,False,0.4787548184394836,0.227866357593825
2574,37,True,0.8432254791259766,0.75
273,38,False,0.5381629467010498,0.2606430175713434
3499,39,False,0.8053353428840637,0.7719298245614035
2673,40,False,0.8621240258216858,0.6067798762169179
138,41,True,0.8456442356109619,0.73729610537109
2225,42,False,0.0,0.0
3092,43,False,0.6774252653121948,0.0
910,44,False,0.4420614242553711,0.0
1662,45,True,0.5970669984817505,0.46875
54,46,True,0.6520261764526367,0.6199262138660518
4494,47,False,0.5381723046302795,0.2480694691784169
2011,48,False,0.4896768927574157,0.0
2336,49,True,0.826538622379303,0.7045454545454546
4736,50,True,0.7522130608558655,0.5012804118276031
2013,51,True,0.8344645500183105,0.7216878364870323
505,52,False,0.6925382614135742,0.5447047794019222
959,53,False,0.0,0.1508867072308635
3074,54,False,0.0,0.0
3404,55,False,0.5260612368583679,0.600099198148979
5054,56,False,0.0,0.1307549256439553
3082,56,False,0.0,0.0
2240,56,False,0.0,0.0
3749,57,False,0.0,0.0
1367,58,False,0.6622620820999146,0.4576043153224294
4351,59,False,0.5214569568634033,0.375
4202,60,False,0.0,0.0
546,61,True,0.8232012987136841,0.6596992457003137
4872,62,True,0.6016750335693359,0.496528831492336
4290,63,False,0.0,0.0
4949,64,True,0.7009420990943909,0.2820047736298581
4836,65,True,0.6258231401443481,0.580142307501279
824,66,True,0.8515701293945312,0.8366600265340756
5051,67,True,0.5654706358909607,0.0
4896,68,False,0.4136471450328827,0.2590433063873256
639,69,False,0.0,0.0
768,70,False,0.5972437262535095,0.1860521018838127
3262,71,False,0.0,0.0
2451,72,True,0.7614636421203613,0.7678571428571429
11,73,True,0.5308917164802551,0.5091750772173156
2322,74,False,0.0,0.2592814894208657
3188,75,True,0.7873584628105164,0.7372097807744856
83,76,False,0.5299309492111206,0.3271399516188836
4734,77,False,0.0,0.4225771273642583
4356,78,True,0.6739276647567749,0.3840830938432625
495,79,True,0.4162889420986175,0.3000741015202112
2467,80,True,0.6524614095687866,0.1492357907975539
2698,81,False,0.0,0.3615507630310936
2210,82,False,0.0,0.0
1891,83,True,0.6983941793441772,0.5578592085389683
4030,84,True,0.8292006254196167,0.5954068852869262
4030,85,True,0.8194249868392944,0.0
438,86,True,0.7778394818305969,0.5654527761937889
3174,87,False,0.0,0.261785157202368
140,88,False,0.5241491794586182,0.1702764893936819
4093,89,True,0.6362155079841614,0.375624113212674
2625,90,True,0.6820045113563538,0.5547950410914818
