D1,D2,responses
0,2675,False
1,9637,True
1,1467,True
2,9312,False
2,5089,False
2,9603,False
2,3347,False
2,165,False
2,3029,False
3,2335,False
3,3507,False
3,5653,True
3,5481,False
3,6154,True
4,7330,True
4,5670,False
4,748,True
4,973,True
6,3679,False
6,464,False
6,9271,False
6,9112,False
6,4253,False
7,4818,False
7,3333,False
9,4355,True
9,8453,False
9,6277,False
9,6840,True
9,1452,True
9,4701,False
10,800,False
10,8881,False
10,5876,False
10,1676,False
11,8916,False
12,5744,False
12,7526,False
12,5270,False
12,6199,False
12,1036,True
13,1102,False
13,3896,False
13,648,False
13,4954,False
13,6187,False
13,5261,False
14,1491,True
16,4782,False
16,2535,True
17,8430,True
17,6915,True
17,7494,False
18,2787,False
18,7941,False
18,7830,False
18,2839,False
18,6347,True
19,2976,False
19,3780,True
21,7781,True
21,8760,False
22,3128,True
22,5276,False
23,2834,True
23,533,True
23,3373,True
24,2462,True
24,5153,True
24,819,True
24,8553,True
25,8961,True
25,4266,True
25,346,False
26,591,False
26,6032,False
26,1957,False
26,7526,False
26,8925,False
27,3211,False
28,769,True
28,4921,False
29,6017,False
29,88,False
30,3714,False
30,2483,False
30,3621,False
30,9576,False
30,1273,False
30,2345,False
31,5683,False
31,2998,False
31,6775,False
31,87,False
31,1927,False
31,5308,False
32,640,False
32,5552,False
32,1091,False
32,1417,False
32,6202,False
32,986,False
33,2350,False
33,2465,True
33,675,True
33,276,False
33,363,True
33,6732,False
34,7217,True
34,9633,True
34,3218,True
35,8940,False
36,383,False
36,5444,True
36,2436,True
36,9782,True
36,136,False
36,5896,True
37,5520,False
37,2965,False
38,4463,False
38,7888,False
38,2516,False
38,9464,False
39,2846,False
39,8932,False
39,4199,True
39,9912,True
39,2585,True
39,2332,True
40,4744,False
40,5770,False
40,8138,False
40,4012,False
41,66,True
41,3925,True
41,5722,True
41,8876,True
42,2623,False
42,5152,False
42,5346,True
42,246,True
42,233,False
42,4763,True
43,4610,False
43,9714,False
43,5705,False
45,8606,False
45,1634,True
45,1974,True
49,9974,True
49,5563,True
49,9837,True
50,1216,False
50,5568,False
50,3380,False
52,3229,True
53,6976,True
53,6263,True
54,4691,True
54,5192,True
54,8202,True
56,622,False
56,391,False
56,4187,False
57,6222,True
57,4447,False
57,9409,True
57,2876,True
58,6495,True
58,8583,True
58,683,True
58,6571,True
58,2989,True
59,8452,False
59,3237,True
59,3307,True
59,5980,True
60,7502,False
60,3571,True
60,2293,True
60,7530,False
60,7293,False
61,5263,False
61,5619,False
61,2859,False
61,7244,False
62,5203,False
62,8100,True
63,8566,False
63,1270,False
63,7675,False
63,7308,True
63,9404,True
64,3887,False
64,7856,True
66,5918,False
66,3925,True
66,2422,False
66,5722,True
66,8876,True
67,1135,True
67,9970,True
67,5859,True
67,7177,True
68,2703,True
68,8021,True
68,9656,True
68,9448,True
68,541,True
70,1374,False
70,3772,False
71,1700,True
71,4333,False
72,7908,False
72,2235,False
73,1600,True
73,1977,True
73,8236,True
74,6942,False
74,596,False
74,9925,False
74,4983,False
74,7784,False
74,219,False
75,7278,True
75,9824,True
75,2324,True
75,2596,True
75,9129,True
75,509,True
76,2240,False
76,1877,True
76,1291,False
76,3612,True
77,9535,True
77,2325,False
77,3355,True
77,6860,True
78,3025,False
78,9221,False
78,9735,True
78,5496,False
78,2234,False
80,5982,True
80,914,True
80,6346,True
81,7460,True
81,2470,True
81,5655,True
82,430,True
82,4626,True
82,5274,False
83,7497,False
84,5297,True
84,8130,False
84,531,False
84,2950,False
84,7673,False
84,3051,False
85,7378,False
86,7172,False
86,9309,False
87,3890,False
87,2998,False
87,1927,False
87,8938,False
87,5308,False
88,2961,False
88,2035,False
89,4689,False
89,4708,False
89,9351,False
89,8968,False
89,6121,False
89,1835,False
90,7283,True
90,9958,True
91,9898,False
92,6439,False
93,2704,False
93,848,True
93,8498,True
93,5307,False
93,2652,False
93,5373,True
94,3585,True
94,5538,True
95,1934,False
95,3778,True
95,6418,False
95,421,True
96,215,True
96,5240,True
96,9418,True
97,470,False
98,4129,False
98,3397,False
98,9623,False
98,4139,False
99,9519,False
99,6864,False
99,5987,False
99,7336,False
99,7624,False
100,4798,True
100,9089,False
100,5958,True
100,6155,False
101,8933,True
102,1020,False
103,1699,False
103,6884,False
103,5225,False
103,1514,True
104,7115,True
104,1307,True
104,4556,True
105,911,False
105,2713,False
105,8684,False
107,6319,True
107,5835,False
108,335,True
108,7000,True
108,619,True
108,7931,True
109,9080,False
110,2959,False
110,1809,True
110,9092,True
110,6507,True
110,4220,True
111,576,False
111,1104,True
111,9729,True
111,5635,True
111,1512,True
112,8724,True
112,1221,True
112,7445,True
113,4914,False
113,3447,False
113,3755,False
113,3868,False
113,4781,True
114,7310,True
114,9674,False
115,288,False
