D1,D2,responses
0,1317,False
0,348,False
0,27373,False
1,21952,False
1,39076,False
1,28085,False
1,30470,False
1,47911,False
1,41398,False
1,35981,False
2,47029,False
2,5093,False
2,15032,True
2,344,True
2,19240,True
2,21884,False
3,6066,False
3,35236,False
3,47018,False
4,37007,False
4,7218,False
4,5556,False
4,4981,False
4,38794,False
4,39130,True
4,25805,False
5,19861,True
5,30617,False
5,30122,True
5,40922,True
5,47052,False
6,46737,False
6,34244,False
6,23031,False
6,26089,False
6,1771,False
7,43607,True
7,3720,True
7,37947,True
8,23087,False
8,17223,False
9,36370,False
9,3862,False
9,48892,False
10,20586,False
11,4021,False
11,38566,False
11,41432,False
11,30281,False
11,23964,False
11,6925,False
12,29311,False
12,33119,False
12,48337,False
12,38644,False
12,15543,False
13,34297,False
13,40856,False
14,8986,False
15,41815,False
16,17202,False
16,12434,False
16,45063,False
16,29128,False
16,13740,False
17,42295,False
17,22349,True
18,23698,True
18,32604,False
18,12397,False
19,36216,False
19,48556,True
19,36189,True
20,31609,False
21,18386,False
21,28325,False
21,46983,False
21,17820,False
21,17084,True
22,3780,True
22,23062,True
23,19230,False
23,13461,False
23,44345,False
23,17468,True
23,21149,True
24,17435,False
24,21436,True
25,21074,False
25,15750,False
25,8328,False
25,49337,False
25,33177,False
25,34363,False
25,24812,False
26,41391,False
26,36225,False
26,24707,False
26,16152,False
26,3944,False
27,21087,False
27,49473,False
27,16017,False
27,11780,False
28,23262,False
28,15792,False
28,1955,False
28,32324,False
28,9380,False
28,42439,False
28,6781,False
29,39185,False
29,11736,False
30,11044,False
30,40806,False
30,39929,False
31,8072,False
31,32713,False
32,33361,True
32,47779,False
32,46866,True
32,4692,True
32,7928,True
32,39449,False
32,42957,True
33,6102,False
33,6824,True
33,3148,False
33,32429,False
33,14589,False
34,22062,False
34,27153,False
34,37050,False
35,37952,False
35,9938,False
35,37622,False
35,17913,False
36,25310,False
36,46355,False
36,46501,False
36,32388,False
37,34527,False
37,6535,False
38,33166,False
38,45568,False
38,48627,False
38,16148,False
38,27528,True
38,37945,True
38,23705,False
39,37625,True
40,22641,True
40,25266,False
40,38118,False
40,11146,False
40,38475,True
40,20157,True
41,31774,True
41,16798,True
41,12237,True
42,11230,False
42,42207,False
42,45360,False
42,11703,False
42,3528,False
43,20862,True
43,16257,True
43,13303,True
44,47367,True
45,36884,False
47,26516,True
47,27912,True
48,12861,False
48,12605,False
49,24382,True
49,15327,True
49,26797,False
51,3345,False
51,2265,False
51,43979,False
51,5451,False
51,44412,True
52,36022,False
52,13433,False
53,377,False
54,24432,True
54,39760,True
54,23138,False
54,18149,True
54,139,True
54,37356,False
55,178,False
55,26338,False
55,15732,False
55,15605,False
55,30983,False
55,48488,False
55,30940,False
56,31103,False
56,40846,False
56,11620,False
56,24104,False
56,3434,True
57,34112,True
57,13409,True
57,33522,False
57,34907,True
57,42876,True
58,35743,True
58,6608,False
58,7522,False
58,34821,True
58,14007,True
58,12889,False
58,9900,True
59,46879,True
59,274,True
59,27145,True
59,23482,False
59,634,True
60,3790,False
60,42713,False
60,47565,True
61,43735,True
61,48731,True
61,10173,True
62,48127,False
62,28431,False
62,9137,False
62,41123,False
62,11496,False
62,17658,False
62,3581,False
64,34430,False
64,15816,False
65,10960,False
65,13649,False
65,41032,False
65,47163,False
65,20315,False
65,45804,False
65,3949,True
66,40368,False
66,46309,False
66,36213,False
66,30728,False
66,7529,False
66,5595,False
67,34704,True
67,26722,False
67,18611,True
67,4794,True
67,27900,False
68,4403,False
68,9069,True
68,4141,True
69,11695,False
69,28560,False
69,42355,False
69,43266,False
69,31460,False
69,41044,False
69,47020,False
71,30532,True
71,27703,True
71,11420,True
72,595,True
