D1,D2,responses
0,886,False
1,151,False
2,33,False
2,426,False
3,192,True
4,150,False
5,188,False
6,210,False
7,158,False
8,37,False
9,174,False
9,144,False
9,176,False
9,742,False
9,57,False
9,138,False
10,174,False
10,144,False
10,176,False
11,174,False
11,144,False
11,176,False
11,743,False
11,57,False
12,58,False
13,194,False
13,58,False
14,333,False
15,333,False
16,832,False
16,482,False
17,830,False
17,564,False
18,208,False
19,39,False
19,40,True
20,40,False
21,193,False
22,62,False
22,737,False
23,969,False
23,479,True
23,1029,False
24,42,False
25,21,False
26,198,False
27,47,True
28,48,False
29,41,False
29,43,False
30,41,False
30,43,False
31,631,True
32,174,False
32,50,False
32,1060,False
32,57,False
32,34,False
32,35,False
32,742,False
32,234,False
33,195,True
35,196,False
36,225,False
37,167,False
37,385,False
38,189,False
39,969,False
40,54,False
40,33,False
41,796,False
41,797,False
42,796,False
42,385,False
42,797,False
43,220,False
43,342,False
43,175,False
43,820,False
44,191,False
45,762,False
45,219,False
46,214,False
46,1058,False
46,209,False
47,79,True
47,521,False
48,63,False
49,101,False
50,55,False
51,350,False
52,61,False
53,116,False
53,124,False
54,64,True
55,101,False
56,106,False
57,105,False
57,539,False
58,20,False
59,165,False
59,166,False
59,16,False
60,157,False
60,676,False
61,77,True
62,59,False
63,1024,False
63,344,False
64,72,True
65,74,True
66,312,False
66,724,False
67,221,False
68,1058,False
69,571,False
70,937,False
71,342,False
71,175,False
71,1058,False
72,76,False
72,77,False
73,682,False
73,219,False
74,781,False
74,219,False
75,224,True
76,286,False
76,111,False
77,342,False
77,175,False
77,1058,False
78,80,True
79,146,False
80,75,False
81,647,False
81,254,False
82,68,False
83,197,False
84,145,True
84,146,False
85,152,False
85,555,False
86,207,False
87,71,False
87,272,False
87,676,False
88,49,False
89,20,True
90,84,False
91,85,False
92,85,False
93,86,False
93,924,False
93,96,False
94,924,False
94,97,False
94,83,False
95,85,False
96,84,False
97,38,False
98,190,True
99,18,True
100,26,False
101,133,False
102,206,False
102,320,False
102,386,False
103,165,False
103,166,False
104,112,False
105,465,False
105,466,True
106,91,True
107,313,False
108,121,False
109,84,False
109,100,False
109,98,True
109,83,False
110,84,False
110,100,True
110,98,False
111,351,False
111,354,False
111,243,False
112,51,False
113,222,False
113,476,False
114,122,False
116,25,True
117,509,False
117,142,False
118,129,False
119,119,False
120,173,False
120,265,False
121,126,False
122,135,True
122,331,False
123,78,True
124,82,False
125,127,False
126,29,False
127,27,True
128,27,False
129,856,False
129,349,False
129,904,False
130,200,False
131,172,True
132,148,False
133,199,False
133,273,False
134,9,False
135,143,True
136,356,True
137,401,False
137,235,True
138,28,False
139,904,False
140,856,False
140,349,False
141,933,True
141,170,False
142,933,False
142,170,True
143,463,False
143,242,False
144,1030,False
144,275,False
146,173,False
146,138,True
147,331,False
148,351,False
148,354,False
148,243,False
149,221,False
149,267,False
150,205,True
151,186,False
152,173,False
152,265,False
153,244,True
154,237,True
155,134,False
156,187,False
157,560,False
157,501,False
157,897,False
157,700,False
157,62,False
157,739,False
157,710,False
157,1042,False
158,204,True
158,236,False
159,236,False
159,408,False
160,4,True
161,234,True
162,110,True
163,232,True
164,73,False
165,32,False
166,814,False
168,938,False
168,255,True
169,245,False
169,932,False
170,156,False
170,155,False
171,45,True
172,257,False
172,354,False
