D1,D2,responses,s-weight,weight
3,436,True,0.5121687650680542,0.1
4,2284,False,0.5919520854949951,0.1
8,3335,False,0.0,0.1
9,890,True,0.7437613606452942,0.1
10,1484,False,0.5805370211601257,0.1
10,5104,True,0.763752281665802,0.1
11,73,True,0.5308917164802551,0.1
19,1263,True,0.7274896502494812,0.2
21,4889,True,0.7204132080078125,0.1
23,5026,True,0.8474622964859009,0.1
26,5190,True,0.7632163763046265,0.1
27,5834,True,0.5460893511772156,0.1
30,759,False,0.0,0.1
31,3869,True,0.6939626932144165,0.1
33,2688,False,0.0,0.1
33,1494,True,0.8688443899154663,0.1
33,4089,False,0.4720751941204071,0.1
34,2605,True,0.6510984897613525,0.1
37,1450,False,0.5830063819885254,0.1
40,2930,True,0.6639564037322998,0.2
41,1694,True,0.8483496308326721,0.1
42,734,True,0.598915696144104,0.1
44,2757,True,0.7262867093086243,0.1
45,3384,True,0.0,0.1
45,2168,True,0.8029116988182068,0.1
49,4413,True,0.6892825961112976,0.1
50,3695,True,0.7679340839385986,0.1
54,46,True,0.6520261764526367,0.1
58,1668,True,0.6926147937774658,0.2
59,5832,False,0.427620530128479,0.1
59,6037,False,0.0,0.1
64,2415,False,0.8266816735267639,0.1
64,1432,False,0.0,0.1
66,4373,True,0.7126305103302002,0.1
68,4927,True,0.7524594068527222,0.1
69,738,True,0.5936456918716431,0.1
73,5312,True,0.5640683770179749,0.1
75,1437,True,0.8596277832984924,0.1
77,5547,True,0.6893410682678223,0.1
79,3271,True,0.8784659504890442,0.1
81,5921,True,0.9195994138717652,0.1
82,1005,True,0.7651561498641968,0.1
82,5050,False,0.3989185392856598,0.2
83,76,False,0.5299309492111206,0.1
89,3288,True,0.5895030498504639,0.1
90,5260,True,0.7828311920166016,0.1
91,2658,False,0.0,0.1
91,2756,True,0.7655919790267944,0.1
92,4449,False,0.0,0.1
92,1696,False,0.0,0.1
92,554,False,0.0,0.1
95,971,False,0.0,0.1
95,3319,True,0.6821219325065613,0.1
99,3085,True,0.6566583514213562,0.1
100,2766,True,0.665969729423523,0.2
100,1320,False,0.0,0.2
102,2294,True,0.0,0.1
110,3604,True,0.728653073310852,0.1
111,3685,True,0.5479689836502075,0.1
111,2113,False,0.0,0.1
112,2376,True,0.3263565003871918,0.1
114,5191,False,0.8782569169998169,0.1
114,3692,False,0.0,0.1
115,3616,True,0.6682067513465881,0.1
118,805,False,0.6342483758926392,0.1
119,1251,True,0.7331428527832031,0.1
120,3948,True,0.6643410325050354,0.2
