dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
abt,buy,D2,gemma3n-z-p1,908.49,59.67,97.22,73.95,1.00,vector_based_examples_dict_1,1582,70.61
abt,buy,D2,gemma3n-z-p2,889.31,54.83,97.53,70.20,1.00,vector_based_examples_dict_1,1727,75.51
abt,buy,D2,qwen2.5-z-p1,528.83,87.87,85.07,86.45,1.00,vector_based_examples_dict_1,940,25.21
abt,buy,D2,qwen2.5-z-p2,525.93,86.80,87.33,87.06,1.00,vector_based_examples_dict_1,977,27.53
abt,buy,D2,llama3.1-z-p1,532.06,51.26,94.03,66.35,1.00,vector_based_examples_dict_1,1781,82.14
abt,buy,D2,llama3.1-z-p2,529.78,57.53,91.25,70.57,1.00,vector_based_examples_dict_1,1540,75.39
abt,buy,D2,orca2-z-p1,454.31,69.01,86.92,76.94,1.00,vector_based_examples_dict_1,1223,58.87
abt,buy,D2,orca2-z-p2,451.15,68.20,87.23,76.55,1.00,vector_based_examples_dict_1,1242,59.90
abt,buy,D2,openhermes-z-p1,456.93,71.53,92.38,80.63,1.00,vector_based_examples_dict_1,1254,55.02
abt,buy,D2,openhermes-z-p2,449.74,70.88,93.00,80.45,1.00,vector_based_examples_dict_1,1274,55.97
abt,buy,D2,zephyr-z-p1,491.37,57.27,96.19,71.79,1.00,vector_based_examples_dict_1,1627,100.00
abt,buy,D2,zephyr-z-p2,492.53,70.05,91.76,79.45,0.99,vector_based_examples_dict_1,1256,100.00
abt,buy,D2,gemma3n-ft-p1,1234.83,56.20,98.04,71.44,1.00,vector_based_examples_dict_1,1694,75.32
abt,buy,D2,gemma3n-ft-p2,1142.69,61.53,97.53,75.46,1.00,vector_based_examples_dict_1,1539,67.90
abt,buy,D2,gemma3n-tf-p1,1236.41,66.74,94.64,78.28,1.00,vector_based_examples_dict_1,1377,59.69
abt,buy,D2,gemma3n-tf-p2,1142.82,68.51,94.54,79.45,1.00,vector_based_examples_dict_1,1340,56.49
abt,buy,D2,qwen2.5-ft-p1,543.18,88.04,85.68,86.85,1.00,vector_based_examples_dict_1,945,23.49
abt,buy,D2,qwen2.5-ft-p2,537.54,88.70,85.68,87.17,1.00,vector_based_examples_dict_1,938,22.28
abt,buy,D2,qwen2.5-tf-p1,536.73,84.91,89.80,87.29,1.00,vector_based_examples_dict_1,1027,29.50
abt,buy,D2,qwen2.5-tf-p2,535.22,86.20,88.77,87.47,1.00,vector_based_examples_dict_1,1000,27.10
abt,buy,D2,llama3.1-ft-p1,544.23,46.17,92.38,61.56,1.00,vector_based_examples_dict_1,1943,89.50
abt,buy,D2,llama3.1-ft-p2,540.69,45.99,95.16,62.01,1.00,vector_based_examples_dict_1,2009,89.25
abt,buy,D2,llama3.1-tf-p1,542.13,30.58,99.69,46.81,1.00,vector_based_examples_dict_1,3165,98.33
abt,buy,D2,llama3.1-tf-p2,542.13,30.61,100.00,46.87,1.00,vector_based_examples_dict_1,3172,98.52
abt,buy,D2,orca2-ft-p1,474.93,33.88,94.34,49.85,0.99,vector_based_examples_dict_1,2702,100.00
abt,buy,D2,orca2-ft-p2,465.06,42.26,93.10,58.14,1.00,vector_based_examples_dict_1,2139,100.00
abt,buy,D2,orca2-tf-p1,473.04,43.06,86.61,57.52,0.99,vector_based_examples_dict_1,1952,100.00
abt,buy,D2,orca2-tf-p2,465.06,53.59,85.27,65.82,1.00,vector_based_examples_dict_1,1545,79.16
abt,buy,D2,openhermes-ft-p1,474.42,70.90,90.32,79.44,1.00,vector_based_examples_dict_1,1237,56.51
abt,buy,D2,openhermes-ft-p2,468.10,69.27,91.45,78.83,1.00,vector_based_examples_dict_1,1282,60.61
abt,buy,D2,openhermes-tf-p1,471.22,72.27,88.57,79.59,1.00,vector_based_examples_dict_1,1190,54.71
abt,buy,D2,openhermes-tf-p2,468.35,72.21,84.04,77.68,1.00,vector_based_examples_dict_1,1130,54.60
abt,buy,D2,zephyr-ft-p1,794.59,65.59,88.16,75.22,0.79,vector_based_examples_dict_1,1051,100.00
abt,buy,D2,zephyr-ft-p2,821.29,73.10,88.16,79.93,0.65,vector_based_examples_dict_1,583,100.00
abt,buy,D2,zephyr-tf-p1,656.87,65.34,89.70,75.61,0.86,vector_based_examples_dict_1,1129,100.00
