dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
cora,cora,gemma3n-z-p2,5790.97,81.31,98.48,89.07,1.00,vector_based_examples_dict_1,18738,99.96
cora,cora,gemma3n-ft-p2,9535.74,90.78,88.05,89.39,1.00,vector_based_examples_dict_1,15004,99.93
cora,cora,gemma3n-tf-p2,9535.44,95.71,73.21,82.96,1.00,vector_based_examples_dict_1,11833,99.90
cora,cora,qwen2.5-z-p2,2953.60,87.17,92.45,89.73,1.00,vector_based_examples_dict_1,16407,99.95
cora,cora,qwen2.5-ft-p2,2992.14,96.48,72.82,83.00,1.00,vector_based_examples_dict_1,11676,99.87
cora,cora,qwen2.5-tf-p2,2990.74,95.88,78.23,86.16,1.00,vector_based_examples_dict_1,12622,99.87
cora,cora,llama3.1-z-p2,3221.45,79.43,92.28,85.38,1.00,vector_based_examples_dict_1,17973,99.96
cora,cora,llama3.1-ft-p2,3244.53,82.33,87.82,84.99,0.99,vector_based_examples_dict_1,16500,99.96
cora,cora,llama3.1-tf-p2,3251.99,81.29,94.70,87.48,0.99,vector_based_examples_dict_1,18022,99.96
cora,cora,orca2-z-p2,1782.15,81.71,97.06,88.73,1.00,vector_based_examples_dict_1,18375,99.97
cora,cora,orca2-ft-p2,1842.94,86.56,74.58,80.13,1.00,vector_based_examples_dict_1,13329,99.97
cora,cora,orca2-tf-p2,1860.68,83.54,84.83,84.18,1.00,vector_based_examples_dict_1,15709,99.93
cora,cora,openhermes-z-p2,1843.65,84.07,96.99,90.07,1.00,vector_based_examples_dict_1,17848,99.96
cora,cora,openhermes-ft-p2,1882.04,90.07,70.76,79.25,1.00,vector_based_examples_dict_1,12153,99.91
cora,cora,openhermes-tf-p2,1885.51,88.96,79.04,83.70,1.00,vector_based_examples_dict_1,13745,99.93
cora,cora,zephyr-z-p2,2202.29,84.04,98.26,90.60,0.89,vector_based_examples_dict_1,18088,99.96
cora,cora,zephyr-ft-p2,3192.56,97.66,41.31,58.06,0.07,vector_based_examples_dict_1,6544,99.53
cora,cora,zephyr-tf-p2,2683.74,97.07,31.53,47.60,0.26,vector_based_examples_dict_1,5025,99.26
cora,cora,gemma3n-ft-p2,6516.93,85.56,91.93,88.63,1.00,vector_based_examples_dict_2,16623,99.95
cora,cora,gemma3n-tf-p2,6518.74,88.23,86.28,87.24,1.00,vector_based_examples_dict_2,15127,99.94
cora,cora,qwen2.5-ft-p2,2967.62,95.98,73.38,83.17,1.00,vector_based_examples_dict_2,11828,99.87
cora,cora,qwen2.5-tf-p2,2964.68,94.11,81.01,87.07,1.00,vector_based_examples_dict_2,13317,99.92
cora,cora,llama3.1-ft-p2,3237.81,82.44,79.15,80.76,0.94,vector_based_examples_dict_2,14852,99.95
cora,cora,llama3.1-tf-p2,3239.99,80.90,95.29,87.51,0.99,vector_based_examples_dict_2,18222,99.96
cora,cora,orca2-ft-p2,1864.02,84.12,89.18,86.57,0.97,vector_based_examples_dict_2,16401,99.96
cora,cora,orca2-tf-p2,1845.01,83.72,84.82,84.27,1.00,vector_based_examples_dict_2,15672,99.96
cora,cora,openhermes-ft-p2,1893.10,89.99,83.08,86.40,1.00,vector_based_examples_dict_2,14282,99.92
cora,cora,openhermes-tf-p2,1884.20,89.50,83.21,86.24,1.00,vector_based_examples_dict_2,14383,99.92
cora,cora,zephyr-ft-p2,2887.51,96.52,74.00,83.77,0.11,vector_based_examples_dict_2,11861,99.87
cora,cora,zephyr-tf-p2,2715.28,96.84,65.34,78.03,0.22,vector_based_examples_dict_2,10438,99.89
cora,cora,gemma3n-ft-p2,6439.39,83.89,96.44,89.73,1.00,join_examples_dict_1,17786,99.96
cora,cora,gemma3n-tf-p2,6436.82,90.15,87.70,88.91,1.00,join_examples_dict_1,15050,99.94
cora,cora,qwen2.5-ft-p2,2963.56,95.41,78.05,85.86,1.00,join_examples_dict_1,12655,99.88
cora,cora,qwen2.5-tf-p2,2961.54,93.11,83.19,87.87,1.00,join_examples_dict_1,13823,99.94
cora,cora,llama3.1-ft-p2,3244.40,81.67,89.06,85.21,0.97,join_examples_dict_1,16870,99.97
cora,cora,llama3.1-tf-p2,3240.53,79.75,98.75,88.24,1.00,join_examples_dict_1,19155,99.96
cora,cora,orca2-ft-p2,1831.90,87.52,85.57,86.53,0.99,join_examples_dict_1,15124,99.96
cora,cora,orca2-tf-p2,1827.13,84.45,88.13,86.25,1.00,join_examples_dict_1,16144,99.94
cora,cora,openhermes-ft-p2,1885.91,88.23,88.50,88.36,1.00,join_examples_dict_1,15518,99.95
cora,cora,openhermes-tf-p2,1878.54,87.35,89.56,88.44,1.00,join_examples_dict_1,15862,99.96
cora,cora,zephyr-ft-p2,2837.42,97.71,72.14,83.00,0.06,join_examples_dict_1,11421,99.87
cora,cora,zephyr-tf-p2,3179.64,97.52,62.67,76.30,0.14,join_examples_dict_1,9942,99.84
cora,cora,gemma3n-ft-p2,9019.47,84.31,94.23,89.00,1.00,join_examples_dict_2,17291,99.96
cora,cora,gemma3n-tf-p2,9014.46,83.68,95.03,88.99,1.00,join_examples_dict_2,17569,99.96
cora,cora,qwen2.5-ft-p2,2984.55,89.56,87.54,88.54,1.00,join_examples_dict_2,15121,99.95
cora,cora,qwen2.5-tf-p2,4739.78,91.30,84.36,87.70,1.00,join_examples_dict_2,14294,99.95
cora,cora,llama3.1-ft-p2,5222.22,82.26,86.15,84.16,0.99,join_examples_dict_2,16202,99.94
cora,cora,llama3.1-tf-p2,5202.01,81.06,97.45,88.50,1.00,join_examples_dict_2,18598,99.96
cora,cora,orca2-ft-p2,3430.26,86.95,82.04,84.42,1.00,join_examples_dict_2,14597,99.96
cora,cora,orca2-tf-p2,3430.72,85.92,84.99,85.45,1.00,join_examples_dict_2,15302,99.95
