dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
cora,cora,gemma3n-z-p2,5985.76,0.00,0.00,0.00,1.00,vector_based_examples_dict_1,20314,99.98
cora,cora,gemma3n-ft-p2,10232.24,90.91,89.98,90.44,1.00,vector_based_examples_dict_1,15444,99.97
cora,cora,gemma3n-tf-p2,10213.55,95.88,74.34,83.75,1.00,vector_based_examples_dict_1,12099,99.83
cora,cora,qwen2.5-z-p2,3157.40,86.22,92.57,89.28,1.00,vector_based_examples_dict_1,16752,99.97
cora,cora,qwen2.5-ft-p2,2766.85,96.50,76.58,85.39,1.00,vector_based_examples_dict_1,12383,99.91
cora,cora,qwen2.5-tf-p2,2766.81,95.98,81.11,87.92,1.00,vector_based_examples_dict_1,13186,99.89
cora,cora,llama3.1-z-p2,3587.26,74.31,91.55,82.03,1.00,vector_based_examples_dict_1,19222,99.97
cora,cora,llama3.1-ft-p2,3094.55,79.87,75.11,77.42,0.95,vector_based_examples_dict_1,14673,99.97
cora,cora,llama3.1-tf-p2,3101.16,77.06,95.40,85.25,0.99,vector_based_examples_dict_1,19317,99.98
cora,cora,orca2-z-p2,1698.58,77.32,97.92,86.41,1.00,vector_based_examples_dict_1,19761,99.98
cora,cora,orca2-ft-p2,1419.20,79.72,80.47,80.09,1.00,vector_based_examples_dict_1,15748,99.97
cora,cora,orca2-tf-p2,1425.42,77.79,84.71,81.10,0.99,vector_based_examples_dict_1,16991,99.95
cora,cora,openhermes-z-p2,1784.87,79.69,96.81,87.42,1.00,vector_based_examples_dict_1,18955,99.97
cora,cora,openhermes-ft-p2,1432.58,87.80,69.86,77.81,1.00,vector_based_examples_dict_1,12415,99.95
cora,cora,openhermes-tf-p2,1434.86,88.82,67.79,76.90,1.00,vector_based_examples_dict_1,11909,99.92
cora,cora,zephyr-z-p2,2170.24,78.34,98.79,87.38,0.90,vector_based_examples_dict_1,19676,99.98
cora,cora,zephyr-ft-p2,2924.67,97.85,57.24,72.23,0.04,vector_based_examples_dict_1,9127,99.82
cora,cora,zephyr-tf-p2,2477.48,95.57,47.75,63.69,0.14,vector_based_examples_dict_1,7796,99.81
cora,cora,gemma3n-ft-p2,6666.70,82.81,95.74,88.81,1.00,vector_based_examples_dict_2,18038,99.97
cora,cora,gemma3n-tf-p2,6666.77,87.48,91.71,89.55,1.00,vector_based_examples_dict_2,16358,99.96
cora,cora,qwen2.5-ft-p2,2765.34,96.33,74.96,84.31,1.00,vector_based_examples_dict_2,12142,99.93
cora,cora,qwen2.5-tf-p2,2765.51,94.22,82.82,88.15,1.00,vector_based_examples_dict_2,13716,99.94
