dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
abt,buy,D2,gpt-5.4-ft-p2,71.10,99.29,78.38,87.61,0.10,vector_based_examples_dict_2,840,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2,71.10,99.53,79.98,88.69,0.10,vector_based_examples_dict_2,855,distilroberta
abt,buy,D2,gpt-5.4-tf-p2,71.35,98.85,81.02,89.05,0.09,vector_based_examples_dict_2,872,TopKJoin
abt,buy,D2,gpt-5.4-tf-p2,71.35,98.87,82.24,89.79,0.09,vector_based_examples_dict_2,885,distilroberta
abt,buy,D2,gpt-5.4-ft-p2,79.30,99.41,78.95,88.00,0.12,join_examples_dict_1,845,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2,79.30,99.42,79.89,88.59,0.12,join_examples_dict_1,855,distilroberta
abt,buy,D2,gpt-5.4-tf-p2,172.86,98.87,82.52,89.96,0.06,join_examples_dict_1,888,TopKJoin
abt,buy,D2,gpt-5.4-tf-p2,172.86,98.89,83.65,90.63,0.06,join_examples_dict_1,900,distilroberta
abt,buy,D2,gpt-5.4-ft-p2,70.65,99.19,80.26,88.73,0.17,join_examples_dict_2,861,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2,70.43,99.54,81.67,89.73,0.17,join_examples_dict_2,873,distilroberta
abt,buy,D2,gpt-5.4-tf-p2,77.17,98.85,80.83,88.93,0.05,join_examples_dict_2,870,TopKJoin
abt,buy,D2,gpt-5.4-tf-p2,77.17,98.64,81.86,89.47,0.05,join_examples_dict_2,883,distilroberta
abt,buy,D2,gpt-5.4-z-p2,77.51,98.84,80.17,88.53,0.11,vector_based_examples_dict_1,863,TopKJoin
abt,buy,D2,gpt-5.4-z-p2,77.51,99.20,81.67,89.59,0.11,vector_based_examples_dict_1,876,distilroberta
abt,buy,D2,gpt-5.4-ft-p2,79.84,99.27,76.32,86.29,0.09,vector_based_examples_dict_1,818,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2,79.84,99.64,77.73,87.33,0.09,vector_based_examples_dict_1,830,distilroberta
abt,buy,D2,gpt-5.4-tf-p2,70.23,99.39,76.03,86.16,0.06,vector_based_examples_dict_1,814,TopKJoin
abt,buy,D2,gpt-5.4-tf-p2,70.23,99.51,77.07,86.86,0.06,vector_based_examples_dict_1,824,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,150.04,99.18,79.32,88.15,0.07,vector_based_examples_dict_1,851,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,150.04,99.42,80.45,88.94,0.07,vector_based_examples_dict_1,861,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,150.04,99.49,73.03,84.23,0.07,vector_based_examples_dict_1,781,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,150.05,99.75,74.34,85.19,0.07,vector_based_examples_dict_1,793,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,142.43,98.87,82.52,89.96,0.10,vector_based_examples_dict_2,888,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,142.62,99.00,83.93,90.84,0.10,vector_based_examples_dict_2,902,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,142.43,99.27,76.88,86.65,0.10,vector_based_examples_dict_2,824,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,142.42,99.52,78.29,87.64,0.10,vector_based_examples_dict_2,837,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,252.14,98.88,83.08,90.30,0.09,join_examples_dict_1,894,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,252.13,98.90,84.12,90.91,0.09,join_examples_dict_1,905,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,252.13,99.64,78.29,87.68,0.09,join_examples_dict_1,836,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,252.13,99.65,79.42,88.39,0.09,join_examples_dict_1,848,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,147.57,98.87,82.42,89.90,0.11,join_examples_dict_2,887,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,147.57,98.67,83.36,90.37,0.11,join_examples_dict_2,899,distilroberta
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,147.57,99.17,78.67,87.74,0.11,join_examples_dict_2,844,TopKJoin
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,147.57,99.53,80.08,88.75,0.11,join_examples_dict_2,856,distilroberta
