dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
walmart,amazon,D8,gpt-5.4-z-p2,146.36,73.33,68.35,70.75,0.99,vector_based_examples_dict_1,795,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-z-p2,146.36,74.49,69.17,71.73,0.99,vector_based_examples_dict_1,792,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2,120.83,76.71,65.65,70.75,0.96,vector_based_examples_dict_1,730,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2,120.83,76.89,65.53,70.76,0.96,vector_based_examples_dict_1,727,distilroberta
walmart,amazon,D8,gpt-5.4-tf-p2,121.91,77.22,66.35,71.37,0.98,vector_based_examples_dict_1,733,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-tf-p2,121.76,77.85,66.35,71.65,0.98,vector_based_examples_dict_1,727,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2,115.16,77.15,75.62,76.38,0.99,vector_based_examples_dict_2,836,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2,115.16,78.10,76.08,77.08,0.99,vector_based_examples_dict_2,831,distilroberta
walmart,amazon,D8,gpt-5.4-tf-p2,122.25,78.35,74.68,76.47,0.98,vector_based_examples_dict_2,813,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-tf-p2,122.25,78.86,74.79,76.77,0.98,vector_based_examples_dict_2,809,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2,115.60,76.07,73.04,74.52,0.81,join_examples_dict_1,819,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2,115.60,76.88,73.27,75.03,0.81,join_examples_dict_1,813,distilroberta
walmart,amazon,D8,gpt-5.4-tf-p2,166.98,75.61,73.04,74.30,0.96,join_examples_dict_1,824,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-tf-p2,166.98,76.34,73.39,74.84,0.96,join_examples_dict_1,820,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2,121.03,78.93,69.40,73.86,0.98,join_examples_dict_2,750,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2,121.03,78.95,69.05,73.67,0.98,join_examples_dict_2,746,distilroberta
walmart,amazon,D8,gpt-5.4-tf-p2,119.32,77.03,64.48,70.20,0.97,join_examples_dict_2,714,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-tf-p2,119.32,77.40,64.24,70.21,0.97,join_examples_dict_2,708,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,242.56,76.01,72.45,74.19,0.97,vector_based_examples_dict_1,813,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,242.56,76.61,72.57,74.53,0.97,vector_based_examples_dict_1,808,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,242.72,78.31,59.67,67.73,0.97,vector_based_examples_dict_1,650,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,242.55,78.33,59.32,67.51,0.97,vector_based_examples_dict_1,646,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,237.38,76.46,78.43,77.43,0.98,vector_based_examples_dict_2,875,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,237.38,77.47,79.02,78.24,0.98,vector_based_examples_dict_2,870,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,237.38,79.51,71.86,75.49,0.98,vector_based_examples_dict_2,771,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,237.38,79.92,71.86,75.68,0.98,vector_based_examples_dict_2,767,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,282.55,74.91,77.02,75.95,0.89,join_examples_dict_1,877,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,282.55,76.00,77.61,76.80,0.89,join_examples_dict_1,871,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,282.55,77.17,68.93,72.82,0.89,join_examples_dict_1,762,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,282.55,77.57,68.93,73.00,0.89,join_examples_dict_1,758,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,240.32,77.79,74.33,76.02,0.97,join_examples_dict_2,815,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,240.32,78.22,74.09,76.10,0.97,join_examples_dict_2,808,distilroberta
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,240.31,78.60,59.44,67.69,0.97,join_examples_dict_2,645,MetaBlocking-Method
walmart,amazon,D8,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,240.31,78.66,59.20,67.56,0.97,join_examples_dict_2,642,distilroberta
