dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
abt,buy,D2,gemma3n-z-p2,889.31,54.83,97.53,70.20,1.00,vector_based_examples_dict_1,1727,75.51,4.38,7.43
abt,buy,D2,qwen2.5-z-p2,525.93,86.80,87.33,87.06,1.00,vector_based_examples_dict_1,977,27.53,5.23,4.78
abt,buy,D2,llama3.1-z-p2,529.78,57.53,91.25,70.57,1.00,vector_based_examples_dict_1,1540,75.39,4.94,10.01
abt,buy,D2,orca2-z-p2,451.15,68.20,87.23,76.55,1.00,vector_based_examples_dict_1,1242,59.90,5.22,5.78
abt,buy,D2,openhermes-z-p2,449.74,70.88,93.00,80.45,1.00,vector_based_examples_dict_1,1274,55.97,4.78,4.56
abt,buy,D2,zephyr-z-p2,492.53,70.05,91.76,79.45,0.99,vector_based_examples_dict_1,1256,100.00,4.78,9.10
abt,buy,D2,gemma3n-ft-p2,1142.69,61.53,97.53,75.46,1.00,vector_based_examples_dict_1,1539,67.90,5.08,7.43
abt,buy,D2,gemma3n-tf-p2,1142.82,68.51,94.54,79.45,1.00,vector_based_examples_dict_1,1340,56.49,5.28,7.43
abt,buy,D2,qwen2.5-ft-p2,537.54,88.70,85.68,87.17,1.00,vector_based_examples_dict_1,938,22.28,5.30,4.78
abt,buy,D2,qwen2.5-tf-p2,535.22,86.20,88.77,87.47,1.00,vector_based_examples_dict_1,1000,27.10,4.90,4.78
abt,buy,D2,llama3.1-ft-p2,540.69,45.99,95.16,62.01,1.00,vector_based_examples_dict_1,2009,89.25,4.90,10.01
abt,buy,D2,llama3.1-tf-p2,542.13,30.61,100.00,46.87,1.00,vector_based_examples_dict_1,3172,98.52,5.12,10.01
abt,buy,D2,orca2-ft-p2,465.06,42.26,93.10,58.14,1.00,vector_based_examples_dict_1,2139,100.00,5.14,5.78
abt,buy,D2,orca2-tf-p2,465.06,53.59,85.27,65.82,1.00,vector_based_examples_dict_1,1545,79.16,4.80,5.78
