dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,gemma3n-z-p2,1880.36,82.15,93.69,87.54,1.00,vector_based_examples_dict_1,2241,TopKJoin
imdb,tmdb,D5,gemma3n-z-p2,1880.36,80.92,91.30,85.80,1.00,vector_based_examples_dict_1,2217,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,2137.01,86.00,93.44,89.56,1.00,vector_based_examples_dict_1,2135,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2,2136.86,84.70,90.99,87.73,1.00,vector_based_examples_dict_1,2111,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,2141.63,87.18,92.42,89.72,1.00,vector_based_examples_dict_1,2083,TopKJoin
imdb,tmdb,D5,gemma3n-tf-p2,2141.63,86.43,90.13,88.24,1.00,vector_based_examples_dict_1,2049,distilroberta
imdb,tmdb,D5,qwen2.5-z-p2,956.05,85.66,93.64,89.47,1.00,vector_based_examples_dict_1,2148,TopKJoin
imdb,tmdb,D5,qwen2.5-z-p2,956.22,84.78,91.30,87.92,1.00,vector_based_examples_dict_1,2116,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,946.58,85.79,93.38,89.42,1.00,vector_based_examples_dict_1,2139,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2,946.58,84.79,91.04,87.80,1.00,vector_based_examples_dict_1,2110,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,946.25,85.74,93.33,89.38,1.00,vector_based_examples_dict_1,2139,TopKJoin
imdb,tmdb,D5,qwen2.5-tf-p2,946.24,84.70,90.99,87.73,1.00,vector_based_examples_dict_1,2111,distilroberta
imdb,tmdb,D5,llama3.1-z-p2,1100.35,80.28,81.63,80.95,1.00,vector_based_examples_dict_1,1998,TopKJoin
imdb,tmdb,D5,llama3.1-z-p2,1100.19,77.93,79.95,78.92,1.00,vector_based_examples_dict_1,2016,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,1091.95,79.00,85.39,82.07,1.00,vector_based_examples_dict_1,2124,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2,1091.95,74.77,83.41,78.85,1.00,vector_based_examples_dict_1,2192,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,1091.54,78.93,91.15,84.60,1.00,vector_based_examples_dict_1,2269,TopKJoin
imdb,tmdb,D5,llama3.1-tf-p2,1091.55,76.07,88.80,81.94,1.00,vector_based_examples_dict_1,2294,distilroberta
imdb,tmdb,D5,orca2-z-p2,554.11,86.09,90.69,88.33,1.00,vector_based_examples_dict_1,2070,TopKJoin
imdb,tmdb,D5,orca2-z-p2,554.11,85.02,88.65,86.80,1.00,vector_based_examples_dict_1,2049,distilroberta
imdb,tmdb,D5,orca2-ft-p2,549.08,85.33,88.19,86.74,1.00,vector_based_examples_dict_1,2031,TopKJoin
imdb,tmdb,D5,orca2-ft-p2,549.08,83.83,86.51,85.15,1.00,vector_based_examples_dict_1,2028,distilroberta
imdb,tmdb,D5,orca2-tf-p2,550.35,85.06,90.69,87.78,1.00,vector_based_examples_dict_1,2095,TopKJoin
imdb,tmdb,D5,orca2-tf-p2,550.23,83.12,88.70,85.82,1.00,vector_based_examples_dict_1,2097,distilroberta
