dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,gemma3n-z-p2,1553.83,80.43,89.11,84.55,1.00,vector_based_examples_dict_1,2177,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-z-p2,1553.82,83.22,87.58,85.35,1.00,vector_based_examples_dict_1,2068,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,1748.32,84.96,90.28,87.54,1.00,vector_based_examples_dict_1,2088,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2,1748.46,85.58,87.58,86.57,1.00,vector_based_examples_dict_1,2011,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,1749.76,86.07,90.28,88.13,1.00,vector_based_examples_dict_1,2061,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-tf-p2,1749.76,86.30,87.18,86.73,1.00,vector_based_examples_dict_1,1985,distilroberta
imdb,tmdb,D5,qwen2.5-z-p2,772.43,84.86,90.69,87.68,1.00,vector_based_examples_dict_1,2100,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-z-p2,772.43,85.58,87.89,86.72,1.00,vector_based_examples_dict_1,2018,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,764.16,84.93,90.03,87.40,1.00,vector_based_examples_dict_1,2083,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2,764.16,85.76,87.38,86.56,1.00,vector_based_examples_dict_1,2002,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,764.08,84.70,90.13,87.33,1.00,vector_based_examples_dict_1,2091,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-tf-p2,764.08,85.66,87.58,86.61,1.00,vector_based_examples_dict_1,2009,distilroberta
imdb,tmdb,D5,llama3.1-z-p2,887.52,70.52,75.11,72.75,1.00,vector_based_examples_dict_1,2093,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-z-p2,887.51,80.41,77.10,78.72,1.00,vector_based_examples_dict_1,1884,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,883.14,67.94,77.66,72.48,1.00,vector_based_examples_dict_1,2246,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2,882.97,78.63,80.51,79.56,1.00,vector_based_examples_dict_1,2012,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,882.97,67.98,81.58,74.16,1.00,vector_based_examples_dict_1,2358,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-tf-p2,882.96,80.29,86.26,83.17,1.00,vector_based_examples_dict_1,2111,distilroberta
imdb,tmdb,D5,orca2-z-p2,421.36,85.13,87.99,86.54,1.00,vector_based_examples_dict_1,2031,MetaBlocking-Method
imdb,tmdb,D5,orca2-z-p2,421.36,85.57,85.39,85.48,1.00,vector_based_examples_dict_1,1961,distilroberta
imdb,tmdb,D5,orca2-ft-p2,421.37,84.01,83.72,83.86,1.00,vector_based_examples_dict_1,1958,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2,421.39,85.14,81.93,83.51,1.00,vector_based_examples_dict_1,1891,distilroberta
imdb,tmdb,D5,orca2-tf-p2,421.98,83.50,87.33,85.37,1.00,vector_based_examples_dict_1,2055,MetaBlocking-Method
imdb,tmdb,D5,orca2-tf-p2,422.00,84.88,85.45,85.16,1.00,vector_based_examples_dict_1,1978,distilroberta
imdb,tmdb,D5,openhermes-z-p2,424.56,82.32,87.68,84.92,1.00,vector_based_examples_dict_1,2093,MetaBlocking-Method
imdb,tmdb,D5,openhermes-z-p2,424.56,85.11,86.36,85.73,1.00,vector_based_examples_dict_1,1994,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,424.95,88.98,58.78,70.79,1.00,vector_based_examples_dict_1,1298,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2,424.94,88.92,55.52,68.36,1.00,vector_based_examples_dict_1,1227,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,424.77,88.50,70.48,78.47,1.00,vector_based_examples_dict_1,1565,MetaBlocking-Method
imdb,tmdb,D5,openhermes-tf-p2,424.77,88.73,67.33,76.56,1.00,vector_based_examples_dict_1,1491,distilroberta
imdb,tmdb,D5,zephyr-z-p2,526.42,86.25,82.04,84.09,0.99,vector_based_examples_dict_1,1869,MetaBlocking-Method
imdb,tmdb,D5,zephyr-z-p2,526.43,86.64,79.90,83.13,0.99,vector_based_examples_dict_1,1812,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,731.97,88.92,30.23,45.12,0.67,vector_based_examples_dict_1,668,MetaBlocking-Method
imdb,tmdb,D5,zephyr-ft-p2,731.97,89.11,29.16,43.94,0.67,vector_based_examples_dict_1,643,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,557.78,88.14,65.04,74.85,0.87,vector_based_examples_dict_1,1450,MetaBlocking-Method
imdb,tmdb,D5,zephyr-tf-p2,557.40,88.03,62.14,72.85,0.87,vector_based_examples_dict_1,1387,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,1795.80,83.62,90.18,86.78,1.00,vector_based_examples_dict_2,2119,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2,1795.79,84.74,87.63,86.16,1.00,vector_based_examples_dict_2,2032,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,1758.99,83.07,89.62,86.22,1.00,vector_based_examples_dict_2,2120,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-tf-p2,1758.98,84.77,87.53,86.13,1.00,vector_based_examples_dict_2,2029,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,770.27,85.36,90.48,87.85,1.00,vector_based_examples_dict_2,2083,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2,770.01,86.10,87.63,86.86,1.00,vector_based_examples_dict_2,2000,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,767.11,85.05,90.59,87.73,1.00,vector_based_examples_dict_2,2093,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-tf-p2,767.10,85.70,87.84,86.76,1.00,vector_based_examples_dict_2,2014,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,885.52,74.28,76.28,75.27,1.00,vector_based_examples_dict_2,2018,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2,885.66,82.70,78.07,80.31,1.00,vector_based_examples_dict_2,1855,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,879.36,64.44,78.93,70.95,1.00,vector_based_examples_dict_2,2407,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-tf-p2,879.34,80.03,86.87,83.31,1.00,vector_based_examples_dict_2,2133,distilroberta
imdb,tmdb,D5,orca2-ft-p2,426.76,73.30,85.24,78.82,1.00,vector_based_examples_dict_2,2285,MetaBlocking-Method
