D1,D2,responses
1023,0,True
1022,0,True
1020,0,False
134,0,False
1023,1,True
1022,1,True
1020,1,False
134,1,False
953,2,True
434,2,True
106,2,False
100,2,False
785,3,False
237,3,True
214,3,True
97,3,False
434,4,True
288,4,True
160,4,True
106,4,True
861,5,False
860,5,False
851,5,False
825,5,True
776,6,True
392,6,True
110,6,False
94,6,False
968,7,False
746,7,False
377,7,True
284,7,False
1023,8,True
1022,8,True
1020,8,True
134,8,True
1023,9,True
1022,9,True
1020,9,True
134,9,True
1021,10,True
1020,10,False
953,10,False
134,10,False
1016,11,True
461,11,True
365,11,True
344,11,True
638,12,False
631,12,False
238,12,False
218,12,True
953,13,True
434,13,True
106,13,False
100,13,False
1059,14,True
785,14,False
237,14,True
214,14,True
965,15,False
821,15,True
402,15,False
389,15,False
448,16,False
238,16,False
218,16,True
59,16,True
1075,17,True
1016,17,True
461,17,True
344,17,True
1014,18,False
227,18,False
99,18,True
89,18,True
1018,19,False
1017,19,False
824,19,True
407,19,False
1014,20,False
598,20,False
99,20,False
89,20,True
151,21,False
96,21,False
32,21,False
25,21,True
1074,22,True
770,22,False
618,22,False
560,22,False
452,23,False
449,23,False
165,23,True
63,23,True
407,24,True
295,24,False
288,24,False
116,24,False
778,25,False
407,25,True
295,25,False
116,25,True
434,26,False
288,26,True
106,26,False
100,26,True
1030,27,False
128,27,True
127,27,True
5,27,False
658,28,False
657,28,False
128,28,True
127,28,True
584,29,False
192,29,False
138,29,False
126,29,True
217,30,False
138,30,True
128,30,False
127,30,False
429,31,True
199,31,False
142,31,False
112,31,False
287,32,False
252,32,False
165,32,True
8,32,False
752,33,False
252,33,False
40,33,False
2,33,True
329,34,True
145,34,False
32,34,False
11,34,True
329,35,True
145,35,False
32,35,False
11,35,True
417,36,False
416,36,False
173,36,False
34,36,True
640,37,False
639,37,False
638,37,False
8,37,True
1052,38,True
237,38,False
214,38,False
97,38,True
1051,39,False
756,39,False
20,39,True
19,39,True
339,40,False
289,40,False
20,40,True
19,40,True
164,41,False
30,41,True
29,41,True
28,41,False
399,42,True
65,42,False
64,42,False
24,42,True
634,43,False
30,43,True
29,43,True
1,43,False
256,44,False
25,44,False
15,44,False
14,44,True
686,45,False
585,45,False
171,45,True
118,45,True
359,46,True
115,46,True
62,46,True
60,46,True
114,47,False
28,47,True
27,47,True
19,47,False
114,48,False
60,48,False
28,48,True
27,48,True
659,49,False
658,49,False
657,49,False
88,49,True
400,50,False
329,50,True
190,50,False
32,50,True
760,51,True
429,51,True
112,51,True
82,51,True
115,52,True
87,52,True
62,52,True
60,52,True
572,53,False
150,53,False
50,53,False
0,53,True
731,54,False
