D1,D2,responses
3333,0,True
977,2,True
591,3,False
2260,4,False
1607,5,True
74,6,False
1739,7,True
690,8,False
4612,9,False
3609,9,False
2881,10,False
2508,11,False
4725,11,False
3135,12,True
3400,13,False
4920,14,False
1448,15,False
3711,16,False
3153,17,False
1174,17,False
895,17,False
1214,18,False
4393,19,False
4420,20,False
3549,21,False
1123,22,False
1360,23,False
2971,24,True
4547,25,False
3939,26,False
1714,27,True
968,28,True
481,29,False
2887,30,False
2016,31,False
1492,32,True
1056,33,False
2652,34,False
959,35,False
294,36,False
2574,37,False
273,38,False
3499,39,False
2673,40,False
138,41,False
2225,42,False
3092,43,False
910,44,False
1662,45,True
54,46,False
4494,47,False
2011,48,False
2336,49,False
4736,50,True
2013,51,True
505,52,False
959,53,False
3074,54,False
3404,55,False
5054,56,False
3082,56,False
2240,56,False
3749,57,False
1367,58,False
4351,59,False
4202,60,False
546,61,False
4872,62,True
4290,63,False
4949,64,True
4836,65,True
824,66,True
5051,67,False
4896,68,True
639,69,False
768,70,False
3262,71,False
2451,72,False
11,73,True
2322,74,False
3188,75,True
83,76,False
4734,77,False
4356,78,True
495,79,True
2467,80,True
2698,81,False
2210,82,False
1891,83,True
4030,84,False
4030,85,False
438,86,False
3174,87,False
140,88,False
4093,89,False
2625,90,True
994,91,False
3956,92,False
791,93,True
4829,94,False
2198,95,False
1593,96,True
948,97,True
1186,98,False
1866,99,False
669,100,False
1746,101,True
2921,102,False
756,102,False
3028,103,True
180,104,False
1018,105,False
2524,106,False
4131,107,False
4075,108,False
4547,109,False
2265,110,False
1913,111,False
4632,112,True
1415,113,False
4198,114,False
4233,115,False
1820,116,False
953,117,False
959,118,False
5000,119,False
1127,120,False
5095,122,True
3359,123,True
1052,124,True
4252,125,False
569,126,False
2591,127,True
4184,128,False
4794,129,False
4184,130,False
3923,131,False
941,131,False
1756,132,False
764,133,True
1848,134,True
991,136,False
4583,137,False
1994,138,False
289,139,True
1868,140,False
1464,141,False
4014,143,False
1429,144,False
2411,145,True
858,146,False
3353,147,True
1224,148,False
1404,149,False
4026,150,False
17,150,True
4829,151,False
808,152,True
2420,153,False
