D1,D2,responses
3333,0,"False, as the first record provides additional information about the person's occupation, which may indicate that they are referring to different individuals"
977,2,"False, as while both records are about hate crimes, they refer to different incidents"
591,3,False
2260,4,False
1607,5,True
74,6,False
1739,7,"False, as the broadcast dates are different"
690,8,False
4612,9,"False, as while both records are related to an episode, they appear to be from different shows or seasons, as the air dates and episode numbers are different"
3609,9,"False, as both records are referring to different episodes of a TV show"
2881,10,"False, the two records are not referring to the same entity as ""Einstein Revealed"" is a specific title for a biography or documentary released in 1996, while ""The Weinstein Company US"" does not directly refer to a particular entity related to this title"
2508,11,False
4725,11,False
3135,12,True
3400,13,False
4920,14,"False, as the two records describe different events and experiences"
1448,15,False
3711,16,"False, as the two records describe different movies"
3153,17,"False, as the episodes are from different days and appear to be separate episodes of a TV show"
1174,17,"False, the two records refer to different episodes of a TV show"
895,17,"False, as the two records describe different episodes of a TV show"
1214,18,False
4393,19,False
4420,20,False
3549,21,False
1123,22,False
1360,23,False
2971,24,False
4547,25,False
3939,26,False
1714,27,True
968,28,True
481,29,"False, as the two records are describing different instances of ""Running with the Bulls"
2887,30,False
2016,31,False
1492,32,False
1056,33,False
2652,34,False
959,35,"False, the records refer to different entities"
294,36,False
2574,37,False
273,38,False
3499,39,"False, as the two records refer to different air dates for the same television program"
2673,40,False
138,41,"False, as the two records are referring to different dates"
2225,42,"False, the two records do not refer to the same entity as they describe different individuals and activities"
3092,43,False
910,44,False
1662,45,True
54,46,"False, as the two records refer to different dates within the same movie title ""Ede's Bombshell"""
4494,47,False
2011,48,False
2336,49,False
4736,50,True
2013,51,False
505,52,False
959,53,"False, as ""Daish?"" and ""The Price"" are two separate TV dramas, despite both being Japanese productions from 2016"
3074,54,False
3404,55,False
5054,56,"False, as the two record descriptions are about different productions and events"
3082,56,False
2240,56,False
3749,57,False
1367,58,False
4351,59,False
4202,60,False
546,61,False
4872,62,True
4290,63,False
4949,64,"False, although both record descriptions are referring to the same TV series ""Die Abenteuer des braven Soldaten Schwejk"", they are not describing the same episode"
4836,65,False
824,66,True
5051,67,"False, as both records are describing different episodes of a TV show"
4896,68,False
639,69,False
768,70,False
3262,71,"False, as both records are describing different events and situations"
2451,72,"False, as the two records refer to different dates (January 1, 1954, and May 23, 1954)"
11,73,False
2322,74,False
3188,75,False
83,76,"False, as both records describe different movies titled ""The Hero"
4734,77,"False, as the dates indicate that ""Gekashitsu"" in both records refers to two different events or productions"
4356,78,"False, as the first record is about a specific book, ""The Trial of Adam Troy"", and the second record describes an event that occurs in a specific game, ""The Tiki"""
495,79,"False, as the records are referring to two different individuals named Wine Maker (in record 1) and Wine Maker Mike (in record 2) participating in different activities"
2467,80,"False, although both records refer to the same TV show, they are not describing the same episode"
2698,81,False
2210,82,False
1891,83,True
4030,84,False
4030,85,False
438,86,False
3174,87,False
140,88,False
4093,89,False
2625,90,True
994,91,False
3956,92,False
791,93,"False, as both records describe different scenarios and characters"
4829,94,False
2198,95,"False, as the release dates are different"
1593,96,True
948,97,True
1186,98,"False, as the two records describe different media formats (audio vs"
1866,99,False
669,100,False
1746,101,False
2921,102,False
756,102,False
3028,103,True
180,104,False
1018,105,False
2524,106,"False, as the dates provided indicate that the records are referring to different instances of ""Dirtiest Water Jobs"""
4131,107,False
4075,108,False
4547,109,False
2265,110,"False, while both records refer to the movie ""Thondimuthalum Driksakshiyum,"" they are describing two different aspects of it - the genre (crime, drama, thriller) in record 1, and a brief summary of the plot in record 2"
1913,111,False
4632,112,True
1415,113,False
4198,114,False
4233,115,False
1820,116,False
953,117,"False, as ""Hitagi kurabu sono ni"" appears to be referring to a specific episode of the anime series ""Oreimo"" (also known as ""My Little Sister Can't Be This Cute""), while ""Hitagi Crab (2)"" refers to a specific episode of the spin-off anime series ""Oreimo Tsuushin Agency: Mite, Kurechau!"" (""Oreimo Tsuushin Agency: Peek, Confess!"") Both episodes feature characters Hitagi and Oshino, but they are different episodes in different series"
959,118,"False, as the two records describe different dramas with different characters and storylines"
5000,119,False
1127,120,False
5095,122,"False, as the two records are referring to different instances in time"
3359,123,True
1052,124,True
4252,125,False
569,126,False
2591,127,False
4184,128,False
4794,129,False
4184,130,False
3923,131,False
941,131,False
1756,132,False
764,133,"False, as the first record provides additional information about James B"
1848,134,False
991,136,False
4583,137,False
1994,138,False
289,139,False
1868,140,False
1464,141,False
4014,143,False
