D1,D2,responses,weight
0,4407,False,0.2666787612158107
0,8365,False,0.0
0,15113,False,0.2722178614686481
1,16720,True,0.4313088035290418
1,16447,False,0.4065987956759849
1,7147,False,0.0
2,18949,False,0.0
2,18028,False,0.3976133679861513
2,16495,False,0.4765187702495964
3,21424,False,0.4022409138923945
3,4378,True,0.4803335705351552
3,4377,False,0.0
4,14172,False,0.2910711189559382
4,14048,False,0.0
4,1470,False,0.0
5,20932,True,0.4749174720869308
5,10424,False,0.0
5,10422,False,0.327567640827119
6,13023,False,0.0
6,9015,False,0.4488655290372549
6,3047,False,0.3719171526308684
7,19193,False,0.2788386702307703
7,17995,False,0.0
7,1303,False,0.5060240963855421
8,19470,False,0.463343394140887
8,10248,False,0.0
8,349,True,0.528223277359081
9,10846,False,0.2503130871608794
9,10052,False,0.0
9,2456,True,0.2741465395665704
10,21365,False,0.3274230937990495
10,20208,False,0.3250576131959479
10,3494,False,0.0
11,12797,False,0.2431273205363943
11,2830,False,0.224627838666293
11,2816,False,0.0
12,7686,False,0.0
12,5666,False,0.0
12,3691,False,0.0
13,12081,False,0.360288346061446
13,7532,False,0.0
13,1627,True,0.3888888888888889
14,13616,False,0.0
14,1699,True,0.6959937112104427
14,1698,False,0.4688517583860896
15,17810,False,0.6610936902417277
15,17364,True,0.7220072577520033
15,4282,False,0.0
16,15183,False,0.4046310373620458
16,15182,False,0.425287356321839
16,13230,False,0.0
17,21288,False,0.2392395479928344
17,18816,False,0.0
17,18014,False,0.0
18,17423,False,0.3252736831667506
18,10879,True,0.3680373690492888
18,4881,False,0.0
19,17429,True,0.5493703305977613
19,11239,False,0.5058399550750968
19,6596,False,0.0
20,16837,True,0.502793317823715
20,2791,False,0.0
20,14080,False,0.0
21,12925,False,0.4910501993413254
21,8915,False,0.0
21,7853,True,0.5108985546879944
22,20961,False,0.6074713990454064
22,17882,False,0.6592611948214577
22,17391,False,0.0
23,19216,False,0.3953477463074335
23,14262,True,0.3896505535597371
23,11991,False,0.0
24,12804,False,0.3548552977501779
24,10757,True,0.3691364005933181
24,10384,False,0.0
25,13012,False,0.4637698592246115
25,1035,False,0.0
25,1033,False,0.0
26,14406,False,0.0
26,4406,False,0.3163646315354801
26,537,False,0.3552798562032137
27,10473,False,0.0
27,9437,False,0.2693054760081116
27,3982,False,0.0
28,19489,False,0.231724548867124
28,14112,False,0.408248290463863
28,13919,False,0.0
29,8071,False,0.0
29,8070,False,0.6023630470009435
29,6031,False,0.5323152239464995
30,15046,False,0.3919276794717019
30,13118,False,0.0
30,11088,False,0.5520524474738834
31,18620,False,0.0
31,16173,False,0.5161500868845837
31,6573,False,0.5687696939916126
32,21567,False,0.6409523767656126
32,20124,False,0.0
32,17836,False,0.6451009791483272
33,11683,True,0.3110453761208996
33,5233,False,0.2870189239409639
33,1117,False,0.0
34,6766,False,0.4531803232405456
34,5118,False,0.0
34,3067,False,0.4445299063132171
35,8092,False,0.0
35,7916,False,0.0
35,604,False,0.2584008443261382
36,21331,False,0.554485809860691
36,8949,False,0.0
36,2991,False,0.4622633141209763
37,14089,False,0.0
37,5601,False,0.6040281960459404
37,5600,False,0.0
38,21628,False,0.0
38,19129,False,0.3666177875533832
38,15683,False,0.0
39,10872,True,0.5342967087424112
39,6882,False,0.0
39,955,False,0.0
40,20123,False,0.5230273466594172
40,12795,False,0.0
40,2828,False,0.0
41,10814,False,0.0
41,10802,False,0.0
41,6816,False,0.0
42,11478,False,0.0
42,7477,False,0.3884227466049727
