D1,D2,responses,weight
4,6738,True,0.2
5,6725,True,0.1
7,6342,False,0.2
8,7228,False,0.2
8,7734,False,0.2
8,4173,False,0.1
8,2627,False,0.2
8,3016,False,0.1
8,1142,True,0.1
14,7237,True,0.2
17,6506,True,0.1
22,6619,False,0.1
22,798,True,0.1
27,5608,False,0.2
27,5844,False,0.1
27,2808,True,0.1
27,5325,False,0.1
27,6392,False,0.1
27,7318,False,0.2
27,5237,False,0.1
31,119,True,0.1
33,6633,False,0.1
42,1078,False,0.1
45,484,False,0.1
45,985,False,0.1
45,1377,False,0.1
48,1122,False,0.1
53,418,False,0.1
53,1388,False,0.1
59,4986,False,0.1
62,7599,False,0.1
62,7276,False,0.1
64,4196,False,0.1
64,7386,False,0.1
65,7717,False,0.1
65,3322,False,0.1
66,7499,False,0.1
66,4714,False,0.1
66,2248,True,0.1
69,3234,False,0.1
69,144,True,0.1
69,2944,False,0.1
69,328,False,0.1
69,1213,False,0.1
69,7525,False,0.1
69,7150,False,0.1
77,1073,False,0.1
77,1291,True,0.1
77,1300,False,0.1
77,1795,False,0.1
77,3220,False,0.1
77,1188,False,0.1
79,1921,False,0.1
79,5346,True,0.2
82,1826,True,0.1
82,2011,False,0.1
83,5044,True,0.1
90,5445,True,0.1
91,3404,True,0.1
91,279,False,0.1
92,3270,False,0.2
92,4672,True,0.1
95,3474,False,0.1
96,6075,False,0.1
97,6258,False,0.1
97,6840,False,0.1
97,856,False,0.2
97,3053,False,0.1
100,1418,False,0.1
100,6887,False,0.1
100,6340,False,0.1
106,387,True,0.1
106,1767,False,0.1
112,5446,True,0.1
113,711,False,0.1
114,7762,False,0.3
115,332,True,0.1
117,6718,True,0.1
118,910,True,0.1
118,5449,False,0.1
118,7793,False,0.2
118,599,False,0.2
118,7304,False,0.2
118,5139,False,0.2
119,7568,False,0.1
119,6954,False,0.1
119,6742,False,0.1
123,455,True,0.1
123,4105,False,0.1
124,5151,False,0.1
125,3023,True,0.1
127,86,False,0.1
127,24,True,0.1
127,1112,False,0.1
134,7460,False,0.1
135,2878,False,0.1
138,6067,True,0.2
138,7510,False,0.3
138,255,False,0.2
138,6709,False,0.2
138,7268,False,0.3
139,5660,True,0.1
149,3568,True,0.1
150,2043,False,0.1
150,2785,False,0.1
150,1526,False,0.1
151,2205,True,0.1
151,3319,False,0.1
152,6546,True,0.1
154,2089,False,0.1
157,727,True,0.1
158,2168,True,0.1
161,3413,False,0.1
161,621,True,0.1
161,5559,False,0.1
161,887,False,0.1
162,1684,True,0.1
163,3134,False,0.2
168,7387,True,0.1
170,5608,False,0.2
170,5236,False,0.1
170,6972,False,0.1
170,7510,False,0.3
170,7318,False,0.2
170,1746,False,0.2
170,5844,False,0.1
171,15,False,0.1
173,470,False,0.1
173,6393,True,0.2
177,256,False,0.1
180,55,True,0.2
180,469,False,0.1
181,2686,False,0.1
182,296,True,0.1
183,4169,False,0.1
183,4782,True,0.1
185,6729,False,0.1
186,6786,False,0.1
186,3682,False,0.2
187,3414,True,0.1
189,891,True,0.2
189,2219,False,0.2
190,3540,False,0.1
193,7777,False,0.1
193,7781,False,0.1
193,6070,False,0.2
193,2616,False,0.2
193,4625,False,0.1
193,7642,False,0.2
196,6659,False,0.1
199,7775,False,0.1
199,7025,True,0.1
199,5383,False,0.1
199,6633,False,0.1
203,4822,True,0.1
208,4886,True,0.1
216,2394,False,0.2
217,3709,True,0.3
221,6856,True,0.1
223,7748,False,0.2
223,5516,False,0.2
223,4069,False,0.1
223,6589,False,0.1
223,3106,False,0.1
223,3495,False,0.1
223,7075,False,0.1
224,2275,True,0.2
227,5641,True,0.1
228,1684,False,0.1
228,1169,False,0.1
228,5831,True,0.3
228,7424,False,0.1
228,4295,False,0.2
241,7734,False,0.2
241,4592,False,0.1
241,6125,True,0.1
241,1843,False,0.1
246,7791,False,0.1
246,1012,True,0.1
247,5396,False,0.1
247,364,True,0.1
247,4174,False,0.1
247,7748,False,0.2
247,5785,False,0.1
247,5028,False,0.2
250,7622,True,0.1
251,807,False,0.1
251,271,False,0.1
252,231,False,0.1
253,5217,False,0.1
255,1024,True,0.3
260,804,True,0.3
262,1949,True,0.1
266,5162,False,0.2
266,3158,True,0.2
269,3896,False,0.1
269,3354,False,0.1
271,37,False,0.2
276,807,True,0.1
276,271,False,0.1
276,1100,False,0.1
278,616,False,0.1
281,453,False,0.1
283,5969,False,0.1
283,287,False,0.1
283,5136,False,0.1
283,2953,False,0.1
284,6333,False,0.1
284,3904,False,0.2
284,5330,False,0.2
284,5992,False,0.1
287,6532,False,0.1
287,4684,False,0.1
287,7624,False,0.1
287,5966,False,0.1
288,2833,True,0.1
290,929,True,0.1
292,1200,True,0.1
294,3134,False,0.2
295,1496,True,0.2
298,502,True,0.1
302,6412,True,0.1
306,2394,False,0.2
306,7440,False,0.1
307,5821,False,0.1
311,1710,False,0.1
311,6872,False,0.1
311,5631,False,0.1
312,7762,False,0.3
312,3036,False,0.2
312,6029,True,0.1
313,204,True,0.1
317,7379,False,0.1
318,4882,False,0.2
319,7440,False,0.1
321,4688,False,0.1
322,5650,True,0.1
327,1974,False,0.1
328,4178,False,0.1
337,3214,False,0.1
339,242,True,0.1
340,5516,True,0.2
341,4870,True,0.2
341,6543,False,0.1
345,6063,False,0.1
345,5618,False,0.1
345,1476,True,0.2
346,2091,True,0.1
348,4444,True,0.1
350,7599,False,0.1
350,7276,False,0.1
352,885,True,0.2
354,2260,False,0.1
355,5339,False,0.1
355,6906,False,0.1
357,6471,False,0.1
357,4601,True,0.1
363,3214,False,0.1
367,6190,False,0.1
367,6047,True,0.1
368,479,False,0.1
369,5087,True,0.1
372,6470,False,0.1
372,6607,False,0.1
372,5771,False,0.1
372,4222,False,0.1
373,1474,True,0.1
374,6651,False,0.1
374,6262,False,0.1
374,5381,False,0.1
379,5664,False,0.1
380,938,False,0.1
387,7623,True,0.1
388,783,True,0.1
389,6826,False,0.1
390,3905,True,0.1
392,544,True,0.1
397,453,False,0.1
405,349,True,0.1
411,7424,False,0.1
411,5831,False,0.3
411,2378,False,0.1
411,4295,False,0.2
412,6314,False,0.1
412,7229,False,0.1
414,5962,False,0.2
414,2901,False,0.2
418,6138,False,0.2
418,6546,False,0.1
421,2886,False,0.1
426,5423,True,0.1
434,504,False,0.1
434,185,False,0.1
434,5010,True,0.1
436,7442,False,0.1
436,7573,False,0.1
437,231,False,0.1
439,434,True,0.1
442,2686,True,0.1
442,2174,False,0.1
452,7800,False,0.1
452,5615,False,0.1
452,3664,False,0.1
452,2276,False,0.1
454,5828,False,0.1
454,5191,False,0.2
454,516,False,0.2
454,7639,False,0.1
455,3038,True,0.1
457,1474,False,0.1
459,2152,True,0.2
461,2498,False,0.1
461,5002,False,0.1
461,344,True,0.1
463,2693,False,0.1
464,7687,True,0.1
473,3997,False,0.1
476,4922,False,0.1
477,1902,False,0.2
480,6799,True,0.1
481,5348,False,0.3
481,5399,False,0.1
481,6918,False,0.1
481,5925,False,0.1
481,4486,False,0.1
481,1328,True,0.1
483,2616,False,0.2
485,7094,False,0.1
486,5286,True,0.1
487,5508,True,0.1
490,5144,False,0.1
490,7752,False,0.1
490,46,False,0.1
492,4953,True,0.2
494,7569,True,0.2
494,7807,False,0.1
494,613,False,0.1
495,4028,False,0.1
495,4792,False,0.3
500,7436,True,0.1
501,6048,False,0.1
502,3342,False,0.1
504,7623,False,0.1
509,1873,True,0.1
510,4686,False,0.1
510,5979,True,0.2
519,7252,False,0.2
520,164,True,0.1
520,1720,False,0.1
522,527,True,0.1
523,726,False,0.1
523,7311,True,0.2
523,6911,False,0.1
524,5394,True,0.1
525,5652,False,0.1
527,1253,True,0.1
527,1778,False,0.1
527,4417,False,0.1
529,203,False,0.2
531,5671,True,0.1
537,6873,False,0.1
539,6961,False,0.1
539,6864,True,0.2
540,1014,False,0.1
541,5969,False,0.1
541,5136,False,0.1
543,2741,False,0.2
545,2510,True,0.1
546,4589,True,0.1
550,7674,True,0.1
551,7763,False,0.1
554,6333,True,0.1
555,6932,True,0.1
557,3628,False,0.1
557,5051,True,0.1
561,7316,False,0.1
562,4479,False,0.1
564,7775,False,0.1
564,7025,False,0.1
564,5383,False,0.1
564,6633,False,0.1
566,3414,False,0.1
566,5650,False,0.1
566,7280,False,0.1
567,7632,True,0.1
569,3508,False,0.2
572,7361,True,0.1
572,7516,False,0.1
576,2520,True,0.1
581,2454,True,0.1
582,5368,True,0.1
585,3025,True,0.1
585,7273,False,0.1
585,4601,False,0.1
588,3652,False,0.1
588,4170,False,0.1
588,2652,False,0.1
588,2628,False,0.1
589,7262,True,0.1
590,713,True,0.2
595,5224,True,0.1
600,7340,True,0.2
602,6500,True,0.1
604,4645,True,0.1
604,6221,False,0.1
608,6064,False,0.2
608,7672,False,0.1
608,2991,False,0.1
608,3495,False,0.1
608,255,False,0.2
608,7642,False,0.2
608,417,False,0.2
608,7318,False,0.2
609,7662,True,0.2
609,7781,False,0.1
609,6479,False,0.1
609,6001,False,0.1
609,2122,False,0.1
612,4083,False,0.1
616,2176,True,0.1
617,4207,False,0.1
617,6048,False,0.1
618,1218,True,0.1
619,7069,True,0.1
620,3990,False,0.1
622,5948,False,0.1
622,3214,False,0.1
625,7499,False,0.1
625,1631,False,0.1
625,4714,False,0.1
625,2248,False,0.1
626,6471,False,0.1
630,4738,False,0.2
631,6913,False,0.1
631,2627,True,0.2
631,7304,False,0.2
631,3016,False,0.1
631,2247,False,0.1
633,1724,False,0.1
634,3673,True,0.1
634,4148,False,0.1
636,5339,False,0.1
636,3355,False,0.1
636,6910,False,0.1
636,4796,True,0.1
636,6339,False,0.1
638,5970,False,0.1
639,1573,False,0.1
639,5234,False,0.1
640,7602,False,0.1
643,1898,True,0.1
644,7690,True,0.1
645,5963,True,0.1
649,6479,False,0.1
649,2187,False,0.1
649,4935,True,0.1
651,4312,True,0.1
654,693,False,0.1
654,2323,False,0.1
654,1834,True,0.2
654,4025,False,0.1
656,1551,True,0.1
656,4781,False,0.1
662,6232,False,0.1
663,3831,True,0.1
663,3214,False,0.1
663,5707,False,0.1
667,6888,True,0.1
668,3205,True,0.1
669,7791,False,0.1
669,7484,False,0.1
670,6441,True,0.1
671,4169,False,0.1
672,956,True,0.2
675,2313,False,0.1
675,7228,False,0.2
675,7297,False,0.1
675,7638,False,0.2
675,6210,False,0.1
675,7160,False,0.1
675,6447,False,0.3
675,6059,False,0.1
677,1274,True,0.1
677,1679,False,0.1
677,6673,False,0.1
677,1869,False,0.1
679,7166,True,0.1
680,7415,False,0.1
680,3134,False,0.2
680,3216,False,0.2
683,2725,False,0.1
683,688,True,0.1
686,3319,True,0.1
690,1026,False,0.1
690,5547,True,0.1
690,4312,False,0.1
691,7032,False,0.1
691,2566,False,0.1
693,7379,False,0.1
693,3537,True,0.1
701,1264,True,0.1
701,3006,False,0.1
701,3808,False,0.1
702,4483,False,0.1
703,7562,False,0.1
705,7207,False,0.1
707,2761,False,0.1
716,1771,True,0.1
717,7628,False,0.1
721,5108,False,0.2
722,6403,False,0.1
722,5092,False,0.1
724,3761,False,0.1
725,7175,True,0.1
728,4195,False,0.2
728,669,False,0.1
728,2187,False,0.1
731,7359,True,0.1
733,5474,False,0.1
733,2106,False,0.1
734,7508,True,0.1
735,3207,True,0.1
737,2171,True,0.2
738,238,False,0.1
740,7397,False,0.1
743,3663,False,0.1
743,6404,True,0.2
744,5387,False,0.1
744,7281,False,0.1
744,7487,False,0.1
745,2511,False,0.1
745,7490,False,0.1
745,2681,False,0.1
752,6401,False,0.2
753,3528,False,0.1
754,4079,False,0.1
755,7199,True,0.1
756,4264,False,0.1
756,5495,False,0.1
756,2051,False,0.1
757,6405,False,0.1
758,453,False,0.1
759,262,True,0.1
760,5559,False,0.1
760,458,True,0.1
764,3413,False,0.1
764,1723,False,0.1
764,5559,False,0.1
764,838,True,0.1
764,3879,False,0.1
767,7255,True,0.1
768,5414,False,0.1
768,7679,False,0.1
768,5784,False,0.1
773,7356,True,0.2
774,904,False,0.2
778,4491,True,0.1
779,90,True,0.1
779,213,False,0.1
781,5613,False,0.1
781,4074,False,0.1
786,782,True,0.1
788,7804,False,0.1
789,337,True,0.1
791,5097,True,0.1
791,639,False,0.1
792,2511,False,0.1
792,2685,False,0.1
798,930,False,0.1
805,6912,False,0.1
806,2349,True,0.1
813,3836,True,0.1
819,6512,False,0.1
819,6186,True,0.1
821,4793,True,0.1
823,358,True,0.1
823,3402,False,0.1
828,7115,False,0.1
828,2671,True,0.1
829,6174,True,0.1
832,4409,False,0.1
833,283,True,0.1
834,3689,False,0.1
836,5638,False,0.1
837,1673,True,0.1
837,7598,False,0.1
837,6332,False,0.1
837,7425,False,0.1
837,7657,False,0.1
843,7731,False,0.1
843,2697,True,0.1
844,6858,False,0.1
845,201,True,0.1
850,226,False,0.1
851,6679,False,0.2
852,6576,True,0.1
852,7786,False,0.2
853,5684,True,0.1
854,3537,False,0.1
854,208,False,0.1
854,108,True,0.1
854,404,False,0.1
855,5712,False,0.1
855,7398,False,0.1
855,3908,False,0.1
855,4854,False,0.1
855,2201,False,0.2
859,2601,True,0.1
859,7504,False,0.2
862,7801,False,0.1
862,5422,False,0.2
862,7006,True,0.1
867,4112,False,0.1
867,6282,False,0.1
874,1426,True,0.1
874,711,False,0.1
874,7257,False,0.1
874,7516,False,0.1
878,5963,False,0.1
881,4230,True,0.1
882,6858,True,0.1
883,7508,False,0.1
884,3437,True,0.1
885,2741,False,0.2
885,2946,False,0.3
886,3659,True,0.2
887,6833,True,0.1
888,6471,False,0.1
895,6258,False,0.1
895,4252,False,0.2
895,4180,False,0.1
