D1,D2,responses,weight
0,2287,True,0.01
2,4592,True,0.01
4,2465,False,0.01
8,5581,False,0.01
8,5547,True,0.01
9,3942,False,0.01
9,5484,False,0.01
11,1730,False,0.01
11,127,False,0.01
14,1341,False,0.01
14,2407,False,0.01
14,3733,False,0.01
14,4965,True,0.01
16,5113,True,0.01
17,7721,True,0.01
17,4632,False,0.01
17,3113,False,0.01
17,5796,False,0.01
17,7777,False,0.01
19,5483,False,0.01
19,1910,True,0.01
19,4001,False,0.01
20,7386,True,0.01
20,6186,False,0.01
21,1076,True,0.01
22,733,True,0.01
28,7780,False,0.01
28,1696,False,0.01
28,502,False,0.01
29,1328,True,0.01
29,6236,False,0.01
31,3168,True,0.01
31,4316,False,0.01
31,6586,False,0.01
35,7111,False,0.01
35,5096,False,0.01
35,5396,False,0.01
35,6570,False,0.01
35,2014,True,0.01
36,7736,True,0.01
40,7801,False,0.01
41,6067,True,0.01
42,340,True,0.01
45,4182,False,0.01
45,1835,True,0.01
50,1481,True,0.01
50,2577,False,0.01
52,696,False,0.01
56,2407,True,0.01
56,4965,False,0.01
56,3914,False,0.01
56,7497,False,0.01
57,3003,True,0.01
57,7615,False,0.01
57,6401,False,0.01
58,5543,False,0.01
58,1012,False,0.01
61,4589,True,0.01
64,958,True,0.01
64,1037,False,0.01
67,6589,False,0.01
67,5785,False,0.01
67,2306,True,0.01
68,787,True,0.01
68,3399,False,0.01
68,3357,False,0.01
68,7457,False,0.01
69,2651,True,0.01
69,5175,False,0.01
69,6470,False,0.01
71,4713,False,0.02
71,3552,True,0.01
71,5827,False,0.02
72,4254,False,0.01
75,1833,False,0.01
76,5044,True,0.01
76,3638,False,0.01
78,6029,False,0.01
78,4494,False,0.01
78,1104,True,0.01
79,3583,False,0.01
79,4028,True,0.01
80,1102,False,0.01
80,1721,False,0.01
80,7785,False,0.01
80,302,True,0.01
83,232,False,0.01
83,907,True,0.01
83,1929,False,0.01
87,3519,False,0.01
89,7772,False,0.01
89,3912,True,0.01
91,7213,False,0.01
93,5723,False,0.01
93,5922,False,0.01
93,6893,False,0.01
93,5097,True,0.01
94,7020,True,0.03
94,777,False,0.01
96,6555,True,0.01
97,976,True,0.01
97,5652,False,0.01
98,7364,False,0.01
98,6358,True,0.01
105,1208,True,0.01
109,1125,True,0.01
111,5167,True,0.01
114,183,True,0.01
115,5954,False,0.01
117,6739,True,0.01
118,244,True,0.01
122,449,False,0.01
122,1390,True,0.01
125,2776,False,0.01
125,1712,False,0.01
125,1523,False,0.01
125,2005,False,0.01
128,3285,True,0.01
132,5607,False,0.01
137,7487,False,0.04
140,1811,False,0.01
141,1976,False,0.01
141,2231,True,0.01
141,421,False,0.01
148,1246,True,0.01
148,128,False,0.01
150,6506,False,0.01
150,4967,True,0.01
152,5107,False,0.01
153,6701,False,0.01
153,1285,True,0.01
154,2903,True,0.01
157,5736,False,0.01
157,569,True,0.01
160,3668,False,0.01
160,6317,False,0.01
160,3736,False,0.01
161,7602,True,0.01
162,5550,False,0.02
162,7223,True,0.02
164,165,True,0.01
164,2017,False,0.01
166,5561,False,0.01
166,7131,False,0.01
167,2911,False,0.01
167,4495,False,0.01
168,5779,False,0.01
168,5013,False,0.01
168,5839,False,0.01
169,2788,True,0.01
169,4597,False,0.01
169,2270,False,0.01
169,7414,False,0.01
169,6130,False,0.01
170,123,True,0.01
170,576,False,0.01
176,7297,False,0.01
176,978,False,0.01
176,1968,False,0.01
176,7070,False,0.01
176,1411,True,0.02
181,1985,False,0.01
181,0,True,0.01
181,5542,False,0.01
181,4694,False,0.01
182,1100,False,0.01
182,5571,False,0.01
182,807,False,0.01
183,7415,True,0.01
184,1798,True,0.01
186,5365,False,0.01
186,6753,False,0.01
188,4892,False,0.01
191,5115,True,0.01
192,4807,False,0.01
193,2658,False,0.01
198,3896,False,0.01
198,5963,True,0.01
202,3942,False,0.01
204,4105,True,0.01
208,603,False,0.01
214,2585,False,0.01
214,768,True,0.01
214,3483,False,0.01
215,5775,True,0.01
218,1100,True,0.01
218,5571,False,0.01
218,807,False,0.01
219,6607,False,0.01
219,1271,False,0.01
219,898,False,0.01
221,3285,False,0.01
223,4929,False,0.01
223,1476,True,0.01
223,5618,False,0.01
224,2002,True,0.01
228,4242,False,0.01
228,66,False,0.01
228,1647,False,0.01
231,7185,False,0.01
231,832,False,0.01
231,5237,True,0.01
232,7580,False,0.01
232,314,False,0.01
234,376,False,0.01
236,3699,True,0.01
240,720,True,0.01
241,713,False,0.01
242,4794,False,0.01
245,22,False,0.01
245,1243,False,0.01
246,7471,False,0.01
246,6335,False,0.01
248,1905,False,0.01
248,3407,True,0.01
252,4542,False,0.01
252,2963,False,0.01
253,3582,True,0.01
253,3590,False,0.01
255,5422,True,0.01
255,7564,False,0.01
258,3304,True,0.01
261,2741,True,0.01
262,3896,False,0.01
262,5963,False,0.01
264,7491,False,0.01
264,3384,True,0.01
267,85,False,0.01
267,3,True,0.01
267,524,False,0.01
271,5517,False,0.01
274,3709,False,0.01
274,6515,True,0.01
279,134,False,0.01
279,3890,False,0.01
279,427,True,0.01
279,5445,False,0.01
281,1424,True,0.01
285,1386,True,0.01
285,3104,False,0.01
285,7469,False,0.01
285,6291,False,0.01
286,999,False,0.01
286,5261,True,0.01
286,6401,False,0.01
287,619,False,0.01
287,2650,False,0.01
291,2651,False,0.01
291,5175,False,0.01
291,6470,False,0.01
293,7513,False,0.01
293,5148,True,0.01
293,5206,False,0.01
300,2247,True,0.01
301,117,True,0.02
307,6845,False,0.01
307,3319,False,0.01
307,436,True,0.01
308,999,True,0.01
308,5261,False,0.01
308,6401,False,0.01
309,859,True,0.01
310,4603,False,0.01
310,5671,False,0.01
311,3980,False,0.01
311,6148,True,0.01
313,1508,True,0.01
316,6093,True,0.01
316,7448,False,0.01
324,3631,True,0.01
328,6581,True,0.01
328,5778,False,0.01
329,1812,True,0.01
332,1870,True,0.01
332,3713,False,0.01
332,6537,False,0.01
335,7281,True,0.01
337,7135,False,0.01
337,1276,False,0.01
340,5256,False,0.12
340,7610,False,0.01
340,6525,True,0.03
340,1049,False,0.01
343,7268,True,0.01
344,2833,True,0.01
345,4420,True,0.01
346,6022,False,0.01
346,7627,False,0.01
346,4791,True,0.19
346,2969,False,0.01
346,4488,False,0.01
351,1787,True,0.01
353,176,False,0.01
353,1968,False,0.01
354,7680,False,0.01
354,1153,True,0.01
354,4433,False,0.01
354,5574,False,0.01
355,3208,False,0.01
358,4438,True,0.01
362,4555,True,0.01
368,2323,False,0.01
368,1834,True,0.01
368,4025,False,0.01
368,693,False,0.01
371,6127,False,0.01
371,2545,True,0.01
374,7090,True,0.02
374,7419,False,0.19
377,1046,False,0.01
378,1990,True,0.01
378,7373,False,0.01
378,2220,False,0.01
378,6030,False,0.01
379,4534,False,0.01
384,5002,True,0.01
385,3808,False,0.01
385,1264,True,0.01
387,7552,False,0.01
389,2776,False,0.01
389,1712,False,0.01
389,1523,False,0.01
389,2005,False,0.01
391,401,False,0.01
391,697,True,0.01
391,3087,False,0.01
393,3178,False,0.01
398,2443,True,0.01
402,3646,False,0.01
402,3492,False,0.01
402,5658,False,0.01
402,4927,False,0.01
403,2069,False,0.01
404,1326,False,0.15
404,4023,True,0.01
404,5556,False,0.04
407,2240,True,0.01
407,3809,False,0.01
407,367,False,0.01
407,7440,False,0.01
415,5648,False,0.01
416,6911,False,0.01
416,2977,False,0.01
418,3918,False,0.01
420,349,True,0.01
420,473,False,0.01
421,7562,True,0.01
423,1683,True,0.01
423,2349,False,0.01
429,5508,True,0.01
431,17,False,0.01
431,356,False,0.01
431,2668,False,0.01
431,418,False,0.01
432,5609,False,0.01
434,2683,False,0.01
437,63,False,0.01
437,32,False,0.01
437,7149,False,0.01
437,2423,True,0.01
439,3592,False,0.01
439,7032,False,0.01
439,5929,True,0.01
439,5475,False,0.01
440,4934,False,0.01
441,6479,True,0.01
443,5517,False,0.01
445,5485,True,0.01
445,800,False,0.01
445,7041,False,0.01
446,7033,False,0.01
447,7437,False,0.01
447,1142,False,0.01
451,2527,False,0.01
451,2800,False,0.01
452,933,True,0.01
453,5193,True,0.01
454,5641,True,0.01
455,840,False,0.01
459,3563,True,0.01
459,1383,False,0.01
463,1241,True,0.01
464,6251,True,0.01
465,942,False,0.01
466,44,False,0.01
467,6708,False,0.01
468,364,True,0.01
470,4559,True,0.01
470,5331,False,0.01
473,4838,False,0.01
473,439,False,0.01
473,34,False,0.01
473,2065,True,0.01
475,7651,False,0.01
475,7399,False,0.01
475,5271,True,0.01
476,2918,False,0.01
478,2798,True,0.01
478,449,False,0.01
478,544,False,0.01
