D1,D2,responses,weight
0,19009,False,0.0002084623049936
0,21897,False,0.0002084623049936
0,9462,False,0.0002553131389194
1,17828,True,0.0005646924393157
1,1643,False,0.0019920476822239
1,16447,False,0.0002716428657578
2,11472,False,0.0020690147215059
2,3384,False,0.0020690147215059
2,18028,False,3.965332746895559e-05
3,10299,False,0.000668153104781
3,4378,True,5.302802418897309e-05
3,21424,False,0.0004980119205559
4,11725,False,7.939749312153186e-05
5,6047,False,8.495802634210858e-05
5,20932,True,0.0046664899508666
5,10422,False,0.002538365412834
6,9015,True,6.7630088842497705e-06
7,1303,True,0.0081104362433904
7,7226,False,0.0026650089544451
7,21840,False,0.0002577020039126
8,2263,False,9.555497043061452e-05
8,18908,False,2.963033849010234e-05
8,10780,False,0.0004990968529306
9,2456,True,0.0001130677821102
9,476,False,5.747805179575947e-05
10,15905,False,7.977983064442326e-05
10,12841,False,7.977983064442326e-05
10,14740,False,7.977983064442326e-05
11,7783,False,0.0001180562672201
11,7666,False,0.0003935208907339
11,3541,False,0.0004250511420422
12,6062,False,0.0005249506569572
12,401,False,2.413914714999916e-05
13,9360,False,0.0001077806500506
13,12285,False,0.0002240064457438
14,1699,False,6.375808599442058e-05
15,17810,False,5.456538672786972e-05
15,17364,False,5.456538672786972e-05
15,4282,True,5.456538672786972e-05
16,7991,False,0.00010314036906
16,3241,False,6.969414512538304e-05
17,11721,False,9.126808071427712e-05
17,1761,False,0.0002414726442081
18,2734,False,9.908588852794144e-05
18,11026,False,0.0016929013265361
19,19596,False,0.0010101525445522
19,17429,False,3.3354093452195634e-05
19,13057,True,5.747126436781609e-05
20,16161,False,0.0005510833927217
20,11936,False,8.73402751347792e-05
20,16837,True,0.0005510833927217
21,14835,True,2.9488370717337368e-05
21,7853,False,3.699492029507539e-05
22,21284,True,4.280307392170385e-05
22,17882,False,3.720238095238095e-05
22,17391,False,3.720238095238095e-05
23,20955,False,0.0001722704647072
23,643,False,0.0002224002136181
23,8253,False,0.0002731117123407
24,13450,False,0.0002674618086463
24,12804,False,0.0001614923142973
24,10757,True,0.0001614923142973
25,6984,True,0.0032224549634855
25,2544,False,0.0001039501601124
25,21826,False,5.120601579687593e-05
26,15322,False,0.0003741305720563
26,18788,False,0.0003741305720563
26,537,True,0.0006415002990995
27,18635,False,0.0001332149726057
27,9821,False,0.0027086816944298
27,10473,False,0.0001226980010842
28,1894,False,0.0025515518153991
28,17011,False,0.0002422735413131
28,14112,False,0.0018042195912175
29,6031,False,0.0001621872800336
29,22010,False,0.0001701034543599
29,8070,True,0.0001793047845466
30,11088,False,0.0003123475237772
30,15046,False,0.0003123475237772
30,13118,True,0.0003478266129707
31,18643,False,0.0004009376869372
31,18620,False,0.0004009376869372
31,16173,True,0.002105469021954
32,11384,False,0.0002215438596186
32,13381,False,0.0002215438596186
32,21567,True,4.029114820126902e-05
33,12551,False,0.0004415107856883
33,6432,False,0.0010814761408717
33,10517,False,0.0004159523618737
34,5118,False,4.115602724364557e-05
34,21044,False,4.115602724364557e-05
34,13062,True,0.002179068168202
35,16020,False,0.0001667000100033
35,8092,False,0.0002538839853786
35,7381,True,0.0002538839853786
