,D1,D2,responses
0,1023,0,True
1,1022,0,True
2,1020,0,True
3,134,0,False
4,1023,1,True
5,1022,1,True
6,1020,1,True
7,134,1,True
8,953,2,True
9,434,2,True
10,106,2,True
11,100,2,True
12,785,3,False
13,237,3,True
14,214,3,True
15,97,3,False
16,434,4,False
17,288,4,False
18,160,4,True
19,106,4,True
20,861,5,False
21,860,5,False
22,851,5,False
23,825,5,True
24,776,6,True
25,392,6,False
26,110,6,False
27,94,6,False
28,968,7,False
29,746,7,False
30,377,7,True
31,284,7,False
32,1023,8,True
33,1022,8,True
34,1020,8,True
35,134,8,True
36,1023,9,True
37,1022,9,True
38,1020,9,True
39,134,9,True
40,1021,10,True
41,1020,10,True
42,953,10,True
43,134,10,True
44,1016,11,True
45,461,11,True
46,365,11,False
47,344,11,False
48,638,12,False
49,631,12,False
50,238,12,False
51,218,12,True
52,953,13,True
53,434,13,True
54,106,13,False
55,100,13,True
56,1059,14,True
57,785,14,False
58,237,14,True
59,214,14,True
60,965,15,False
61,821,15,True
62,402,15,False
63,389,15,False
64,448,16,False
65,238,16,False
66,218,16,False
67,59,16,True
68,1075,17,True
69,1016,17,False
70,461,17,True
71,344,17,True
72,1014,18,False
73,227,18,False
74,99,18,True
75,89,18,False
76,1018,19,False
77,1017,19,False
78,824,19,True
79,407,19,True
80,1014,20,False
81,598,20,False
82,99,20,False
83,89,20,False
84,151,21,False
85,96,21,False
86,32,21,False
87,25,21,True
88,1074,22,True
89,770,22,False
90,618,22,False
91,560,22,False
92,452,23,False
93,449,23,False
94,165,23,False
95,63,23,True
96,407,24,True
97,295,24,True
98,288,24,False
99,116,24,True
100,778,25,True
101,407,25,True
102,295,25,True
103,116,25,True
104,434,26,False
105,288,26,True
106,106,26,False
107,100,26,True
108,1030,27,False
109,128,27,True
110,127,27,True
111,5,27,False
112,658,28,False
113,657,28,False
114,128,28,True
115,127,28,True
116,584,29,False
117,192,29,False
118,138,29,False
119,126,29,True
120,217,30,False
121,138,30,True
122,128,30,False
123,127,30,False
124,429,31,True
125,199,31,False
126,142,31,False
127,112,31,False
128,287,32,False
129,252,32,False
130,165,32,False
131,8,32,False
132,752,33,True
133,252,33,False
134,40,33,False
135,2,33,True
136,329,34,False
137,145,34,False
138,32,34,False
139,11,34,True
140,329,35,False
141,145,35,False
142,32,35,True
143,11,35,True
144,417,36,False
145,416,36,False
146,173,36,False
147,34,36,False
148,640,37,False
149,639,37,False
150,638,37,False
151,8,37,True
152,1052,38,False
153,237,38,False
154,214,38,False
155,97,38,True
156,1051,39,False
157,756,39,False
158,20,39,True
159,19,39,True
160,339,40,False
161,289,40,False
162,20,40,True
163,19,40,True
164,164,41,False
165,30,41,True
166,29,41,True
167,28,41,False
168,399,42,False
169,65,42,False
170,64,42,False
171,24,42,True
172,634,43,False
173,30,43,True
174,29,43,True
175,1,43,False
176,256,44,False
177,25,44,False
178,15,44,False
179,14,44,True
180,686,45,False
181,585,45,False
182,171,45,True
183,118,45,False
184,359,46,False
185,115,46,True
186,62,46,False
187,60,46,False
188,114,47,False
189,28,47,False
190,27,47,True
191,19,47,False
192,114,48,False
193,60,48,False
194,28,48,True
195,27,48,False
196,659,49,False
197,658,49,False
198,657,49,False
199,88,49,False
200,400,50,False
201,329,50,True
202,190,50,False
203,32,50,True
204,760,51,False
205,429,51,False
206,112,51,True
207,82,51,True
208,115,52,True
209,87,52,False
210,62,52,False
211,60,52,False
212,572,53,False
213,150,53,False
214,50,53,False
215,0,53,True
216,731,54,False
217,692,54,False
218,609,54,True
219,40,54,True
220,1042,55,False
221,170,55,False
222,50,55,False
223,21,55,False
224,256,56,False
225,25,56,False
226,15,56,True
227,14,56,False
228,329,57,True
229,32,57,True
230,11,57,False
231,9,57,True
232,86,58,False
233,13,58,False
234,12,58,True
235,3,58,False
236,176,59,False
237,115,59,True
238,62,59,True
239,60,59,False
240,799,60,False
241,796,60,False
242,795,60,False
243,794,60,False
244,799,61,False
245,794,61,False
246,168,61,False
247,52,61,True
248,86,62,False
249,22,62,True
250,12,62,False
251,3,62,False
252,154,63,False
253,81,63,False
254,48,63,True
255,47,63,True
256,799,64,True
257,796,64,False
258,795,64,False
259,794,64,False
260,1066,65,False
261,141,65,False
262,58,65,False
263,25,65,False
264,799,66,True
265,795,66,False
266,794,66,False
267,199,66,False
268,997,67,False
269,988,67,False
270,798,67,True
271,777,67,False
272,760,68,False
273,429,68,False
274,112,68,False
275,82,68,True
276,760,69,True
277,429,69,False
278,112,69,True
279,82,69,False
280,818,70,True
281,640,70,False
282,639,70,False
283,8,70,False
284,176,71,False
285,115,71,False
286,87,71,False
287,60,71,False
288,115,72,False
289,87,72,False
290,65,72,False
291,64,72,True
292,62,72,False
293,176,73,False
294,164,73,False
295,87,73,False
296,80,73,False
297,115,74,True
298,87,74,False
299,65,74,True
300,64,74,False
301,62,74,False
302,1051,75,False
303,756,75,False
304,164,75,False
305,80,75,True
306,605,76,False
307,247,76,False
308,72,76,True
309,61,76,True
310,633,77,False
311,247,77,False
312,228,77,True
313,72,77,True
314,61,77,True
315,952,78,False
316,938,78,False
317,698,78,True
318,123,78,True
319,48,79,False
320,47,79,False
321,20,79,False
322,19,79,False
323,241,80,True
324,226,80,True
325,225,80,True
326,153,80,False
327,78,80,True
328,1015,81,False
329,778,81,False
330,344,81,True
331,194,81,True
332,869,82,False
333,605,82,False
334,315,82,False
335,124,82,True
336,110,83,False
337,96,83,False
338,94,83,True
339,93,83,False
340,110,84,True
341,109,84,True
342,96,84,False
343,93,84,True
344,110,85,True
345,95,85,False
346,92,85,True
347,91,85,False
348,110,86,False
349,96,86,False
350,94,86,False
351,93,86,True
352,110,87,True
353,95,87,True
354,94,87,False
355,93,87,False
356,955,88,True
357,433,88,True
358,198,88,True
359,96,88,True
360,433,89,True
361,198,89,True
362,110,89,False
363,96,89,False
364,756,90,True
365,726,90,False
366,425,90,False
367,24,90,True
368,434,91,True
369,288,91,True
370,106,91,True
371,100,91,True
372,756,92,False
373,726,92,True
374,24,92,False
375,20,92,False
376,998,93,True
377,953,93,False
378,288,93,True
379,100,93,True
380,1059,94,True
381,510,94,False
382,143,94,False
383,96,94,False
384,1071,95,False
385,1044,95,False
386,1040,95,True
387,409,95,True
388,432,96,False
389,110,96,False
390,94,96,False
391,93,96,True
392,392,97,False
393,110,97,False
394,94,97,True
395,93,97,False
396,956,98,True
397,955,98,False
398,110,98,True
399,109,98,True
400,955,99,True
401,433,99,True
402,109,99,False
403,96,99,True
404,110,100,True
405,109,100,True
406,94,100,True
407,93,100,True
408,366,101,True
409,67,101,False
410,55,101,True
411,49,101,True
412,1066,102,True
413,1045,102,False
414,88,102,False
415,58,102,True
416,1052,103,False
417,861,103,False
418,403,103,True
419,97,103,False
420,997,104,False
421,988,104,True
422,777,104,False
423,172,104,True
424,332,105,False
425,330,105,False
426,57,105,True
427,56,105,True
428,332,106,False
429,330,106,False
430,159,106,False
431,85,106,False
432,56,106,True
433,308,107,True
434,289,107,True
435,77,107,True
436,71,107,False
437,269,108,True
438,268,108,True
439,77,108,False
440,71,108,True
441,1015,109,True
442,778,109,True
443,344,109,True
444,194,109,True
445,785,110,False
446,307,110,False
447,306,110,False
448,162,110,True
449,873,111,False
450,483,111,False
451,175,111,False
452,76,111,True
453,999,112,True
454,284,112,True
455,260,112,False
456,104,112,True
457,963,113,False
458,395,113,False
459,282,113,True
460,77,113,False
461,1017,114,False
462,1016,114,True
463,1014,114,True
464,557,114,True
465,785,115,False
466,264,115,True
467,219,115,False
468,162,115,False
469,776,116,False
470,670,116,False
471,196,116,False
472,53,116,True
473,332,117,False
474,330,117,False
475,307,117,False
476,306,117,True
477,332,118,False
478,330,118,False
479,307,118,True
480,306,118,False
481,119,119,False
482,65,119,False
483,64,119,False
484,62,119,True
485,999,120,False
486,284,120,True
487,260,120,False
488,104,120,False
489,553,121,False
490,209,121,False
491,197,121,True
492,108,121,True
493,414,122,False
494,114,122,True
495,20,122,False
496,19,122,False
497,869,123,False
498,858,123,True
499,857,123,True
500,227,123,True
501,89,123,False
502,922,124,False
503,776,124,True
504,196,124,False
505,53,124,True
506,799,125,False
507,795,125,False
508,794,125,True
509,199,125,True
510,1017,126,False
511,1016,126,True
512,1014,126,False
513,121,126,True
514,906,127,False
515,323,127,False
516,305,127,False
517,125,127,True
518,973,128,False
519,804,128,False
520,803,128,False
521,791,128,False
522,686,129,True
523,585,129,True
524,171,129,False
525,118,129,True
526,791,130,False
527,200,130,False
528,181,130,True
529,180,130,True
530,791,131,False
531,200,131,True
532,181,131,False
533,180,131,False
534,973,132,False
535,574,132,False
536,181,132,True
537,180,132,False
538,398,133,True
539,219,133,False
540,166,133,False
541,101,133,True
542,1024,134,False
543,888,134,False
544,375,134,False
545,155,134,True
546,787,135,False
547,280,135,False
548,191,135,False
549,122,135,False
550,426,136,True
551,191,136,True
552,190,136,False
553,14,136,False
554,329,137,False
555,256,137,False
556,190,137,True
557,32,137,False
558,532,138,False
559,250,138,False
560,191,138,False
561,146,138,True
562,426,139,False
563,191,139,True
564,147,139,True
565,14,139,False
566,391,140,True
567,254,140,False
568,224,140,True
569,149,140,False
570,785,141,True
571,766,141,False
572,264,141,False
573,219,141,False
574,633,142,False
575,604,142,False
576,603,142,False
577,117,142,True
578,351,143,False
579,159,143,False
580,135,143,True
581,85,143,False
582,293,144,True
583,11,144,False
584,10,144,True
585,9,144,True
586,436,145,False
587,421,145,False
588,98,145,False
589,84,145,True
590,525,146,False
591,332,146,False
592,84,146,False
593,79,146,True
594,724,147,True
595,638,147,False
596,437,147,False
597,435,147,False
598,132,147,False
599,724,148,False
600,132,148,True
601,84,148,False
602,1,148,False
603,796,149,True
604,795,149,False
605,142,149,False
606,141,149,False
607,629,150,False
608,278,150,False
609,238,150,False
610,4,150,False
611,731,151,False
612,324,151,False
613,195,151,True
614,1,151,True
615,531,152,False
616,125,152,False
617,85,152,True
618,3,152,False
619,322,153,False
620,317,153,False
621,179,153,False
622,88,153,False
623,1054,154,False
624,554,154,False
625,446,154,False
626,399,154,True
627,176,155,True
628,170,155,True
629,62,155,False
630,60,155,True
631,176,156,True
632,170,156,False
633,167,156,False
634,60,156,True
635,359,157,False
636,176,157,False
637,170,157,False
638,60,157,False
639,329,158,False
640,285,158,False
641,131,158,False
642,7,158,True
643,973,159,False
644,804,159,False
645,803,159,False
646,797,159,False
647,203,160,False
648,182,160,True
649,173,160,False
650,101,160,False
651,415,161,True
652,179,161,True
653,178,161,True
654,99,161,False
655,417,162,False
656,416,162,False
657,358,162,True
658,178,162,True
659,417,163,True
660,416,163,True
661,358,163,False
662,173,163,False
663,764,164,True
664,419,164,True
665,184,164,False
666,177,164,False
667,420,165,False
668,415,165,False
669,178,165,False
670,103,165,False
671,415,166,False
672,179,166,True
673,103,166,False
674,59,166,False
675,716,167,False
676,290,167,True
677,289,167,True
678,37,167,True
679,778,168,True
680,407,168,True
681,365,168,False
682,295,168,True
683,1015,169,True
684,831,169,True
685,295,169,True
686,194,169,True
687,796,170,False
688,168,170,False
689,142,170,False
690,141,170,False
691,372,171,True
692,142,171,False
693,141,171,False
694,131,171,False
695,372,172,False
696,142,172,False
697,141,172,False
698,131,172,True
699,256,173,False
700,250,173,False
701,152,173,False
702,120,173,False
703,293,174,True
704,32,174,True
705,11,174,True
706,9,174,True
707,270,175,False
708,269,175,False
709,267,175,False
710,43,175,True
711,293,176,True
712,32,176,False
713,11,176,False
714,9,176,True
715,969,177,False
716,411,177,True
717,373,177,True
718,248,177,True
719,411,178,False
720,373,178,True
721,248,178,True
722,14,178,False
723,337,179,False
724,281,179,False
725,175,179,False
726,174,179,False
727,337,180,False
728,281,180,False
729,201,180,False
730,175,180,False
731,710,181,False
732,709,181,False
733,232,181,True
734,120,181,False
735,386,182,False
736,231,182,False
737,207,182,True
738,139,182,False
739,1035,183,True
740,710,183,False
741,396,183,True
742,245,183,False
743,951,184,False
744,948,184,False
745,946,184,True
746,945,184,False
747,1065,185,True
748,1008,185,True
749,395,185,True
750,108,185,False
751,332,186,False
752,330,186,False
753,307,186,False
754,306,186,False
755,332,187,False
756,330,187,False
757,307,187,False
758,306,187,False
759,525,188,True
760,294,188,True
761,40,188,True
762,5,188,True
763,546,189,False
764,510,189,False
765,508,189,False
766,38,189,True
767,421,190,True
768,98,190,True
769,84,190,False
770,40,190,False
771,44,191,True
772,26,191,False
773,12,191,False
774,3,191,True
775,35,192,False
776,13,192,True
777,12,192,True
778,3,192,True
779,572,193,False
780,150,193,True
781,21,193,True
782,0,193,True
783,26,194,True
784,13,194,True
785,12,194,True
786,3,194,True
787,263,195,True
788,256,195,False
789,33,195,True
790,23,195,False
791,35,196,True
792,13,196,False
793,12,196,False
794,3,196,False
795,536,197,True
796,216,197,True
797,215,197,True
798,83,197,True
799,26,198,True
800,13,198,False
801,12,198,False
802,3,198,True
803,1073,199,False
804,993,199,False
805,825,199,False
806,133,199,False
807,330,200,False
808,159,200,False
809,130,200,True
810,85,200,True
811,764,201,True
812,419,201,True
813,182,201,False
814,103,201,True
815,353,202,True
816,351,202,True
817,159,202,False
818,85,202,False
819,785,203,False
820,572,203,False
821,258,203,True
822,40,203,False
823,158,204,True
824,157,204,False
825,35,204,False
826,31,204,False
827,572,205,False
828,150,205,True
829,21,205,True
830,0,205,False
831,764,206,True
832,419,206,True
833,184,206,True
834,102,206,True
835,427,207,True
836,257,207,False
837,230,207,False
838,86,207,False
839,75,208,False
840,36,208,False
841,18,208,False
842,16,208,False
843,1035,209,False
844,188,209,False
845,139,209,False
846,46,209,True
847,474,210,False
848,224,210,False
849,144,210,False
850,6,210,True
851,396,211,True
852,302,211,True
853,246,211,True
854,245,211,True
855,396,212,True
856,245,212,True
857,51,212,True
858,39,212,False
859,588,213,False
860,587,213,False
861,586,213,False
862,262,213,True
863,297,214,False
864,236,214,True
865,235,214,True
866,222,214,False
867,710,215,False
868,709,215,False
869,236,215,False
870,235,215,True
871,396,216,False
872,386,216,False
873,207,216,False
874,206,216,True
875,660,217,False
876,659,217,False
877,658,217,False
878,657,217,False
879,259,217,True
880,808,218,True
881,414,218,False
882,310,218,False
883,165,218,False
884,774,219,False
885,73,219,False
886,68,219,True
887,17,219,True
888,1058,220,False
889,487,220,False
890,290,220,False
891,16,220,False
892,70,221,False
893,67,221,False
894,55,221,False
895,49,221,False
896,366,222,False
897,234,222,False
898,55,222,True
899,49,222,True
900,641,223,False
901,428,223,True
902,223,223,False
903,136,223,False
904,1058,224,False
905,605,224,False
906,75,224,True
907,16,224,False
908,366,225,False
909,113,225,False
910,49,225,False
911,36,225,True
912,598,226,False
913,588,226,True
914,587,226,True
915,586,226,True
916,598,227,False
917,588,227,True
918,587,227,False
