D1,D2,responses
1023,0,True
1022,0,True
1020,0,False
134,0,False
1023,1,False
1022,1,Answer: True
1020,1,False
134,1,Answer: False
953,2,True
434,2,Answer: True
106,2,False
100,2,False
785,3,Answer: False
237,3,True
214,3,True
97,3,False
434,4,False
288,4,False
160,4,Answer: True
106,4,False
861,5,False
860,5,False
851,5,False
825,5,False
776,6,Answer: True
392,6,False
110,6,False
94,6,False
968,7,False
746,7,False
377,7,Answer: True
284,7,False
1023,8,Answer: True
1022,8,True
1020,8,True
134,8,"record 1: Intel DH67BL Motherboard - B65, record 2: Gigabyte GA-Z77X-UD3H-B3 Intel Z77 Express Chipset Motherboard"
1023,9,Answer: False
1022,9,Answer: False
1020,9,False
134,9,Answer: True
1021,10,True
1020,10,Answer: False
953,10,False
134,10,Answer: False
1016,11,False
461,11,Answer: True
365,11,Answer: False
344,11,"record 1 and record 2 both refer to products by Linksys, both containing the words ""Linksys"" and ""Wireless-G"""
638,12,False
631,12,False
238,12,False
218,12,Answer: True
953,13,Answer: True
434,13,False
106,13,False
100,13,False
1059,14,False
785,14,False
237,14,True
214,14,Answer: False
965,15,False
821,15,True
402,15,Answer: False
389,15,False
448,16,False
238,16,False
218,16,False
59,16,True
1075,17,Answer: True
1016,17,record 1: Belkin N450 Dual Band USB Wi-Fi Adapter - F9L130v3 Belkin N450 Dual Band USB Wi-Fi Adapter - F9L130v3/ Connects Your Desktop Or Notebook To A Dual Band Wireless Network At Up To 450Mbps When Used With A USB 2
461,17,True
344,17,Answer: False
1014,18,record 1: Linksys Dual-Band Wireless-N Notebook Adapter - WPC600N
227,18,False
99,18,True
89,18,"record 3: Samsung Galaxy A21s, record 4: Samsung Galaxy A21s (SM-A217N/DS) Answer with True"
1018,19,False
1017,19,False
824,19,True
407,19,False
1014,20,False
598,20,False
99,20,Answer: True
89,20,Answer: True
151,21,False
96,21,False
32,21,Answer: False
25,21,Answer: True
1074,22,True
770,22,False
618,22,False
560,22,False
452,23,False
449,23,False
165,23,False
63,23,True
407,24,Answer: True
295,24,False
288,24,False
116,24,"record 1: Nike Air Zoom Pegasus 37 Running Shoes - M - BLACK/BLACK/SILVER NIKE AIR ZOOM PEGASUS 37 RUNNING SHOES MEN'S (MEN'S) NIKE AIR ZOOM PEGASUS 37 RUNNING SHOES MENS BLACK BLACK SILVER, record 2: Nike Air Zoom Pegasus 37 Running Shoes - M - BLUE BURGUND/BLUE BURGUND/WHITE NIKE AIR ZOOM PEGASUS 37 RUNNING SHOES MEN'S (MEN'S) NIKE AIR ZOOM PEGASUS 37 RUNNING SHOES MENS BLUE BURGUND BLUE BURGUND WHITE, Answer with True"
778,25,False
