D1,D2,responses
1023,0,Answer: True
1022,0,Answer: False
1020,0,False
134,0,False
1023,1,record 1: Dell OptiPlex GX620 Desktop PC - GX620 Dell OptiPlex GX620 Desktop PC - GX620/ Intel Pentium Dual-Core Processor T4500 (3
1022,1,True
1020,1,False
134,1,False
953,2,Answer: True
434,2,Answer: True
106,2,False
100,2,"False, the two records refer to different NetGear switches"
785,3,Answer: False
237,3,"Answer: False, as the two records describe different lengths of cables"
214,3,Answer: True
97,3,Answer: False
434,4,False
288,4,False
160,4,Answer: True
106,4,False
861,5,False
860,5,False
851,5,False
825,5,"False, although both products have the same model number (706018), they are different products with different names (""LaCie USB 2"
776,6,Answer: True
392,6,False
110,6,False
94,6,False
968,7,False
746,7,Answer: False
377,7,Answer: True
284,7,False
1023,8,"record 1: LG Electronics PDR-XS70 DVD Recorder - PDRXS70L LG Electronics PDR-XS70 DVD Recorder - PDRXS70L/ Real Time Digital Noise Reduction (DNR)/ Super Multi DVD/CD Recorder And Player/ 8X DVD Writer/ LightScribe Direct Labeling/ USB Direct Connection With Mass Storage Devices/ Progressive Scan Output (480P)/ HDMI Out (High Definition Multimedia Interface)/ Built-In Diagnostic System For Quick Fault Detection, record 2: LG Electronics DVD PVR HS63B40"
1022,8,False
1020,8,Answer: True
134,8,record 1: Nikon COOLPIX A900 Digital Camera - B525 Nikon COOLPIX A900 Digital Camera - B525/ Nikon's Super CCD Sensor with 14 Megapixels / 22
1023,9,Answer: False
1022,9,False
1020,9,False
134,9,Answer: True
1021,10,"record 1: Brother MFC-J470DW Color Inkjet All-in-One Printer - MFC-J470DW Brother MFC-J470DW/ Print, Copy and Scan at up to 20 pages per minute (ppm) in black or color/ 150 Sheet Paper Capacity (up to 101 Sheets ADF)/ Built-In Ethernet Connectivity (10BaseT)/ 3-Year Warranty"
1020,10,False
953,10,False
134,10,"False, the records refer to different products"
1016,11,record 1 and record 2 are referring to different entities
461,11,Answer: True
365,11,"record 1: Logitech Harmony 686 Ultimate Home Theater Remote Control - 925-003719 Logitech Harmony 686 Ultimate Home Theater Remote Control - 925-003719/ One Universal Remote Control For All Your Home Entertainment Components - TVs, Set-Top Boxes, DVD Players, Gaming Systems, Stereos, Cable and Satellite Receivers/ Programmable Macros Provide One Touch Access To Multiple Functions And Devices/ Learning IR Database Enables Addition Of New Unsupported Devices/ Infrared (Irc) Control Up To 8 Home Entertainment Components With A Single Remote/ Universal Remote Controls/ Includes USB Receiver For Wireless Computing, Record 2: Logitech Harmony Ultimate One Touch Remote System - 925-003717"
344,11,Answer: False
638,12,"False, the two records refer to different entities"
631,12,Answer: False
238,12,Answer: False
218,12,Answer: True
953,13,Answer: True
434,13,False
106,13,False
100,13,False
1059,14,Answer: False
785,14,False
237,14,Answer: True
214,14,record 1: TP-Link TL-RJ45XS101U 10/100/1000 Mbps Gigabit RJ45 Network Cable - TL-RJ45XS101U TP-Link TL-RJ45XS101U 10/100/1000 Mbps Gigabit RJ45 Network Cable - TL-RJ45XS101U (1 Pack)/ RJ45 Connector/ Length: 10 Feet / Color: Blue
965,15,False
821,15,Answer: False
402,15,False
389,15,False
448,16,"False, the two records refer to different entities"
238,16,Answer: False
218,16,Answer: False
59,16,Answer: True
1075,17,Answer: True
1016,17,"record 1: HP Officejet Pro 9020 All-in-One Printer - J678A HP Officejet Pro 9020 All-in-One Printer - J678A/ Print, Scan, Copy and Fax in One Compact Device/ High-Speed USB Connectivity/ 25 Page ADF with Borderless Copying and Scanning Up to 1200 Optimized DPI/ Easy Setup and Wireless Network Compatible (Optional Access Point Required)/ Multi-Cartridge System Saves You Up To 50% Over Traditional Cartridges"
461,17,True
344,17,"record 1: LG Inverter Microwave Oven - MS1781DSS LG Inverter Microwave Oven - MS1781DSS/ Inverter Technology for Consistent Cooking Results and Less Wait Time/ Powerful 1,700 Watts/ 2 Sensor Drying Modes/ Easy-Clean Interior with Turbo Steam Cleaning Function/ Large Capacity Glass Carousel with 14 Preset Menus/ Stainless Steel Design"
1014,18,Answer: False
227,18,False
99,18,Answer: True
89,18,record 1: Sony VAIO Duo 11 Flip-Over Touchscreen Convertible Notebook - PCG-8A1L/ Intel Core i3 Processor/ 250GB Hard Drive/ 4GB RAM/ 11
1018,19,"record 1: HP Officejet J5780 All-in-One Printer - B915A HP Officejet J5780 All-in-One Printer - B915A/ Prints, Copies, Scans And Faxes/ 4800 x 1200 Optical Resolution/ High Yield Ink Cartridges (Up To 600 Pages Black And Up To 600 Pages Color)/ Automatic Document Feeder With ADF Scan-To-USB, record 2: HP Officejet J5780 All-in-One Printer - B915A-B57 HP Officejet J5780 All-in-One Printer - B915A"
1017,19,False
824,19,Answer: True
407,19,False
1014,20,False
598,20,False
