D1,D2,responses
1023,0,Answer: True
1022,0,Answer: False
1020,0,False
134,0,False
1023,1,Answer: False
1022,1,True
1020,1,False
134,1,False
953,2,Answer: True
434,2,Answer: True
106,2,False
100,2,False
785,3,Answer: False
237,3,Answer: False
214,3,Answer: True
97,3,"False, the two records refer to different products"
434,4,False
288,4,False
160,4,Answer: True
106,4,False
861,5,False
860,5,False
851,5,Answer: False
825,5,False
776,6,Answer: True
392,6,Answer: False
110,6,False
94,6,False
968,7,False
746,7,False
377,7,Answer: True
284,7,False
1023,8,Answer: False
1022,8,False
1020,8,True
134,8,False
1023,9,False
1022,9,False
1020,9,False
134,9,Answer: True
1021,10,Answer: True
1020,10,False
953,10,False
134,10,Answer: False
1016,11,False
461,11,Answer: True
365,11,False
344,11,False
638,12,Answer: False
631,12,Answer: False
238,12,False
218,12,Answer: True
953,13,Answer: True
434,13,False
106,13,False
100,13,False
1059,14,Answer: False
785,14,Answer: False
237,14,Answer: True
214,14,"Record 1 and Record 2 both refer to the same product, the Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable and the Belkin Monitor Cable - F3H982-25"
965,15,Answer: False
821,15,Answer: False
402,15,Answer: False
389,15,False
448,16,False
238,16,Answer: False
218,16,"False, the outputs are different"
59,16,True
1075,17,Answer: True
1016,17,Answer: False
461,17,Answer: False
344,17,"record 3: Samsung 7"" Tablet PC - GT-P1000 Samsung 7"" Tablet PC - GT-P1000/ Android 2"
1014,18,"False, the first record is for a wireless adapter and the second record is for a case for a Sony Vaio notebook and its AC adapter"
227,18,False
99,18,Answer: True
89,18,"record 1: HP Officejet Pro K540 All-in-One Printer - Black HP Officejet Pro K540 All-in-One Printer - Black/ Print, Scan and Copy, Built-In Wireless Connectivity, Ethernet Connectivity, Auto Duplexing, Up to 18 Pages Per Minute Print Speed, Up to 4 Pages Per Minute Scan Speed, Up to A4 Borderless Printing, 25 Page Automatic Document Feeder (ADF), 3 Year Onsite Warranty (USA Only)"
1018,19,False
1017,19,False
824,19,Answer: True
407,19,False
1014,20,False
598,20,False
99,20,Answer: False
89,20,Answer: True
151,21,Answer: False
96,21,Answer: False
32,21,Answer: False
25,21,Answer: True
1074,22,True
770,22,False
618,22,False
560,22,False
452,23,Answer: False
449,23,Answer: False
165,23,False
63,23,Answer: False
407,24,Answer: True
295,24,Answer: False
288,24,False
116,24,False
778,25,False
407,25,"record 1: Toshiba Satellite Laptop - P755-S7193 Toshiba Satellite Laptop - P755-S7193/ Intel Core i7 Processor/ Windows 7 Home Premium/ 6GB DDR3 RAM/ 500GB Hard Drive/ Multi Format DVD Super Multi Drive/ 16"" HD TruBrite Display/ NVIDIA Optimus Technology/ Intel Wireless Display (WiDi) Capable/ Lightscribe Technology/ Harmon Kardon Stereo Speakers/ USB Sleep-and-Charge Technology/ High Definition Audio/ Eco Utility Software, record 2: Toshiba Satellite P750 Laptop - PS750-S7190 Toshiba Satellite P750 Laptop - PS750-S7190/ Intel Core i5 Processor/ Windows 7 Home Premium/ 4GB DDR3 RAM/ 500GB Hard Drive/ Multi Format DVD Super Multi Drive/ 16"" HD TruBrite Display/ NVIDIA Optimus Technology/ Intel Wireless Display (WiDi) Capable/ Lightscribe Technology/ Harmon Kardon Stereo Speakers/ USB Sleep-and-Charge Technology/ High Definition Audio, Answer with False"
295,25,Example 4303:
116,25,Answer: True
434,26,Answer: False
288,26,record 1: Nest Learning Thermostat - T3007ES Ringen Nest Learning Thermostat - T3007ES Ringen/ Home Automation Capabilities/ Learning Temperature Preferences/ Energy Star Certified/ Programmable/ Wi-Fi Connectivity/ Stainless Steel Finish
106,26,False
100,26,Answer: True
1030,27,Answer: False
128,27,Answer: True
127,27,Answer: True
5,27,False
658,28,False
657,28,False
128,28,Answer: True
127,28,Answer: False
584,29,Answer: False
192,29,False
138,29,False
126,29,True
217,30,False
138,30,Answer: False
128,30,False
127,30,False
429,31,Answer: True
199,31,False
142,31,"False, the two batteries are not referring to the same entity"
112,31,Answer: False
287,32,Answer: False
252,32,Answer: False
165,32,Answer: True
8,32,False
752,33,Answer: False
252,33,False
40,33,False
2,33,Answer: True
329,34,Answer: False
145,34,Answer: False
32,34,Answer: False
11,34,Answer: False
329,35,Answer: False
145,35,Answer: False
32,35,Answer: False
11,35,Answer: True
417,36,Answer: False
416,36,Answer: False
173,36,Answer: False
34,36,Answer: False
640,37,Answer: False
639,37,record 1: Samsung NP315E5C15-S01 15
638,37,Answer: False
8,37,Answer: False
1052,38,Answer: False
237,38,False
214,38,False
97,38,Answer: True
1051,39,False
756,39,False
20,39,True
19,39,Answer: True
339,40,False
289,40,False
20,40,True
19,40,Answer: True
164,41,Answer: False
30,41,Answer: True
29,41,Answer: False
28,41,False
399,42,False
65,42,False
64,42,False
