D1,D2,responses
1329,0,False
1304,0,False
1203,0,False
1193,0,False
1111,0,False
1046,0,False
1043,0,False
1007,0,False
989,0,False
853,0,False
813,0,False
671,0,False
602,0,True
580,0,True
555,0,True
534,0,True
528,0,True
507,0,False
497,0,False
466,0,False
418,0,False
413,0,False
404,0,False
394,0,False
392,0,False
365,0,False
342,0,False
340,0,False
324,0,False
282,0,False
273,0,True
186,0,False
55,0,False
9,0,False
4,0,False
1317,1,False
1250,1,False
1214,1,False
1203,1,False
1136,1,False
1130,1,False
1043,1,False
1026,1,False
1012,1,False
900,1,False
824,1,False
814,1,False
794,1,False
766,1,False
728,1,False
688,1,False
665,1,False
595,1,False
593,1,False
570,1,False
550,1,False
512,1,False
451,1,False
390,1,False
367,1,False
365,1,False
342,1,False
317,1,False
297,1,False
295,1,False
293,1,False
183,1,True
124,1,False
80,1,True
43,1,False
1333,2,False
1321,2,False
1284,2,False
1267,2,False
1265,2,False
1239,2,False
1189,2,True
1077,2,False
1069,2,False
1067,2,False
1024,2,False
992,2,False
963,2,False
938,2,False
909,2,True
867,2,False
865,2,True
846,2,False
838,2,False
824,2,False
788,2,False
721,2,False
717,2,False
688,2,False
675,2,False
658,2,False
644,2,False
604,2,True
555,2,True
476,2,False
446,2,False
301,2,False
202,2,False
114,2,True
13,2,False
1317,3,True
1268,3,False
1111,3,False
1108,3,False
1050,3,False
1042,3,False
1007,3,False
929,3,False
879,3,False
807,3,False
803,3,False
775,3,False
746,3,False
724,3,False
679,3,False
674,3,False
616,3,False
606,3,True
590,3,False
477,3,False
442,3,False
383,3,True
382,3,True
365,3,False
337,3,False
326,3,True
315,3,True
303,3,False
299,3,False
297,3,False
195,3,False
66,3,False
58,3,False
47,3,True
18,3,False
1267,4,True
1223,4,False
1153,4,False
1124,4,False
1121,4,True
1116,4,True
1047,4,False
1033,4,True
1002,4,False
977,4,False
963,4,False
918,4,False
909,4,True
894,4,False
871,4,False
867,4,False
866,4,False
855,4,False
839,4,False
832,4,False
826,4,False
812,4,False
800,4,False
715,4,False
663,4,False
654,4,True
513,4,True
510,4,False
333,4,False
250,4,False
219,4,False
157,4,False
140,4,False
76,4,False
6,4,True
1326,5,False
1257,5,False
1252,5,False
1212,5,True
1124,5,False
965,5,False
963,5,False
952,5,True
926,5,True
880,5,False
868,5,False
848,5,True
833,5,False
826,5,False
800,5,False
794,5,False
789,5,True
776,5,True
762,5,False
715,5,False
690,5,False
675,5,False
546,5,False
535,5,True
476,5,False
456,5,False
445,5,False
417,5,False
391,5,False
267,5,False
266,5,False
227,5,False
222,5,False
123,5,False
107,5,False
1295,6,False
1286,6,False
1269,6,False
1212,6,False
1181,6,False
1167,6,False
1139,6,False
1132,6,False
1057,6,False
1033,6,False
979,6,False
977,6,False
963,6,False
952,6,False
918,6,False
910,6,False
867,6,False
839,6,False
812,6,False
789,6,False
775,6,False
769,6,False
715,6,False
687,6,False
681,6,False
666,6,False
663,6,False
638,6,False
535,6,False
529,6,False
380,6,False
324,6,False
287,6,False
284,6,False
149,6,False
1334,7,False
1260,7,False
1246,7,False
1239,7,False
