,D1,D2,responses
0,1177,0,False
1,1977,1,False
2,4323,2,False
3,1616,3,False
4,2660,4,False
5,4967,5,False
6,882,6,False
7,1409,7,False
8,1618,8,False
9,1287,9,False
10,1346,10,True
11,677,11,True
12,1467,12,False
13,3768,13,False
14,4095,13,False
15,1040,14,False
16,4799,15,False
17,4994,16,False
18,3592,17,False
19,201,18,False
20,3256,19,False
21,1572,20,True
22,3143,21,False
23,82,22,False
24,4373,23,False
25,127,24,False
26,3764,25,True
27,1708,26,False
28,1241,27,True
29,2809,28,False
30,1177,29,False
31,4164,30,True
32,2333,31,True
33,4428,32,False
34,1731,33,False
35,1040,34,False
36,3955,35,False
37,201,35,False
38,2459,36,False
39,271,37,False
40,373,38,False
41,1929,39,True
42,4798,40,False
43,4095,41,False
44,1489,42,True
45,3990,43,True
46,1746,44,False
47,1040,45,False
48,1040,46,False
49,1287,48,False
50,3883,49,False
51,4095,50,False
52,1334,51,False
53,639,52,False
54,1740,53,False
55,1028,54,False
56,180,55,True
57,3226,56,False
58,4252,57,False
59,3609,58,False
60,4798,59,False
61,1040,60,False
62,1114,61,True
63,4688,62,False
64,3451,63,False
65,1916,64,False
66,3732,65,True
67,4395,66,False
68,4868,67,False
69,898,68,True
70,1877,69,True
71,4840,70,True
72,2338,71,False
73,2549,72,False
74,2259,73,False
75,3449,74,False
76,3449,75,True
77,4759,77,False
78,2486,78,False
79,109,78,False
80,3412,80,False
81,3072,81,False
82,4771,82,False
83,3256,83,False
84,3955,84,True
85,1616,85,False
86,1040,86,False
87,2605,87,True
88,3730,88,True
89,596,89,False
90,779,90,False
91,2214,91,False
92,3381,92,False
93,2272,93,False
94,4772,94,False
95,3226,95,False
96,3734,96,False
97,898,98,True
98,846,99,False
99,2319,100,False
100,4840,101,True
101,2464,102,False
102,2472,103,False
103,4920,104,False
104,1404,106,True
105,179,107,False
106,854,108,False
107,4077,109,False
108,3205,110,True
109,2534,111,False
110,2203,112,False
111,3057,113,False
112,2263,114,False
113,896,115,False
114,4071,116,False
115,3006,117,False
116,2340,118,False
117,31,119,False
118,3675,120,False
119,1899,121,True
120,3059,122,False
121,3044,123,False
122,1040,123,False
123,3764,124,True
124,2397,125,False
125,1478,126,False
126,3194,127,False
127,1507,128,False
128,4009,129,False
129,1864,130,False
130,910,131,False
131,2608,132,False
132,2886,133,True
133,4800,134,False
134,3352,135,False
135,1845,136,False
136,1040,137,False
137,4683,138,False
138,3076,139,False
139,1821,140,True
140,2861,141,True
141,2427,143,False
142,69,144,True
143,4017,145,False
144,4251,146,True
145,3380,147,False
146,1521,148,False
147,4095,149,False
148,201,150,False
149,4095,151,True
150,1756,152,False
151,1478,153,False
152,2914,154,True
153,1040,155,False
154,66,156,False
155,1115,157,True
156,3226,158,False
157,3272,159,False
158,2928,160,False
159,676,162,False
160,3399,163,True
161,520,164,True
162,918,165,False
163,4907,166,True
164,2353,167,True
165,2650,168,False
166,4237,169,False
167,2249,171,False
168,4095,172,False
169,1657,173,False
170,4341,174,False
171,13,175,False
172,4373,176,False
173,2609,177,False
174,2897,178,False
175,3477,180,False
176,2867,181,False
177,2632,182,False
178,1715,183,False
179,2549,184,False
180,3102,185,False
181,614,187,False
182,1320,188,False
183,4690,189,False
184,3757,190,True
185,2237,191,False
186,161,192,True
187,3451,193,False
188,1570,194,True
189,3205,195,True
190,559,196,False
191,3067,198,True
192,1895,199,False
193,2846,200,False
194,845,201,False
195,4608,203,False
196,313,204,False
197,318,205,True
198,5013,206,True
199,854,208,True
200,1799,209,False
201,1705,210,False
202,1124,212,False
203,779,213,False
204,3524,214,False
205,4359,215,False
206,693,216,True
207,4143,218,True
208,4882,219,False
209,4547,220,False
210,3000,222,False
211,4402,223,False
212,4095,224,False
213,4095,225,False
214,4596,226,True
215,1040,227,False
216,4095,228,False
217,2287,229,False
218,3622,230,True
219,4959,231,True
220,1891,232,False
221,437,233,False
