,D1,D2,responses
0,181,0,True
1,3255,1,True
2,3456,2,False
3,5785,2,False
4,267,3,True
5,1916,4,False
6,2872,5,False
7,3345,6,False
8,2984,7,True
9,4293,8,True
10,3457,9,False
11,4371,10,True
12,1454,11,True
13,2917,12,True
14,4981,13,False
15,2073,14,True
16,883,15,False
17,5627,16,False
18,5170,17,False
19,718,18,True
20,4691,19,True
21,3274,20,True
22,5758,21,False
23,1635,22,False
24,220,22,False
25,1266,23,False
26,3872,24,True
27,838,25,False
28,2779,26,False
29,2890,27,True
30,4480,28,True
31,1786,29,True
32,175,30,True
33,137,31,False
34,4698,32,False
35,4279,33,False
36,3271,34,False
37,3271,35,False
38,1759,36,False
39,5894,37,True
40,3341,38,True
41,3980,39,True
42,679,40,False
43,3383,41,False
44,1161,41,False
45,5701,42,False
46,815,43,True
47,5604,44,False
48,2143,44,True
49,1109,45,False
50,5196,46,True
51,664,48,False
52,3654,49,False
53,1718,50,False
54,653,51,True
55,1908,52,True
56,3978,53,False
57,2915,54,True
58,1330,55,True
59,573,56,False
60,2120,57,False
61,3743,58,True
62,679,59,False
63,2416,60,True
64,1583,61,True
65,1231,62,True
66,29,63,False
67,4517,64,True
68,4357,65,True
69,228,66,True
70,2078,67,False
71,3898,68,False
72,5510,69,True
73,3637,70,True
74,268,71,False
75,2489,72,True
76,4315,73,True
77,2288,74,True
78,2288,75,True
79,2017,77,False
80,6016,78,True
81,381,80,False
82,4986,81,False
83,2721,82,False
84,4691,83,True
85,4706,84,False
86,4649,84,False
87,3321,84,False
88,267,85,True
89,5932,86,False
90,3543,86,False
91,3649,87,True
92,1225,88,False
93,2809,89,False
94,850,90,True
95,827,91,True
96,3129,92,True
97,706,93,False
98,4000,93,False
99,2802,94,True
100,4986,95,False
101,1507,96,False
102,3898,98,False
103,3192,99,False
104,1524,100,False
105,3637,101,True
106,5074,102,False
107,1111,103,True
108,1945,104,False
109,3068,106,True
110,3944,107,False
111,4072,107,False
112,4431,107,False
113,2148,108,True
114,5602,109,True
115,1665,110,False
116,632,111,False
117,4614,112,False
118,3540,113,False
119,4051,113,False
120,4869,114,True
121,3377,115,False
122,5789,116,False
123,301,117,True
124,3995,118,True
125,3869,119,True
126,532,120,False
127,1517,121,True
128,3351,122,False
129,170,123,True
130,838,124,False
131,3241,125,True
132,5215,126,False
133,11,127,False
134,3584,128,False
135,4212,129,True
136,568,130,False
137,4927,131,False
138,5715,132,True
139,1938,133,False
140,4511,134,False
141,1704,135,True
142,5364,136,True
143,536,137,True
144,1649,138,False
145,3645,139,False
146,4679,140,True
147,1658,141,True
148,2727,143,True
149,738,144,True
150,2884,145,False
151,5250,146,True
152,3667,147,True
153,595,148,False
154,681,149,False
155,2213,150,False
156,4958,151,False
157,3771,152,True
158,5215,153,False
159,5384,154,True
160,3722,155,False
161,4296,156,True
162,2280,157,True
163,4244,158,False
164,3649,158,False
165,694,159,False
166,794,160,False
167,1954,162,False
168,4256,163,False
169,3457,163,False
170,4156,164,False
171,164,165,True
172,2955,166,True
173,4649,167,True
174,866,168,False
175,3833,169,False
176,4451,170,False
177,2977,171,True
178,1764,172,False
179,5331,173,False
180,5920,174,False
181,4164,175,False
182,740,176,False
183,5897,177,False
184,5534,178,True
185,1333,180,False
186,5675,181,False
187,4659,182,True
188,114,183,True
189,2892,184,False
190,2245,185,True
191,1748,187,False
192,2146,188,False
193,5662,189,False
194,1146,190,False
195,2982,191,True
196,1356,192,True
197,4746,193,True
198,2809,194,True
199,6028,195,False
200,3993,196,False
201,2327,198,False
202,4181,198,False
203,568,199,False
204,5838,200,True
205,3100,201,True
206,3236,203,True
207,6001,204,False
208,817,205,False
209,2668,206,True
210,2148,208,True
211,840,209,False
212,5860,210,True
213,2163,212,False
214,850,213,True
215,5453,214,False
216,4812,215,True
217,2463,216,True
218,4398,218,True
219,204,219,False
220,1896,220,True
221,3158,222,True
222,279,223,True
223,1104,224,False
224,2809,225,False
225,699,226,True
226,3543,227,False
227,5932,227,False
228,5032,228,False
229,246,229,False
230,5264,230,True
231,562,231,True
232,83,232,False
233,4967,233,True
234,2221,234,False
235,5405,235,False
236,2606,236,True
237,4502,237,False
238,157,238,True
239,1874,239,True
240,5,240,False
241,3511,241,False
242,318,242,False
243,801,243,False
244,118,244,True
245,3637,245,True
246,3352,246,False
247,3140,247,False
248,4127,248,False
249,5653,249,False
250,27,249,False
251,5058,250,False
252,1981,251,False
253,1928,251,False
254,3009,252,False
255,5941,253,True
256,3345,254,True
257,2254,255,True
258,5172,256,False
259,2355,257,False
260,3127,257,False
261,4691,258,False
262,5989,259,True
263,6018,260,True
264,5054,261,True
265,2629,262,True
266,267,263,False
267,5452,264,True
268,2155,265,False
269,1559,265,False
270,961,265,False
271,2496,265,False
272,2536,265,False
273,2820,265,False
274,5890,265,False
275,3439,265,False
276,4684,265,False
277,1332,265,False
278,4941,265,False
279,341,265,False
280,4272,265,False
281,126,265,False
282,5219,265,False
283,4026,265,False
284,2208,265,False
285,2780,265,False
286,399,265,False
287,4639,265,False
288,4645,267,True
289,2809,268,False
290,964,269,False
291,2023,269,False
292,3271,270,True
293,2992,271,True
294,1473,272,True
295,1002,274,True
296,4357,276,False
297,4261,277,True
298,2875,278,True
299,2993,279,True
300,3592,280,False
301,3900,281,True
302,5566,282,False
303,2084,283,True
304,2154,284,True
305,3017,285,False
306,3168,286,True
307,1473,287,True
308,5483,288,False
309,1862,288,False
310,602,288,False
311,2919,288,False
312,121,288,False
313,1273,288,False
314,2835,288,False
315,284,289,False
316,5970,290,False
317,2259,292,False
318,2809,293,False
319,745,294,False
320,3410,296,False
321,4667,297,True
322,4258,298,False
323,4513,298,False
324,738,300,False
325,5566,301,False
326,80,302,True
327,1360,303,True
328,3260,304,True
329,3179,305,False
330,4146,306,True
331,776,307,True
332,1496,308,True
333,1596,310,False
334,5760,310,False
335,3865,311,True
336,3508,312,False
337,232,314,True
338,3005,315,False
339,4918,316,True
340,4240,317,False
341,5264,318,True
342,4725,319,False
343,895,320,False
344,774,321,True
345,3829,322,True
346,773,324,False
347,3002,325,True
348,4234,327,True
349,738,328,True
350,5232,329,False
351,1690,330,True
352,4384,331,False
353,3616,332,True
354,560,333,True
355,3978,334,False
356,5192,335,False
357,4689,336,False
358,1877,337,True
359,3906,338,True
360,4148,339,True
361,42,340,True
362,3511,342,False
363,4418,343,False
364,2451,344,False
365,3575,345,False
366,1996,346,True
367,1520,347,False
368,4244,348,False
369,420,349,True
370,4939,350,True
371,4682,351,False
372,3036,352,False
373,2380,353,True
374,2295,354,True
375,4343,355,True
376,1906,356,True
377,4244,357,False
378,896,358,True
379,2084,361,False
380,3161,363,False
381,1910,363,False
382,468,364,True
383,3645,365,False
384,5476,366,False
385,407,367,True
386,1089,368,False
387,2277,369,False
388,5860,370,True
389,2176,371,True
390,2319,372,True
391,1685,374,False
392,1550,375,True
393,3875,376,True
394,5126,377,False
395,617,378,True
396,3637,380,True
397,5390,381,False
398,5041,382,False
399,1274,383,True
400,2809,384,False
401,3271,385,False
402,1524,386,False
403,4031,387,False
404,2678,388,False
405,2637,390,True
406,572,393,True
407,2272,394,True
408,3274,395,True
409,589,396,False
410,4367,397,True
411,2177,398,True
412,284,399,False
413,4376,401,True
414,1119,402,False
415,3271,403,True
416,2148,404,True
417,5786,405,False
418,3271,407,False
419,5494,408,False
420,5021,410,False
421,3543,411,False
422,1641,413,False
423,5464,414,False
424,2809,415,False
425,4691,416,True
426,4252,417,True
427,1906,418,True
428,141,421,False
429,5914,422,False
430,4595,423,True
431,1617,424,False
432,279,427,True
433,5119,428,False
434,2759,429,True
435,4935,430,False
436,4245,433,False
437,1934,434,False
438,3905,436,True
439,2557,438,True
440,3271,439,False
441,2809,440,True
442,1788,442,False
443,3730,443,False
444,3412,443,False
445,5305,444,True
446,2122,445,False
447,6026,446,True
448,697,446,True
449,5882,448,False
450,3903,449,True
451,5040,450,False
452,3645,451,False
453,4749,452,False
454,2154,453,True
455,204,455,False
456,3921,457,False
457,4700,458,False
458,1356,458,False
459,5613,459,True
460,5079,460,False
461,5065,461,False
462,4985,462,False
463,862,463,False
464,2288,464,True
465,5119,466,False
466,2973,467,False
467,3958,468,True
468,1330,469,True
469,5467,470,False
470,2774,471,True
471,420,473,True
472,1231,475,True
473,615,477,False
474,5258,479,True
475,3996,480,False
476,3084,481,False
477,301,482,False
478,2809,483,False
479,2168,484,False
480,168,485,False
481,1103,485,False
482,1874,486,True
483,3201,487,True
484,2264,488,False
485,5889,489,True
486,1571,491,False
487,4667,492,False
488,175,493,False
489,1914,494,False
490,350,494,False
491,5136,495,False
492,3829,496,True
493,718,497,True
494,2342,499,False
495,4262,501,True
496,28,502,False
497,4171,502,False
498,4811,504,False
499,5949,505,True
500,2809,507,True
501,638,509,False
502,5654,510,False
503,2928,511,True
504,3018,513,False
