,D1,D2,responses,weight,s-weight
0,181,0,False,0.998235811622269,1.000000238418579
1,3255,1,True,0.9888335054375492,0.9958240389823914
2,3456,2,False,0.2581988897471611,0.5297539830207825
3,5785,2,False,0.0,0.4513670802116394
4,267,3,True,0.7905694150420948,0.616207480430603
5,1916,4,False,0.0,0.0
6,2872,5,False,0.0,0.0
7,3345,6,False,0.0,0.0
8,2984,7,True,0.9412207643723192,0.980582594871521
9,4293,8,True,0.8340576562282991,0.7423287630081177
10,3457,9,False,0.0,0.5260722637176514
11,4371,10,True,0.8320502943378436,0.593315839767456
12,1454,11,True,0.7416198487095663,0.6121543645858765
13,2917,12,True,0.970184347797704,0.992102861404419
14,4981,13,False,0.0,0.5403228402137756
15,2073,14,True,0.8075728530872482,0.711150050163269
16,883,15,False,0.0,0.0
17,5627,16,False,0.5112171874107659,0.548073410987854
18,5170,17,False,0.0,0.4592936635017395
19,718,18,True,0.5270462766947299,0.6444414854049683
20,4691,19,True,0.834847109936722,0.646496593952179
21,3274,20,True,0.8086075400626399,0.7183592319488525
22,5758,21,False,0.0,0.4742345809936523
23,1635,22,False,0.2407717061715384,0.0
24,220,22,False,0.2407717061715384,0.0
25,1266,23,False,0.1817479662829877,0.6733624935150146
26,3872,24,False,0.7745966692414834,0.6266789436340332
27,838,25,False,0.5383819020581655,0.0
28,2779,26,False,0.0,0.5833390951156616
29,2890,27,True,0.8728715609439696,0.839645504951477
30,4480,28,False,0.0,0.0
31,1786,29,False,0.9891886381032922,0.9913445711135864
32,175,30,False,0.806225774829855,0.6516206860542297
33,137,31,False,0.0,0.444145143032074
34,4698,32,False,0.0,0.0
35,4279,33,False,0.4040610178208842,0.0
36,3271,34,False,0.0,0.6161548495292664
37,3271,35,False,0.0,0.5953748822212219
38,1759,36,False,0.0,0.551526665687561
39,5894,37,True,0.9272570880541656,0.98396098613739
40,3341,38,True,0.8773580220588532,0.9405771493911744
41,3980,39,False,0.8017837257372732,0.7374863028526306
42,679,40,False,0.3356243110397689,0.5453248620033264
43,3383,41,False,0.0,0.3778845071792602
44,1161,41,False,0.0,0.0
45,5701,42,False,0.0,0.0
46,815,43,True,0.8728715609439696,0.8450840711593628
47,5604,44,False,0.2849014411490949,0.6793535351753235
48,2143,44,True,0.2849014411490949,0.6851548552513123
49,1109,45,False,0.0,0.4903821051120758
50,5196,46,True,0.7416198487095663,0.6069573163986206
51,664,48,False,0.0,0.4329074025154114
52,3654,49,False,0.0,0.0
53,1718,50,False,0.0,0.0
54,653,51,True,0.9785885079952122,0.9939255118370056
55,1908,52,True,0.7745966692414834,0.7233214974403381
56,3978,53,False,0.2531848417709166,0.4541997015476227
57,2915,54,True,0.8416254115301732,0.7245350480079651
58,1330,55,True,0.5477225575051661,0.6717627048492432
59,573,56,False,0.0,0.4151016175746918
60,2120,57,False,0.554700196225229,0.5126893520355225
61,3743,58,False,0.6123724356957945,0.974479913711548
62,679,59,False,0.3356243110397689,0.536651074886322
63,2416,60,True,0.545544725589981,0.7456771731376648
64,1583,61,True,0.8583950752789522,0.8773024082183838
65,1231,62,True,0.7905694150420948,0.6306620836257935
66,29,63,False,0.1277903821421471,0.0
67,4517,64,False,0.5090278103806222,0.5480977296829224
68,4357,65,True,0.8583950752789522,0.8329598903656006
69,228,66,False,0.9891763200830332,0.9944652915000916
70,2078,67,False,0.3888888888888889,0.5527557134628296
71,3898,68,False,0.0,0.0
72,5510,69,True,0.8416254115301732,0.6889967918395996
73,3637,70,True,0.4412613040609141,0.6415716409683228
74,268,71,False,0.0,0.0
75,2489,72,True,0.7905694150420948,0.6376234889030457
76,4315,73,False,0.4841820261350419,0.6119721531867981
77,2288,74,True,0.7687061147858074,0.6321330666542053
78,2288,75,True,0.806225774829855,0.6838328838348389
79,2017,77,False,0.440086229423352,0.0
80,6016,78,False,0.8846517369293828,0.8802802562713623
81,381,80,False,0.0,0.0
82,4986,81,False,0.0,0.0
83,2721,82,False,0.3090575499818435,0.0
84,4691,83,True,0.5897678246195885,0.5061825513839722
85,4706,84,False,0.0,0.0
86,4649,84,False,0.0,0.0
87,3321,84,False,0.3668996928526714,0.4436385929584503
88,267,85,True,0.8075728530872482,0.6451964974403381
89,5932,86,False,0.4150286783196448,0.4733770191669464
90,3543,86,False,0.0,0.4330199062824249
91,3649,87,True,0.8257228238447705,0.669141948223114
92,1225,88,False,0.5270462766947299,0.0
93,2809,89,False,0.0,0.0
94,850,90,True,0.8,0.5938658714294434
95,827,91,False,0.9886323421709464,0.990680456161499
96,3129,92,True,0.9156126269210424,0.9740828275680542
97,706,93,False,0.4743416490252569,0.0
98,4000,93,False,0.4743416490252569,0.5128939151763916
99,2802,94,True,0.8257228238447705,0.7021809816360474
100,4986,95,False,0.0,0.0
101,1507,96,False,0.0,0.0
102,3898,98,False,0.0,0.0
103,3192,99,False,0.2010075630518424,0.0
104,1524,100,False,0.4454354031873739,0.4775868058204651
105,3637,101,True,0.8,0.7278397679328918
106,5074,102,False,0.0,0.5478789806365967
107,1111,103,True,0.7801894976054939,0.6009381413459778
108,1945,104,False,0.0,0.0
109,3068,106,True,0.6037502997053117,0.8272107243537903
110,3944,107,False,0.0,0.0
