,D1,D2,responses,s-weight
0,0,4407,False,0.6848503947257996
1,0,8365,False,0.5035552978515625
2,0,15113,False,0.5100663304328918
3,1,16720,False,0.8725451231002808
4,1,16447,False,0.8553825616836548
5,1,7147,False,0.8280230164527893
6,2,18949,False,0.580303430557251
7,2,18028,False,0.774563729763031
8,2,16495,False,0.6064337491989136
9,3,21424,False,0.8342201709747314
10,3,4378,False,0.8530861735343933
11,3,4377,False,0.7735570073127747
12,4,14172,False,0.5882389545440674
13,4,14048,False,0.0
14,4,1470,False,0.0
15,5,20932,False,0.8716970086097717
16,5,10424,False,0.6268876194953918
17,5,10422,False,0.745769202709198
18,6,13023,False,0.9191036820411682
19,6,9015,False,0.9673612713813782
20,6,3047,False,0.9116776585578918
21,7,19193,False,0.691804051399231
22,7,17995,False,0.0
23,7,1303,False,0.834133505821228
24,8,19470,False,0.8148143291473389
25,8,10248,False,0.7612432241439819
26,8,349,False,0.778605580329895
27,9,10846,False,0.8237318992614746
28,9,10052,False,0.8551424741744995
29,9,2456,False,0.8457511067390442
30,10,21365,False,0.0
31,10,20208,False,0.6087250113487244
32,10,3494,False,0.6392995715141296
33,11,12797,False,0.0
34,11,2830,False,0.0
35,11,2816,False,0.0
36,12,7686,False,0.0
37,12,5666,False,0.0
38,12,3691,False,0.0
39,13,12081,False,0.6828033328056335
40,13,7532,False,0.7689226865768433
41,13,1627,False,0.7268728017807007
42,14,13616,False,0.8013551235198975
43,14,1699,False,0.8769415616989136
44,14,1698,False,0.8142274618148804
45,15,17810,False,0.918223798274994
46,15,17364,True,0.9467528462409972
47,15,4282,False,0.9089162349700928
48,16,15183,False,0.8492940664291382
49,16,15182,False,0.8623165488243103
50,16,13230,False,0.8565991520881653
51,17,21288,False,0.6975969672203064
52,17,18816,False,0.7314133048057556
53,17,18014,False,0.0
54,18,17423,False,0.7157481908798218
55,18,10879,False,0.7773025035858154
56,18,4881,False,0.657555103302002
57,19,17429,True,0.8409780263900757
58,19,11239,False,0.8190895915031433
59,19,6596,False,0.8561142086982727
60,20,16837,False,0.8289142847061157
61,20,2791,False,0.6928716897964478
62,20,14080,False,0.5730797052383423
63,21,12925,False,0.8216298818588257
64,21,8915,False,0.9117971062660216
65,21,7853,False,0.843660831451416
66,22,20961,False,0.9164035320281982
67,22,17882,False,0.9220693707466124
68,22,17391,False,0.9121303558349608
69,23,19216,False,0.6427063345909119
70,23,14262,False,0.7822567224502563
71,23,11991,False,0.7697286009788513
72,24,12804,False,0.710309624671936
73,24,10757,False,0.5387718677520752
74,24,10384,False,0.0
75,25,13012,False,0.8443386554718018
76,25,1035,False,0.8162336349487305
77,25,1033,False,0.8695327043533325
78,26,14406,False,0.8761358261108398
79,26,4406,False,0.8708099126815796
80,26,537,False,0.8587775230407715
81,27,10473,False,0.5956419110298157
82,27,9437,False,0.7176727652549744
83,27,3982,False,0.7448732852935791
84,28,19489,False,0.6180701851844788
85,28,14112,False,0.792576253414154
86,28,13919,False,0.0
87,29,8071,False,0.7779808640480042
88,29,8070,False,0.821463406085968
89,29,6031,False,0.7924346923828125
90,30,15046,False,0.8771897554397583
91,30,13118,False,0.7274549007415771
92,30,11088,False,0.9503656029701232
93,31,18620,False,0.7092255353927612
94,31,16173,False,0.6978060007095337
95,31,6573,False,0.8218942880630493
96,32,21567,False,0.9146518707275392
97,32,20124,False,0.9242449998855592
98,32,17836,False,0.9177356958389282
99,33,11683,False,0.8435192108154297
100,33,5233,False,0.6586999297142029
101,33,1117,False,0.5973993539810181
102,34,6766,False,0.8147894144058228
103,34,5118,False,0.8118762373924255
104,34,3067,False,0.8966766595840454
105,35,8092,False,0.580223560333252
106,35,7916,False,0.0
107,35,604,False,0.0
108,36,21331,False,0.8707647919654846
109,36,8949,False,0.8316855430603027
110,36,2991,False,0.8302211165428162
111,37,14089,False,0.747878909111023
112,37,5601,True,0.816112220287323
113,37,5600,False,0.6812403202056885
114,38,21628,False,0.7244640588760376
115,38,19129,False,0.7337568998336792
116,38,15683,False,0.7100459933280945
117,39,10872,True,0.8848687410354614
118,39,6882,False,0.0
119,39,955,False,0.6847980618476868
120,40,20123,False,0.8083343505859375
121,40,12795,False,0.809922456741333
122,40,2828,False,0.8345296382904053
123,41,10814,False,0.8208795785903931
124,41,10802,False,0.8499158024787903
125,41,6816,False,0.8346580266952515
126,42,11478,False,0.7836918830871582
127,42,7477,False,0.7716748714447021
128,42,172,False,0.817795991897583
129,43,20229,False,0.7110168933868408
130,43,10344,False,0.8252503871917725
131,43,45,False,0.8498580455780029
132,44,8725,False,0.0
133,44,6691,False,0.0
134,44,6690,False,0.0
135,45,16163,False,0.0
136,45,11421,False,0.0
137,45,768,False,0.0
138,46,19337,False,0.0
139,46,18034,False,0.0
140,46,16500,False,0.0
141,47,18037,False,0.838782548904419
142,47,17556,False,0.9289628863334656
143,47,9387,False,0.7502343654632568
144,48,20273,False,0.8552308082580566
145,48,10254,False,0.6949061155319214
146,48,5920,False,0.6577231287956238
147,49,10111,False,0.841613233089447
148,49,8096,False,0.9308568239212036
149,49,6064,False,0.8934089541435242
150,50,16936,False,0.7316684722900391
151,50,16665,False,0.6808102130889893
152,50,2013,False,0.7808613777160645
153,51,5210,False,0.8476207256317139
154,51,16399,False,0.856472373008728
155,51,16358,False,0.8812912702560425
156,52,20998,False,0.7664958238601685
157,52,8239,False,0.8380200862884521
158,52,2257,False,0.7657785415649414
159,53,17892,False,0.9560840129852296
160,53,16598,False,0.901108741760254
161,53,9734,False,0.9356775879859924
162,54,6572,False,0.972013294696808
163,54,2612,False,0.7809983491897583
164,54,649,False,0.949926495552063
165,55,13865,False,0.0
166,55,12913,False,0.7926572561264038
167,55,9191,False,0.783440113067627
168,56,21964,False,0.912545919418335
169,56,21636,False,0.8895020484924316
170,56,9164,False,0.8689314723014832
171,57,13302,False,0.966696321964264
172,57,12464,False,0.6965437531471252
173,57,12060,False,0.925023913383484
174,58,21406,False,0.8183079957962036
175,58,9328,False,0.9245166778564452
176,58,5531,False,0.8616732954978943
177,59,19658,False,0.727406919002533
178,59,7604,False,0.8005584478378296
179,59,5585,False,0.7361958026885986
180,60,18198,False,0.723602831363678
181,60,17380,False,0.6921107769012451
182,60,606,False,0.7021100521087646
183,61,11091,False,0.8371012210845947
184,61,6043,False,0.6759034395217896
185,61,907,False,0.7010971903800964
186,62,19392,False,0.8447275161743164
187,62,9668,False,0.8593524098396301
188,62,3955,False,0.7721168994903564
189,63,19627,False,0.7422828674316406
190,63,12675,False,0.6859194040298462
191,63,10911,False,0.6482903361320496
192,64,18372,False,0.8542591333389282
193,64,15314,False,0.860553503036499
194,64,8391,True,0.9628901481628418
195,65,15087,False,0.88824063539505
196,65,11129,False,0.9887787103652954
197,65,3882,False,0.9326361417770386
198,66,9690,False,0.7746899724006653
199,66,3670,False,0.7948529720306396
200,66,3668,False,0.7878013849258423
201,67,20417,False,0.8128823041915894
202,67,14617,False,0.855583906173706
203,67,12696,False,0.8630839586257935
204,67,10669,False,0.8119974732398987
205,68,20446,False,0.6286168098449707
206,68,12402,False,0.0
207,68,12207,False,0.0
208,69,21809,False,0.8398295640945435
209,69,20427,False,0.8795742988586426
210,69,14641,False,0.8373349905014038
211,70,7758,False,0.7721952795982361
212,70,13715,False,0.7447643280029297
213,70,13714,False,0.774067759513855
214,71,14521,False,0.6350284218788147
215,71,2619,False,0.6936884522438049
216,71,643,False,0.643393337726593
217,72,11091,False,0.731475830078125
218,72,6846,False,0.8112165331840515
219,72,6043,False,0.8756014108657837
220,73,19782,False,0.907146155834198
221,73,6997,False,0.7527909278869629
222,73,6528,False,0.7831734418869019
223,74,12632,False,0.6420429944992065
224,74,2656,False,0.7665920853614807
225,74,2652,False,0.6788188815116882
226,75,15132,False,0.7981975078582764
227,75,12501,False,0.7368307113647461
228,75,5909,False,0.7369530200958252
229,76,21933,False,0.0
230,76,18637,False,0.5971518158912659
231,76,14949,False,0.0
232,77,14635,False,0.7912283539772034
233,77,6691,False,0.680068850517273
234,77,6690,False,0.7913172245025635
235,78,12600,False,0.8632196187973022
236,78,12347,False,0.8685851693153381
237,78,3931,False,0.8165831565856934
238,79,18495,False,0.8710611462593079
239,79,18187,False,0.860483705997467
240,79,17238,False,0.8473118543624878
241,80,17575,False,0.7620887160301208
242,80,17375,False,0.8228527307510376
243,80,6526,True,0.9162331819534302
244,81,17194,True,0.9603098034858704
245,81,16844,False,0.836214542388916
246,81,10884,False,0.9125060439109802
247,82,21003,False,0.796228289604187
248,82,19407,False,0.8843090534210205
249,82,7743,False,0.9351820349693298
250,83,21620,False,0.6519408226013184
251,83,15528,False,0.7080870866775513
252,83,10151,False,0.725603461265564
253,83,2144,False,0.7497346997261047
254,84,19377,False,0.8085626363754272
255,84,9496,False,0.7965935468673706
256,84,9262,False,0.8013970851898193
257,85,9496,False,0.7090332508087158
258,85,9489,False,0.0
259,85,9262,False,0.7649286985397339
260,86,18822,False,0.0
261,86,11617,False,0.7898263931274414
262,86,7610,True,0.8185817003250122
263,87,15985,False,0.7796589136123657
264,87,8061,False,0.843960165977478
265,87,2063,False,0.7837519645690918
266,88,18980,True,0.7843060493469238
267,88,7860,False,0.6257403492927551
268,88,3269,False,0.8516591191291809
269,89,14042,False,0.6449359655380249
270,89,10105,False,0.6689997911453247
271,89,2097,False,0.6481789350509644
272,90,20646,False,0.9115617275238036
273,90,10463,False,0.9094654321670532
274,90,10462,False,0.8585615158081055
275,91,17687,False,0.9413028955459596
276,91,13412,True,0.7940192818641663
277,91,6751,False,0.0
278,92,11014,False,0.903447926044464
279,92,4739,False,0.8621745705604553
280,92,2689,False,0.9198514819145204
281,93,8350,False,0.7943357229232788
282,93,8348,False,0.6352179050445557
283,93,2362,False,0.6465388536453247
284,94,15993,False,0.8580295443534851
285,94,13275,False,0.8321213722229004
286,94,9051,True,0.8704909086227417
287,95,20448,False,0.8206698298454285
288,95,14920,False,0.9001350402832031
289,95,1033,False,0.9502606391906738
290,96,16092,False,0.8347923755645752
291,96,15762,False,0.7381634712219238
292,96,4755,False,0.693074107170105
293,97,21940,False,0.7829998731613159
294,97,19575,False,0.0
295,97,15904,True,0.7417738437652588
296,98,19327,False,0.0
297,98,13170,False,0.4267659485340118
298,98,2775,False,0.6577388048171997
299,99,6551,True,0.893781304359436
300,99,4520,False,0.8386653661727905
301,99,635,False,0.8153132796287537
302,100,17359,False,0.8438454866409302
303,100,15195,False,0.7219756245613098
304,100,15194,False,0.8285296559333801
305,101,10615,False,0.8401850461959839
306,101,6538,False,0.8451129198074341
307,101,2593,False,0.976691484451294
308,102,21109,False,0.848850429058075
309,102,15063,False,0.8832154273986816
310,102,11759,True,0.8781698346138
311,103,15985,False,0.7690693736076355
312,103,8061,False,0.8676471710205078
313,103,2063,False,0.7936952114105225
314,104,20806,False,0.6839090585708618
315,104,11791,False,0.8171402215957642
316,104,5756,False,0.6280547380447388
317,105,9877,False,0.8092116713523865
318,105,1873,False,0.7431361675262451
319,105,0,False,0.6737609505653381
320,106,16126,False,0.6470775604248047
321,106,9975,False,0.6176264882087708
322,106,1499,False,0.6533334851264954
323,107,12090,False,0.8778771758079529
324,107,4082,False,0.8514211773872375
325,107,2096,False,0.8616030216217041
326,108,21709,False,0.8776615262031555
327,108,14851,False,0.6944670677185059
328,108,1311,False,0.7706843018531799
329,109,21004,False,0.6272093057632446
330,109,14743,False,0.6892114281654358
331,109,124,False,0.7060150504112244
332,110,17878,False,0.5574052929878235
333,110,15568,False,0.0
334,110,9644,False,0.5939027667045593
335,111,21789,False,0.7221088409423828
336,111,19229,False,0.7237051725387573
337,111,17369,False,0.729088306427002
338,112,13373,False,0.6509996652603149
339,112,6691,False,0.6895144581794739
340,112,6690,False,0.7847459316253662
341,113,7686,False,0.7316839694976807
342,113,5666,False,0.748874306678772
343,113,3691,False,0.7181078195571899
344,114,19066,False,0.8297085762023926
345,114,13239,False,0.4735129177570343
346,114,9223,False,0.9564387202262878
347,115,9747,False,0.5659557580947876
348,115,9745,False,0.5889147520065308
349,115,7026,False,0.6494027376174927
350,116,19430,False,0.0
351,116,13967,False,0.0
352,116,9510,False,0.0
353,117,15292,False,0.9104835987091064
354,117,7323,False,0.9055821299552916
355,117,1338,False,0.9121431112289428
356,118,18157,False,0.7196992635726929
357,118,17041,False,0.6649854183197021
358,118,16542,False,0.6109880208969116
359,119,21976,False,0.8043662905693054
360,119,20772,False,0.7782768607139587
361,119,3290,False,0.7761064767837524
362,120,14795,False,0.8633171319961548
363,120,2907,False,0.6835023164749146
364,120,923,False,0.8331876993179321
365,121,20284,False,0.7294763326644897
366,121,10286,False,0.7039812803268433
367,121,2001,False,0.6758188009262085
368,122,15661,True,0.8833793997764587
369,122,3710,False,0.7906707525253296
370,122,1749,False,0.8372447490692139
371,123,14767,False,0.679374098777771
372,123,13869,False,0.7726233601570129
373,123,818,False,0.775831937789917
374,124,10931,False,0.808883011341095
375,124,10929,True,0.797141969203949
376,124,8974,False,0.7815523743629456
377,125,5419,False,0.8658291101455688
378,125,5418,False,0.8595156669616699
379,125,1477,False,0.8558101654052734
380,126,21663,False,0.8482778072357178
381,126,19808,False,0.6988407969474792
382,126,1555,False,0.909093141555786
383,127,9708,False,0.5942119359970093
384,127,6917,False,0.6542532444000244
385,127,1760,False,0.6885906457901001
386,128,20986,False,0.7888250350952148
387,128,10640,False,0.8053390979766846
388,128,2701,False,0.8273293375968933
389,129,18649,False,0.761845052242279
390,129,10654,False,0.7465041875839233
391,129,10595,True,0.8614881038665771
392,129,8121,False,0.7846832871437073
393,130,14783,False,0.8029454350471497
394,130,9890,False,0.8347246646881104
395,130,6836,False,0.8111124038696289
396,131,5595,False,0.7972722053527832
397,131,1642,False,0.8156246542930603
398,131,1641,False,0.8180580139160156
399,132,12839,False,0.8077908754348755
400,132,12354,False,0.8063744306564331
401,132,9649,False,0.6744587421417236
402,133,18925,False,0.0
403,133,18758,False,0.6172589063644409
404,133,4231,False,0.0
405,134,15708,False,0.7656415104866028
406,134,3740,False,0.8239195942878723
407,134,188,False,0.7954906225204468
408,135,19358,False,0.8904324173927307
409,135,7323,False,0.7265693545341492
410,135,27,False,0.7024726271629333
411,136,2577,False,0.9185625314712524
412,136,2576,False,0.9182851910591124
413,136,613,False,0.9092954993247986
414,137,21120,False,0.8449894785881042
415,137,19728,False,0.8254627585411072
416,137,9866,False,0.8534032702445984
417,138,19932,False,0.628652811050415
418,138,11468,True,0.8498383164405823
419,138,9528,False,0.0
420,139,22036,False,0.5912570953369141
421,139,21687,False,0.6582426428794861
422,139,14161,False,0.6169690489768982
423,140,13715,False,0.8462120294570923
424,140,11757,False,0.8498868942260742
425,140,11756,False,0.7327443361282349
426,141,14545,False,0.7627451419830322
427,141,4552,False,0.7466838359832764
428,141,2644,False,0.7640775442123413
429,142,15665,False,0.7813911437988281
430,142,13685,False,0.7665266394615173
431,142,5955,False,0.6795705556869507
432,143,17825,False,0.8207155466079712
433,143,17068,False,0.6446675658226013
434,143,15424,False,0.0
435,144,12593,False,0.6946605443954468
436,144,12589,False,0.8756093978881836
437,144,7970,False,0.8422166705131531
438,145,15891,False,0.9311982989311218
439,145,4498,False,0.8535478115081787
440,145,2593,False,0.8627264499664307
441,146,20791,False,0.6051517128944397
442,146,13423,False,0.7547929883003235
443,146,12097,False,0.8402777314186096
444,147,21192,True,0.874894380569458
445,147,10217,False,0.4903323650360107
446,147,2244,False,0.4977341890335083
447,148,18936,False,0.8281828761100769
448,148,16398,False,0.8444756865501404
449,148,16350,False,0.8511385321617126
450,149,14852,False,0.7437697649002075
451,149,14851,False,0.7288487553596497
452,149,8939,False,0.6837234497070312
453,150,19227,False,0.8756166696548462
454,150,15128,False,0.931816816329956
455,150,4349,False,0.8786267638206482
456,151,14577,False,0.7547236680984497
457,151,6619,False,0.799239993095398
458,151,691,False,0.7668150067329407
459,152,12797,False,0.0
460,152,6691,False,0.0
461,152,6690,False,0.7554248571395874
462,153,11014,False,0.0
463,153,4739,False,0.0
464,153,2689,False,0.0
465,154,16442,False,0.7605395913124084
466,154,14666,False,0.0
467,154,5824,False,0.6649826765060425
468,155,9455,False,0.725011944770813
469,155,6536,False,0.0
470,155,3446,False,0.9028557538986206
471,156,18881,False,0.7012374401092529
472,156,11954,False,0.0
473,156,8214,False,0.7312107086181641
474,157,17313,False,0.7826000452041626
475,157,16501,False,0.730410099029541
476,157,16205,True,0.911911129951477
477,158,13089,False,0.6284098625183105
478,158,13082,False,0.7300986051559448
479,158,1087,False,0.7355720400810242
480,159,20821,False,0.8730453252792358
481,159,9709,False,0.7230294942855835
482,159,5664,False,0.5915793180465698
483,160,15420,False,0.546808123588562
484,160,14855,True,0.7050158381462097
485,160,985,False,0.8534848093986511
486,161,18248,False,0.8431090712547302
487,161,17621,False,0.8432514667510986
488,161,17286,False,0.8424462676048279
489,161,17005,False,0.7591891288757324
490,162,18349,False,0.7940799593925476
491,162,18348,False,0.8896434307098389
492,162,18055,True,0.8911727666854858
493,163,20784,False,0.0
494,163,9824,False,0.8257655501365662
495,163,123,True,0.8264177441596985
496,164,20642,False,0.7098968029022217
497,164,18937,False,0.9299709796905518
498,164,10446,False,0.7364161610603333
499,165,19755,False,0.6390805840492249
500,165,12800,False,0.7724847197532654
501,165,4732,False,0.7181421518325806
502,166,19283,False,0.920462965965271
503,166,14680,False,0.9636163711547852
504,166,12781,False,0.989913046360016
505,167,15437,False,0.8367794752120972
506,167,11478,False,0.8376594185829163
507,167,4099,False,0.7717267870903015
508,168,12913,False,0.6758675575256348
509,168,12345,False,0.6381275057792664
510,168,5324,False,0.0
511,169,20035,False,0.6698363423347473
512,169,17056,False,0.6958813667297363
513,169,16364,False,0.6529596447944641
514,170,8126,False,0.7130293846130371
515,170,7438,False,0.5993597507476807
516,170,4112,False,0.7022036910057068
517,171,19334,False,0.0
518,171,6691,False,0.0
519,171,6690,False,0.0
520,172,21462,False,0.8441457748413086
521,172,14392,False,0.7249578833580017
522,172,7297,False,0.6859129667282104
523,173,18771,False,0.7485113143920898
524,173,11265,False,0.7509574890136719
525,173,1249,False,0.8400111794471741
526,174,13481,False,0.8368710279464722
527,174,5479,False,0.8781871795654297
528,174,1525,False,0.8571018576622009
529,175,20939,False,0.4809702038764953
530,175,6573,False,0.8029240965843201
531,175,5431,True,0.7302151322364807
532,176,14820,False,0.9399901628494264
533,176,4855,False,0.9408490657806396
534,176,951,False,0.8850767612457275
535,177,14903,False,0.8303225636482239
536,177,6960,False,0.8366782665252686
537,177,1019,False,0.8829697370529175
538,178,20725,False,0.9004139304161072
539,178,19149,False,0.8213314414024353
540,178,10843,False,0.8564744591712952
541,179,14057,False,0.7555015683174133
542,179,8545,False,0.7113136053085327
543,179,6621,False,0.7521218657493591
544,180,21041,False,0.6629126071929932
545,180,20271,False,0.6647480726242065
546,180,1928,False,0.0
547,181,12012,False,0.9158297777175904
548,181,11744,False,0.6033413410186768
549,181,3981,False,0.8244580030441284
550,182,11396,False,0.8518927693367004
551,182,7399,False,0.7798070907592773
552,182,5362,False,0.7976982593536377
553,183,15597,False,0.6949938535690308
554,183,11424,False,0.8502850532531738
555,183,3462,False,0.7900645136833191
556,184,18620,False,0.8491588830947876
557,184,5560,False,0.8140239715576172
558,184,2959,True,0.9752034544944764
559,185,13913,False,0.7891265153884888
560,185,5930,False,0.837918221950531
561,185,4506,False,0.8031967878341675
562,186,9936,False,0.0
563,186,1929,False,0.8485323190689087
564,186,1928,False,0.8079745769500732
565,187,14758,False,0.8954077959060669
566,187,12862,False,0.921694278717041
567,187,8850,False,0.8836800456047058
568,188,17020,False,0.6572376489639282
569,188,10217,False,0.5305418968200684
570,188,9978,True,0.6657826900482178
571,188,2592,False,0.6231793165206909
572,189,7007,False,0.6212900280952454
573,189,6417,False,0.6812883615493774
574,189,3337,False,0.849439263343811
575,190,6411,False,0.7157204151153564
576,190,3750,False,0.6671151518821716
577,190,1790,False,0.8503122329711914
578,191,5169,False,0.9126330614089966
579,191,1243,False,0.9170478582382202
580,191,27,False,0.7410370111465454
581,192,16315,False,0.8738837242126465
582,192,11134,False,0.834149181842804
583,192,11131,False,0.831223726272583
584,193,19880,False,0.8865709900856018
585,193,16315,False,0.8921853303909302
586,193,15090,False,0.868222713470459
587,194,2939,False,0.7856711149215698
588,194,6876,True,0.8837648630142212
589,194,18691,False,0.7620499730110168
590,195,18514,False,0.6595226526260376
591,195,13143,False,0.8657451272010803
592,195,3129,False,0.8265066146850586
593,196,13373,False,0.0
594,196,4739,False,0.0
595,196,768,False,0.0
596,197,18601,False,0.0
597,197,16162,False,0.0
598,197,768,False,0.0
599,198,12797,False,0.0
600,198,6691,False,0.0
601,198,6690,False,0.7514848709106445
602,199,5511,False,0.8841211795806885
603,199,3535,False,0.8648239374160767
604,199,3534,False,0.8500016927719116
605,200,17886,False,0.0
606,200,16962,False,0.0
607,200,12521,False,0.0
608,201,13529,False,0.9125354290008544
609,201,9572,False,0.9091655015945436
610,201,6828,False,0.912906289100647
611,201,3554,False,0.9108543395996094
612,202,6373,False,0.8758833408355713
613,202,4353,False,0.8681411743164062
614,202,2447,False,0.8763129115104675
615,203,20015,False,0.7307363748550415
616,203,18558,False,0.7282914519309998
617,203,17234,False,0.7854564785957336
618,204,17234,False,0.63937908411026
619,204,14346,False,0.6012797355651855
620,204,2306,False,0.8332618474960327
621,205,14518,False,0.0
622,205,10517,True,0.958919644355774
623,205,6570,False,0.0
624,206,22067,False,0.6598817110061646
625,206,21560,False,0.6954712867736816
626,206,10679,False,0.6882020235061646
627,207,18002,False,0.7884352207183838
628,207,16759,False,0.7459062337875366
629,207,16449,False,0.6492427587509155
630,208,12738,False,0.8332586288452148
631,208,6711,False,0.850921094417572
632,208,6710,False,0.8010410070419312
633,209,18713,False,0.8520581722259521
634,209,12803,False,0.0
635,209,10972,False,0.7950934767723083
636,210,9350,False,0.0
637,210,9087,False,0.0
638,210,1358,False,0.0
639,211,17684,False,0.7426650524139404
640,211,6270,False,0.7772756814956665
641,211,400,False,0.8740875124931335
642,212,16120,False,0.0
643,212,11745,False,0.0
644,212,4579,False,0.5867629051208496
645,213,21190,False,0.8585290908813477
646,213,20018,False,0.8052088618278503
647,213,7531,False,0.9023340940475464
648,214,18601,False,0.8017355799674988
649,214,10489,False,0.8949465155601501
650,214,8788,False,0.83158278465271
651,215,10600,False,0.9358633756637572
652,215,8641,False,0.9412053823471068
653,215,6601,True,0.995690643787384
654,216,18752,False,0.0
655,216,12901,False,0.0
656,216,2091,False,0.6089391112327576
657,217,9332,False,0.82281494140625
658,217,5274,True,0.8478937745094299
659,217,984,False,0.904770016670227
660,218,13085,False,0.864747166633606
661,218,5046,True,0.872901201248169
662,218,5037,False,0.9009122252464294
663,219,6667,False,0.9004988670349121
664,219,6666,False,0.9325846433639526
665,219,729,False,0.9468464851379396
666,220,12996,False,0.5106010437011719
667,220,2035,False,0.7012706398963928
668,220,1904,False,0.5919032692909241
669,221,16944,False,0.7307044863700867
670,221,16624,False,0.8912567496299744
671,221,1772,False,0.7426417469978333
672,222,17534,False,0.6836633086204529
673,222,5730,False,0.7325503826141357
674,222,1354,False,0.9196664094924928
675,223,5971,False,0.8493026494979858
676,223,3863,False,0.8339358568191528
677,223,414,False,0.7906866669654846
678,224,21724,False,0.674065351486206
679,224,18577,False,0.0
680,224,12206,True,0.7643792629241943
681,225,12627,False,0.9488497972488404
682,225,6587,False,0.8317505121231079
683,225,107,False,0.9278848171234132
684,226,15314,False,0.8418867588043213
685,226,14005,False,0.7299658060073853
686,226,2943,False,0.7603281736373901
687,227,20795,False,0.8383179903030396
688,227,3523,False,0.8004037141799927
689,227,1548,False,0.6939218044281006
690,228,18020,False,0.6801751255989075
691,228,17695,False,0.533661425113678
692,228,10391,False,0.7105971574783325
693,229,13258,True,0.9188096523284912
694,229,11249,False,0.8968037962913513
695,229,3282,False,0.882793128490448
696,230,16042,False,0.7584316730499268
697,230,16041,False,0.7590427398681641
698,230,14051,False,0.8019832372665405
699,231,13272,False,0.0
700,231,10436,False,0.8492833375930786
701,231,6876,False,0.0
702,232,12221,False,0.6895591020584106
703,232,8958,False,0.5706457495689392
704,232,2990,False,0.5977779626846313
705,233,8110,False,0.693809986114502
706,233,6075,False,0.7583699226379395
707,233,1470,False,0.6562042236328125
708,234,16574,False,0.6923341155052185
709,234,16573,False,0.6984386444091797
710,234,15248,False,0.7063201665878296
711,235,21783,True,0.935287594795227
712,235,16182,False,0.9454343914985656
713,235,12319,False,0.8050217032432556
714,236,21948,False,0.5340299606323242
715,236,6402,False,0.8727997541427612
716,236,1597,False,0.6268025040626526
717,237,20434,False,0.6941664218902588
718,237,11149,False,0.6760580539703369
719,237,11046,False,0.7043718695640564
720,238,14451,False,0.8710356950759888
721,238,12532,False,0.8750888109207153
722,238,203,False,0.8649935722351074
723,239,10617,False,0.9493396878242492
724,239,10616,False,0.7129757404327393
725,239,8656,False,0.6707284450531006
726,240,20288,False,0.6736961007118225
727,240,10166,False,0.7679569721221924
728,240,6106,False,0.7750834822654724
729,241,11137,False,0.6133855581283569
730,241,7135,False,0.6583966016769409
731,241,3839,False,0.0
732,242,11691,False,0.6549490094184875
733,242,16745,False,0.7231007814407349
734,242,10180,False,0.6271847486495972
735,243,13747,False,0.909468412399292
736,243,11799,False,0.9121366739273072
737,243,7799,False,0.9000541567802429
738,244,14691,False,0.7964253425598145
739,244,12785,False,0.822731614112854
740,244,9288,False,0.8872132301330566
741,245,15231,False,0.0
742,245,11261,False,0.5941059589385986
743,245,6015,False,0.0
744,246,19031,False,0.89035564661026
745,246,14867,False,0.8891184329986572
746,246,13589,True,0.8986032009124756
747,247,18804,False,0.5271620750427246
