,D1,D2,responses
0,0,4407,True
1,0,8365,True
2,0,15113,False
3,1,16720,True
4,1,16447,False
5,1,7147,False
6,2,18949,False
7,2,18028,False
8,2,16495,False
9,3,21424,False
10,3,4378,True
11,3,4377,False
12,4,14172,False
13,4,14048,False
14,4,1470,False
15,5,20932,True
16,5,10424,True
17,5,10422,True
18,6,13023,False
19,6,9015,False
20,6,3047,False
21,7,19193,False
22,7,17995,False
23,7,1303,False
24,8,19470,True
25,8,10248,True
26,8,349,False
27,9,10846,False
28,9,10052,False
29,9,2456,False
30,10,21365,False
31,10,20208,False
32,10,3494,False
33,11,12797,True
34,11,2830,True
35,11,2816,True
36,12,7686,False
37,12,5666,False
38,12,3691,False
39,13,12081,False
40,13,7532,True
41,13,1627,False
42,14,13616,False
43,14,1699,True
44,14,1698,False
45,15,17810,True
46,15,17364,True
47,15,4282,True
48,16,15183,False
49,16,15182,False
50,16,13230,False
51,17,21288,False
52,17,18816,False
53,17,18014,False
54,18,17423,True
55,18,10879,False
56,18,4881,True
57,19,17429,True
58,19,11239,False
59,19,6596,True
60,20,16837,True
61,20,2791,True
62,20,14080,True
63,21,12925,False
64,21,8915,False
65,21,7853,False
66,22,20961,True
67,22,17882,False
68,22,17391,False
69,23,19216,False
70,23,14262,True
71,23,11991,True
72,24,12804,False
73,24,10757,True
74,24,10384,False
75,25,13012,False
76,25,1035,False
77,25,1033,False
78,26,14406,False
79,26,4406,False
80,26,537,False
81,27,10473,True
82,27,9437,False
83,27,3982,False
84,28,19489,False
85,28,14112,False
86,28,13919,False
87,29,8071,False
88,29,8070,False
89,29,6031,False
90,30,15046,False
91,30,13118,True
92,30,11088,False
93,31,18620,False
94,31,16173,True
95,31,6573,False
96,32,21567,False
97,32,20124,True
98,32,17836,True
99,33,11683,True
100,33,5233,False
101,33,1117,False
102,34,6766,False
103,34,5118,False
104,34,3067,False
105,35,8092,True
106,35,7916,False
107,35,604,False
108,36,21331,False
109,36,8949,False
110,36,2991,False
111,37,14089,False
112,37,5601,True
113,37,5600,False
114,38,21628,False
115,38,19129,False
116,38,15683,False
117,39,10872,True
118,39,6882,False
119,39,955,False
120,40,20123,False
121,40,12795,True
122,40,2828,True
123,41,10814,True
124,41,10802,True
125,41,6816,False
126,42,11478,False
127,42,7477,True
128,42,172,True
129,43,20229,False
130,43,10344,False
131,43,45,False
132,44,8725,False
133,44,6691,False
134,44,6690,True
135,45,16163,True
136,45,11421,True
137,45,768,False
138,46,19337,False
139,46,18034,False
140,46,16500,False
141,47,18037,False
142,47,17556,True
143,47,9387,True
144,48,20273,False
145,48,10254,False
146,48,5920,False
147,49,10111,False
148,49,8096,False
149,49,6064,False
150,50,16936,True
151,50,16665,False
152,50,2013,True
153,51,5210,True
154,51,16399,False
155,51,16358,True
156,52,20998,False
157,52,8239,True
158,52,2257,False
159,53,17892,True
160,53,16598,False
161,53,9734,True
162,54,6572,True
163,54,2612,True
164,54,649,False
165,55,13865,False
166,55,12913,False
167,55,9191,False
168,56,21964,False
169,56,21636,False
170,56,9164,True
171,57,13302,False
172,57,12464,False
173,57,12060,False
174,58,21406,False
175,58,9328,False
176,58,5531,False
177,59,19658,False
178,59,7604,False
179,59,5585,False
180,60,18198,False
181,60,17380,False
182,60,606,True
183,61,11091,False
184,61,6043,False
185,61,907,False
186,62,19392,False
187,62,9668,False
188,62,3955,False
189,63,19627,True
190,63,12675,True
191,63,10911,False
192,64,18372,True
193,64,15314,False
194,64,8391,True
195,65,15087,False
196,65,11129,False
197,65,3882,False
198,66,9690,False
199,66,3670,False
200,66,3668,False
201,67,20417,False
202,67,14617,False
203,67,12696,False
204,67,10669,False
205,68,20446,False
206,68,12402,False
207,68,12207,False
208,69,21809,True
209,69,20427,True
210,69,14641,False
211,70,7758,False
212,70,13715,False
213,70,13714,True
214,71,14521,False
215,71,2619,False
216,71,643,False
217,72,11091,False
218,72,6846,False
219,72,6043,False
220,73,19782,False
221,73,6997,True
222,73,6528,True
223,74,12632,False
224,74,2656,False
225,74,2652,False
226,75,15132,False
227,75,12501,False
228,75,5909,False
229,76,21933,True
230,76,18637,False
231,76,14949,True
232,77,14635,False
233,77,6691,False
234,77,6690,True
235,78,12600,False
236,78,12347,False
237,78,3931,False
238,79,18495,False
239,79,18187,True
240,79,17238,True
241,80,17575,True
242,80,17375,True
243,80,6526,True
244,81,17194,True
245,81,16844,False
246,81,10884,False
247,82,21003,False
248,82,19407,False
249,82,7743,False
250,83,21620,False
251,83,15528,False
252,83,10151,False
253,83,2144,False
254,84,19377,True
255,84,9496,True
256,84,9262,True
257,85,9496,False
258,85,9489,False
259,85,9262,True
260,86,18822,False
261,86,11617,True
262,86,7610,True
263,87,15985,False
264,87,8061,False
265,87,2063,False
266,88,18980,False
267,88,7860,False
268,88,3269,True
269,89,14042,False
270,89,10105,False
271,89,2097,False
272,90,20646,False
273,90,10463,False
274,90,10462,True
275,91,17687,False
276,91,13412,True
277,91,6751,False
278,92,11014,True
279,92,4739,True
280,92,2689,True
281,93,8350,False
282,93,8348,False
283,93,2362,False
284,94,15993,False
285,94,13275,False
286,94,9051,True
287,95,20448,False
288,95,14920,False
289,95,1033,False
290,96,16092,False
291,96,15762,False
292,96,4755,False
293,97,21940,False
294,97,19575,False
295,97,15904,True
296,98,19327,False
297,98,13170,False
298,98,2775,True
299,99,6551,True
300,99,4520,False
301,99,635,True
302,100,17359,True
303,100,15195,False
304,100,15194,False
305,101,10615,False
306,101,6538,False
307,101,2593,False
308,102,21109,False
309,102,15063,False
310,102,11759,True
311,103,15985,False
312,103,8061,False
313,103,2063,False
314,104,20806,False
315,104,11791,False
316,104,5756,False
317,105,9877,True
318,105,1873,False
319,105,0,False
320,106,16126,True
321,106,9975,True
322,106,1499,False
323,107,12090,False
324,107,4082,False
325,107,2096,False
326,108,21709,False
327,108,14851,False
328,108,1311,False
329,109,21004,False
330,109,14743,False
331,109,124,False
332,110,17878,False
333,110,15568,False
334,110,9644,False
335,111,21789,False
336,111,19229,False
337,111,17369,False
338,112,13373,False
339,112,6691,False
340,112,6690,False
341,113,7686,False
342,113,5666,False
343,113,3691,False
344,114,19066,True
345,114,13239,False
346,114,9223,False
347,115,9747,True
348,115,9745,False
349,115,7026,True
350,116,19430,False
351,116,13967,False
352,116,9510,False
353,117,15292,False
354,117,7323,True
355,117,1338,False
356,118,18157,True
357,118,17041,True
358,118,16542,True
359,119,21976,False
360,119,20772,False
361,119,3290,False
362,120,14795,True
363,120,2907,False
364,120,923,True
365,121,20284,False
366,121,10286,False
367,121,2001,False
368,122,15661,True
369,122,3710,False
370,122,1749,True
371,123,14767,False
372,123,13869,False
373,123,818,False
374,124,10931,True
375,124,10929,True
376,124,8974,False
377,125,5419,False
378,125,5418,False
379,125,1477,False
380,126,21663,False
381,126,19808,True
382,126,1555,False
383,127,9708,False
384,127,6917,False
385,127,1760,False
386,128,20986,False
387,128,10640,False
388,128,2701,False
389,129,18649,True
390,129,10654,True
