D1,D2,responses
0,4407,False
0,8365,False
0,15113,False
1,16720,True
1,16447,False
1,7147,False
2,18949,False
2,18028,False
2,16495,False
3,21424,False
3,4378,True
3,4377,False
4,14172,False
4,14048,False
4,1470,False
5,20932,True
5,10424,False
5,10422,True
6,13023,False
6,9015,True
6,3047,False
7,19193,False
7,17995,False
7,1303,True
8,19470,False
8,10248,False
8,349,False
9,10846,False
9,10052,False
9,2456,False
10,21365,False
10,20208,False
10,3494,False
11,12797,False
11,2830,False
11,2816,False
12,7686,False
12,5666,False
12,3691,False
13,12081,False
13,7532,False
13,1627,False
14,13616,False
14,1699,False
14,1698,False
15,17810,True
15,17364,True
15,4282,True
16,15183,False
16,15182,False
16,13230,False
17,21288,False
17,18816,False
17,18014,False
18,17423,False
18,10879,True
18,4881,False
19,17429,True
19,11239,False
19,6596,False
20,16837,True
20,2791,True
20,14080,False
21,12925,False
21,8915,False
21,7853,False
22,20961,False
22,17882,False
22,17391,False
23,19216,False
23,14262,False
23,11991,False
24,12804,False
24,10757,False
24,10384,False
25,13012,False
25,1035,False
25,1033,False
26,14406,False
26,4406,False
26,537,True
27,10473,False
27,9437,False
27,3982,False
28,19489,False
28,14112,False
28,13919,False
29,8071,False
29,8070,False
29,6031,True
30,15046,False
30,13118,False
30,11088,False
31,18620,False
31,16173,False
31,6573,False
32,21567,False
32,20124,False
32,17836,False
33,11683,True
33,5233,False
33,1117,False
34,6766,False
34,5118,False
34,3067,False
35,8092,False
35,7916,False
35,604,False
36,21331,False
36,8949,False
36,2991,False
37,14089,False
37,5601,True
37,5600,False
38,21628,False
38,19129,False
38,15683,False
39,10872,False
39,6882,False
39,955,False
40,20123,False
40,12795,False
40,2828,False
41,10814,False
41,10802,False
41,6816,False
42,11478,False
42,7477,False
42,172,True
43,20229,False
43,10344,False
43,45,False
44,8725,False
44,6691,False
44,6690,False
45,16163,False
45,11421,False
45,768,False
46,19337,False
46,18034,False
46,16500,False
47,18037,False
47,17556,False
47,9387,False
48,20273,False
48,10254,False
48,5920,False
49,10111,False
49,8096,True
49,6064,False
50,16936,False
50,16665,False
50,2013,False
51,5210,False
51,16399,False
51,16358,False
52,20998,False
52,8239,False
52,2257,False
53,17892,True
53,16598,False
53,9734,False
54,6572,True
54,2612,False
54,649,False
55,13865,False
55,12913,False
55,9191,False
56,21964,False
56,21636,False
56,9164,True
57,13302,False
57,12464,False
57,12060,False
58,21406,False
58,9328,False
58,5531,False
59,19658,False
59,7604,False
59,5585,False
60,18198,False
60,17380,False
60,606,False
61,11091,False
61,6043,False
61,907,False
62,19392,False
62,9668,False
62,3955,False
63,19627,False
63,12675,False
63,10911,False
64,18372,False
64,15314,False
64,8391,True
65,15087,False
65,11129,True
65,3882,False
66,9690,False
66,3670,False
66,3668,True
67,20417,False
67,14617,False
67,12696,False
67,10669,False
68,20446,False
68,12402,False
68,12207,False
69,21809,True
69,20427,False
69,14641,False
70,7758,False
70,13715,False
70,13714,False
71,14521,False
71,2619,False
71,643,False
72,11091,False
72,6846,False
72,6043,False
73,19782,True
73,6997,False
73,6528,False
74,12632,False
74,2656,False
74,2652,False
75,15132,False
75,12501,False
75,5909,False
76,21933,False
76,18637,False
76,14949,False
77,14635,False
77,6691,False
77,6690,False
78,12600,False
78,12347,False
78,3931,False
79,18495,False
