D1,D2,responses
0,53,True
0,697,True
0,193,False
1,148,False
1,151,False
2,426,False
2,987,False
2,33,True
2,394,False
3,204,False
3,207,False
3,725,False
3,864,False
3,198,False
3,866,False
3,346,False
3,347,False
3,710,False
3,739,False
3,748,False
3,749,False
3,750,False
3,851,False
3,1024,False
3,1025,False
3,501,False
3,631,False
3,897,False
3,640,False
3,910,False
3,1042,False
3,143,False
3,817,False
3,552,False
3,560,False
3,309,False
3,696,False
3,700,False
3,967,False
3,62,False
3,191,False
3,192,True
3,194,False
3,582,False
3,583,False
3,584,False
3,585,False
3,586,False
3,587,False
4,150,False
5,1048,False
5,188,True
5,791,False
6,210,True
7,158,True
8,372,False
8,37,False
8,70,False
8,216,False
8,443,False
9,174,False
9,144,False
9,176,True
9,764,False
9,765,False
9,34,True
9,742,True
9,743,False
9,138,False
10,936,False
10,174,False
10,144,False
10,176,False
10,387,False
10,630,False
10,599,False
11,144,False
11,288,False
11,34,False
11,35,False
11,742,False
11,743,False
11,620,False
11,621,False
11,622,False
11,171,False
11,624,False
11,625,False
11,174,False
11,176,True
11,628,False
11,629,False
11,50,False
11,57,False
11,449,False
11,711,False
11,137,False
12,204,False
12,207,False
12,864,False
12,726,False
12,198,False
12,866,False
12,346,False
12,347,False
12,710,False
12,739,False
12,748,False
12,749,False
12,750,False
12,851,False
12,1024,False
12,1025,False
12,501,False
12,631,False
12,897,False
12,640,False
12,910,False
12,143,False
12,817,False
12,552,False
12,309,False
12,696,False
12,58,True
12,700,False
12,967,False
12,62,False
12,191,False
12,192,False
12,194,False
12,582,False
12,583,False
12,584,False
12,585,False
12,586,False
12,587,False
13,207,False
13,864,False
13,866,False
13,347,False
13,582,False
13,583,False
13,739,False
13,748,False
13,749,False
13,750,False
13,851,False
13,501,False
13,897,False
13,640,False
13,910,False
13,392,False
13,817,False
13,552,False
13,560,False
13,309,False
13,696,False
13,58,False
13,967,False
13,62,False
13,191,False
13,192,False
13,194,True
13,710,False
13,198,False
13,584,False
13,585,False
13,586,False
13,587,False
14,44,True
14,333,False
14,334,False
14,1055,False
14,339,False
14,644,False
14,56,False
14,475,False
14,31,False
14,32,False
14,327,False
14,1039,False
14,912,False
14,295,False
15,333,False
15,334,False
15,144,False
15,1055,False
15,35,False
15,424,False
15,296,False
