,D1,D2,responses,weight
0,3,436,True,0.1
1,4,2284,True,0.1
2,8,3335,True,0.1
3,9,890,True,0.1
4,10,1484,False,0.1
5,10,5104,True,0.1
6,11,73,True,0.1
7,19,1263,True,0.2
8,21,4889,True,0.1
9,23,5026,True,0.1
10,26,5190,True,0.1
11,27,5834,False,0.1
12,30,759,True,0.1
13,31,3869,True,0.1
14,33,2688,False,0.1
15,33,1494,True,0.1
16,33,4089,False,0.1
17,34,2605,True,0.1
18,37,1450,True,0.1
19,40,2930,True,0.2
20,41,1694,True,0.1
21,42,734,True,0.1
22,44,2757,True,0.1
23,45,3384,False,0.1
24,45,2168,True,0.1
25,49,4413,True,0.1
26,50,3695,True,0.1
27,54,46,True,0.1
28,58,1668,True,0.2
29,59,5832,True,0.1
30,59,6037,False,0.1
31,64,2415,True,0.1
32,64,1432,False,0.1
33,66,4373,True,0.1
34,68,4927,True,0.1
35,69,738,True,0.1
36,73,5312,True,0.1
37,75,1437,True,0.1
38,77,5547,True,0.1
39,79,3271,True,0.1
40,81,5921,True,0.1
41,82,1005,True,0.1
42,82,5050,False,0.2
43,83,76,True,0.1
44,89,3288,True,0.1
45,90,5260,True,0.1
46,91,2658,False,0.1
47,91,2756,True,0.1
48,92,4449,True,0.1
49,92,1696,False,0.1
50,92,554,True,0.1
51,95,971,False,0.1
52,95,3319,True,0.1
53,99,3085,True,0.1
54,100,2766,False,0.2
55,100,1320,True,0.2
56,102,2294,True,0.1
57,110,3604,True,0.1
58,111,3685,False,0.1
59,111,2113,True,0.1
60,112,2376,True,0.1
61,114,5191,True,0.1
62,114,3692,False,0.1
63,115,3616,True,0.1
64,118,805,True,0.1
65,119,1251,True,0.1
66,120,3948,True,0.2
67,126,2765,True,0.3
68,127,3872,True,0.1
69,129,1443,True,0.1
70,131,4824,False,0.2
71,132,5946,False,0.1
72,132,1689,False,0.1
73,132,1930,True,0.1
74,136,1461,True,0.1
75,138,41,True,0.1
76,139,1810,True,0.1
77,143,829,True,0.1
78,143,3880,False,0.1
79,145,5423,True,0.1
80,147,1924,True,0.2
81,151,5124,True,0.1
82,156,1049,True,0.1
83,158,4906,False,0.1
84,159,5522,False,0.1
85,160,3999,True,0.1
86,161,1356,True,0.1
87,163,5138,True,0.1
88,166,3115,False,0.1
89,167,2452,False,0.1
90,168,5320,True,0.1
91,168,4930,True,0.1
92,169,3047,True,0.1
93,170,5834,False,0.1
94,170,1000,True,0.1
95,173,3564,True,0.1
96,175,1571,False,0.1
97,175,4589,True,0.2
98,177,256,True,0.1
99,180,1330,True,0.3
100,183,3170,True,0.1
101,184,1470,True,0.1
102,186,1803,True,0.1
103,186,4560,False,0.1
104,186,5419,False,0.1
105,187,5337,False,0.1
106,188,4610,True,0.1
107,189,4557,True,0.1
108,189,5845,False,0.1
109,191,3586,False,0.1
110,192,3081,True,0.1
