D1,D2,responses
3,436,True
4,2284,False
4,4742,False
4,4783,False
4,2922,False
5,709,False
6,3203,False
6,4223,False
7,701,False
7,4865,False
7,3167,False
8,1378,False
8,2518,False
8,4165,False
8,5484,False
8,3335,False
9,890,True
10,5104,True
11,73,False
16,3376,False
17,150,False
17,5020,False
18,4144,False
19,1263,False
21,4889,True
22,4222,False
22,2797,False
23,3875,False
23,5026,False
24,2200,False
25,5682,False
26,5190,False
27,5834,False
30,1117,False
30,759,False
31,3869,True
33,2688,False
33,1494,True
33,4089,False
34,2363,False
34,2605,True
35,2885,True
37,1450,True
40,2930,True
41,5977,False
41,1694,False
42,5841,False
42,734,True
44,2757,True
45,3384,True
45,2168,True
48,5396,False
49,5456,False
49,1447,False
49,4413,True
50,4517,False
50,3695,True
54,1516,False
54,3708,False
54,46,True
54,4402,False
55,5866,False
58,1668,True
59,6037,False
59,1387,False
59,374,False
59,5832,False
59,1243,False
64,2415,False
64,1432,False
66,4373,True
67,1211,False
68,4927,True
69,738,True
69,1642,False
72,1627,False
72,1926,False
73,5312,True
74,2150,False
75,1437,True
75,4206,False
77,5547,True
78,4861,False
78,3067,False
79,3271,True
80,5848,False
81,5921,False
81,5171,False
81,4892,False
82,1005,True
82,5050,False
82,4279,False
83,76,False
84,1211,False
84,3999,False
86,2708,False
87,4253,False
89,3288,False
90,5260,True
91,4934,False
91,5251,False
91,2756,False
91,2658,False
92,2507,False
92,1696,False
92,554,False
92,4231,False
92,1760,False
93,2444,False
94,5390,False
95,3087,False
95,813,False
95,3319,True
96,4245,False
99,3085,True
100,2766,True
100,1320,False
101,2105,False
102,2294,True
103,5512,False
103,840,False
103,3713,False
106,4031,False
108,5701,False
108,3906,False
110,3604,True
111,5801,True
111,3685,True
111,2113,True
112,1475,False
112,2376,True
114,5191,False
115,3616,True
116,1005,False
118,4812,False
118,805,True
119,1251,True
119,5315,False
120,3948,True
122,674,False
123,2311,False
126,2765,True
127,3872,True
127,1000,False
129,1443,True
129,5255,False
131,4824,False
131,1617,False
132,5946,False
132,1689,False
132,2491,False
132,1930,False
136,1461,True
138,902,False
138,1175,False
138,41,True
139,5613,False
139,4734,False
139,248,False
139,1810,False
140,803,False
140,1159,False
140,88,False
141,4549,False
141,5524,False
141,3326,False
142,1422,True
143,676,False
143,829,False
143,3880,False
143,3237,False
145,5423,False
147,1924,True
148,5541,False
151,4481,False
151,5124,True
156,5156,False
156,1049,False
158,4906,False
159,5522,True
160,3999,True
161,1356,True
162,2848,False
162,4278,False
162,4297,False
163,5138,True
165,2440,False
166,3115,False
168,5320,False
168,3887,False
168,4930,False
169,1764,True
169,4574,False
169,2899,False
169,3047,True
170,2285,False
170,5834,False
170,1000,False
171,4750,False
173,3564,False
173,4707,False
174,5741,False
174,3488,False
175,1571,False
175,4589,True
177,256,True
179,5138,False
180,1330,True
183,3170,False
184,1470,True
186,1803,False
186,4503,False
186,4560,False
186,5419,False
187,5337,False
188,4610,True
189,5664,False
189,4557,True
191,3586,False
192,3081,False
193,4188,False
194,3714,False
194,670,True
196,2742,False
196,4295,True
196,5363,False
196,2945,False
200,1233,True
201,168,True
203,3859,False
204,2767,False
204,3306,False
204,4046,False
204,4858,False
206,1893,False
206,1336,True
206,2393,False
206,1790,False
207,68,False
207,4285,False
207,2505,False
207,4104,False
208,1991,False
208,3342,False
208,1931,False
209,2334,False
213,4230,False
214,4084,False
214,4613,False
216,2503,False
216,2037,True
217,1085,False
217,481,False
218,4178,True
219,2624,True
221,2292,False
222,814,False
223,5746,False
223,4173,True
223,3252,False
223,303,True
223,1523,False
225,1225,False
226,4202,True
227,5995,False
227,454,False
228,5922,True
228,4711,False
228,5590,False
229,796,False
229,5117,True
230,1235,False
231,847,False
232,5603,True
235,6053,False
236,3268,True
239,3764,False
239,1976,False
239,1554,True
240,4342,False
240,416,False
241,1188,True
242,4401,False
244,1676,True
245,500,False
246,5858,False
246,2936,False
246,58,False
247,468,False
247,1733,False
247,4481,False
247,4574,False
248,3176,False
248,1700,False
248,5591,False
248,4790,False
248,5955,False
249,4070,False
249,2434,True
251,1482,True
252,1200,True
252,2193,False
253,5693,False
255,3674,False
255,5227,True
255,4979,False
257,1893,True
257,2393,False
259,463,False
261,1691,False
262,3231,False
262,2768,False
262,3035,False
262,2476,False
263,2855,False
266,5570,False
267,5663,False
268,4605,False
268,5377,False
269,5332,False
269,3380,False
269,5693,False
269,4381,True
269,4713,False
270,6027,False
270,3157,False
270,5807,False
271,5894,False
271,5746,False
271,4416,False
271,6038,False
272,5943,False
273,5686,False
273,4403,False
273,4482,False
273,5706,False
273,225,True
274,1004,False
274,4900,False
274,2307,False
275,2517,True
276,2992,False
276,182,True
276,5082,False
276,4681,False
282,1881,True
284,998,False
284,3929,False
284,1074,False
284,5473,False
284,4523,False
285,5205,True
286,189,False
287,5133,False
287,5650,False
287,2649,False
287,714,False
288,107,False
288,344,False
289,139,True
290,6036,False
290,496,False
291,2156,True
292,4572,True
292,4969,True
293,1846,False
293,3785,True
294,36,False
294,3566,False
294,2556,True
294,3521,False
295,2798,False
295,5251,False
296,5143,False
299,1892,False
299,2607,False
299,1426,False
299,1173,False
299,1244,False
301,187,False
301,3990,True
301,1219,False
302,1591,False
302,5310,False
303,4221,False
303,694,False
304,3629,True
305,1700,False
306,4934,False
306,2029,False
306,4543,False
306,1496,False
307,789,True
307,5293,False
309,4306,True
310,4991,False
310,5268,False
311,2116,False
311,4341,False
311,4870,False
312,4934,False
312,5710,False
312,1674,False
314,969,True
314,66,False
315,2326,False
315,5209,False
315,3429,True
319,4812,False
319,1575,False
319,2617,False
319,572,False
319,3237,False
320,4683,True
321,5162,True
322,5337,True
323,2373,False
323,4226,False
324,3835,False
324,4098,False
325,2080,True
326,876,True
328,4896,False
328,3873,False
328,1834,False
329,5150,False
332,3070,False
333,4196,False
333,4872,False
333,3476,True
333,4761,False
334,3413,True
334,4603,True
335,886,False
340,3180,False
344,5608,False
344,5079,False
344,1949,False
345,3305,False
345,5040,True
345,2711,False
345,3874,True
345,223,False
346,19,False
346,5114,False
346,3880,False
346,4114,False
347,2696,False
348,3496,False
348,4611,False
350,5386,False
354,1437,False
354,4206,True
355,3755,True
355,4016,False
356,5074,False
356,1776,False
356,5854,False
358,1678,True
358,839,False
360,5664,False
361,2347,True
365,3657,False
367,719,False
367,3951,False
369,2308,True
370,1465,False
371,4065,False
372,5126,False
372,3833,False
373,5800,False
373,4600,False
374,1718,False
375,997,True
376,5415,False
378,569,True
379,2092,False
379,5692,False
379,3555,False
379,5801,False
379,2305,True
380,581,False
380,821,False
380,4856,False
381,3064,False
381,5630,True
384,4500,False
385,5103,True
386,769,False
387,1579,False
387,2405,False
387,2869,True
388,4695,True
389,5573,False
389,5021,False
390,4314,False
392,183,False
392,1127,False
393,3317,False
393,5719,False
394,4687,False
395,5108,True
398,1329,False
400,3787,False
402,5812,False
402,705,True
402,1963,False
404,3203,False
404,4223,False
405,420,True
407,1395,False
407,5293,False
408,5449,True
408,2651,False
410,5243,False
411,5922,False
411,4711,False
411,1038,False
411,5590,False
414,493,False
415,505,False
415,4989,False
415,4770,False
415,5791,False
416,304,False
416,5125,False
417,2096,False
418,5008,False
418,3174,False
419,4576,False
421,5535,False
421,5503,False
423,5070,True
424,3338,False
424,2549,False
426,2180,False
426,647,True
426,1664,False
426,4850,False
427,5948,True
428,5675,True
429,663,False
429,3614,False
429,3937,False
430,5321,True
431,5451,False
431,1416,False
431,1441,False
433,2806,True
434,4420,False
438,1317,False
438,86,True
439,1437,False
439,4206,False
440,5561,True
442,2305,False
443,788,True
445,5651,True
446,2926,False
446,5689,False
447,345,False
447,3095,False
450,5599,False
452,4083,False
452,4269,False
452,1544,False
452,4690,False
453,4968,False
453,4874,False
453,106,False
454,4468,False
454,2414,False
454,5112,False
454,5411,False
454,2715,False
455,6032,False
456,4778,False
457,5624,False
457,1605,False
457,4503,False
457,3428,False
459,1157,False
460,4167,False
460,369,False
461,5323,False
462,2633,False
462,5637,False
463,3767,True
463,4651,False
464,974,True
465,2526,False
465,6003,False
465,4783,False
466,4781,True
466,3461,False
467,1695,False
468,3566,False
468,1545,True
468,2556,False
468,3521,False
468,5068,False
469,1280,False
470,3067,False
471,1591,False
471,5310,False
472,3300,False
472,4090,False
477,668,False
477,5145,False
480,2810,False
480,4192,False
480,1889,False
481,3305,False
481,5942,False
481,4404,False
481,29,False
481,447,False
482,3617,True
483,380,False
484,3890,False
485,2822,False
485,5938,True
485,2634,True
486,4196,False
486,4872,False
486,662,False
486,4761,True
487,429,True
487,2097,False
488,5516,True
489,2153,True
490,2598,False
490,1044,False
490,2705,False
490,5196,False
491,3855,False
492,3505,False
493,5871,False
493,4074,False
493,1624,False
493,5246,True
494,791,True
495,3763,False
495,1325,False
495,79,False
495,954,False
495,5194,False
496,5917,True
496,2219,False
497,5757,True
498,2831,False
498,2597,False
499,3734,True
500,3914,False
502,19,False
502,4592,False
502,5492,False
504,2938,False
505,5760,False
505,52,False
505,2814,False
505,2044,False
507,1353,False
508,4845,False
508,2881,False
508,6053,False
508,2465,False
509,3725,False
510,676,False
510,1142,False
510,2370,False
511,1109,False
511,5902,False
514,1958,False
515,553,True
516,3989,False
516,2451,True
517,4531,False
517,4024,False
517,693,False
517,1368,False
517,641,False
518,1414,False
519,4396,False
519,5259,False
519,2996,False
519,3463,False
522,877,True
523,1190,False
523,2522,False
523,3840,False
523,937,False
524,5605,False
524,1521,True
527,3329,False
528,4966,True
529,2606,False
529,78,False
529,4987,False
530,1182,False
532,1253,False
532,2931,True
532,2042,False
532,4741,False
532,2722,False
533,3109,True
534,2120,False
537,2299,False
538,6043,False
538,5208,False
539,2198,True
540,1845,True
542,4804,False
542,5869,False
542,5252,False
542,5661,False
543,261,False
543,2083,True
543,2233,False
543,1058,False
544,5832,False
545,4056,False
546,61,False
547,1168,False
551,1097,True
552,794,False
554,5775,False
554,864,False
554,4177,False
554,2330,False
556,5938,True
556,2634,True
557,2122,False
558,4450,False
559,3063,False
560,5774,False
560,5549,False
561,4222,False
561,2797,False
565,5393,False
565,495,False
565,2955,False
565,4766,False
566,5337,False
569,1348,False
569,3942,False
569,2248,False
569,4469,False
572,875,False
572,3565,True
572,4587,False
573,2994,True
574,1592,False
574,3625,False
576,3585,True
577,5363,False
581,5030,False
581,5926,False
582,6053,False
582,1946,False
583,912,True
584,2614,False
584,5064,False
586,725,True
587,3394,True
590,241,True
593,5106,False
595,3283,False
595,2400,False
595,1448,False
597,5165,False
598,4175,False
598,3577,False
598,1175,False
598,4867,False
598,3238,False
599,4275,True
599,5059,False
601,1589,False
602,3514,False
602,3494,False
603,2938,False
604,2950,False
604,2181,False
604,6040,False
604,693,False
604,1985,False
605,5771,False
606,752,False
606,3002,False
606,1961,False
606,5475,False
608,5133,False
608,3277,False
608,3745,False
609,5407,False
609,1663,False
609,5452,False
609,2339,True
610,5840,False
610,3909,False
610,881,False
611,5206,True
611,5249,False
611,4926,False
611,465,False
612,4243,False
612,3796,True
612,5927,False
613,2548,True
615,3463,False
616,5387,False
617,2718,True
618,1147,True
619,2952,False
619,3962,True
619,3065,False
619,2295,False
619,56,False
620,5498,False
621,3741,True
622,5167,True
624,2247,False
625,5571,True
625,2851,False
626,13,False
626,3415,False
627,4844,False
627,5504,False
628,3318,False
628,458,False
629,5776,False
629,5142,False
629,5717,False
631,4139,False
631,300,False
631,5484,False
631,2974,False
632,708,False
632,3968,True
633,1374,False
634,1951,False
634,5125,False
636,714,False
636,4630,False
636,5923,False
636,1014,False
636,5898,False
637,5723,False
637,1128,False
637,1440,False
637,2035,False
638,1397,True
639,1989,True
639,5385,True
640,5435,False
641,3495,True
642,2511,False
642,4034,False
643,4548,True
643,3775,False
645,198,True
647,2903,True
647,3386,False
648,2196,False
649,5329,False
649,441,True
649,4314,False
651,3424,False
651,740,False
651,2394,False
651,4629,False
652,1957,False
652,5798,False
652,1881,False
653,893,False
653,5413,False
654,3502,False
654,368,False
654,5020,False
654,5284,False
654,4481,False
656,332,False
656,4410,False
658,5921,False
658,3854,False
658,5887,False
659,4840,False
660,1600,True
661,3425,False
661,4951,True
662,5299,False
662,5523,False
662,4240,False
662,5183,False
662,4839,False
663,2085,True
665,1071,False
665,490,False
666,3816,False
669,100,True
669,1678,False
669,839,False
669,4873,False
670,5455,False
671,5634,False
672,6011,True
673,1053,True
674,2744,False
675,183,False
675,5973,False
675,3727,False
675,3061,False
676,3001,False
677,1454,True
679,3996,False
679,5940,True
680,1314,True
683,1316,False
683,676,False
683,1631,False
684,5930,False
685,550,True
685,5066,False
685,5037,False
686,307,True
686,3905,False
687,4632,False
690,3424,False
690,8,True
690,3553,False
691,2181,False
691,4434,False
691,3922,False
691,490,False
