D1,D2,responses
3,436,False
4,2284,False
8,3335,False
9,890,False
10,1484,False
10,5104,False
11,73,False
19,1263,False
21,4889,False
23,5026,False
26,5190,False
27,5834,True
30,759,True
31,3869,False
33,2688,False
33,1494,True
33,4089,False
34,2605,False
37,1450,False
40,2930,False
41,1694,False
42,734,False
44,2757,False
45,3384,True
45,2168,False
49,4413,False
50,3695,False
54,46,False
58,1668,False
59,5832,False
59,6037,False
64,2415,False
64,1432,False
66,4373,False
68,4927,False
69,738,False
73,5312,False
75,1437,False
77,5547,False
79,3271,True
81,5921,False
82,1005,False
82,5050,False
83,76,False
89,3288,False
90,5260,True
91,2658,False
91,2756,False
92,4449,False
92,1696,False
92,554,False
95,971,False
95,3319,False
99,3085,False
100,2766,False
100,1320,False
102,2294,False
110,3604,False
111,3685,True
111,2113,True
112,2376,True
114,5191,False
114,3692,False
115,3616,False
118,805,True
119,1251,False
120,3948,False
126,2765,True
127,3872,False
129,1443,False
131,4824,False
132,5946,False
132,1689,False
132,1930,False
136,1461,False
138,41,False
139,1810,False
143,829,False
143,3880,False
145,5423,False
147,1924,True
151,5124,True
156,1049,False
158,4906,False
159,5522,True
160,3999,False
161,1356,False
163,5138,False
166,3115,False
167,2452,False
168,5320,False
168,4930,False
169,3047,True
170,5834,False
170,1000,False
173,3564,False
175,1571,False
175,4589,False
177,256,Answer: True
180,1330,True
183,3170,False
184,1470,True
186,1803,False
186,4560,False
186,5419,False
187,5337,False
188,4610,False
189,4557,True
189,5845,False
191,3586,False
192,3081,False
193,4188,True
194,3714,False
194,670,False
203,3859,Answer: True
204,4858,True
204,4029,True
204,3306,True
204,4046,True
207,4285,False
207,2505,False
207,4104,False
213,4230,False
216,2503,False
216,2037,False
217,1085,Answer: True
218,4178,True
219,2624,False
221,2292,True
223,4173,False
223,303,False
226,4202,False
227,5995,False
227,454,False
228,5922,False
229,796,False
232,5603,False
235,6053,False
236,3268,False
239,1554,False
241,1188,False
242,4309,False
242,4401,False
244,4870,False
244,1676,False
247,468,True
247,4574,False
248,3176,False
248,5955,False
248,4790,False
249,2434,True
251,1482,False
252,1200,False
253,5693,False
255,5227,False
255,4979,False
257,1893,False
257,2393,False
262,2768,True
266,5570,False
268,5377,True
269,4381,False
269,5693,False
270,6027,False
270,5807,False
271,5894,False
272,5943,False
273,4482,False
273,225,False
273,5686,False
274,2307,False
275,2517,True
276,182,False
282,1881,True
284,5473,False
284,998,False
284,3929,False
284,4523,False
285,5205,True
286,189,True
287,714,True
288,344,False
289,139,False
290,6036,False
291,2156,False
292,4969,False
293,1846,False
293,3785,False
294,2556,False
295,2798,False
301,187,False
301,3990,False
301,1219,False
304,3629,True
306,4573,False
306,4543,False
306,4263,False
307,789,False
307,5293,False
309,4306,False
310,5268,True
311,4870,False
311,4341,False
312,4934,False
312,5710,False
314,969,False
315,3429,False
319,4812,False
319,5737,False
319,1575,False
319,572,False
320,4683,False
321,5162,False
322,5337,False
323,2373,False
323,4226,False
326,876,False
329,5150,True
333,3476,False
334,3413,False
335,5658,False
335,886,False
345,3305,Answer: False
345,5040,True
345,3874,True
345,5960,False
346,4114,True
347,2696,False
350,5905,False
354,4206,False
355,3755,False
358,1678,False
361,2347,False
365,5176,False
365,3657,False
369,2308,False
372,5126,False
375,997,False
379,5801,False
379,2305,True
380,581,False
380,4153,False
381,3064,False
381,5630,True
385,5103,False
386,769,False
387,2869,False
388,4695,True
390,4314,False
392,1127,False
392,5775,False
393,3317,False
393,5719,False
395,5108,True
402,2859,False
402,705,False
405,420,False
407,1395,False
408,5449,False
411,4711,False
411,1038,False
416,5125,False
417,2096,False
418,5008,False
419,4576,False
423,5070,True
426,647,False
427,5948,False
428,5675,False
430,5321,False
431,1416,True
433,2806,True
438,86,False
443,788,True
445,5651,True
446,5689,False
447,3095,False
453,4968,False
454,4468,False
454,5112,False
454,5411,False
454,2715,False
455,6032,True
461,5323,False
462,5637,False
462,5485,False
463,3767,True
464,974,False
465,2526,False
466,4781,True
466,3461,False
468,1545,False
469,1280,False
477,5145,False
480,4192,True
480,1889,True
481,29,False
482,3617,False
484,3890,True
485,2822,False
485,2634,True
486,4196,False
486,4872,False
486,4761,False
487,429,False
488,5516,False
489,2153,True
490,2598,False
490,2705,False
493,5246,False
494,791,False
495,3763,False
495,79,False
496,5917,False
496,2219,False
497,5757,False
499,3734,False
500,3914,True
502,19,False
502,4592,False
505,2814,False
505,5760,False
508,4845,False
508,2881,False
508,6053,False
509,3725,False
510,676,False
510,1142,False
510,2370,False
514,1958,False
515,553,True
516,3989,False
516,2451,False
517,693,False
517,1368,False
517,641,False
518,1414,False
519,2996,False
522,877,False
523,937,False
524,1521,False
528,4966,False
532,4741,False
532,2931,False
533,3109,False
538,5208,False
539,2198,False
540,1845,False
542,5869,False
543,1058,False
546,61,False
551,1097,False
554,864,True
554,2330,False
556,5938,False
558,4450,False
565,495,False
566,5337,False
569,4469,False
572,875,False
572,3565,True
572,4587,False
573,2994,Answer: True
574,1592,False
576,3585,True
581,5030,False
582,6053,False
582,1946,False
584,2614,False
586,725,False
587,3394,False
588,5361,False
590,241,False
593,5106,False
595,1448,False
597,5165,False
598,4867,False
598,4175,False
598,3238,False
598,3577,False
599,4275,True
602,3514,False
602,3494,False
604,2950,False
604,1985,False
606,5475,False
606,752,True
606,1961,True
608,3745,False
608,3277,True
608,5133,True
609,5407,False
609,5452,False
609,2339,True
610,5840,False
610,3909,False
611,5206,False
611,4845,False
611,5249,False
612,3796,False
612,5927,False
613,2548,True
615,3463,False
617,2718,False
618,1147,False
619,3624,False
619,3962,True
620,5498,False
621,3741,False
622,5167,False
627,4844,False
627,5504,False
629,5142,False
629,5717,False
629,5776,False
631,5800,True
631,2974,False
631,5484,False
632,3968,True
633,1374,False
634,5125,False
636,5898,True
636,1014,False
637,5723,False
637,1440,False
637,2035,False
638,1397,True
639,1989,True
639,5385,False
640,5435,False
641,3495,False
643,4548,False
645,198,False
647,2903,False
649,5329,False
649,441,False
651,5407,False
651,4629,False
651,3424,False
652,5798,False
653,893,False
654,3502,True
654,368,False
654,5020,True
658,3854,False
660,1600,False
661,3425,False
661,4951,False
663,2085,False
665,5183,False
665,5299,False
665,5523,False
670,5455,False
672,6011,True
673,1053,True
675,5535,False
675,3727,False
676,3001,False
677,1454,False
679,5940,False
680,1314,False
683,676,False
683,1631,False
684,5930,False
685,550,False
