,D1,D2,responses
0,3,436,True
1,4,2284,False
2,8,3335,False
3,9,890,False
4,10,1484,False
5,10,5104,True
6,11,73,True
7,19,1263,False
8,21,4889,False
9,23,5026,True
10,26,5190,True
11,27,5834,False
12,30,759,False
13,31,3869,False
14,33,2688,False
15,33,1494,True
16,33,4089,False
17,34,2605,True
18,37,1450,False
19,40,2930,True
20,41,1694,False
21,42,734,True
22,44,2757,True
23,45,3384,False
24,45,2168,True
25,49,4413,True
26,50,3695,False
27,54,46,False
28,58,1668,False
29,59,5832,False
30,59,6037,False
31,64,2415,False
32,64,1432,False
33,66,4373,True
34,68,4927,True
35,69,738,True
36,73,5312,False
37,75,1437,True
38,77,5547,True
39,79,3271,False
40,81,5921,True
41,82,1005,True
42,82,5050,False
43,83,76,False
44,89,3288,True
45,90,5260,False
46,91,2658,False
47,91,2756,False
48,92,4449,False
49,92,1696,False
50,92,554,False
51,95,971,False
52,95,3319,False
53,99,3085,False
54,100,2766,False
55,100,1320,False
56,102,2294,True
57,110,3604,True
58,111,3685,False
59,111,2113,False
60,112,2376,False
61,114,5191,False
62,114,3692,False
63,115,3616,False
64,118,805,False
65,119,1251,True
66,120,3948,True
67,126,2765,False
68,127,3872,True
69,129,1443,True
70,131,4824,False
71,132,5946,False
72,132,1689,False
73,132,1930,True
74,136,1461,True
75,138,41,True
76,139,1810,False
77,143,829,True
78,143,3880,False
79,145,5423,False
80,147,1924,True
81,151,5124,False
82,156,1049,False
83,158,4906,False
84,159,5522,True
85,160,3999,True
86,161,1356,True
87,163,5138,False
88,166,3115,False
89,167,2452,False
90,168,5320,False
91,168,4930,False
92,169,3047,False
93,170,5834,False
94,170,1000,False
95,173,3564,False
96,175,1571,False
97,175,4589,True
98,177,256,False
99,180,1330,True
100,183,3170,False
101,184,1470,True
102,186,1803,False
103,186,4560,False
104,186,5419,False
105,187,5337,False
106,188,4610,True
107,189,4557,False
108,189,5845,False
109,191,3586,True
110,192,3081,False
111,193,4188,True
112,194,3714,False
113,194,670,True
114,203,3859,False
115,204,4858,False
116,204,4029,False
117,204,3306,False
118,204,4046,False
119,207,4285,False
120,207,2505,False
121,207,4104,False
122,213,4230,False
123,216,2503,True
124,216,2037,False
125,217,1085,False
126,218,4178,True
127,219,2624,True
128,221,2292,False
129,223,4173,False
130,223,303,False
131,226,4202,False
132,227,5995,False
133,227,454,False
134,228,5922,False
135,229,796,False
136,232,5603,True
137,235,6053,False
138,236,3268,False
139,239,1554,True
140,241,1188,False
141,242,4309,False
142,242,4401,False
143,244,4870,False
144,244,1676,False
145,247,468,False
146,247,4574,False
147,248,3176,False
148,248,5955,False
149,248,4790,False
150,249,2434,False
151,251,1482,False
152,252,1200,False
153,253,5693,False
154,255,5227,False
155,255,4979,False
156,257,1893,False
157,257,2393,False
158,262,2768,False
159,266,5570,False
160,268,5377,False
161,269,4381,True
162,269,5693,False
163,270,6027,False
164,270,5807,False
165,271,5894,False
166,272,5943,False
167,273,4482,False
168,273,225,True
169,273,5686,False
170,274,2307,False
171,275,2517,True
172,276,182,True
173,282,1881,False
174,284,5473,False
175,284,998,False
176,284,3929,False
177,284,4523,False
178,285,5205,True
179,286,189,False
180,287,714,False
181,288,344,False
182,289,139,True
183,290,6036,False
184,291,2156,True
185,292,4969,True
186,293,1846,False
187,293,3785,False
188,294,2556,True
189,295,2798,True
190,301,187,False
191,301,3990,False
192,301,1219,False
193,304,3629,True
194,306,4573,False
195,306,4543,True
196,306,4263,False
197,307,789,False
198,307,5293,False
199,309,4306,True
200,310,5268,False
201,311,4870,False
202,311,4341,False
203,312,4934,False
204,312,5710,False
205,314,969,True
206,315,3429,True
207,319,4812,False
208,319,5737,False
209,319,1575,False
210,319,572,False
211,320,4683,True
212,321,5162,True
213,322,5337,False
214,323,2373,False
215,323,4226,False
216,326,876,False
217,329,5150,False
218,333,3476,True
219,334,3413,True
220,335,5658,False
221,335,886,False
222,345,3305,False
223,345,5040,True
224,345,3874,False
225,345,5960,False
226,346,4114,False
227,347,2696,True
228,350,5905,False
229,354,4206,True
230,355,3755,False
231,358,1678,False
232,361,2347,True
233,365,5176,False
234,365,3657,False
235,369,2308,False
236,372,5126,False
237,375,997,False
238,379,5801,False
239,379,2305,True
240,380,581,False
241,380,4153,False
242,381,3064,False
243,381,5630,True
244,385,5103,True
245,386,769,False
246,387,2869,True
247,388,4695,False
248,390,4314,False
249,392,1127,False
250,392,5775,False
251,393,3317,False
252,393,5719,False
253,395,5108,True
254,402,2859,False
255,402,705,False
256,405,420,False
257,407,1395,False
258,408,5449,False
259,411,4711,False
260,411,1038,False
261,416,5125,False
262,417,2096,True
263,418,5008,False
264,419,4576,False
265,423,5070,True
266,426,647,True
267,427,5948,True
268,428,5675,True
269,430,5321,False
270,431,1416,False
271,433,2806,False
272,438,86,False
273,443,788,True
274,445,5651,True
275,446,5689,False
276,447,3095,False
277,453,4968,False
278,454,4468,False
279,454,5112,False
280,454,5411,False
281,454,2715,False
282,455,6032,False
283,461,5323,False
284,462,5637,False
285,462,5485,True
286,463,3767,True
287,464,974,True
288,465,2526,False
289,466,4781,True
290,466,3461,False
291,468,1545,False
292,469,1280,False
293,477,5145,False
294,480,4192,True
295,480,1889,False
296,481,29,False
297,482,3617,False
298,484,3890,False
299,485,2822,False
300,485,2634,False
301,486,4196,False
302,486,4872,False
303,486,4761,True
304,487,429,True
305,488,5516,False
306,489,2153,False
307,490,2598,False
308,490,2705,False
309,493,5246,True
310,494,791,True
311,495,3763,False
312,495,79,False
313,496,5917,True
314,496,2219,False
315,497,5757,True
316,499,3734,True
317,500,3914,False
318,502,19,False
319,502,4592,False
320,505,2814,False
321,505,5760,False
322,508,4845,True
323,508,2881,False
324,508,6053,False
325,509,3725,False
326,510,676,False
327,510,1142,False
328,510,2370,False
329,514,1958,False
330,515,553,False
331,516,3989,False
332,516,2451,True
333,517,693,False
334,517,1368,False
335,517,641,False
336,518,1414,False
337,519,2996,False
338,522,877,True
339,523,937,False
340,524,1521,True
341,528,4966,True
342,532,4741,False
343,532,2931,False
344,533,3109,False
345,538,5208,False
346,539,2198,False
347,540,1845,True
348,542,5869,True
349,543,1058,False
350,546,61,True
351,551,1097,True
352,554,864,False
353,554,2330,False
354,556,5938,True
355,558,4450,False
356,565,495,False
357,566,5337,False
358,569,4469,False
359,572,875,False
360,572,3565,True
361,572,4587,False
362,573,2994,True
363,574,1592,True
364,576,3585,False
365,581,5030,True
366,582,6053,False
367,582,1946,False
368,584,2614,False
369,586,725,True
370,587,3394,True
371,588,5361,False
372,590,241,True
373,593,5106,False
374,595,1448,False
375,597,5165,False
376,598,4867,False
377,598,4175,False
378,598,3238,False
379,598,3577,False
380,599,4275,True
381,602,3514,False
382,602,3494,False
383,604,2950,False
384,604,1985,False
385,606,5475,False
386,606,752,False
387,606,1961,False
388,608,3745,False
389,608,3277,False
390,608,5133,False
391,609,5407,False
392,609,5452,False
393,609,2339,False
394,610,5840,False
395,610,3909,True
396,611,5206,False
397,611,4845,False
398,611,5249,False
399,612,3796,True
400,612,5927,False
401,613,2548,True
402,615,3463,False
403,617,2718,True
404,618,1147,False
405,619,3624,False
406,619,3962,False
407,620,5498,False
408,621,3741,True
409,622,5167,True
410,627,4844,False
411,627,5504,False
412,629,5142,False
413,629,5717,False
414,629,5776,False
415,631,5800,False
416,631,2974,False
417,631,5484,False
418,632,3968,True
419,633,1374,False
420,634,5125,True
421,636,5898,False
422,636,1014,False
423,637,5723,False
424,637,1440,False
425,637,2035,False
426,638,1397,False
427,639,1989,True
428,639,5385,False
429,640,5435,False
430,641,3495,True
431,643,4548,True
432,645,198,False
433,647,2903,True
434,649,5329,False
435,649,441,False
436,651,5407,False
437,651,4629,False
438,651,3424,True
439,652,5798,True
440,653,893,True
441,654,3502,False
442,654,368,False
443,654,5020,False
444,658,3854,False
445,660,1600,False
446,661,3425,False
447,661,4951,True
448,663,2085,True
449,665,5183,False
450,665,5299,False
451,665,5523,False
452,670,5455,False
453,672,6011,False
454,673,1053,False
455,675,5535,False
456,675,3727,False
457,676,3001,False
458,677,1454,False
459,679,5940,True
460,680,1314,True
461,683,676,False
462,683,1631,False
463,684,5930,False
464,685,550,True
465,685,5037,False
466,686,307,False
467,690,8,False
468,691,6017,False
469,691,5923,False
470,691,3237,False
471,691,4434,False
472,692,1742,True
473,693,2463,True
474,694,5878,False
475,695,3605,False
476,699,5916,True
477,701,385,True
478,702,5679,True
479,707,2787,False
480,709,754,False
481,710,4634,True
482,711,4006,True
483,714,3376,False
484,714,3486,True
485,715,2204,False
486,716,2725,True
487,718,3232,True
488,720,5584,True
489,724,4862,True
490,724,5211,False
491,727,3670,False
492,727,3117,False
493,727,2195,True
494,728,1289,False
495,728,4010,False
496,736,4689,True
497,738,5961,False
498,739,5946,False
499,743,2005,False
500,743,5968,False
501,744,755,False
502,744,600,False
503,745,3450,False
504,746,453,False
505,747,547,False
506,750,2688,False
507,750,1494,False
508,752,4342,False
509,753,2189,False
510,753,362,False
511,754,4189,True
512,755,5707,False
513,755,743,False
514,757,2900,False
515,759,2629,True
516,762,878,True
517,763,2752,True
518,763,3652,False
519,764,133,True
520,767,5481,True
521,768,4362,False
522,768,6015,False
523,769,3972,True
524,772,2484,True
525,773,5775,False
526,774,2016,False
527,774,2653,False
528,774,5973,False
529,776,4732,False
530,779,850,False
531,786,1132,True
532,786,5009,False
533,789,1877,True
534,791,93,False
535,793,2041,True
536,794,4518,False
537,794,6052,False
538,796,6036,False
539,797,44,True
540,800,5559,True
541,802,2499,True
542,806,5554,False
543,806,423,False
544,808,152,True
545,809,1589,False
546,811,1294,False
547,811,2492,False
548,813,5616,False
549,813,5852,False
550,813,736,False
551,815,5322,False
552,816,2815,False
553,819,528,True
554,822,5762,True
555,823,896,False
556,824,969,False
557,824,66,True
558,826,4220,True
559,829,2694,True
560,830,5409,True
561,831,5742,False
562,833,2084,True
563,839,885,False
564,839,2452,False
565,843,3628,True
566,845,3100,False
567,846,4557,False
568,846,5845,False
569,847,5333,False
570,851,4895,False
571,852,4056,False
572,853,1898,False
573,854,2148,True
574,858,146,False
575,859,4116,False
576,860,4497,False
577,860,4547,False
578,862,6046,False
579,866,1430,True
580,869,3719,True
581,870,457,False
582,874,3659,False
583,874,3700,False
584,874,4587,False
585,879,4444,False
586,879,3605,False
587,881,3392,False
588,881,5664,False
589,881,2175,False
590,882,4442,False
591,884,2826,False
592,885,2233,False
593,886,5288,False
594,886,1013,False
595,887,3949,False
596,887,2130,False
597,889,2957,True
598,890,6044,False
599,891,4182,False
600,897,1348,False
601,897,2703,False
602,897,2184,False
603,897,5408,False
604,898,5305,False
605,901,4218,True
606,902,413,True
607,902,4512,False
608,902,5133,False
609,911,4248,False
610,916,5867,False
611,918,164,False
612,919,3306,False
613,919,4024,False
614,919,5270,False
615,925,1093,False
616,927,5089,False
617,929,5664,False
618,931,5554,False
619,931,2875,False
620,932,5459,False
621,934,5633,False
622,935,3490,True
623,938,4908,True
624,939,2697,False
625,939,3383,True
626,940,3037,True
627,943,2063,False
628,943,2256,False
629,947,3267,False
630,947,5430,False
631,948,97,True
632,951,2485,True
633,951,5783,True
634,952,4992,False
635,952,3029,False
636,955,4174,False
637,956,1863,True
638,956,3871,False
639,960,2070,False
640,962,3355,False
641,965,1220,False
642,965,2167,False
643,965,3961,True
644,967,2331,False
645,968,28,True
646,972,552,False
647,973,755,False
648,973,6004,False
649,973,4024,False
650,973,3422,False
651,974,3718,True
652,976,4876,False
653,977,2,False
654,979,3840,True
655,981,1338,False
656,982,4400,False
657,982,810,False
658,983,6016,False
659,986,5255,True
660,987,5402,True
661,991,2326,True
662,991,5209,True
663,993,3953,True
664,997,2804,False
665,997,2957,False
666,1000,1245,False
667,1000,5361,False
668,1001,2927,True
669,1003,4510,False
670,1005,1401,False
671,1006,1256,True
672,1007,5222,False
673,1012,1222,True
674,1012,4336,False
675,1012,4707,False
676,1013,4803,True
677,1020,1937,True
678,1023,5698,False
679,1025,2846,True
680,1025,261,False
681,1027,4902,False
682,1027,3732,False
683,1027,5180,False
684,1027,5856,False
685,1028,2915,True
686,1029,842,True
687,1032,3039,False
688,1032,4849,False
689,1034,930,True
690,1035,3668,False
691,1036,5536,False
692,1036,5507,True
693,1037,2071,True
694,1038,3862,False
695,1038,346,False
696,1039,2992,False
697,1039,4681,False
698,1040,257,True
699,1042,3576,True
700,1043,735,False
701,1044,203,False
702,1045,2337,False
703,1046,5064,False
704,1049,2710,True
705,1050,2630,True
706,1051,4680,True
707,1052,124,True
708,1053,1220,False
709,1054,5860,False
710,1056,5863,False
711,1057,1852,True
712,1057,2129,False
713,1060,2784,True
714,1060,5316,False
715,1061,4593,True
716,1062,2872,True
717,1063,4402,True
718,1066,4014,True
719,1067,2380,True
720,1071,3820,False
721,1071,3163,False
722,1071,4088,False
723,1072,2801,False
724,1073,6015,False
725,1073,4362,False
726,1073,4650,False
727,1074,2822,False
728,1074,2386,False
729,1077,5290,False
730,1078,2882,True
731,1082,4347,False
732,1085,3016,False
733,1086,2087,False
734,1087,2783,False
735,1087,3134,False
736,1088,5990,False
737,1089,4199,False
738,1089,4379,False
739,1090,3211,True
740,1091,5970,False
741,1092,2701,False
742,1092,3593,False
743,1095,3972,False
744,1100,4889,False
745,1102,3217,False
746,1106,4825,False
747,1109,3342,False
748,1110,3048,False
749,1110,1582,False
750,1110,5891,False
751,1113,3193,False
752,1114,1583,True
753,1114,5831,False
754,1115,2280,True
755,1118,4500,False
756,1119,1181,True
757,1123,2750,False
758,1123,1689,False
759,1125,723,True
760,1125,5455,False
761,1126,2363,False
762,1131,2661,True
763,1132,3264,False
764,1132,3559,True
765,1135,3307,True
766,1135,3927,False
767,1136,3716,True
768,1137,5403,False
769,1138,2651,False
770,1140,5226,False
771,1142,2606,False
772,1142,2782,False
773,1143,362,False
774,1145,496,False
775,1147,4005,False
776,1148,4007,True
777,1150,4728,True
778,1155,3650,False
779,1156,2022,False
780,1159,1562,True
781,1161,3437,False
782,1161,560,True
783,1163,4092,True
784,1168,3620,True
785,1169,1333,False
786,1172,5211,False
787,1177,2402,True
788,1178,5144,False
789,1180,1763,False
790,1180,3272,False
791,1183,3673,False
792,1187,325,True
793,1188,654,False
794,1194,3797,True
795,1195,5947,False
796,1196,2514,False
797,1197,1234,True
798,1199,4302,True
799,1201,1310,False
800,1201,1041,False
801,1202,530,False
802,1204,3127,True
803,1205,3971,False
804,1205,2824,False
805,1206,1076,True
806,1206,2275,False
807,1208,5102,True
808,1209,3468,False
809,1210,2683,False
810,1214,3160,True
811,1216,846,False
812,1217,4317,False
813,1218,4983,True
814,1219,1746,False
815,1223,2504,True
816,1224,148,False
817,1224,3789,False
818,1225,2320,False
819,1228,5218,False
820,1228,4066,False
821,1234,1323,True
822,1236,5465,False
823,1238,2566,False
824,1239,2877,False
825,1239,3537,False
826,1241,2890,True
827,1242,3245,False
828,1243,5280,True
829,1247,5008,False
830,1248,1963,False
831,1249,5074,True
832,1252,4703,True
833,1253,733,False
834,1254,608,False
835,1256,2608,False
836,1256,5298,False
837,1258,4441,False
838,1259,2491,False
839,1259,2868,False
840,1259,4893,False
841,1260,5798,False
842,1262,1090,False
843,1263,3537,True
844,1264,2743,False
845,1264,2584,True
846,1264,4909,False
847,1266,5793,True
848,1266,2015,False
849,1267,4725,True
850,1272,2514,False
851,1274,3913,False
852,1274,4387,False
853,1275,2211,False
854,1276,3658,True
855,1277,5258,True
856,1277,5772,False
857,1280,5608,False
858,1281,2747,False
859,1281,1209,False
860,1282,1709,False
861,1282,1175,False
862,1282,3866,False
863,1282,3890,False
864,1283,499,False
865,1283,2067,False
866,1285,5593,True
867,1286,709,False
868,1287,5938,False
869,1289,3974,False
870,1293,5536,False
871,1293,3079,False
872,1293,5831,False
873,1297,3209,False
874,1297,4727,False
875,1301,5574,False
876,1303,5741,False
877,1305,2808,False
878,1305,4795,False
879,1308,708,True
880,1308,3968,True
881,1310,5352,False
882,1310,262,False
883,1310,3414,False
884,1311,4950,False
885,1311,5805,True
886,1312,2879,False
887,1315,5176,False
888,1315,3657,False
889,1315,6040,False
890,1317,5407,False
891,1317,3932,False
892,1318,5431,True
893,1320,4702,False
894,1324,469,True
895,1326,4054,True
896,1334,653,False
897,1335,5158,False
898,1335,4526,False
899,1335,6012,False
900,1335,4197,False
901,1336,5771,False
902,1337,1672,True
903,1337,1457,False
904,1338,4748,False
905,1338,3492,False
906,1338,5017,False
907,1338,3372,False
908,1341,4076,False
909,1341,3889,True
910,1342,673,True
911,1343,2035,False
912,1346,4371,True
913,1348,2851,False
914,1350,4710,False
915,1351,4077,False
916,1351,785,False
917,1351,5008,False
918,1353,3708,True
919,1354,1741,True
920,1360,3551,False
921,1361,4739,False
922,1362,1128,False
923,1363,271,True
924,1364,5688,False
925,1365,532,True
926,1365,3391,False
