D1,D2,responses
0,6442,False
1,3214,False
2,1013,False
4,2171,False
4,6738,True
5,6725,True
6,3019,False
6,1967,True
7,4367,False
7,6342,False
8,1074,False
8,7228,False
8,1474,False
8,2627,False
8,3016,False
8,1142,True
8,4532,False
10,54,False
10,1629,False
10,621,False
12,7508,True
12,604,True
12,237,True
14,7237,True
17,6506,True
22,6619,True
22,798,True
22,7316,False
25,2838,False
25,3405,False
25,1999,False
26,4689,False
27,6972,False
27,7228,False
27,7297,False
27,767,False
27,1050,False
27,2808,True
27,1617,True
27,1,False
30,4426,False
30,3980,False
31,119,False
33,822,False
33,6697,False
33,6633,False
34,1186,False
34,7001,False
34,2975,False
41,3753,False
41,0,False
42,3917,False
42,1078,False
43,5803,False
45,1377,False
45,5809,False
45,484,False
45,3451,False
45,985,False
46,1403,False
46,4775,False
46,1290,False
48,1122,True
49,3310,False
51,1564,False
52,2500,False
53,418,False
53,1388,False
57,1107,True
59,1154,False
59,4986,False
59,4206,False
61,4370,False
62,4521,False
62,7599,False
62,7276,False
62,5177,False
64,5806,True
64,4196,True
64,7386,False
65,5561,False
65,3322,False
66,7499,False
66,4714,False
66,5450,False
66,1631,False
66,2248,True
66,3882,False
67,2736,False
69,3234,False
69,144,False
69,2944,True
69,328,True
69,1213,False
69,7525,True
69,7150,False
72,6818,False
72,5682,False
75,434,True
75,1848,False
75,1602,False
75,1363,True
75,5290,True
77,1073,False
77,1291,True
77,1300,False
77,1795,True
77,3220,False
77,1188,True
78,1962,False
78,5314,False
78,6848,False
79,1921,True
79,5346,True
80,2094,False
80,1874,False
81,7275,False
81,4658,False
82,5245,False
82,1826,True
82,805,False
82,4897,False
82,2011,True
82,33,False
83,5044,True
83,6594,False
84,2736,False
85,2388,False
86,6651,False
86,6262,False
86,5821,False
87,3957,False
88,7791,False
88,2752,True
88,3569,False
89,6951,False
89,6788,False
89,4894,False
90,5445,False
90,4361,False
90,865,False
90,427,False
90,2824,False
91,3404,True
91,279,False
92,3270,False
92,4672,True
95,3474,False
95,985,False
96,433,False
96,1468,False
96,4368,False
96,1165,False
96,6075,False
96,1266,False
97,856,True
97,3053,False
100,1418,False
101,5299,False
101,3802,False
101,7266,False
105,560,False
106,387,True
106,1767,True
108,2834,False
110,5014,False
110,6109,False
110,5334,False
110,5525,False
112,826,False
112,5446,True
112,3441,False
113,711,False
114,7762,True
115,332,True
116,805,True
117,6718,True
118,910,True
118,5449,False
118,2456,False
118,2187,False
118,599,False
118,7624,False
118,66,False
118,4532,False
119,3279,False
119,6742,False
119,3207,False
119,7568,False
119,6954,False
123,219,False
123,455,True
123,4105,False
124,5151,False
125,3023,True
125,647,False
127,86,False
127,24,True
127,1112,False
129,90,False
129,213,False
129,6811,False
130,833,True
131,1717,True
134,6627,False
134,5971,False
134,7460,False
134,820,False
135,2878,False
135,83,False
137,6109,False
137,6370,False
138,244,False
138,6067,True
138,2270,False
138,255,False
138,2566,False
138,5281,False
138,4532,False
139,5660,False
139,5232,False
141,551,False
141,6176,False
142,2623,False
143,1258,False
143,4664,False
143,6059,False
144,3491,False
149,3568,True
150,2043,True
150,2785,True
150,1526,True
151,1374,False
151,6507,False
151,6789,False
151,2205,True
151,3319,False
152,6546,True
154,2089,False
157,727,True
157,725,True
158,1986,True
158,2168,True
160,4415,False
161,3413,False
161,5559,False
161,887,True
161,192,True
161,458,False
162,5944,False
162,1684,False
163,3134,False
168,7387,True
170,5236,False
170,6972,False
170,7318,False
170,1746,False
170,4744,False
170,5844,False
170,4087,False
170,4235,False
171,2790,False
171,1350,False
171,15,False
173,470,False
173,6393,False
175,7269,False
177,256,False
179,172,False
179,3480,False
179,5424,True
179,5185,False
179,3411,True
180,55,True
180,469,True
181,2686,False
181,7726,False
182,296,True
183,3271,False
183,4169,True
183,4782,True
185,6729,False
186,5828,False
186,2298,False
186,6786,False
186,3682,False
187,3414,True
187,5650,False
187,7280,False
189,891,True
189,3349,False
190,3540,False
191,880,False
191,3970,False
192,237,True
193,6022,False
193,3902,False
193,6070,False
193,6360,False
193,5462,False
193,4068,False
193,4625,False
193,7017,False
196,784,False
196,5721,False
196,969,False
196,6706,False
196,6659,False
199,7775,False
199,7025,False
199,6633,False
199,1536,False
199,6044,False
199,5838,False
199,5383,False
203,4822,True
204,5003,False
207,2794,False
207,3399,False
208,7408,True
208,4886,True
210,3540,False
211,7221,False
211,1143,False
211,1779,False
214,4888,False
214,3442,False
216,1184,False
216,2149,False
216,5224,False
216,2394,False
217,3709,True
220,1927,False
221,6856,True
221,3886,False
222,1186,False
223,4069,False
223,6589,False
223,3106,False
223,1968,False
223,3495,False
223,7075,False
224,2275,True
225,88,False
225,680,False
226,3368,False
226,1285,False
226,2155,False
227,4382,False
227,2430,False
227,5641,True
228,1684,False
228,5831,True
228,2378,False
228,7424,False
228,4295,False
230,7597,False
234,5217,False
239,5318,False
241,7734,False
241,6125,True
241,4592,False
244,6872,False
246,5543,False
246,1012,True
246,7484,False
247,3415,False
247,364,True
247,3149,False
247,2807,False
247,5785,False
247,2433,False
247,135,False
250,7622,True
251,807,False
251,271,False
252,231,False
253,5217,False
255,7571,False
255,1024,True
255,4794,False
259,1241,False
260,804,True
260,3610,False
261,5098,False
261,648,False
261,6248,True
261,6208,True
262,1949,True
263,1879,False
264,5381,False
266,2351,False
266,3158,False
267,3126,True
269,2785,False
269,3896,False
269,2043,False
269,1526,False
269,3354,False
270,963,False
270,6354,False
271,37,True
271,3115,False
272,6417,False
276,5571,False
276,807,True
276,271,False
276,1100,True
278,616,False
281,453,False
281,6561,False
283,7329,False
283,5969,False
283,287,False
283,2953,True
283,5136,False
284,2753,False
284,3574,False
284,4625,False
284,1617,False
284,5992,False
284,4747,False
284,4087,False
287,3122,False
287,4597,False
287,5966,False
287,4248,False
287,325,False
287,7624,False
287,6532,False
287,2581,False
288,2833,False
290,6147,False
290,929,True
292,1200,True
294,6512,False
294,118,False
294,3134,False
295,1496,True
298,502,True
302,6412,True
303,1817,False
303,2070,False
305,3251,False
305,382,False
306,6130,False
306,6029,False
306,4519,False
306,6334,False
306,5897,False
306,308,False
306,4228,False
307,5821,False
307,949,False
307,2034,False
309,1201,False
310,5369,True
311,1710,False
311,6872,False
311,5631,False
312,7762,False
312,6029,False
313,204,True
315,480,False
317,7379,False
318,4882,False
318,205,True
319,2787,False
319,215,False
319,5825,False
319,6593,False
319,4519,False
319,4974,False
321,1138,False
321,4688,False
322,3414,False
322,5650,True
322,7280,False
325,5947,False
327,1974,False
328,4178,False
330,3764,False
330,2366,False
333,569,False
333,5286,False
337,3214,False
339,242,True
340,7152,False
340,5516,True
340,4045,False
341,4870,True
341,6543,False
344,5829,True
344,3826,False
345,6063,False
345,716,False
345,1476,True
345,5618,True
345,3681,False
345,6605,False
346,6343,False
346,2091,False
348,4444,True
349,6245,True
349,4369,False
349,3630,False
349,6769,False
349,3500,True
350,4521,True
350,7599,False
350,7276,False
350,5177,False
352,885,True
353,5672,False
353,731,True
354,2260,False
354,5290,False
355,5339,False
355,5392,False
355,1418,False
356,7447,False
357,3025,False
357,7273,False
357,6471,False
357,4601,True
358,5407,True
362,7207,False
363,3214,False
364,5333,False
366,7050,False
367,6190,False
367,2783,False
367,6047,True
367,7215,False
368,479,False
369,5087,True
371,5388,False
372,6470,False
372,2320,False
372,5771,False
372,1736,False
372,4222,False
372,6607,True
373,1474,False
374,2034,False
374,3614,False
374,5821,False
374,6262,False
374,6651,False
374,5381,False
377,2167,False
379,5430,False
379,3071,False
379,4287,False
379,5664,False
380,4242,False
380,2788,False
380,938,False
387,3664,True
387,6885,False
387,7623,True
387,4161,False
388,783,True
389,5812,False
389,6826,False
389,7558,False
389,4773,False
390,3905,False
390,5577,False
392,544,False
397,453,False
398,3138,False
398,2546,False
401,3648,False
403,6241,False
404,3019,False
404,1967,False
405,349,True
405,473,True
406,4516,False
407,1315,False
411,7424,True
411,5831,False
411,2378,False
411,4295,False
412,5202,False
412,7229,False
412,5005,False
412,6314,False
412,7795,False
412,4268,False
413,471,True
414,2091,False
418,5899,False
418,3824,True
418,6138,False
418,6546,False
421,2886,False
424,6535,False
426,5423,True
429,5375,False
429,5942,False
434,504,False
434,5010,True
434,185,False
434,1731,False
436,7442,False
436,5443,False
436,154,False
436,7573,False
437,231,False
438,6447,False
438,1177,False
438,2607,False
439,1848,False
439,434,True
439,5290,False
442,2686,False
442,2174,False
442,6705,False
447,4333,True
447,4420,False
448,833,True
448,3855,False
448,2898,True
448,5512,False
448,5015,True
448,3978,False
448,7540,False
452,5615,True
452,3664,True
452,2276,False
452,6371,True
452,7800,True
452,4126,True
453,3271,True
454,2270,False
454,3496,False
454,5828,False
454,6581,False
454,4228,False
455,3038,False
457,7672,False
457,1474,False
457,482,False
457,4615,False
457,900,False
458,3354,False
458,2885,False
458,1038,False
459,2152,True
459,3549,False
459,1191,False
460,7207,False
461,2498,False
461,5002,False
461,3622,True
461,5893,False
461,344,True
462,6834,False
463,2693,True
464,7687,True
465,4232,False
465,2529,False
468,5497,False
471,6412,True
471,7260,False
471,3935,False
471,754,False
473,3997,False
476,4922,False
477,1902,True
478,5909,True
480,6799,True
481,1258,False
481,1870,False
481,1181,False
481,2074,False
481,4486,False
481,1328,False
483,793,False
483,2616,False
485,5004,False
486,5286,True
487,5508,True
490,5144,False
490,2498,False
490,7120,False
490,46,False
490,116,False
490,7752,False
492,1991,False
492,4953,True
493,6543,False
494,7569,True
494,7807,False
494,613,True
495,5910,False
495,4792,False
495,4476,False
495,1755,False
495,4028,True
500,1187,False
500,7284,False
500,7670,False
500,7436,False
