,D1,D2,responses,s-weight
0,4,6738,False,0.569767951965332
1,5,6725,False,0.6148035526275635
2,7,6342,False,0.0
3,8,7228,False,0.0
4,8,7734,False,0.0
5,8,4173,False,0.0
6,8,2627,False,0.0
7,8,3016,False,0.0
8,8,1142,False,0.0
9,14,7237,False,0.7359975576400757
10,17,6506,True,0.7477748394012451
11,22,6619,False,0.8020259141921997
12,22,798,True,0.8511130213737488
13,27,5608,False,0.0
14,27,5844,False,0.0
15,27,2808,False,0.5188887119293213
16,27,5325,False,0.0
17,27,6392,False,0.0
18,27,7318,False,0.5521425604820251
19,27,5237,False,0.0
20,31,119,False,0.6248172521591187
21,33,6633,False,0.0
22,42,1078,False,0.0
23,45,484,False,0.4231046438217163
24,45,985,False,0.6360324621200562
25,45,1377,False,0.5093996524810791
26,48,1122,False,0.5989635586738586
27,53,418,False,0.0
28,53,1388,False,0.0
29,59,4986,False,0.0
30,62,7599,False,0.0
31,62,7276,False,0.0
32,64,4196,False,0.8018835783004761
33,64,7386,False,0.0
34,65,7717,False,0.0
35,65,3322,False,0.0
36,66,7499,False,0.0
37,66,4714,False,0.0
38,66,2248,True,0.8183784484863281
39,69,3234,False,0.0
40,69,144,False,0.6907432079315186
41,69,2944,False,0.0
42,69,328,False,0.4942395985126495
43,69,1213,False,0.6291950941085815
44,69,7525,False,0.700305700302124
45,69,7150,True,0.7335593700408936
46,77,1073,False,0.7352160215377808
47,77,1291,False,0.8779367804527283
48,77,1300,False,0.7353116273880005
49,77,1795,False,0.932032585144043
50,77,3220,False,0.7522789239883423
51,77,1188,False,0.7455083131790161
52,79,1921,True,0.8778684735298157
53,79,5346,False,0.825311541557312
54,82,1826,False,0.8580586314201355
55,82,2011,True,0.9129209518432616
56,83,5044,False,0.5451524257659912
57,90,5445,True,0.6796202659606934
58,91,3404,False,0.7157770395278931
59,91,279,False,0.6080698370933533
60,92,3270,False,0.0
61,92,4672,False,0.6117961406707764
62,95,3474,False,0.524201512336731
63,96,6075,False,0.0
64,97,6258,False,0.7982532382011414
65,97,6840,False,0.7952919006347656
66,97,856,False,0.7183166742324829
67,97,3053,False,0.5677893161773682
68,100,1418,False,0.0
69,100,6887,False,0.0
70,100,6340,False,0.0
71,106,387,False,0.8026251196861267
72,106,1767,True,0.8271401524543762
73,112,5446,True,0.3288829326629638
74,113,711,False,0.6267812252044678
75,114,7762,False,0.8950463533401489
76,115,332,True,0.8178088068962097
77,117,6718,True,0.7249045372009277
78,118,910,True,0.6097294092178345
79,118,5449,False,0.0
80,118,7793,False,0.0
81,118,599,False,0.0
82,118,7304,False,0.0
83,118,5139,False,0.0
84,119,7568,False,0.4819720983505249
85,119,6954,False,0.4832515716552734
86,119,6742,False,0.4828447103500366
87,123,455,False,0.6352190375328064
88,123,4105,True,0.6851669549942017
89,124,5151,False,0.6050839424133301
90,125,3023,True,0.5364519357681274
91,127,86,False,0.0
92,127,24,True,0.7704272866249084
93,127,1112,False,0.6672694087028503
94,134,7460,True,0.6057282090187073
95,135,2878,False,0.0
96,138,6067,True,0.8091980218887329
97,138,7510,False,0.0
98,138,255,False,0.0
99,138,6709,False,0.0
100,138,7268,False,0.5351200103759766
101,139,5660,True,0.5634493827819824
102,149,3568,False,0.6499422192573547
103,150,2043,False,0.0
104,150,2785,False,0.5272688865661621
105,150,1526,False,0.4869018197059631
106,151,2205,True,0.6161090731620789
107,151,3319,False,0.0
108,152,6546,True,0.6094923615455627
109,154,2089,False,0.0
110,157,727,False,0.8289680480957031
111,158,2168,True,0.7010179758071899
