,D1,D2,responses
0,4,6738,False
1,5,6725,True
2,7,6342,True
3,8,7228,True
4,8,7734,True
5,8,4173,False
6,8,2627,True
7,8,3016,False
8,8,1142,True
9,14,7237,True
10,17,6506,True
11,22,6619,False
12,22,798,True
13,27,5608,False
14,27,5844,False
15,27,2808,True
16,27,5325,False
17,27,6392,False
18,27,7318,False
19,27,5237,False
20,31,119,False
21,33,6633,True
22,42,1078,False
23,45,484,False
24,45,985,False
25,45,1377,False
26,48,1122,False
27,53,418,False
28,53,1388,False
29,59,4986,False
30,62,7599,False
31,62,7276,False
32,64,4196,True
33,64,7386,False
34,65,7717,False
35,65,3322,False
36,66,7499,False
37,66,4714,False
38,66,2248,True
39,69,3234,False
40,69,144,True
41,69,2944,True
42,69,328,True
43,69,1213,True
44,69,7525,True
45,69,7150,True
46,77,1073,False
47,77,1291,True
48,77,1300,False
49,77,1795,True
50,77,3220,True
51,77,1188,True
52,79,1921,True
53,79,5346,True
54,82,1826,True
55,82,2011,True
56,83,5044,False
57,90,5445,True
58,91,3404,True
59,91,279,False
60,92,3270,False
61,92,4672,True
62,95,3474,False
63,96,6075,True
64,97,6258,False
65,97,6840,False
66,97,856,True
67,97,3053,False
68,100,1418,False
69,100,6887,True
70,100,6340,False
71,106,387,True
72,106,1767,True
73,112,5446,True
74,113,711,False
75,114,7762,True
76,115,332,True
77,117,6718,True
78,118,910,True
79,118,5449,False
80,118,7793,False
81,118,599,False
82,118,7304,False
83,118,5139,False
84,119,7568,False
85,119,6954,False
86,119,6742,False
87,123,455,True
88,123,4105,True
89,124,5151,False
90,125,3023,True
91,127,86,False
92,127,24,True
93,127,1112,True
94,134,7460,True
95,135,2878,False
96,138,6067,True
97,138,7510,True
98,138,255,False
99,138,6709,False
100,138,7268,False
101,139,5660,True
102,149,3568,True
103,150,2043,True
104,150,2785,True
105,150,1526,True
106,151,2205,False
107,151,3319,False
108,152,6546,True
109,154,2089,False
110,157,727,True
111,158,2168,True
112,161,3413,False
113,161,621,False
114,161,5559,False
115,161,887,True
116,162,1684,True
117,163,3134,False
118,168,7387,True
119,170,5608,False
120,170,5236,True
121,170,6972,True
122,170,7510,False
123,170,7318,False
124,170,1746,False
125,170,5844,False
126,171,15,False
127,173,470,False
128,173,6393,True
129,177,256,False
130,180,55,False
131,180,469,False
132,181,2686,False
133,182,296,True
134,183,4169,True
135,183,4782,False
136,185,6729,False
137,186,6786,False
138,186,3682,False
139,187,3414,True
140,189,891,True
141,189,2219,False
142,190,3540,False
143,193,7777,False
144,193,7781,False
145,193,6070,False
146,193,2616,False
147,193,4625,False
148,193,7642,False
149,196,6659,False
150,199,7775,False
151,199,7025,True
152,199,5383,False
153,199,6633,False
154,203,4822,True
155,208,4886,True
156,216,2394,False
157,217,3709,True
158,221,6856,True
159,223,7748,False
160,223,5516,False
161,223,4069,False
162,223,6589,False
163,223,3106,True
164,223,3495,False
165,223,7075,False
166,224,2275,True
