,D1,D2,responses,weight
0,4,6738,False,0.2
1,5,6725,False,0.1
2,7,6342,False,0.2
3,8,7228,False,0.2
4,8,7734,False,0.2
5,8,4173,False,0.1
6,8,2627,False,0.2
7,8,3016,False,0.1
8,8,1142,False,0.1
9,14,7237,False,0.2
10,17,6506,False,0.1
11,22,6619,False,0.1
12,22,798,True,0.1
13,27,5608,False,0.2
14,27,5844,False,0.1
15,27,2808,False,0.1
16,27,5325,False,0.1
17,27,6392,False,0.1
18,27,7318,False,0.2
19,27,5237,False,0.1
20,31,119,False,0.1
21,33,6633,False,0.1
22,42,1078,False,0.1
23,45,484,False,0.1
24,45,985,False,0.1
25,45,1377,False,0.1
26,48,1122,False,0.1
27,53,418,False,0.1
28,53,1388,False,0.1
29,59,4986,False,0.1
30,62,7599,False,0.1
31,62,7276,False,0.1
32,64,4196,False,0.1
33,64,7386,False,0.1
34,65,7717,False,0.1
35,65,3322,False,0.1
36,66,7499,False,0.1
37,66,4714,False,0.1
38,66,2248,True,0.1
39,69,3234,False,0.1
40,69,144,True,0.1
41,69,2944,False,0.1
42,69,328,False,0.1
43,69,1213,False,0.1
44,69,7525,False,0.1
45,69,7150,False,0.1
46,77,1073,False,0.1
47,77,1291,True,0.1
48,77,1300,False,0.1
49,77,1795,False,0.1
50,77,3220,False,0.1
51,77,1188,False,0.1
52,79,1921,False,0.1
53,79,5346,True,0.2
54,82,1826,True,0.1
55,82,2011,False,0.1
56,83,5044,False,0.1
57,90,5445,True,0.1
58,91,3404,False,0.1
59,91,279,False,0.1
60,92,3270,False,0.2
61,92,4672,False,0.1
62,95,3474,False,0.1
63,96,6075,False,0.1
64,97,6258,False,0.1
65,97,6840,False,0.1
66,97,856,False,0.2
67,97,3053,False,0.1
68,100,1418,False,0.1
69,100,6887,False,0.1
70,100,6340,False,0.1
71,106,387,True,0.1
72,106,1767,False,0.1
73,112,5446,False,0.1
74,113,711,False,0.1
75,114,7762,False,0.3
76,115,332,False,0.1
77,117,6718,False,0.1
78,118,910,False,0.1
79,118,5449,False,0.1
80,118,7793,False,0.2
81,118,599,False,0.2
82,118,7304,False,0.2
83,118,5139,False,0.2
84,119,7568,False,0.1
85,119,6954,False,0.1
86,119,6742,False,0.1
87,123,455,False,0.1
88,123,4105,False,0.1
89,124,5151,False,0.1
90,125,3023,False,0.1
91,127,86,False,0.1
92,127,24,False,0.1
93,127,1112,True,0.1
94,134,7460,False,0.1
95,135,2878,False,0.1
96,138,6067,False,0.2
97,138,7510,False,0.3
98,138,255,False,0.2
99,138,6709,False,0.2
100,138,7268,False,0.3
101,139,5660,False,0.1
102,149,3568,False,0.1
103,150,2043,False,0.1
104,150,2785,False,0.1
105,150,1526,False,0.1
106,151,2205,False,0.1
107,151,3319,False,0.1
108,152,6546,False,0.1
109,154,2089,False,0.1
110,157,727,False,0.1
111,158,2168,True,0.1
112,161,3413,False,0.1
113,161,621,False,0.1
114,161,5559,False,0.1
115,161,887,False,0.1
116,162,1684,False,0.1
117,163,3134,False,0.2
118,168,7387,False,0.1
119,170,5608,False,0.2
120,170,5236,False,0.1
121,170,6972,False,0.1
