D1,D2,responses,weight,s-weight
4,6738,False,0.2,0.569767951965332
5,6725,"Record 1 and Record 2 refer to the same entity (George Lopez), but in different roles",0.1,0.6148035526275635
7,6342,False,0.2,0.0
8,7228,Answer: False,0.2,0.0
8,7734,False,0.2,0.0
8,4173,False,0.1,0.0
8,2627,Example 3:,0.2,0.0
8,3016,"False, the two records are not directly related and refer to different entities",0.1,0.0
8,1142,"record 1: The Shawshank Redemption 1994-09-23 Drama, record 2: The Shawshank Redemption (TV) 1995-09-28 This movie tells the story of Andy Dufresne, a successful banker sentenced to life in prison for the murder of his wife and her lover, despite his claims of innocence",0.1,0.0
14,7237,Record 1 and Record 2 refer to the same entity (Fredrik Svensson),0.2,0.7359975576400757
17,6506,Answer: False,0.1,0.7477748394012451
22,6619,True,0.1,0.8020259141921997
22,798,True,0.1,0.8511130213737488
27,5608,False,0.2,0.0
27,5844,False,0.1,0.0
27,2808,"record 1: A Shot in the Dark (TV series episode) Crime,Drama,Mystery, airing on January 1, 1993",0.1,0.5188887119293213
27,5325,False,0.1,0.0
27,6392,False,0.1,0.0
27,7318,Example 3:,0.2,0.5521425604820251
27,5237,False,0.1,0.0
31,119,"If the records are referring to the same person, then the answer is True",0.1,0.6248172521591187
33,6633,False,0.1,0.0
42,1078,Answer: False,0.1,0.0
45,484,False,0.1,0.4231046438217163
45,985,False,0.1,0.6360324621200562
45,1377,False,0.1,0.5093996524810791
48,1122,"record 1: Bill Gates programmer,entrepreneur,philanthropist,founder of Microsoft, born in 1955",0.1,0.5989635586738586
53,418,"record 1: Alan DeWitt actor,miscellaneous,director 1976-01-01 1921-01-01",0.1,0.0
53,1388,False,0.1,0.0
59,4986,False,0.1,0.0
62,7599,False,0.1,0.0
62,7276,False,0.1,0.0
64,4196,False,0.1,0.8018835783004761
64,7386,False,0.1,0.0
65,7717,False,0.1,0.0
65,3322,False,0.1,0.0
66,7499,False,0.1,0.0
66,4714,False,0.1,0.0
66,2248,True,0.1,0.8183784484863281
69,3234,False,0.1,0.0
69,144,False,0.1,0.6907432079315186
69,2944,Answer: False,0.1,0.0
69,328,False,0.1,0.49423959851264954
69,1213,Answer: False,0.1,0.6291950941085815
69,7525,False,0.1,0.700305700302124
69,7150,False,0.1,0.7335593700408936
77,1073,False,0.1,0.7352160215377808
77,1291,False,0.1,0.8779367804527283
77,1300,False,0.1,0.7353116273880005
77,1795,Answer: True,0.1,0.932032585144043
77,3220,False,0.1,0.7522789239883423
77,1188,False,0.1,0.7455083131790161
79,1921,Answer: True,0.1,0.8778684735298157
79,5346,Answer: False,0.2,0.825311541557312
82,1826,Answer: True,0.1,0.8580586314201355
82,2011,Answer: True,0.1,0.9129209518432617
83,5044,Answer: False,0.1,0.5451524257659912
90,5445,Record 1 and Record 2 refer to the same entity (Charles F,0.1,0.6796202659606934
91,3404,Answer: False,0.1,0.7157770395278931
91,279,False,0.1,0.6080698370933533
92,3270,False,0.2,0.0
92,4672,"Answer: False, as record 1 describes a specific chapter and date in a drama, while record 2 provides additional context about the characters Francis and Lucas from another unspecified drama or series",0.1,0.6117961406707764
95,3474,False,0.1,0.524201512336731
96,6075,False,0.1,0.0
97,6258,False,0.1,0.7982532382011414
97,6840,False,0.1,0.7952919006347656
97,856,False,0.2,0.7183166742324829
97,3053,Answer: False,0.1,0.5677893161773682
100,1418,Answer: False,0.1,0.0
100,6887,False,0.1,0.0
100,6340,False,0.1,0.0
106,387,Your answer is: False,0.1,0.8026251196861267
106,1767,Answer: False,0.1,0.8271401524543762
112,5446,record 1: Titanic (1997) movie,0.1,0.32888293266296387
113,711,False,0.1,0.6267812252044678
114,7762,Answer: False,0.3,0.8950463533401489
115,332,Answer: True,0.1,0.8178088068962097
117,6718,Your second example does not provide enough information to determine whether the two records refer to the same entity or not,0.1,0.7249045372009277
118,910,Answer: False,0.1,0.6097294092178345
118,5449,"False, as both records refer to different shows",0.1,0.0
118,7793,False,0.2,0.0
118,599,Answer: False,0.2,0.0
118,7304,False,0.2,0.0
118,5139,False,0.2,0.0
119,7568,False,0.1,0.4819720983505249
119,6954,False,0.1,0.48325157165527344
119,6742,False,0.1,0.4828447103500366
123,455,record 1: Neil Armstrong astronaut,0.1,0.6352190375328064
123,4105,False,0.1,0.6851669549942017
124,5151,False,0.1,0.6050839424133301
125,3023,Answer: False,0.1,0.5364519357681274
127,86,False,0.1,0.0
127,24,Example 3:,0.1,0.7704272866249084
127,1112,"If the records are referring to the same person, answer with ""True",0.1,0.6672694087028503
134,7460,False,0.1,0.6057282090187073
135,2878,False,0.1,0.0
138,6067,Answer: False,0.2,0.8091980218887329
138,7510,False,0.3,0.0
138,255,Answer: False,0.2,0.0
138,6709,False,0.2,0.0
138,7268,False,0.3,0.5351200103759766
139,5660,Example 3:,0.1,0.5634493827819824
149,3568,Record 1 and Record 2 refer to the same entity (George Buza),0.1,0.6499422192573547
150,2043,False,0.1,0.0
150,2785,False,0.1,0.5272688865661621
150,1526,False,0.1,0.48690181970596313
151,2205,Answer: False,0.1,0.6161090731620789
151,3319,False,0.1,0.0
152,6546,Record 1 and Record 2 refer to the same entity - Gloria Vanderbilt,0.1,0.6094923615455627
154,2089,False,0.1,0.0
157,727,Answer: True,0.1,0.8289680480957031
158,2168,"If the second record only mentions Valentina Cardinalli as a guest star in a particular episode or show, and does not indicate that she is playing a different character than in her previous acting roles, then the answer would be: True",0.1,0.7010179758071899
161,3413,False,0.1,0.0
161,621,False,0.1,0.0
161,5559,False,0.1,0.0
161,887,Answer: True,0.1,0.8470081090927124
162,1684,Answer: False,0.1,0.4377378821372986
163,3134,False,0.2,0.0
168,7387,Answer: True,0.1,0.8916962146759033
170,5608,False,0.2,0.0
170,5236,"record 1: Mulholland Falls (1996) Crime,Drama,Mystery, Thriller, record 2: The Postman Always Rings Twice (1981) Crime,Drama,Romance, Mystery, Thriller, Answer with True",0.1,0.0
