,D1,D2,responses
0,0,2287,True
1,2,4592,True
2,4,2465,False
3,8,5581,True
4,8,5547,True
5,9,3942,True
6,9,5484,True
7,11,1730,False
8,11,127,False
9,14,1341,False
10,14,2407,True
11,14,3733,True
12,14,4965,True
13,16,5113,True
14,17,7721,True
15,17,4632,False
16,17,3113,False
17,17,5796,True
18,17,7777,True
19,19,5483,True
20,19,1910,True
21,19,4001,False
22,20,7386,True
23,20,6186,False
24,21,1076,True
25,22,733,True
26,28,7780,False
27,28,1696,False
28,28,502,False
29,29,1328,True
30,29,6236,True
31,31,3168,True
32,31,4316,False
33,31,6586,True
34,35,7111,True
35,35,5096,False
36,35,5396,True
37,35,6570,True
38,35,2014,True
39,36,7736,True
40,40,7801,False
41,41,6067,True
42,42,340,True
43,45,4182,True
44,45,1835,True
45,50,1481,True
46,50,2577,True
47,52,696,True
48,56,2407,True
49,56,4965,True
50,56,3914,True
51,56,7497,False
52,57,3003,True
53,57,7615,True
54,57,6401,True
55,58,5543,False
56,58,1012,False
57,61,4589,True
58,64,958,True
59,64,1037,False
60,67,6589,False
61,67,5785,False
62,67,2306,True
63,68,787,True
64,68,3399,False
65,68,3357,True
66,68,7457,True
67,69,2651,False
68,69,5175,True
69,69,6470,False
70,71,4713,True
71,71,3552,True
72,71,5827,False
73,72,4254,False
74,75,1833,False
75,76,5044,True
76,76,3638,False
77,78,6029,True
78,78,4494,True
79,78,1104,True
80,79,3583,False
81,79,4028,True
82,80,1102,False
83,80,1721,False
84,80,7785,False
85,80,302,True
86,83,232,False
87,83,907,True
88,83,1929,True
89,87,3519,False
90,89,7772,False
91,89,3912,True
92,91,7213,False
93,93,5723,False
94,93,5922,False
95,93,6893,False
96,93,5097,True
97,94,7020,True
98,94,777,True
99,96,6555,True
100,97,976,True
101,97,5652,True
102,98,7364,False
103,98,6358,True
104,105,1208,True
105,109,1125,True
106,111,5167,True
107,114,183,True
108,115,5954,False
109,117,6739,True
110,118,244,True
111,122,449,False
112,122,1390,True
113,125,2776,False
114,125,1712,True
115,125,1523,True
116,125,2005,False
117,128,3285,True
118,132,5607,False
119,137,7487,False
120,140,1811,False
121,141,1976,False
122,141,2231,True
123,141,421,False
124,148,1246,True
125,148,128,True
126,150,6506,True
127,150,4967,True
128,152,5107,False
129,153,6701,False
130,153,1285,True
131,154,2903,True
132,157,5736,False
133,157,569,True
134,160,3668,False
135,160,6317,False
136,160,3736,True
137,161,7602,True
138,162,5550,False
139,162,7223,False
140,164,165,True
141,164,2017,True
142,166,5561,True
143,166,7131,False
144,167,2911,True
145,167,4495,False
146,168,5779,False
147,168,5013,False
148,168,5839,False
149,169,2788,True
150,169,4597,True
151,169,2270,False
152,169,7414,True
153,169,6130,True
154,170,123,True
155,170,576,True
156,176,7297,False
157,176,978,False
158,176,1968,False
159,176,7070,False
160,176,1411,True
161,181,1985,False
162,181,0,True
163,181,5542,False
164,181,4694,False
165,182,1100,True
166,182,5571,False
167,182,807,True
168,183,7415,True
169,184,1798,True
170,186,5365,False
171,186,6753,False
172,188,4892,True
173,191,5115,True
174,192,4807,False
175,193,2658,False
176,198,3896,True
177,198,5963,True
178,202,3942,False
179,204,4105,True
180,208,603,False
181,214,2585,False
182,214,768,True
183,214,3483,False
184,215,5775,True
185,218,1100,False
186,218,5571,False
187,218,807,False
188,219,6607,True
189,219,1271,True
190,219,898,True
191,221,3285,False
192,223,4929,False
193,223,1476,True
194,223,5618,True
195,224,2002,True
196,228,4242,True
197,228,66,True
198,228,1647,False
199,231,7185,True
200,231,832,False
201,231,5237,True
202,232,7580,False
203,232,314,True
204,234,376,False
205,236,3699,True
206,240,720,False
207,241,713,True
208,242,4794,True
209,245,22,False
210,245,1243,False
211,246,7471,False
212,246,6335,False
213,248,1905,False
214,248,3407,True
215,252,4542,False
216,252,2963,False
217,253,3582,True
218,253,3590,False
219,255,5422,True
220,255,7564,False
221,258,3304,True
222,261,2741,True
223,262,3896,True
224,262,5963,False
225,264,7491,True
226,264,3384,True
227,267,85,True
228,267,3,True
229,267,524,True
230,271,5517,False
231,274,3709,False
232,274,6515,True
233,279,134,False
234,279,3890,False
235,279,427,True
236,279,5445,False
237,281,1424,True
238,285,1386,True
239,285,3104,True
240,285,7469,False
241,285,6291,True
242,286,999,True
243,286,5261,True
244,286,6401,True
245,287,619,False
246,287,2650,False
247,291,2651,False
248,291,5175,False
249,291,6470,False
250,293,7513,True
251,293,5148,True
252,293,5206,True
253,300,2247,True
254,301,117,True
255,307,6845,True
256,307,3319,True
257,307,436,True
258,308,999,True
259,308,5261,True
260,308,6401,True
261,309,859,True
262,310,4603,False
263,310,5671,False
264,311,3980,False
265,311,6148,True
266,313,1508,True
267,316,6093,True
268,316,7448,True
269,324,3631,True
270,328,6581,True
271,328,5778,True
272,329,1812,True
273,332,1870,True
274,332,3713,False
275,332,6537,True
276,335,7281,False
277,337,7135,False
278,337,1276,False
279,340,5256,True
280,340,7610,True
281,340,6525,True
282,340,1049,True
283,343,7268,True
284,344,2833,True
285,345,4420,True
286,346,6022,True
287,346,7627,True
288,346,4791,True
289,346,2969,True
290,346,4488,True
291,351,1787,True
292,353,176,False
293,353,1968,False
294,354,7680,False
295,354,1153,True
296,354,4433,False
297,354,5574,True
298,355,3208,False
299,358,4438,True
300,362,4555,True
301,368,2323,True
302,368,1834,True
303,368,4025,True
304,368,693,True
305,371,6127,True
306,371,2545,True
307,374,7090,True
308,374,7419,False
309,377,1046,True
310,378,1990,True
311,378,7373,False
312,378,2220,False
313,378,6030,False
314,379,4534,False
315,384,5002,True
316,385,3808,True
317,385,1264,True
318,387,7552,False
319,389,2776,False
320,389,1712,False
321,389,1523,False
322,389,2005,False
323,391,401,True
324,391,697,True
325,391,3087,False
326,393,3178,False
327,398,2443,True
328,402,3646,False
329,402,3492,False
330,402,5658,False
331,402,4927,False
332,403,2069,True
333,404,1326,True
334,404,4023,True
335,404,5556,True
336,407,2240,True
337,407,3809,True
338,407,367,True
339,407,7440,False
340,415,5648,False
341,416,6911,False
342,416,2977,False
343,418,3918,False
344,420,349,True
345,420,473,True
346,421,7562,True
347,423,1683,False
348,423,2349,True
349,429,5508,True
350,431,17,False
351,431,356,False
352,431,2668,False
353,431,418,False
354,432,5609,True
355,434,2683,False
356,437,63,True
357,437,32,True
358,437,7149,False
359,437,2423,True
360,439,3592,True
361,439,7032,True
362,439,5929,True
363,439,5475,True
364,440,4934,False
365,441,6479,True
366,443,5517,False
367,445,5485,True
368,445,800,True
369,445,7041,True
370,446,7033,True
371,447,7437,False
372,447,1142,False
373,451,2527,False
374,451,2800,False
375,452,933,False
376,453,5193,True
377,454,5641,True
378,455,840,True
379,459,3563,True
380,459,1383,True
381,463,1241,True
382,464,6251,True
383,465,942,False
384,466,44,False
385,467,6708,False
386,468,364,True
387,470,4559,True
388,470,5331,True
389,473,4838,False
390,473,439,False
391,473,34,False
392,473,2065,True
393,475,7651,True
394,475,7399,True
395,475,5271,True
396,476,2918,False
397,478,2798,True
398,478,449,False
399,478,544,False
400,481,3015,False
401,481,2566,False
402,481,4109,False
403,483,3137,True
404,486,2162,True
405,486,7120,True
406,490,311,False
407,493,1316,False
408,493,3744,False
409,493,3424,False
410,495,3542,False
411,496,5182,True
412,499,7547,False
413,499,7551,False
414,502,5382,True
415,502,793,True
416,506,7531,False
417,506,7738,False
418,506,1836,True
419,510,3048,False
420,514,6681,False
421,514,4940,True
422,516,6532,True
423,516,906,False
424,518,867,True
425,521,5333,True
426,523,4055,False
427,525,7511,True
428,527,4898,False
429,528,6186,True
430,530,2573,True
431,530,2329,False
432,536,5638,False
433,536,4456,True
434,536,137,True
435,537,5530,False
436,538,5785,True
437,540,2084,True
438,541,2613,True
439,541,1600,True
440,546,6053,False
441,547,5342,True
442,547,3812,True
443,547,3016,False
444,554,4672,True
445,554,106,True
446,555,5083,True
447,555,7703,True
448,560,333,True
449,561,4060,True
450,561,6044,True
451,561,2512,False
452,562,231,True
453,562,6710,False
454,563,4579,True
455,564,3148,False
456,564,6750,True
457,565,6443,True
458,565,2353,True
459,565,3532,True
460,566,2067,False
461,566,6274,False
462,566,1993,False
463,566,6982,False
464,568,199,False
465,572,393,True
466,572,2037,True
467,572,5646,True
468,575,2605,True
469,575,2561,True
470,577,6946,True
471,577,7007,False
472,577,2957,False
473,580,6293,False
474,580,4214,False
475,580,6233,True
476,584,4546,True
477,585,6723,False
478,586,6875,False
479,586,2305,False
480,587,5249,True
481,587,118,True
482,587,4732,True
483,588,1845,True
484,589,1333,True
485,594,1821,False
486,594,3202,True
487,594,1283,True
488,598,7017,False
489,598,5556,True
490,599,3922,True
491,600,4006,True
492,600,6539,False
493,601,4162,True
494,603,5966,False
495,603,4124,True
496,603,4941,False
497,611,3320,False
498,611,5704,False
499,611,3955,False
500,614,6278,True
501,614,1634,True
502,614,1306,True
503,617,6555,True
504,617,378,True
505,618,6175,True
506,620,4526,True
507,627,5925,False
508,627,2643,False
509,627,2543,True
510,637,3649,False
511,637,6946,False
512,637,7007,True
513,641,3122,True
514,641,2214,True
515,642,497,False
516,642,18,False
517,643,51,False
518,644,1954,True
519,644,1329,True
520,645,3807,True
521,647,5423,True
522,650,5441,True
523,650,3003,False
524,651,1493,True
525,651,4247,False
526,653,3203,False
527,653,51,True
528,657,5960,False
529,658,6199,True
530,660,4606,True
531,660,6145,True
532,660,7750,True
533,660,7301,False
534,660,6899,False
535,663,1490,False
536,663,5375,True
537,671,2250,False
538,674,3312,False
539,674,892,False
540,675,5580,False
541,676,688,True
542,676,145,False
543,678,3918,True
544,678,321,False
545,679,3907,True
546,686,7736,False
547,686,7322,False
548,691,6489,False
549,691,4874,True
550,693,6221,True
551,693,1026,False
552,693,128,True
553,694,1817,True
554,694,2070,False
555,696,1720,True
556,697,446,True
557,699,226,True
558,700,5788,True
559,702,4185,True
560,706,2082,False
561,706,1685,False
562,706,6485,False
563,712,2319,True
564,713,4007,True
565,713,6351,False
566,713,977,False
567,714,4576,False
568,718,497,True
569,718,18,True
570,719,6190,True
571,722,5372,True
572,723,5661,False
573,726,4394,True
574,729,690,False
575,731,1707,True
576,731,7373,False
577,732,2039,True
578,733,1684,True
579,733,3390,True
580,735,5948,True
581,738,3234,True
582,738,2944,True
583,738,2846,False
584,738,7525,True
585,738,7150,True
586,740,4104,False
587,740,2607,False
588,740,3473,True
589,740,4111,True
590,740,6063,False
591,741,3654,False
592,741,5330,True
593,742,2027,True
594,742,4411,True
595,742,942,False
596,744,2050,True
597,745,3498,True
598,746,834,True
599,746,2887,False
600,746,7071,True
601,746,2460,True
602,748,2425,False
603,749,628,False
604,749,1247,True
605,749,1945,True
606,749,1764,True
607,750,44,False
