D1,D2,responses
0,2287,True
2,1074,False
2,4592,True
7,3796,False
8,7185,False
8,2197,False
8,2518,False
8,5547,False
9,3942,True
9,1642,False
9,5484,True
11,1332,False
11,5344,False
11,1730,False
11,4548,False
11,7467,False
11,2956,False
11,127,False
11,2918,False
11,4871,False
12,2550,True
12,5101,False
12,2480,False
12,3162,True
12,3696,False
13,7273,True
13,6471,False
13,4601,False
13,3025,True
14,2407,False
14,3914,True
14,4965,True
14,3733,False
14,6214,False
14,2631,True
14,5339,False
14,6291,False
16,7610,False
16,2994,False
16,3092,False
16,5113,True
16,942,False
16,2125,False
16,3232,False
16,2129,False
17,7721,True
17,1516,False
17,4252,True
17,2763,True
17,4579,False
17,6111,True
17,7777,True
19,5301,False
19,2615,True
19,1910,True
19,2332,True
19,2064,False
19,1060,False
19,4584,True
20,4266,False
20,7386,True
20,4196,"Both records refer to the same entity, which is a movie"
21,1076,False
22,733,True
22,244,False
23,1973,False
23,7479,False
23,5088,False
25,4804,False
26,2219,False
26,4505,False
26,1448,True
26,6103,False
26,7711,False
27,3223,False
27,249,False
27,4938,True
27,4720,False
27,7123,False
27,5772,False
27,5947,False
27,5241,False
28,7780,False
28,4660,False
28,1696,False
28,5514,False
28,4513,False
28,2155,False
28,502,False
28,5747,False
29,2329,False
29,977,False
29,7581,False
29,1328,True
29,6236,False
31,3520,True
31,4316,True
31,3174,True
31,4321,True
31,7798,False
31,6586,False
31,5325,False
31,3168,True
31,3409,True
31,2300,True
32,4504,True
32,6415,False
32,7378,False
33,3917,False
35,2014,True
35,7456,False
35,3272,False
36,7736,True
41,6067,True
41,7673,False
41,5625,False
41,2946,False
41,1407,True
41,1024,False
41,7268,False
41,4536,False
42,1246,False
42,6998,True
42,1829,False
42,340,True
42,4028,False
45,3999,False
45,4467,False
45,4182,False
45,2683,False
45,1835,True
45,7262,False
45,36,False
46,1407,False
46,3922,False
49,2946,False
50,1481,True
50,2577,True
52,696,False
52,3689,False
53,302,False
53,5827,False
55,3064,False
56,2407,True
56,1569,True
56,3914,True
56,3104,False
56,4965,True
56,2631,True
57,5249,False
57,7615,True
57,3003,True
57,942,False
57,6401,True
58,5543,False
58,1012,False
59,90,False
59,213,False
59,6811,True
60,3073,False
60,1259,True
60,7258,True
61,3063,False
61,1471,False
61,6122,False
61,4589,True
62,2321,True
62,2850,True
62,6330,False
62,6162,False
62,3553,False
62,4303,False
64,958,True
65,3810,True
67,6465,True
67,4321,True
67,3409,True
67,6589,True
67,3174,True
67,1153,True
67,2306,True
68,787,True
68,3357,True
68,7457,False
69,2651,False
69,6470,True
69,3577,False
69,5175,True
69,987,True
69,4648,False
70,5784,False
70,5169,False
71,3753,True
71,4713,True
71,723,False
71,2615,False
71,5990,True
71,5710,True
71,3552,True
71,2694,True
71,669,True
75,1833,False
75,932,False
76,3186,False
76,5044,True
76,3525,False
76,4320,False
76,383,False
76,5852,False
78,5446,False
78,4494,False
78,2327,False
78,5374,False
78,1104,True
79,5560,False
79,6998,True
79,3583,False
79,340,False
79,5231,False
79,4028,True
79,5428,False
80,3466,True
80,7785,False
80,4840,False
80,302,True
80,1102,True
80,5440,True
80,1505,True
83,232,False
83,907,False
83,1929,False
85,7342,False
86,5625,False
86,3810,False
86,1751,False
86,7203,False
86,2295,False
86,3020,False
87,4406,False
87,3519,True
89,1692,False
89,4392,False
89,6764,False
89,3912,True
91,7213,True
91,4076,True
93,6383,False
93,6893,False
93,5097,False
94,2408,False
94,3759,True
94,6918,True
94,5464,True
94,2338,False
94,777,False
94,7020,True
96,4200,False
96,7082,False
96,5539,False
96,6555,True
97,976,True
97,5652,True
100,7791,True
100,5407,True
100,1012,False
100,7484,True
100,1671,False
100,2209,False
102,5495,False
102,181,False
102,4552,False
102,2051,False
102,4264,False
105,1208,True
106,2465,False
106,2162,False
106,4782,True
107,3647,False
109,1125,True
110,2770,False
111,4603,True
111,5671,True
111,5167,True
111,5835,True
111,6656,False
114,183,True
115,6186,True
115,6944,False
115,1139,"To determine if the records refer to the same entity, I will compare the information provided in both records and look for any similarities or differences"
115,905,False
115,7223,False
116,5478,False
116,4792,False
116,145,True
117,6693,False
117,4072,False
117,6739,True
118,5081,False
118,5292,False
118,1665,False
118,244,True
119,2928,True
120,1510,False
122,4495,True
122,4004,False
122,3299,True
122,1390,True
122,3531,False
122,5224,False
122,63,False
122,7658,True
122,2930,False
123,1840,False
123,7628,True
125,1523,False
125,1778,False
125,2005,False
125,1440,False
125,1712,False
125,2776,False
128,6347,True
128,3285,True
128,1775,True
128,4500,False
128,220,True
128,222,False
128,4944,False
128,152,False
128,1705,False
128,4804,False
130,5578,False
130,5529,False
130,6815,False
132,2230,False
132,1046,False
132,4472,True
132,7717,False
132,3322,False
132,5607,True
133,284,False
133,6561,False
133,838,False
133,453,False
133,1318,False
133,3879,False
133,545,False
133,1723,True
136,480,False
137,7487,True
140,5098,True
140,6191,False
140,6086,False
140,6203,False
140,6101,False
140,5435,True
140,5707,False
140,1811,False
141,1904,False
141,3665,False
141,2231,True
141,983,False
141,5082,False
141,1976,False
141,421,False
141,1639,False
144,6931,False
146,7788,False
148,3895,True
148,1556,False
148,5203,True
148,1246,True
148,12,False
148,532,True
148,6153,False
148,1829,False
148,3583,True
148,128,False
150,6506,True
150,4967,True
150,2266,False
152,6984,False
152,5107,False
153,4660,False
153,6701,False
153,5514,False
153,4513,False
153,2155,False
153,654,False
153,1285,True
154,2903,True
157,238,False
157,569,False
157,3642,True
157,1097,False
158,3969,False
158,7151,False
159,826,False
160,2260,False
160,6912,False
160,4455,False
160,1940,False
160,3811,False
160,929,False
160,3668,True
160,6317,False
160,2006,True
160,5230,False
160,3736,False
160,3458,True
160,1286,False
161,7602,False
161,3423,False
161,4371,False
161,7344,False
161,2772,False
161,6715,False
161,2641,False
161,1373,False
162,2190,False
162,905,False
162,7223,True
164,977,False
164,2017,False
164,165,True
164,3321,False
164,7658,True
165,6053,False
166,5561,True
166,879,True
166,7131,False
167,2031,False
167,2911,True
167,5794,False
167,449,False
168,485,True
168,6932,False
168,5013,False
168,1657,False
168,5779,True
168,1833,False
168,5839,False
169,2788,True
170,123,True
170,576,True
172,513,False
172,7281,False
174,4881,False
175,30,False
175,1135,True
175,2743,False
175,2003,False
176,7228,False
176,1476,False
176,2566,False
176,4509,True
176,1050,False
176,261,False
176,23,False
176,5072,True
176,2159,False
176,3687,False
176,4974,True
176,2074,False
176,1411,True
178,5961,True
179,1829,True
179,5231,False
181,1262,True
181,29,False
181,91,False
181,1969,False
181,4694,False
181,0,False
181,6227,False
181,1195,True
181,1985,False
182,1100,True
