,D1,D2,responses,weight,s-weight
0,0,19009,False,0.0002084623049936,0.619845986366272
1,0,21897,False,0.0002084623049936,0.0
2,0,9462,False,0.0002553131389194,0.0
3,1,17828,False,0.0005646924393157,0.7381578087806702
4,1,1643,False,0.0019920476822239,0.0
5,1,16447,False,0.0002716428657578,0.8553825616836548
6,2,11472,False,0.0020690147215059,0.0
7,2,3384,False,0.0020690147215059,0.0
8,2,18028,False,3.965332746895559e-05,0.774563729763031
9,3,10299,False,0.000668153104781,0.0
10,3,4378,True,5.302802418897309e-05,0.8530861735343933
11,3,21424,False,0.0004980119205559,0.8342201709747314
12,4,11725,False,7.939749312153186e-05,0.7298694849014282
13,5,6047,False,8.495802634210858e-05,0.0
14,5,20932,True,0.0046664899508666,0.8716970086097717
15,5,10422,False,0.002538365412834,0.745769202709198
16,6,9015,False,6.7630088842497705e-06,0.9673612713813782
17,7,1303,False,0.0081104362433904,0.834133505821228
18,7,7226,False,0.0026650089544451,0.0
19,7,21840,False,0.0002577020039126,0.5442949533462524
20,8,2263,False,9.555497043061452e-05,0.5938400030136108
21,8,18908,False,2.963033849010234e-05,0.7976323366165161
22,8,10780,False,0.0004990968529306,0.0
23,9,2456,True,0.0001130677821102,0.8457511067390442
24,9,476,False,5.747805179575947e-05,0.0
25,10,15905,False,7.977983064442326e-05,0.5270434617996216
26,10,12841,False,7.977983064442326e-05,0.0
27,10,14740,False,7.977983064442326e-05,0.0
28,11,7783,False,0.0001180562672201,0.0
29,11,7666,False,0.0003935208907339,0.0
30,11,3541,False,0.0004250511420422,0.0
31,12,6062,False,0.0005249506569572,0.0
32,12,401,False,2.413914714999916e-05,0.0
33,13,9360,False,0.0001077806500506,0.5593277812004089
34,13,12285,False,0.0002240064457438,0.7328238487243652
35,14,1699,True,6.375808599442058e-05,0.8769415616989136
36,15,17810,True,5.456538672786972e-05,0.918223798274994
37,15,17364,True,5.456538672786972e-05,0.9467528462409972
38,15,4282,False,5.456538672786972e-05,0.9089162349700928
39,16,7991,False,0.00010314036906,0.0
40,16,3241,False,6.969414512538304e-05,0.0
41,17,11721,False,9.126808071427712e-05,0.0
42,17,1761,False,0.0002414726442081,0.0
43,18,2734,False,9.908588852794144e-05,0.0
44,18,11026,False,0.0016929013265361,0.0
45,19,19596,False,0.0010101525445522,0.768129289150238
46,19,17429,True,3.3354093452195634e-05,0.8409780263900757
47,19,13057,True,5.747126436781609e-05,0.726723313331604
48,20,16161,False,0.0005510833927217,0.0
49,20,11936,False,8.73402751347792e-05,0.0
50,20,16837,True,0.0005510833927217,0.8289142847061157
51,21,14835,False,2.9488370717337368e-05,0.7614927291870117
52,21,7853,False,3.699492029507539e-05,0.843660831451416
53,22,21284,False,4.280307392170385e-05,0.7883743643760681
54,22,17882,False,3.720238095238095e-05,0.9220693707466124
55,22,17391,False,3.720238095238095e-05,0.9121303558349608
56,23,20955,False,0.0001722704647072,0.0
57,23,643,False,0.0002224002136181,0.0
58,23,8253,False,0.0002731117123407,0.0
59,24,13450,False,0.0002674618086463,0.4565299749374389
60,24,12804,False,0.0001614923142973,0.710309624671936
61,24,10757,False,0.0001614923142973,0.5387718677520752
62,25,6984,False,0.0032224549634855,0.8927911520004272
63,25,2544,True,0.0001039501601124,0.6970430016517639
64,25,21826,False,5.120601579687593e-05,0.814153790473938
65,26,15322,False,0.0003741305720563,0.6035081148147583
66,26,18788,False,0.0003741305720563,0.6277440786361694
67,26,537,False,0.0006415002990995,0.8587775230407715
68,27,18635,False,0.0001332149726057,0.0
69,27,9821,False,0.0027086816944298,0.5376449823379517
70,27,10473,False,0.0001226980010842,0.5956419110298157
71,28,1894,False,0.0025515518153991,0.0
72,28,17011,False,0.0002422735413131,0.572593092918396
73,28,14112,False,0.0018042195912175,0.792576253414154
74,29,6031,False,0.0001621872800336,0.7924346923828125
75,29,22010,False,0.0001701034543599,0.527424693107605
76,29,8070,True,0.0001793047845466,0.821463406085968
77,30,11088,False,0.0003123475237772,0.9503656029701232
78,30,15046,False,0.0003123475237772,0.8771897554397583
79,30,13118,False,0.0003478266129707,0.7274549007415771
80,31,18643,False,0.0004009376869372,0.7478753328323364
81,31,18620,False,0.0004009376869372,0.7092255353927612
82,31,16173,True,0.002105469021954,0.6978060007095337
83,32,11384,False,0.0002215438596186,0.0
84,32,13381,False,0.0002215438596186,0.0
85,32,21567,False,4.029114820126902e-05,0.9146518707275392
86,33,12551,False,0.0004415107856883,0.5021287202835083
87,33,6432,False,0.0010814761408717,0.6489909291267395
88,33,10517,False,0.0004159523618737,0.0
89,34,5118,False,4.115602724364557e-05,0.8118762373924255
90,34,21044,False,4.115602724364557e-05,0.6703713536262512
91,34,13062,False,0.002179068168202,0.7964657545089722
92,35,16020,False,0.0001667000100033,0.5816142559051514
93,35,8092,False,0.0002538839853786,0.580223560333252
94,35,7381,True,0.0002538839853786,0.5381749868392944
95,36,21331,False,0.000216742865178,0.8707647919654846
96,36,599,False,0.0003556512517892,0.5082643628120422
97,36,2136,False,0.0005517372590682,0.5285768508911133
98,37,15178,False,3.752383520543744e-05,0.0
99,37,2440,False,2.3271294702378147e-05,0.6738613843917847
100,37,6357,False,3.357892479981934e-05,0.5269166827201843
101,38,19129,False,0.0005811439793215,0.7337568998336792
102,38,21628,False,0.0005811439793215,0.7244640588760376
103,39,1494,False,0.000395284707521,0.0
104,39,10872,True,0.0003258314422493,0.8848687410354614
105,39,21079,False,0.0022727272727272,0.0
106,41,21700,False,6.548127159682682e-05,0.8635185360908508
107,41,6816,False,2.1843252763688463e-05,0.8346580266952515
108,41,10802,False,2.144964840292623e-05,0.8499158024787903
109,42,13828,False,0.0004766900245457,0.0
