dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,D1_conflicts,D2_conflicts
abt,buy,D2,gemma3n-z-p1,908.4880275726318,0.5967130214917825,0.972193614830072,0.7395221308264787,1.0,vector_based_examples_dict_1,1582,0.38558786346396967,0.38495575221238937
abt,buy,D2,gemma3n-z-p2,889.3072810173035,0.548349739432542,0.9752832131822864,0.7020014825796886,1.0,vector_based_examples_dict_1,1727,0.4348581354950782,0.43022582513028373
abt,buy,D2,qwen2.5-z-p1,528.8339681625366,0.8787234042553191,0.850669412976313,0.8644688644688645,1.0,vector_based_examples_dict_1,940,0.09787234042553192,0.10425531914893617
abt,buy,D2,qwen2.5-z-p2,525.9273450374603,0.8679631525076765,0.8733264675592173,0.8706365503080082,1.0,vector_based_examples_dict_1,977,0.11156601842374617,0.11566018423746162
abt,buy,D2,llama3.1-z-p1,532.056943655014,0.5126333520494104,0.9402677651905252,0.6635174418604651,1.0,vector_based_examples_dict_1,1781,0.46322290847838293,0.4519932622122403
abt,buy,D2,llama3.1-z-p2,529.7840557098389,0.5753246753246753,0.9124613800205972,0.705694942254082,1.0,vector_based_examples_dict_1,1540,0.38701298701298703,0.38376623376623376
abt,buy,D2,orca2-z-p1,454.3115482330322,0.6901062959934587,0.8692070030895983,0.7693710118505014,1.0,vector_based_examples_dict_1,1223,0.2878168438266558,0.294358135731807
abt,buy,D2,orca2-z-p2,451.15227913856506,0.6819645732689211,0.8722966014418125,0.7654767284229552,1.0,vector_based_examples_dict_1,1242,0.2946859903381642,0.29871175523349436
abt,buy,D2,openhermes-z-p1,456.9315037727356,0.715311004784689,0.9237899073120496,0.8062921348314607,1.0,vector_based_examples_dict_1,1254,0.2583732057416268,0.259170653907496
abt,buy,D2,openhermes-z-p2,449.7410318851471,0.7087912087912088,0.9299691040164778,0.8044543429844098,1.0,vector_based_examples_dict_1,1274,0.2645211930926217,0.26609105180533754
abt,buy,D2,zephyr-z-p1,491.3679785728455,0.5734480639213276,0.96086508753862,0.7182448036951501,0.9986059479553904,vector_based_examples_dict_1,1627,0.40811309157959436,0.4068838352796558
abt,buy,D2,zephyr-z-p2,492.53249192237854,0.7070063694267515,0.9145211122554068,0.797485406376291,0.9948884758364313,vector_based_examples_dict_1,1256,0.26910828025477707,0.27070063694267515
abt,buy,D2,gemma3n-ft-p1,1234.825207233429,0.5619834710743802,0.98043254376931,0.7144465290806754,1.0,vector_based_examples_dict_1,1694,0.42089728453364816,0.4203069657615112
abt,buy,D2,gemma3n-ft-p2,1142.687035560608,0.6153346328784925,0.9752832131822864,0.754581673306773,1.0,vector_based_examples_dict_1,1539,0.3677712800519818,0.36712150747238464
abt,buy,D2,gemma3n-tf-p1,1236.4078476428986,0.6673928830791576,0.9464469618949536,0.782793867120954,1.0,vector_based_examples_dict_1,1377,0.31082062454611475,0.3151779230210603
abt,buy,D2,gemma3n-tf-p2,1142.8222210407257,0.6850746268656717,0.945417095777549,0.7944612721765469,1.0,vector_based_examples_dict_1,1340,0.29402985074626864,0.2992537313432836
abt,buy,D2,qwen2.5-ft-p1,543.17986369133,0.8804232804232804,0.8568486096807415,0.8684759916492694,1.0,vector_based_examples_dict_1,945,0.0962962962962963,0.10264550264550265
abt,buy,D2,qwen2.5-ft-p2,537.5448782444,0.8869936034115139,0.8568486096807415,0.8716605552645365,1.0,vector_based_examples_dict_1,938,0.09275053304904052,0.09488272921108742
abt,buy,D2,qwen2.5-tf-p1,536.7257509231567,0.8490749756572541,0.898043254376931,0.8728728728728729,1.0,vector_based_examples_dict_1,1027,0.13047711781888996,0.13534566699123662
abt,buy,D2,qwen2.5-tf-p2,535.2226202487946,0.862,0.8877445932028837,0.8746829020801623,1.0,vector_based_examples_dict_1,1000,0.116,0.123
abt,buy,D2,llama3.1-ft-p1,544.2290687561035,0.4616572310859496,0.9237899073120496,0.6156485929993136,1.0,vector_based_examples_dict_1,1943,0.5043746783324755,0.4909933093154915
