dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2285.509649515152,0.41025641025641024,0.8187633262260128,0.5466192170818506,1.0,vector_based_examples_dict_1,936,TopKJoin
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2285.509649515152,0.4090395480225989,0.7718550106609808,0.534711964549483,1.0,vector_based_examples_dict_1,885,TopKJoin
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2285.509649038315,0.4035453597497393,0.8251599147121536,0.542016806722689,1.0,vector_based_examples_dict_1,959,distilroberta
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2285.509649038315,0.4072398190045249,0.767590618336887,0.532150776053215,1.0,vector_based_examples_dict_1,884,distilroberta
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2967.632533788681,0.4006276150627615,0.8166311300639659,0.5375438596491228,1.0,vector_based_examples_dict_2,956,TopKJoin
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2967.632533788681,0.409652076318743,0.7782515991471215,0.5367647058823529,1.0,vector_based_examples_dict_2,891,TopKJoin
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2967.6325352191925,0.38752556237218816,0.8081023454157783,0.5238424326192122,1.0,vector_based_examples_dict_2,978,distilroberta
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2967.6325352191925,0.3986409966024915,0.7505330490405118,0.5207100591715976,1.0,vector_based_examples_dict_2,883,distilroberta
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,4469.79988026619,0.4098901098901099,0.7953091684434968,0.5409717186366932,1.0,join_examples_dict_1,910,TopKJoin
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4469.79988026619,0.40816326530612246,0.767590618336887,0.532938564026647,1.0,join_examples_dict_1,882,TopKJoin
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,4469.799880743027,0.40106382978723404,0.8038379530916845,0.5351312987934705,1.0,join_examples_dict_1,940,distilroberta
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4469.799880743027,0.4050056882821388,0.7590618336886994,0.5281899109792285,1.0,join_examples_dict_1,879,distilroberta
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2912.731414794922,0.3995837669094693,0.8187633262260128,0.5370629370629371,1.0,join_examples_dict_2,961,TopKJoin
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2912.731414794922,0.4100877192982456,0.7974413646055437,0.5416364952932657,1.0,join_examples_dict_2,912,TopKJoin
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2912.731411933899,0.3834355828220859,0.7995735607675906,0.5183137525915688,1.0,join_examples_dict_2,978,distilroberta
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2912.731411933899,0.39779005524861877,0.767590618336887,0.5240174672489083,1.0,join_examples_dict_2,905,distilroberta
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1072.7678961753845,0.4152941176470588,0.7526652452025586,0.535253980288097,1.0,vector_based_examples_dict_1,850,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1072.7678961753845,0.412484700122399,0.7185501066098081,0.5241057542768274,1.0,vector_based_examples_dict_1,817,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1072.7679026126862,0.407621247113164,0.7526652452025586,0.5288389513108614,1.0,vector_based_examples_dict_1,866,distilroberta
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1072.7679026126862,0.40898058252427183,0.7185501066098081,0.5212683681361175,1.0,vector_based_examples_dict_1,824,distilroberta
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1090.1155037879944,0.41371158392434987,0.746268656716418,0.532319391634981,1.0,vector_based_examples_dict_2,846,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1090.1155037879944,0.4073170731707317,0.7121535181236673,0.5182311869666408,1.0,vector_based_examples_dict_2,820,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1090.1155047416687,0.4050925925925926,0.746268656716418,0.5251312828207052,1.0,vector_based_examples_dict_2,864,distilroberta
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1090.1155047416687,0.4024242424242424,0.7078891257995735,0.5131375579598145,1.0,vector_based_examples_dict_2,825,distilroberta
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1097.7840027809143,0.41073512252042005,0.7505330490405118,0.530920060331825,1.0,join_examples_dict_1,857,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1097.7840027809143,0.4067796610169492,0.7164179104477612,0.518918918918919,1.0,join_examples_dict_1,826,TopKJoin
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1097.7839572429657,0.4029680365296804,0.7526652452025586,0.5249070631970261,1.0,join_examples_dict_1,876,distilroberta
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1097.7839572429657,0.40119760479041916,0.7142857142857143,0.5138036809815951,1.0,join_examples_dict_1,835,distilroberta
