dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
tmdb,tvdb,D7,gemma3n-z-p1,1048.6433103084564,49.421820010055306,94.97584541062803,65.0132275132275,1.0,vector_based_examples_dict_1,1989,TopKJoin
tmdb,tvdb,D7,gemma3n-z-p1,1048.6425375938416,50.390828556539866,93.42995169082126,65.47054840893702,1.0,vector_based_examples_dict_1,1919,distilroberta
tmdb,tvdb,D7,gemma3n-z-p2,997.2535014152527,47.398843930635834,95.07246376811594,63.25940212150434,1.0,vector_based_examples_dict_1,2076,TopKJoin
tmdb,tvdb,D7,gemma3n-z-p2,997.2530193328857,48.322483725588384,93.23671497584542,63.654353562005284,1.0,vector_based_examples_dict_1,1997,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p1,1499.5725865364075,53.84180790960452,92.07729468599034,67.95008912655972,1.0,vector_based_examples_dict_1,1770,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p1,1499.5251607894897,54.61448598130841,90.33816425120773,68.07426283218057,1.0,vector_based_examples_dict_1,1712,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p2,1398.4292685985565,55.59502664298401,90.72463768115942,68.94273127753304,1.0,vector_based_examples_dict_1,1689,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p2,1398.4286439418793,56.12431444241316,88.98550724637681,68.83408071748879,1.0,vector_based_examples_dict_1,1641,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p1,1499.0798597335815,55.308938212357525,89.08212560386474,68.2457438934123,1.0,vector_based_examples_dict_1,1667,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p1,1499.079674243927,55.31784841075794,87.43961352657004,67.7648820666417,1.0,vector_based_examples_dict_1,1636,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p2,1398.9152801036837,55.261538461538464,86.76328502415458,67.5187969924812,1.0,vector_based_examples_dict_1,1625,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p2,1398.9144186973574,55.006257822277846,84.92753623188406,66.76794530953286,1.0,vector_based_examples_dict_1,1598,distilroberta
tmdb,tvdb,D7,qwen2.5-z-p1,537.4532182216644,55.593607305936075,94.10628019323671,69.89594546106926,1.0,vector_based_examples_dict_1,1752,TopKJoin
tmdb,tvdb,D7,qwen2.5-z-p1,537.4534647464752,55.2479815455594,92.56038647342996,69.19465511014806,1.0,vector_based_examples_dict_1,1734,distilroberta
tmdb,tvdb,D7,qwen2.5-z-p2,534.4055812358856,54.800673778775966,94.29951690821255,69.31818181818183,1.0,vector_based_examples_dict_1,1781,TopKJoin
tmdb,tvdb,D7,qwen2.5-z-p2,534.4517493247986,54.29864253393665,92.7536231884058,68.49803781662503,1.0,vector_based_examples_dict_1,1768,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p1,552.0390245914459,54.780652418447694,94.10628019323671,69.24991112691077,1.0,vector_based_examples_dict_1,1778,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p1,552.0393221378326,54.2420814479638,92.65700483091788,68.4266856938994,1.0,vector_based_examples_dict_1,1768,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p2,551.3863909244537,54.44938820912124,94.58937198067633,69.11401341334276,1.0,vector_based_examples_dict_1,1798,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p2,551.3864734172821,54.10112359550562,93.04347826086956,68.41918294849023,1.0,vector_based_examples_dict_1,1780,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p1,552.0972037315369,53.73216245883644,94.58937198067633,68.53342667133356,1.0,vector_based_examples_dict_1,1822,TopKJoin
tmdb,tvdb,D7,qwen2.5-tf-p1,552.0456943511963,53.348090758162705,93.14009661835749,67.83954961294863,1.0,vector_based_examples_dict_1,1807,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p2,549.382972240448,54.02425578831313,94.68599033816425,68.7960687960688,1.0,vector_based_examples_dict_1,1814,TopKJoin
tmdb,tvdb,D7,qwen2.5-tf-p2,549.3829689025879,53.88485187255449,93.14009661835749,68.27195467422096,1.0,vector_based_examples_dict_1,1789,distilroberta
tmdb,tvdb,D7,llama3.1-z-p1,562.8700075149536,47.073170731707314,93.23671497584542,62.560777957860616,0.992128801431127,vector_based_examples_dict_1,2050,TopKJoin
