dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tvdb,D6,gemma3n-z-p2,847.0502004623413,59.31297709923664,80.43478260869566,68.27768014059754,1.0,vector_based_examples_dict_1,1310,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-z-p2,847.0486941337585,67.99660441426147,82.91925465838509,74.72014925373134,1.0,vector_based_examples_dict_1,1178,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2,1126.3095157146454,65.23929471032746,80.43478260869566,72.04450625869264,1.0,vector_based_examples_dict_1,1191,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2,1126.3082075119019,71.53218495013598,81.67701863354037,76.26872885451908,1.0,vector_based_examples_dict_1,1103,distilroberta
imdb,tvdb,D6,gemma3n-tf-p2,1125.4135231971738,64.57142857142857,81.88405797101449,72.20447284345049,1.0,vector_based_examples_dict_1,1225,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-tf-p2,1125.3629322052,71.01321585903084,83.4368530020704,76.72536887196573,1.0,vector_based_examples_dict_1,1135,distilroberta
imdb,tvdb,D6,qwen2.5-z-p2,427.6963720321656,65.73991031390135,75.87991718426501,70.44690052859202,1.0,vector_based_examples_dict_1,1115,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-z-p2,427.69572567939764,70.35984848484848,76.91511387163561,73.49159248269042,1.0,vector_based_examples_dict_1,1056,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2,438.17225313186646,64.3312101910828,62.732919254658384,63.52201257861635,1.0,vector_based_examples_dict_1,942,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2,438.1717209815979,68.95027624309392,64.59627329192547,66.7022982362373,1.0,vector_based_examples_dict_1,905,distilroberta
imdb,tvdb,D6,qwen2.5-tf-p2,439.7036316394806,61.77130044843049,57.039337474120074,59.31108719052746,1.0,vector_based_examples_dict_1,892,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-tf-p2,439.7036600112915,66.70520231213874,59.73084886128365,63.02566903331513,1.0,vector_based_examples_dict_1,865,distilroberta
imdb,tvdb,D6,llama3.1-z-p2,445.7991976737976,39.31681178834561,60.76604554865425,47.74298495323302,0.9998043435726864,vector_based_examples_dict_1,1493,MetaBlocking-Method
imdb,tvdb,D6,llama3.1-z-p2,445.84340929985046,58.38247683235046,71.73913043478261,64.37529029261495,0.9998043435726864,vector_based_examples_dict_1,1187,distilroberta
imdb,tvdb,D6,llama3.1-ft-p2,450.3640480041504,42.30118443316413,51.75983436853002,46.55493482309125,0.999021717863432,vector_based_examples_dict_1,1182,MetaBlocking-Method
